instname,state,tuition,revenue,control,total_enrollment,all_employees
Community College of the Air Force,Alabama,0,,1,,
Alabama A & M University,Alabama,7896,124593748,1,5327,1337
University of Alabama at Birmingham,Alabama,10560,2460168213,1,16874,9785
Amridge University,Alabama,7200,8215151,2,757,118
University of Alabama in Huntsville,Alabama,13396,193994052,1,7681,1666
Alabama State University,Alabama,11232,116489416,1,5564,1130
University of Alabama System Office,Alabama,,13361520,1,,71
The University of Alabama,Alabama,19200,867997390,1,28699,6912
Central Alabama Community College,Alabama,4260,18626311,1,2441,354
Athens State University,Alabama,7200,30791920,1,3511,355
Auburn University at Montgomery,Alabama,16920,76762411,1,5567,775
Auburn University Main Campus,Alabama,18720,767269691,1,24602,8403
Birmingham Southern College,Alabama,25800,47708539,2,1549,484
Chattahoochee Valley Community College,Alabama,4260,11232253,1,1902,210
Concordia College-Selma,Alabama,7200,9271289,2,568,106
South University-Montgomery,Alabama,14685,12099933,3,661,91
Enterprise-Ozark Community College,Alabama,4260,24380602,1,2833,278
James H Faulkner State Community College,Alabama,4260,29653113,1,4355,313
Faulkner University,Alabama,12720,41876982,2,3272,300
Gadsden State Community College,Alabama,4260,52321291,1,6917,672
George C Wallace Community College-Dothan,Alabama,4260,35259367,1,4653,463
George C Wallace State Community College-Hanceville,Alabama,4260,47645567,1,6311,491
George C Wallace State Community College-Selma,Alabama,4260,18716275,1,1938,193
Herzing University,Alabama,10220,7506557,3,425,50
Huntingdon College,Alabama,19990,18348684,2,1075,240
Heritage Christian University,Alabama,8709,3014427,2,111,36
J F Drake State Technical College,Alabama,4260,12534115,1,1258,110
J F Ingram State Technical College,Alabama,1944,12819293,1,543,129
Jacksonville State University,Alabama,11940,105171840,1,9351,1112
Jefferson Davis Community College,Alabama,4260,12235693,1,1433,141
Jefferson State Community College,Alabama,4260,51108802,1,8581,853
John C Calhoun State Community College,Alabama,4260,56303542,1,11212,869
Judson College,Alabama,12340,8280704,2,313,119
Lawson State Community College-Birmingham Campus,Alabama,4260,38223397,1,4353,403
University of West Alabama,Alabama,10120,54040605,1,5157,409
Lurleen B Wallace Community College,Alabama,4260,16012026,1,1790,208
Marion Military Institute,Alabama,12000,11464675,1,511,126
Miles College,Alabama,8506,22910038,2,1791,338
University of Mobile,Alabama,14500,23375034,2,1570,267
University of Montevallo,Alabama,13050,49463215,1,3044,464
Northwest Shoals Community College-Muscle Shoals,Alabama,4260,37741426,1,4520,493
University of North Alabama,Alabama,8016,78457528,1,7194,818
Northeast Alabama Community College,Alabama,4260,20752113,1,3370,324
Oakwood University,Alabama,13042,45147133,2,1916,369
Alabama Southern Community College,Alabama,4544,19637697,1,1431,200
Prince Institute of Professional Studies Inc,Alabama,7800,955134,3,63,14
Reid State Technical College,Alabama,4230,8655330,1,760,82
Bishop State Community College,Alabama,4260,33154411,1,3598,378
Samford University,Alabama,20200,128558576,2,4658,1075
Selma University,Alabama,3600,3151530,2,,46
Shelton State Community College,Alabama,4260,40812916,1,5808,583
Snead State Community College,Alabama,4260,16603799,1,2483,178
University of South Alabama,Alabama,10200,567593000,1,14522,3304
Spring Hill College,Alabama,23910,38838382,2,1521,345
Southeastern Bible College,Alabama,10080,2953165,2,203,43
Stillman College,Alabama,12160,22789568,2,1041,270
Talladega College,Alabama,8140,13411961,2,700,137
H Councill Trenholm State Technical College,Alabama,4260,22017257,1,1733,246
Troy University,Alabama,9264,232927937,1,29328,3276
Tuskegee University,Alabama,15630,140113289,2,2931,769
United States Sports Academy,Alabama,10080,6670186,2,653,74
Bevill State Community College,Alabama,4260,43032827,1,4554,599
ALASKA BIBLE COLLEGE,Alaska,,,2,,
University of Alaska Fairbanks,Alaska,14400,727567566,1,29673,6780
Alaska Pacific University,Alaska,24300,15318501,2,781,188
Alaska Vocational Technical Center,Alaska,,10143765,1,820,84
Charter College,Alaska,17750,22240394,3,1132,260
Prince William Sound Community College,Alaska,3990,5997041,1,594,94
Career Academy,Alaska,,3882729,3,410,51
Everest College-Phoenix,Arizona,15024,102532865,3,5316,126
Collins College,Arizona,31175,27552902,3,1171,162
Empire Beauty School-Paradise Valley,Arizona,,10649895,3,734,88
Thunderbird School of Global Management,Arizona,,70827265,2,1309,279
American Indian College of the Assemblies of God Inc,Arizona,7260,1716011,2,86,42
American Institute of Technology,Arizona,,11938663,3,371,113
Apollo College-Phoenix Inc,Arizona,,12379397,3,5844,412
College America,Arizona,,4113507,3,279,37
