instname;state;tuition03_tf;tot_rev_w_auxother_sum;control;total_enrollment;ptall12;LONGITUD;LATITUDE
Community College of the Air Force;AL;0;;1;;;-86.244501;32.404904
Alabama A & M University;AL;3864;78209196.001;5497;918;-86.57352;34.78422
University of Alabama at Birmingham;AL;5460;1222806865.001;15098;13284;-86.80446;33.50096
Southern Christian University;AL;5520;2300986.002;293;29;-86.171548;32.365021
University of Alabama in Huntsville;AL;4642;97261294.001;6874;1364;-86.643936;34.723896
Alabama State University;AL;5040;63235190.761;5664;987;-86.296158;32.36623
University of Alabama System Office;AL;;7823141.001;;;-87.560429;33.213047
The University of Alabama;AL;7722;341988071.001;18744;5278;-87.54234;33.208811
Central Alabama Community College;AL;3000;11282760.001;1612;238;-85.947875;32.924383
Athens State University;AL;4672;15770348.001;2790;264;-86.967621;34.805512
Auburn University-Montgomery;AL;8850;50497797.001;5354;784;-86.17771;32.36839
Auburn University Main Campus;AL;8685;461333195.001;22120;6583;-85.486107;32.603383
Birmingham Southern College;AL;15170;45162630.002;1528;411;-86.850359;33.517202
Chattahoochee Valley Community College;AL;3744;6670730.001;1735;123;-85.028995;32.428862
Concordia College;AL;5200;5227581.002;525;90;-87.0177;32.4254
South University-Montgomery;AL;7185;1813524.003;208;44;-86.217741;32.342503
Enterprise-Ozark Community College;AL;2400;8697138.061;1644;225;-85.835009;31.299651
James H Faulkner State Community College;AL;2496;14464706.001;2832;282;-87.776669;30.852589
Faulkner University;AL;7500;23759246.002;2645;195;-86.216358;32.381918
Gadsden State Community College;AL;3072;32625008.001;5695;650;-85.98997;33.994979
George C Wallace Community College-Dothan;AL;3000;25406258.001;3533;418;-85.46796;31.31592
George C Wallace State Community College-Hanceville;AL;1920;20483286.001;4747;457;-86.778259;34.072755
George C Wallace State Community College-Selma;AL;2400;10272864.001;1461;178;-87.014531;32.444291
Herzing College;AL;6200;4314213.003;536;42;-86.832344;33.468136
Huntingdon College;AL;10500;14010440.002;705;154;-86.285285;32.352002
Heritage Christian University;AL;4296;2809767.002;146;47;-87.660709;34.860679
J F Drake State Technical College;AL;2304;5520470.001;611;53;-86.572561;34.771174
J F Ingram State Technical College;AL;1440;8273481.001;754;;-86.381859;32.576179
Jacksonville State University;AL;4880;56306719.001;7928;838;-85.763653;33.824096
Jefferson Davis Community College;AL;2400;8713298.001;1159;147;-87.08423;31.10199
Jefferson State Community College;AL;3000;25363687.001;5408;483;-86.709463;33.651085
John C Calhoun State Community College;AL;2496;32642407.001;7598;778;-86.94908;34.64771
Judson College;AL;7100;4909417.002;308;87;-87.316603;32.629662
Lawson State Community College-Birmingham Campus;AL;2304;22073090.001;2895;451;-86.888372;33.449443
University of West Alabama;AL;4608;18646790.001;1980;274;-88.18725;32.5843
Lurleen B Wallace Community College;AL;3328;5219601.001;834;111;-86.451742;31.321861
Marion Military Institute;AL;9630;5911747.002;143;93;-87.318077;32.622556
Miles College;AL;4280;18464249.002;1453;171;-86.90718;33.48072
University of Mobile;AL;7710;19221164.002;1978;233;-88.128739;30.793454
University of Montevallo;AL;6300;31776555.001;3147;412;-86.86473;33.10442
Northwest Shoals Community College-Muscle Shoals;AL;2880;19256789.001;3394;457;-87.678939;34.730351
University of North Alabama;AL;4464;42888742.001;5805;664;-87.67976;34.8072
Northeast Alabama Community College;AL;2112;6564492.001;1576;118;-85.849296;34.495048
Oakwood College;AL;8400;29767132.002;1736;410;-86.661596;34.756663
Alabama Southern Community College;AL;3072;11114712.871;1240;158;-87.323941;31.48897
Prince Institute of Professional Studies Inc;AL;4530;578115.003;103;17;-86.161564;32.38201
Reid State Technical College;AL;2400;5591943.001;681;93;-86.965527;31.45764
Bishop State Community College;AL;2496;24212334.001;3393;373;-88.056355;30.694054
Samford University;AL;10300;136428943.002;4494;883;-86.790142;33.463236
SELMA UNIVERSITY;AL;;;2;;;-87.031607;32.419785
Shelton State Community College;AL;2304;26345356.001;4385;363;-87.557337;33.119706
Snead State Community College;AL;2816;7240025.001;1676;163;-86.168184;34.200609
University of South Alabama;AL;5340;445590633.001;11185;5344;-88.174087;30.696578
Spring Hill College;AL;14390;22620072.002;1484;304;-88.148412;30.685751
Southeastern Bible College;AL;5740;2523851.002;181;32;-86.764053;33.364978
Stillman College;AL;5570;26286459.002;1458;;-87.582864;33.200716
Talladega College;AL;5666;8758008.002;455;183;-86.112036;33.433069
H Councill Trenholm State Technical College;AL;2560;8816050.001;680;142;-86.344604;32.34991
Troy University;AL;5320;101757373.001;16876;1512;-85.95035;31.7969
Tuskegee University;AL;9500;89241233.002;3009;790;-85.71794;32.41666
United States Sports Academy;AL;;3931196.142;232;73;-87.91202;30.64004
Bevill State Community College;AL;3200;25753896.661;3554;418;-87.265034;33.835785
ALASKA BIBLE COLLEGE;AK;4650;1642931.002;37;1;-145.52624;62.11296
University of Alaska Fairbanks;AK;7155;376624353.001;24942;4684;-147.82475;64.857053
Alaska Pacific University;AK;11952;10887642.192;556;178;-149.814307;61.189535
Alaska Vocational Technical Center;AK;;5501561.001;201;;-149.443826;60.110502
Charter College;AK;6974;4702079.003;433;61;-149.83999;61.195436
Prince William Sound Community College;AK;1920;3670694.001;745;67;-146.357096;61.133085
Career Academy;AK;;1739784.003;131;;-149.855683;61.180849
Everest College;AZ;;105230.003;314;34;-112.113531;33.580955
Collins College;AZ;8640;16561671.003;1577;197;-111.98646;33.40334
Artistic Beauty Colleges-Scottsdale;AZ;;4194322.003;533;;-111.978446;33.602489
Thunderbird-The Garvin School of International Management;AZ;;66055218.002;1541;400;-112.182574;33.622947
American Indian College of the Assemblies of God Inc;AZ;3750;1402398.002;76;36;-112.091236;33.577578
American Institute of Technology;AZ;;2183779.003;126;;-112.175284;33.442432
Apollo College-Phoenix Inc;AZ;;7563556.003;858;88;-112.116921;33.561821
College America;AZ;;217555.003;35;;-111.606672;35.209765
Arizona Academy of Beauty Inc;AZ;;456491.003;55;;-110.871281;32.236258
International Institute of the Americas;AZ;6895;17269055.002;854;258;-112.112382;33.56756
Arizona State University at the Tempe Campus;AZ;9340;634253008.001;44215;9434;-111.932128;33.417515
Arizona Western College;AZ;4848;25352291.001;6321;820;-114.49618;32.69022
University of Arizona;AZ;7152;904645001.001;34326;13191;-110.950875;32.232112
The Art Center Design College-Tucson;AZ;10000;6569275.003;636;22;-110.926828;32.252507
Toni & Guy Hairdressing Academy;AZ;;702269.003;74;;-111.925323;33.50225
Central Arizona College;AZ;5488;25795016.001;4560;665;-111.652297;32.95582
Chaparral College;AZ;6375;4883813.003;383;65;-110.895053;32.236286
Charles of Italy Beauty College;AZ;;186686.003;59;;-114.328115;34.475229
Cochise College;AZ;3792;24166598.381;4000;676;-109.668765;31.361359
Desert Institute of the Healing Arts;AZ;;1417396.003;128;;-110.856548;32.220975
DeVry University-Arizona;AZ;7778;40421379.003;3706;343;-112.104979;33.567573
Earls Academy of Beauty;AZ;;529068.003;92;;-111.859667;33.376506
Eastern Arizona College;AZ;4852;20834953.001;6230;515;-109.763017;32.84242
FRANK LLOYD WRIGHT SCHOOL OF ARCHITECTURE;AZ;;;2;;;-111.846477;33.60715
Glendale Community College;AZ;4248;47034236.001;19131;402;-112.188466;33.567524
Grand Canyon University;AZ;7680;;3;2991;232;-112.129876;33.509446
High-Tech Institute-Phoenix;AZ;10380;33780985.003;2030;184;-112.050333;33.4947
International Academy of Hair Design;AZ;;273654.003;79;;-111.841802;33.354361
Lamson College;AZ;;1349752.003;137;30;-111.95313;33.349029
Long Technical College;AZ;15520;1794648.163;221;34;-112.117258;33.609028
Maricopa Beauty College;AZ;;329297.003;51;;-112.355232;33.435281
Maricopa Community College System Office;AZ;;56456584.001;;;-111.97543;33.413592
Gateway Community College;AZ;4248;27196384.001;8801;176;-111.995403;33.449261
Mesa Community College;AZ;4248;68298137.001;22295;448;-111.871413;33.392945
ITT Technical Institute;AZ;8073;2895385.533;192;29;-110.997501;32.297261
ITT Technical Institute;AZ;8073;4242618.003;369;42;-111.969736;33.380254
Mohave Community College;AZ;3836;15862453.001;5918;496;-114.022914;35.268508
Universal Technical Institute-Motorcycle Mechanics;AZ;;10871000.003;740;;-112.121476;33.683844
Dine College;AZ;600;18801185.001;1881;423;-109.21009;36.301684
Northern Arizona University;AZ;8304;235434777.001;19981;3396;-111.65582;35.19398
Northland Pioneer College;AZ;4640;16615009.001;3886;428;-110.132719;34.936766
Phoenix College;AZ;4248;36110637.601;10984;308;-112.088334;33.480476
Phoenix Therapeutic Massage College;AZ;;721326.003;109;;-111.908192;33.46588
University of Phoenix-Phoenix-Hohokam Campus;AZ;5760;68093390.003;10044;1826;-111.979941;33.413016
Pima Community College;AZ;4200;96428323.001;30548;2202;-110.985014;32.226881
Pima Medical Institute;AZ;5390;12286421.003;1454;237;-110.921331;32.250463
Prescott College;AZ;12350;9896076.002;934;164;-112.47627;34.544783
Refrigeration School Inc;AZ;;1893797.003;223;34;-111.989439;33.448254
Rio Salado College;AZ;4248;37756327.001;9346;166;-111.974354;33.413592
Roberto-Venn School of Luthiery;AZ;;544873.003;33;;-112.047076;33.410024
Hair Academy of Safford;AZ;;1125498.003;17;;-109.727248;32.834978
Scottsdale Community College;AZ;4248;32298292.001;10074;274;-111.887308;33.509531
South Mountain Community College;AZ;4248;13176915.321;3091;124;-112.030256;33.382544
Southwestern College;AZ;7500;2676302.002;258;26;-112.026037;33.596721
Tucson College;AZ;;1360323.003;223;;-110.883209;32.22176
Universal Technical Institute of Arizona Inc;AZ;;39281079.003;3349;;-112.289712;33.453494
Western International University;AZ;6690;7780121.003;1499;255;-112.116846;33.570542
Yavapai College;AZ;5806;32166941.001;6772;312;-112.457119;34.545361
University of Arkansas at Little Rock;AR;6240;106410409.001;;;-92.341778;34.72685
University of Arkansas for Medical Sciences;AR;6360;479583011.001;1861;7122;-92.320992;34.75153
Arkadelphia Beauty College;AR;;202476.003;23;;-93.08187;34.12268
Arkansas Baptist College;AR;2200;2218045.582;157;68;-92.289393;34.735262
Arkansas Beauty School;AR;;154549.003;27;;-92.334962;34.668785
ARKANSAS BEAUTY SCHOOL;AR;;;3;;;-93.135284;35.278587
Lyon College;AR;10272;17207435.002;462;178;-91.628158;35.77897
Arkansas College of Barbering and Hair Design;AR;;269950.003;49;;-92.266583;34.754023
Arthur's Beauty College Inc-Fort Smith;AR;;319516.003;50;;-94.410982;35.380232
University of Arkansas Main Campus;AR;7784;349780486.001;15167;4199;-94.17569;36.0671
University of Arkansas at Pine Bluff;AR;4760;44415776.001;3040;628;-92.019062;34.242231
Arkansas State University-Beebe;AR;2280;18387298.001;3186;370;-91.894579;35.070224
Arkansas State University-Main Campus;AR;6024;102284608.001;10461;1583;-90.680478;35.842779
Arkansas Tech University;AR;4704;41211512.001;4840;565;-93.134649;35.293505
University of Arkansas at Monticello;AR;4860;20929013.001;2254;303;-91.80068;33.59223
Arthur's Beauty College Inc;AR;;255579.003;46;;-92.103665;34.891119
Baptist Health Schools of Nursing and Allied Health;AR;7990;1394829.002;548;;-92.40547;34.712269
Bee Jays Academy;AR;;246288.003;26;;-92.405875;34.769604
Black River Technical College;AR;4056;9104817.001;1243;84;-90.913157;36.237882
University of Central Arkansas;AR;5422;80570721.001;8739;1097;-92.454235;35.079315
Central Baptist College;AR;5424;3102356.002;321;55;-92.509599;35.089094
Cossatot Community College of the University of Arkansas;AR;3600;5690174.001;819;174;-94.366883;34.044332
Crowley's Ridge College;AR;4470;1378462.002;168;40;-90.58468;36.066294
Crowleys Ridge Technical Institute;AR;900;3972651.001;394;;-90.77586;35.02685
De Luxe Beauty School;AR;;320099.003;25;;-92.018492;34.203384
East Arkansas Community College;AR;1140;8023149.001;1176;163;-90.775976;35.028127
Eastern College of Health Vocations;AR;;6151110.003;488;;-92.341312;34.751221
Eaton Beauty Stylist College Inc;AR;;52227.003;13;;-92.22215;34.789458
National Park Community College;AR;2760;10377586.001;2192;181;-93.119307;34.513294
University of Arkansas Community College-Batesville;AR;1920;5822113.001;994;114;-91.602593;35.791214
Harding University;AR;7755;71789135.002;4150;736;-91.728772;35.249646
Henderson State University;AR;4560;30851983.001;3500;537;-93.059794;34.125583
Hendrix College;AR;11440;34253552.002;1147;257;-92.444187;35.100058
Hot Springs Beauty College;AR;;874258.003;51;;-93.038379;34.496247
Jefferson School of Nursing;AR;1663;372376.002;124;;-92.018188;34.189017
John Brown University;AR;10232;33067399.002;1517;354;-94.557506;36.187187
Lees School of Cosmetology;AR;;361968.003;32;;-92.296459;34.782806
Career Academy of Hair Design;AR;;201258.003;43;;-94.132458;36.167258
Marsha Kay Beauty College;AR;;42012.003;9;;-92.386184;36.344709
