instname,state,tuition,revenue,control,total_enrollment,all_employees,LONGITUD,LATITUDE
Community College of the Air Force,Alabama,0,,1,,,-86.244501,32.404904
Alabama A & M University,Alabama,3864,78209196,5497,918,-86.57352,34.78422,
University of Alabama at Birmingham,Alabama,5460,1222806865,15098,13284,-86.80446,33.50096,
Southern Christian University,Alabama,5520,2300986.002,293,29,-86.171548,32.365021,
University of Alabama in Huntsville,Alabama,4642,97261294,6874,1364,-86.643936,34.723896,
Alabama State University,Alabama,5040,63235190.76,5664,987,-86.296158,32.36623,
University of Alabama System Office,Alabama,,7823141.001,,,-87.560429,33.213047,
The University of Alabama,Alabama,7722,341988071,18744,5278,-87.54234,33.208811,
Central Alabama Community College,Alabama,3000,11282760,1612,238,-85.947875,32.924383,
Athens State University,Alabama,4672,15770348,2790,264,-86.967621,34.805512,
Auburn University-Montgomery,Alabama,8850,50497797,5354,784,-86.17771,32.36839,
Auburn University Main Campus,Alabama,8685,461333195,22120,6583,-85.486107,32.603383,
Birmingham Southern College,Alabama,15170,45162630,1528,411,-86.850359,33.517202,
Chattahoochee Valley Community College,Alabama,3744,6670730.001,1735,123,-85.028995,32.428862,
Concordia College,Alabama,5200,5227581.002,525,90,-87.0177,32.4254,
South University-Montgomery,Alabama,7185,1813524.003,208,44,-86.217741,32.342503,
Enterprise-Ozark Community College,Alabama,2400,8697138.061,1644,225,-85.835009,31.299651,
James H Faulkner State Community College,Alabama,2496,14464706,2832,282,-87.776669,30.852589,
Faulkner University,Alabama,7500,23759246,2645,195,-86.216358,32.381918,
Gadsden State Community College,Alabama,3072,32625008,5695,650,-85.98997,33.994979,
George C Wallace Community College-Dothan,Alabama,3000,25406258,3533,418,-85.46796,31.31592,
George C Wallace State Community College-Hanceville,Alabama,1920,20483286,4747,457,-86.778259,34.072755,
George C Wallace State Community College-Selma,Alabama,2400,10272864,1461,178,-87.014531,32.444291,
Herzing College,Alabama,6200,4314213.003,536,42,-86.832344,33.468136,
Huntingdon College,Alabama,10500,14010440,705,154,-86.285285,32.352002,
Heritage Christian University,Alabama,4296,2809767.002,146,47,-87.660709,34.860679,
J F Drake State Technical College,Alabama,2304,5520470.001,611,53,-86.572561,34.771174,
J F Ingram State Technical College,Alabama,1440,8273481.001,754,,-86.381859,32.576179,
Jacksonville State University,Alabama,4880,56306719,7928,838,-85.763653,33.824096,
Jefferson Davis Community College,Alabama,2400,8713298.001,1159,147,-87.08423,31.10199,
Jefferson State Community College,Alabama,3000,25363687,5408,483,-86.709463,33.651085,
John C Calhoun State Community College,Alabama,2496,32642407,7598,778,-86.94908,34.64771,
Judson College,Alabama,7100,4909417.002,308,87,-87.316603,32.629662,
Lawson State Community College-Birmingham Campus,Alabama,2304,22073090,2895,451,-86.888372,33.449443,
University of West Alabama,Alabama,4608,18646790,1980,274,-88.18725,32.5843,
Lurleen B Wallace Community College,Alabama,3328,5219601.001,834,111,-86.451742,31.321861,
Marion Military Institute,Alabama,9630,5911747.002,143,93,-87.318077,32.622556,
Miles College,Alabama,4280,18464249,1453,171,-86.90718,33.48072,
University of Mobile,Alabama,7710,19221164,1978,233,-88.128739,30.793454,
University of Montevallo,Alabama,6300,31776555,3147,412,-86.86473,33.10442,
Northwest Shoals Community College-Muscle Shoals,Alabama,2880,19256789,3394,457,-87.678939,34.730351,
University of North Alabama,Alabama,4464,42888742,5805,664,-87.67976,34.8072,
Northeast Alabama Community College,Alabama,2112,6564492.001,1576,118,-85.849296,34.495048,
Oakwood College,Alabama,8400,29767132,1736,410,-86.661596,34.756663,
Alabama Southern Community College,Alabama,3072,11114712.87,1240,158,-87.323941,31.48897,
Prince Institute of Professional Studies Inc,Alabama,4530,578115.003,103,17,-86.161564,32.38201,
Reid State Technical College,Alabama,2400,5591943.001,681,93,-86.965527,31.45764,
Bishop State Community College,Alabama,2496,24212334,3393,373,-88.056355,30.694054,
Samford University,Alabama,10300,136428943,4494,883,-86.790142,33.463236,
SELMA UNIVERSITY,Alabama,,,2,,,-87.031607,32.419785
Shelton State Community College,Alabama,2304,26345356,4385,363,-87.557337,33.119706,
Snead State Community College,Alabama,2816,7240025.001,1676,163,-86.168184,34.200609,
University of South Alabama,Alabama,5340,445590633,11185,5344,-88.174087,30.696578,
Spring Hill College,Alabama,14390,22620072,1484,304,-88.148412,30.685751,
Southeastern Bible College,Alabama,5740,2523851.002,181,32,-86.764053,33.364978,
Stillman College,Alabama,5570,26286459,1458,,-87.582864,33.200716,
Talladega College,Alabama,5666,8758008.002,455,183,-86.112036,33.433069,
H Councill Trenholm State Technical College,Alabama,2560,8816050.001,680,142,-86.344604,32.34991,
Troy University,Alabama,5320,101757373,16876,1512,-85.95035,31.7969,
Tuskegee University,Alabama,9500,89241233,3009,790,-85.71794,32.41666,
United States Sports Academy,Alabama,,3931196.142,232,73,-87.91202,30.64004,
Bevill State Community College,Alabama,3200,25753896.66,3554,418,-87.265034,33.835785,
ALASKA BIBLE COLLEGE,Alaska,4650,1642931.002,37,1,-145.52624,62.11296,
University of Alaska Fairbanks,Alaska,7155,376624353,24942,4684,-147.82475,64.857053,
Alaska Pacific University,Alaska,11952,10887642.19,556,178,-149.814307,61.189535,
Alaska Vocational Technical Center,Alaska,,5501561.001,201,,-149.443826,60.110502,
Charter College,Alaska,6974,4702079.003,433,61,-149.83999,61.195436,
Prince William Sound Community College,Alaska,1920,3670694.001,745,67,-146.357096,61.133085,
Career Academy,Alaska,,1739784.003,131,,-149.855683,61.180849,
Everest College,Arizona,,105230.003,314,34,-112.113531,33.580955,
Collins College,Arizona,8640,16561671,1577,197,-111.98646,33.40334,
Artistic Beauty Colleges-Scottsdale,Arizona,,4194322.003,533,,-111.978446,33.602489,
Thunderbird-The Garvin School of International Management,Arizona,,66055218,1541,400,-112.182574,33.622947,
American Indian College of the Assemblies of God Inc,Arizona,3750,1402398.002,76,36,-112.091236,33.577578,
American Institute of Technology,Arizona,,2183779.003,126,,-112.175284,33.442432,
Apollo College-Phoenix Inc,Arizona,,7563556.003,858,88,-112.116921,33.561821,
College America,Arizona,,217555.003,35,,-111.606672,35.209765,
Arizona Academy of Beauty Inc,Arizona,,456491.003,55,,-110.871281,32.236258,
International Institute of the Americas,Arizona,6895,17269055,854,258,-112.112382,33.56756,
Arizona State University at the Tempe Campus,Arizona,9340,634253008,44215,9434,-111.932128,33.417515,
Arizona Western College,Arizona,4848,25352291,6321,820,-114.49618,32.69022,
University of Arizona,Arizona,7152,904645001,34326,13191,-110.950875,32.232112,
The Art Center Design College-Tucson,Arizona,10000,6569275.003,636,22,-110.926828,32.252507,
Toni & Guy Hairdressing Academy,Arizona,,702269.003,74,,-111.925323,33.50225,
Central Arizona College,Arizona,5488,25795016,4560,665,-111.652297,32.95582,
Chaparral College,Arizona,6375,4883813.003,383,65,-110.895053,32.236286,
Charles of Italy Beauty College,Arizona,,186686.003,59,,-114.328115,34.475229,
Cochise College,Arizona,3792,24166598.38,4000,676,-109.668765,31.361359,
Desert Institute of the Healing Arts,Arizona,,1417396.003,128,,-110.856548,32.220975,
DeVry University-Arizona,Arizona,7778,40421379,3706,343,-112.104979,33.567573,
Earls Academy of Beauty,Arizona,,529068.003,92,,-111.859667,33.376506,
Eastern Arizona College,Arizona,4852,20834953,6230,515,-109.763017,32.84242,
FRANK LLOYD WRIGHT SCHOOL OF ARCHITECTURE,Arizona,,,2,,,-111.846477,33.60715
Glendale Community College,Arizona,4248,47034236,19131,402,-112.188466,33.567524,
Grand Canyon University,Arizona,7680,,3,2991,232,-112.129876,33.509446
High-Tech Institute-Phoenix,Arizona,10380,33780985,2030,184,-112.050333,33.4947,
International Academy of Hair Design,Arizona,,273654.003,79,,-111.841802,33.354361,
Lamson College,Arizona,,1349752.003,137,30,-111.95313,33.349029,
Long Technical College,Arizona,15520,1794648.163,221,34,-112.117258,33.609028,
Maricopa Beauty College,Arizona,,329297.003,51,,-112.355232,33.435281,
Maricopa Community College System Office,Arizona,,56456584,,,-111.97543,33.413592,
Gateway Community College,Arizona,4248,27196384,8801,176,-111.995403,33.449261,
Mesa Community College,Arizona,4248,68298137,22295,448,-111.871413,33.392945,
ITT Technical Institute,Arizona,8073,2895385.533,192,29,-110.997501,32.297261,
ITT Technical Institute,Arizona,8073,4242618.003,369,42,-111.969736,33.380254,
Mohave Community College,Arizona,3836,15862453,5918,496,-114.022914,35.268508,
Universal Technical Institute-Motorcycle Mechanics,Arizona,,10871000,740,,-112.121476,33.683844,
Dine College,Arizona,600,18801185,1881,423,-109.21009,36.301684,
Northern Arizona University,Arizona,8304,235434777,19981,3396,-111.65582,35.19398,
Northland Pioneer College,Arizona,4640,16615009,3886,428,-110.132719,34.936766,
Phoenix College,Arizona,4248,36110637.6,10984,308,-112.088334,33.480476,
Phoenix Therapeutic Massage College,Arizona,,721326.003,109,,-111.908192,33.46588,
