instname,state,tuition,revenue,control,total_enrollment,all_employees,LONGITUD,LATITUDE
Columbia Southern University,Alabama,,33519300,3,28360,,-87.652505,30.330964
Capps College-Foley,Alabama,,138377,3,,,-87.683555,30.416512
United States Sports Academy,Alabama,,3931196.14,2,232,73,-87.91202,30.64004
Capps College,Alabama,,1687398,3,242,,-88.135773,30.661543
ITT Technical Institute-Mobile,Alabama,15300,281346,3,30,21,-88.11953,30.667183
Blue Cliff Career College,Alabama,,933749,3,102,,-88.114335,30.66942
Remington College-Mobile Campus,Alabama,8500,5984815,3,588,63,-88.144525,30.672368
Fortis College School of Cosmetology,Alabama,,938790,3,225,15,-88.148648,30.672607
Virginia College at Mobile,Alabama,7000,1685553,3,192,,-88.120853,30.676419
Spring Hill College,Alabama,14390,22620072,2,1484,304,-88.148412,30.685751
Cardiac and Vascular Institute of Ultrasound,Alabama,14380,756298,3,49,6,-88.0805,30.69163
Bishop State Community College,Alabama,2496,24212334,1,3393,373,-88.056355,30.694054
University of South Alabama,Alabama,5340,445590633,1,11185,5344,-88.174087,30.696578
University of Mobile,Alabama,7710,19221164,2,1978,233,-88.128739,30.793454
James H Faulkner State Community College,Alabama,2496,14464706,1,2832,282,-87.776669,30.852589
Jefferson Davis Community College,Alabama,2400,8713298,1,1159,147,-87.08423,31.10199
Fortis College,Alabama,,1232676,3,69,14,-85.374089,31.24333
Enterprise-Ozark Community College,Alabama,2400,8697138.06,1,1644,225,-85.835009,31.299651
George C Wallace Community College-Dothan,Alabama,3000,25406258,1,3533,418,-85.46796,31.31592
Lurleen B Wallace Community College,Alabama,3328,5219601,1,834,111,-86.451742,31.321861
Reid State Technical College,Alabama,2400,5591943,1,681,93,-86.965527,31.45764
Alabama Southern Community College,Alabama,3072,11114712.87,1,1240,158,-87.323941,31.48897
Troy University,Alabama,5320,101757373,1,16876,1512,-85.95035,31.7969
South University-Montgomery,Alabama,7185,1813524,3,208,44,-86.217741,32.342503
H Councill Trenholm State Technical College,Alabama,2560,8816050,1,680,142,-86.344604,32.34991
Huntingdon College,Alabama,10500,14010440,2,705,154,-86.285285,32.352002
Southern Christian University,Alabama,5520,2300986,2,293,29,-86.171548,32.365021
Alabama State University,Alabama,5040,63235190.76,1,5664,987,-86.296158,32.36623
Auburn University-Montgomery,Alabama,8850,50497797,1,5354,784,-86.17771,32.36839
Faulkner University,Alabama,7500,23759246,2,2645,195,-86.216358,32.381918
Prince Institute of Professional Studies Inc,Alabama,4530,578115,3,103,17,-86.161564,32.38201
Virginia College-Montgomery,Alabama,10872,4311075,3,656,,-86.19346,32.382101
Fortis College,Alabama,,2834113,3,486,35,-86.251384,32.384136
Community College of the Air Force,Alabama,0,,1,,,-86.244501,32.404904
Tuskegee University,Alabama,9500,89241233,2,3009,790,-85.71794,32.41666
SELMA UNIVERSITY,Alabama,,,2,,,-87.031607,32.419785
Concordia College,Alabama,5200,5227581,2,525,90,-87.0177,32.4254
Chattahoochee Valley Community College,Alabama,3744,6670730,1,1735,123,-85.028995,32.428862
George C Wallace State Community College-Selma,Alabama,2400,10272864,1,1461,178,-87.014531,32.444291
J F Ingram State Technical College,Alabama,1440,8273481,1,754,,-86.381859,32.576179
University of West Alabama,Alabama,4608,18646790,1,1980,274,-88.18725,32.5843
Auburn University Main Campus,Alabama,8685,461333195,1,22120,6583,-85.486107,32.603383
Marion Military Institute,Alabama,9630,5911747,2,143,93,-87.318077,32.622556
Judson College,Alabama,7100,4909417,2,308,87,-87.316603,32.629662
Central Alabama Community College,Alabama,3000,11282760,1,1612,238,-85.947875,32.924383
University of Montevallo,Alabama,6300,31776555,1,3147,412,-86.86473,33.10442
Shelton State Community College,Alabama,2304,26345356,1,4385,363,-87.557337,33.119706
Stillman College,Alabama,5570,26286459,2,1458,,-87.582864,33.200716
The University of Alabama,Alabama,7722,341988071,1,18744,5278,-87.54234,33.208811
University of Alabama System Office,Alabama,,7823141,1,,,-87.560429,33.213047
ITT Technical Institute,Alabama,8073,3938860,3,314,35,-86.91423,33.338185
Southeastern Bible College,Alabama,5740,2523851,2,181,32,-86.764053,33.364978
Xcell Academy-A Paul Mitchell Partner School,Alabama,,1421879,3,112,15,-86.806711,33.388054
University of Phoenix-Birmingham Campus,Alabama,10830,643080,3,23,,-86.687599,33.417176
Talladega College,Alabama,5666,8758008,2,455,183,-86.112036,33.433069
Lawson State Community College-Birmingham Campus,Alabama,2304,22073090,1,2895,451,-86.888372,33.449443
Samford University,Alabama,10300,136428943,2,4494,883,-86.790142,33.463236
Herzing College,Alabama,6200,4314213,3,536,42,-86.832344,33.468136
Virginia College-Birmingham,Alabama,6289,13190520,3,973,116,-86.817687,33.46999
Southeastern School of Cosmetology,Alabama,,783386,2,103,,-86.841604,33.480489
Miles College,Alabama,4280,18464249,2,1453,171,-86.90718,33.48072
University of Alabama at Birmingham,Alabama,5460,1222806865,1,15098,13284,-86.80446,33.50096
Birmingham Southern College,Alabama,15170,45162630,2,1528,411,-86.850359,33.517202
Alabama State College of Barber Styling,Alabama,,166000,3,27,,-86.811147,33.644296
Jefferson State Community College,Alabama,3000,25363687,1,5408,483,-86.709463,33.651085
Jacksonville State University,Alabama,4880,56306719,1,7928,838,-85.763653,33.824096
Bevill State Community College,Alabama,3200,25753896.66,1,3554,418,-87.265034,33.835785
Gadsden State Community College,Alabama,3072,32625008,1,5695,650,-85.98997,33.994979
George C Wallace State Community College-Hanceville,Alabama,1920,20483286,1,4747,457,-86.778259,34.072755
Snead State Community College,Alabama,2816,7240025,1,1676,163,-86.168184,34.200609
Northeast Alabama Community College,Alabama,2112,6564492,1,1576,118,-85.849296,34.495048
John C Calhoun State Community College,Alabama,2496,32642407,1,7598,778,-86.94908,34.64771
ITT Technical Institute_adison,Alabama,16056,799351,3,115,30,-86.761253,34.672976
SCIENTIFIC BEAUTY ACADEMY,Alabama,,,3,,,-86.751808,34.681422
Virginia College-Huntsville,Alabama,6773,4634191,3,434,47,-86.603202,34.711484
