groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
2403,103644,103644,1,Everest College-Phoenix,,Phoenix,Arizona,85021-1641,4,3,2,2,4895.249901,5389,102532865,102532865,102532865,,6283,95,5750,87,4504,18,0,158,12,0,1129,6132,92,9799,0,15024,15024,,,,76968611,40852471,4490062,,,,,,,,437,37,,,,307,448,,,,,,474,11,0.44,1016,,4623,,,4623,693,,,693,5316,,,5316,158,56,1271,771,2404,36,609,11,90,477,769,1089,807,534,640,211,6,,0,,,,,,,,,,,,90,477,769,1089,807,534,640,211,6,,0,15,59,108,148,150,84,89,36,3,,1,,,,,,,,,,,,15,59,108,148,150,84,89,36,3,,1,1304,342,962,924,221,703,924,221,703,1304,924,473,522,,,,,,,,,,,22,26,0.449415259,0.531127124,126,26080.81818,1.940656798,0.458333333,22,-112.113531,33.580955,
-103723,103723,103723,0,Collins College,,Phoenix,Arizona,85040,4,3,2,2,1072.642834,1832,23298938,27552902,23298938,0.003496511,259,97,184,69,6937,5,2,8798,37,14,1127,253,94,10820,2888,31175,31175,,,,25638333,45162161,10471181,,,,,,,,159,244,,,,,,,,,,,403,126,0.329842932,293,1116,1009,,,1009,162,,,162,1171,,,1171,45,23,66,165,471,35,366,0,1,174,284,255,153,58,23,13,6,,42,,,,,,,,,,,,1,174,284,255,153,58,23,13,6,,42,0,11,33,46,38,16,4,6,3,,5,,,,,,,,,,,,0,11,33,46,38,16,4,6,3,,5,,,,,,,,,,,,,,,,,,,,,,,,32,61,2.983285674,5.686888316,162,40315.40625,9.229540054,0.344086022,32,-111.98646,33.40334,
2404,103732,103732,1,Empire Beauty School-Paradise Valley,,Phoenix,Arizona,85032,4,3,2,2,588.690978,1014,8803153,10649895,8803153,0.002756399,1027,98,893,85,8274,2,0,10679,253,24,110,880,84,13291,,,,,,,8558837,,,,,,,,,,,,,,,50,442,,,,,,,,,,,493,,,493,241,,,241,734,,,734,16,10,68,244,323,13,60,0,4,92,111,81,92,48,31,25,7,0,2,,,,,,,,,,,,4,92,111,81,92,48,31,25,7,0,2,3,32,56,43,52,26,13,13,1,1,1,,,,,,,,,,,,3,32,56,43,52,26,13,13,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,31,15,5.265920688,2.548026139,88,,11.55105183,0.673913043,,-111.978446,33.602489,
-103778,103778,103778,0,Thunderbird School of Global Management,,Glendale,Arizona,85306-6000,4,2,2,2,922.212126,1195,65675128,70827265,74391494,0.092788734,,,,,,,,,,,,,,,,,,1955,38970,38970,63365849,85556341,47858572,37697769,6335431,,,37697769,,16710983,,,689,,,26,,,22,0,,0,689,,,,4,,683,683,683,4,622,622,626,4,1305,1305,1309,1,36,6,29,260,,275,702,,,,,,,,,,,,,,2,122,389,133,26,11,0,,0,,,2,122,389,133,26,11,0,,0,,,,2,2,,,,,,,,,0,21,202,173,124,89,2,,11,,,0,23,204,173,124,89,2,,11,,,,,,,,,,,,,,,,,,,,,,,,46,32,4.988006414,3.469917506,279,92785.47826,24.39785746,0.58974359,46,-112.182574,33.622947,
-103787,103787,103787,0,American Indian College of the Assemblies of God Inc,American Indian College of the Assemblies of God Inc,Phoenix,Arizona,85021,4,2,2,2,80.535713,78,631225,1716011,1284070,0.014067884,14,100,13,93,4708,1,7,2000,7,50,1507,11,79,4409,714,7260,7260,,,,2535826,2136866,1601784,535082,224224,,,535082,,350830,9,6,,,,,,,,,,,15,7,0.636363636,23,82,77,,,77,9,,,9,86,,,86,44,15,1,13,13,,0,0,,4,11,27,8,7,6,10,2,,2,,,,,,,,,,,,,4,11,27,8,7,6,10,2,,2,,1,2,1,0,2,0,1,2,,0,,,,,,,,,,,,,1,2,1,0,2,0,1,2,,0,,,,,,,,,,,,,,,,,,,,,,,,6,11,7.450110984,13.6585368,42,30652.16667,27.31707361,0.352941176,6,-112.091236,33.577578,
-103811,103811,103811,0,American Institute of Technology,,Phoenix,Arizona,85043-4729,4,3,2,2,371,932,9370241,11938663,9463497,,696,100,519,75,4316,6,1,1610,0,0,,693,100,6184,,,,,,,8877295,,,,,,,,,,,,,,,822,,,,,,,,,,,,371,,,371,,,,,371,,,371,2,3,74,55,200,0,37,0,,,4,34,50,36,51,103,81,12,,,,,,,,,,,,,,,4,34,50,36,51,103,81,12,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,207,186,21,133,119,14,133,119,14,207,133,133,0,,,,,,,,,,,30,,8.086253369,,113,,24.52830189,1,,-112.175284,33.442432,
2405,103893,103893,1,Apollo College-Phoenix Inc,,Phoenix,Arizona,85051-4063,4,3,2,2,5844,988,11829096,12379397,11833082,,1347,72,1208,65,3477,0,0,,0,0,,1139,61,5829,,,,,,,7488135,128176874,34393005,,,,,,,,9,,,,,,785,,,,,,9,,,,,5844,,,5844,,,,,5844,,,5844,419,183,376,2056,1838,56,915,1,32,779,922,1060,1183,709,475,476,190,16,2,,,,,,,,,,,,32,779,922,1060,1183,709,475,476,190,16,2,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,5000,1020,3980,4676,996,3680,4676,996,3680,5000,4676,4676,0,,,,,,,,,,,126,69,2.156057495,1.180698152,412,43509.16667,5.698151951,0.646153846,126,-112.116921,33.561821,
-103945,103945,103945,0,College America,,Flagstaff,Arizona,86004,4,3,2,2,279,349,4199967,4113507,4199967,0.020585876,320,97,270,82,4558,0,0,,15,5,4666,278,84,7949,,,,,,,2995961,1790831,1102720,,,,,,,,75,0,,,,,,,,,,,75,,,,,279,,,279,,,,,279,,,279,167,1,2,19,47,2,41,0,2,21,39,57,69,31,26,26,8,,,,,,,,,,,,,,2,21,39,57,69,31,26,26,8,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,4,13,1.433691756,4.659498208,37,40910,5.734767025,0.235294118,4,-111.606672,35.209765,
-103954,103954,103954,0,Arizona Academy of Beauty Inc,,Tucson,Arizona,85712,4,3,2,2,82,116,599477,683242,601539,0.045673145,20,95,18,86,3109,0,0,,5,24,2468,15,71,7697,,,,,,,598526,,,,,,,,,,,,,,,5,35,,,,,,,,,,,82,,,82,,,,,82,,,82,0,0,10,35,34,,1,2,19,18,5,9,19,7,2,3,,,,,,,,,,,,,,,19,18,5,9,19,7,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,4.87804878,1.219512195,8,,7.317073171,0.8,,-110.871281,32.236258,
2406,104090,104090,1,Brookline College,,Phoenix,Arizona,85021,4,3,2,2,2713,6609,28807067,28622156,28807067,0.007392214,4426,98,4207,93,5147,143,3,7724,103,2,4723,4261,95,9264,,,,,,,27376387,18056961,13702719,,,,,,,,184,23,,,,1131,,,,,,,207,6,0.214285714,,,2713,,,2713,,,,,2713,,,2713,224,19,486,1160,718,,106,0,11,370,447,469,567,349,207,217,69,5,2,,,,,,,,,,,,11,370,447,469,567,349,207,217,69,5,2,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,104,,3.833394766,,224,37023.72115,8.256542573,1,104,-112.112382,33.56756,
-104151,104151,104151,0,Arizona State University,Arizona State University at the Tempe Campus,Tempe,Arizona,85287,4,1,2,2,59849.73136,61238,711138000,1489812000,1145409000,0.24231865,6856,83,2632,32,4643,183,2,1954,5917,72,7773,3378,41,5357,847,5997,18582,847,7128,20322,1522401000,2306883000,1270088000,1036795000,96873000,,,1036795000,,,,11810,3914,490,166,,,,,,,,16380,4039,0.590929042,15042,54277,45597,9029,9029,54626,8680,4758,4758,13438,54277,13787,13787,68064,1484,3935,3257,9924,42728,,3187,3549,790,15395,15120,8443,3539,1094,554,481,164,8,9,1,1,157,2480,3383,1415,737,587,262,6,0,791,15396,15277,10923,6922,2509,1291,1068,426,14,9,142,1314,1049,2221,1769,879,452,596,245,12,1,0,0,14,476,1307,969,655,784,517,35,1,142,1314,1063,2697,3076,1848,1107,1380,762,47,2,27089,12955,14134,24473,11530,12943,9707,4618,5089,27089,24473,8458,1249,20,26,20,26,20,27,480,610,470,600,2520,376,4.210545215,5.558922195,12084,84492.71151,13.50047831,0.430990251,2371,-111.932128,33.417515,
-104160,104160,104160,0,Arizona Western College,Arizona Western College,Yuma,Arizona,85365-8834,4,1,2,2,4455.434944,5206,10839678,56818100,46464409,0.120557271,657,82,579,72,5083,21,3,614,121,15,3899,73,9,2858,560,1440,6000,,,,64201540,143785730,88751785,55033945,543607,,,55033945,,,549,,,,,334,372,,,,,,549,90,0.163339383,1879,7984,2672,,,2672,5312,,,5312,7984,,,7984,123,148,226,4480,1948,0,264,795,60,1240,586,269,238,118,66,60,31,2,2,,,,,,,,,,,,60,1240,586,269,238,118,66,60,31,2,2,506,843,819,775,752,472,381,465,242,44,13,,,,,,,,,,,,506,843,819,775,752,472,381,465,242,44,13,,,,,,,,,,,,,,,,,,,,,,,,115,310,2.581117252,6.957794332,959,50928.66972,8.95535464,0.270588235,109,-114.49618,32.69022,
