groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-128498,128498,128498,0,Albertus Magnus College,Albertus Magnus College,New Haven,Connecticut,06511-1189,9,2,2,2,1872.770639,1841,23610544,28717241,26665019,0.115443761,153,92,79,47,5103,101,60,6192,119,71,8029,140,84,8164,470,22656,22656,468,16365,16365,25636781,42884763,6601614,36283149,1293883,,,36283149,,16098523,135,385,199,,,7,,,16,,,,719,100,0.520833333,277,1613,1505,273,273,1778,108,137,137,245,1613,410,410,2023,5,22,585,231,999,,174,7,10,231,183,151,214,177,172,272,91,3,1,,,0,20,78,49,46,50,29,0,1,10,231,183,171,292,226,218,322,120,3,2,0,0,4,9,21,17,9,22,26,0,0,,,2,14,28,31,9,33,18,2,0,0,0,6,23,49,48,18,55,44,2,0,593,208,385,499,173,326,136,49,87,593,499,136,0,,,,,,,415,435,420,455,36,168,1.922285583,8.970666055,338,51827.61111,7.635745511,0.176470588,36,-72.921188,41.331263,
-128540,128540,128540,0,Paul Mitchell the School CT,,Danbury,Connecticut,6810,9,3,2,2,90.92645,112,998771,1226670,998771,0.001051292,32,76,21,50,4790,0,0,,20,48,53,32,76,5557,,,,,,,1176604,,,,,,,,,,,,,,,,66,,,,,,,,,,,81,,,81,25,,,25,106,,,106,0,2,2,10,91,,0,1,7,35,16,10,5,4,4,0,,,,,,,,,,,,,,,7,35,16,10,5,4,4,0,,,,0,6,2,4,7,2,3,1,,,,,,,,,,,,,,,0,6,2,4,7,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,4.39915998,2.19957999,15,,12.09768995,0.666666667,,-73.441721,41.387577,
-128577,128577,128577,0,Asnuntuck Community College,Asnuntuck Community College,Enfield,Connecticut,6082,9,1,2,2,1073.989385,1100,5277437,14902910,14768472,0.137453654,139,52,97,36,4407,18,7,1902,43,16,2598,17,6,3721,368,2832,8496,,,,15701652,11293438,3535414,7758024,3437392,,,7758024,,,156,,,,,326,,,,,,,156,56,0.307692308,728,1808,703,,,703,1105,,,1105,1808,,,1808,3,61,153,99,1378,,113,1,27,264,155,54,54,40,25,46,38,0,,,,,,,,,,,,,27,264,155,54,54,40,25,46,38,0,,109,86,127,150,168,112,75,151,98,29,,,,,,,,,,,,,109,86,127,150,168,112,75,151,98,29,,,,,,,,,,,,,,,,,,,,,,,,,18,120,1.675994219,11.17329479,197,75616.16667,6.797087664,0.130434783,18,-72.570889,41.99988,
-128586,128586,128586,0,Bais Binyomin Academy,,Stamford,Connecticut,6901,9,2,2,2,59,59,882000,1636703,1956835,0.37155102,19,95,0,0,,0,0,,19,95,4571,0,0,,100,5250,5250,,,,1609213,873339,288049,585290,100000,,,585290,,,,0,,,,,,7,,,,,0,2,0.25,20,59,59,,,59,,,,,59,,,59,0,0,0,0,58,0,0,1,10,37,12,,,,,,,,,,,,,,,,,,,,10,37,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,25,25,0,25,25,0,25,25,,25,25,25,0,,,,,,,,,,,5,3,8.474576271,5.084745763,13,19150.4,15.25423729,0.625,5,-73.534404,41.059768,
2454,128674,128674,1,Branford Hall Career Institute-Branford Campus,,Branford,Connecticut,06405-4103,9,3,2,2,3485.542814,4860,30811496,31072635,30811496,,6401,87,4740,64,4274,175,2,412,0,0,,5504,75,6455,,,,,,,35000507,,,,,,,,,,,,,,,186,2429,,,,,,,,,,,2857,,,2857,1583,,,1583,4440,,,4440,22,69,822,877,2293,51,306,0,3,266,439,446,474,318,259,422,224,5,1,,,,,,,,,,,,3,266,439,446,474,318,259,422,224,5,1,1,50,181,262,368,210,138,262,106,3,2,,,,,,,,,,,,1,50,181,262,368,210,138,262,106,3,2,,,,,,,,,,,,,,,,,,,,,,,,43,261,1.233667245,7.488073277,417,,3.614931927,0.141447368,,-72.848196,41.279282,
-128683,128683,128683,0,Briarwood College,,Southington,Connecticut,06489-1057,9,3,2,2,528.857084,529,8550199,8660927,8550199,,176,92,88,46,4656,99,52,2782,130,68,2169,148,77,8796,550,17740,17740,,,,11155332,388368000,169732000,,,,,,,,98,4,,,,,11,,,,,,102,,,336,793,367,,,367,412,,,412,779,,,779,5,11,150,101,461,0,51,0,0,173,84,52,19,4,9,5,5,,16,,,,,,,,,,,,0,173,84,52,19,4,9,5,5,,16,2,55,46,64,82,53,29,67,14,,0,,,,,,,,,,,,2,55,46,64,82,53,29,67,14,,0,,,,,,,,,,,,,,,,,,,,,,,,29,95,5.483523031,17.9632651,208,37827.41379,15.12696008,0.233870968,29,-72.921731,41.631097,
-128726,128726,128726,0,Bridgeport Hospital School of Nursing,,Bridgeport,Connecticut,6610,9,2,2,2,141.95587,148,,,,,85,72,55,47,1745,3,3,1500,20,17,750,85,72,7866,900,8619,8619,,,,,,,,,,,,,,,,,,,11,87,,,,,,,,,,166,136,,,136,15,,,15,151,,,151,0,2,24,18,107,,0,0,,1,14,31,19,25,14,18,14,,,,,,,,,,,,,,,1,14,31,19,25,14,18,14,,,,0,1,4,3,2,0,2,3,,,,,,,,,,,,,,,0,1,4,3,2,0,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,25,9,17.61110689,6.33999848,37,,19.72443971,0.735294118,,-73.165441,41.188982,
-128744,128744,128744,0,University of Bridgeport,University of Bridgeport,Bridgeport,Connecticut,06604-5620,9,2,2,2,3833.131724,4115,85377000,83512000,89208000,0.20490296,420,98,248,58,6277,103,24,3910,418,97,13562,354,83,9801,2065,23400,23400,740,11520,11520,73803000,86330000,39918000,46412000,5070000,,,46412000,,13111000,60,353,979,0,76,15,,,,35,,35,1468,72,0.298755187,610,2248,1504,1531,1531,3035,744,1324,1324,2068,2248,2855,2855,5103,11,155,980,407,1634,,192,1724,62,608,344,277,101,41,26,37,8,,,,1,33,694,521,146,59,52,25,0,,62,609,377,971,622,187,85,89,33,0,,23,10,15,69,159,132,102,164,70,,,,0,4,281,482,175,110,178,90,4,,23,10,19,350,641,307,212,342,160,4,,8165,3094,5071,4510,1708,2802,440,172,268,8165,4510,436,4,,,,,,,410,500,400,490,125,368,3.261041076,13.74854917,952,67101.064,9.861388212,0.191717791,125,-73.190377,41.164191,
-128762,128762,128762,0,Butler Business School Inc,,Bridgeport,Connecticut,6604,9,3,2,2,296,490,2789023,2789023,2789023,,337,81,315,76,3422,2,0,6102,0,0,,271,65,4329,,,,,,,2580279,,,,,,,,,,,,,,,,112,,,,,,,,,,,296,,,296,,,,,296,,,296,0,2,127,112,23,,32,0,,35,55,70,66,28,16,21,3,,2,,,,,,,,,,,,,35,55,70,66,28,16,21,3,,2,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,8,12,2.702702703,4.054054054,41,,9.459459459,0.4,,-73.221326,41.176652,
-128771,128771,128771,0,Central Connecticut State University,Central Connecticut State University,New Britain,Connecticut,6050,9,1,2,2,9972.674006,10281,79607828,181631957,153294507,0.166377244,1001,78,296,23,4745,488,38,1846,631,49,2721,802,63,6195,3672,3742,12112,3606,4662,12988,198411623,347762635,98682379,249080256,40076349,,,249080256,,,,1759,596,,10,0,,,60,43,,43,2365,608,0.475743349,2507,9989,7859,564,564,8423,2130,1908,1908,4038,9989,2472,2472,12461,46,359,955,786,9106,,1026,183,192,2544,2749,1707,430,113,49,57,17,1,,,,13,199,174,79,32,44,23,0,,192,2544,2762,1906,604,192,81,101,40,1,,10,90,222,641,478,215,159,207,99,9,,,,4,232,609,319,218,313,186,27,,10,90,226,873,1087,534,377,520,285,36,,6791,3222,3569,3697,1796,1901,1288,662,626,6791,3697,1281,7,,,,,,,470,560,460,550,433,491,4.341864577,5.725645897,1694,76445.9746,9.57616783,0.4312749,433,-72.771321,41.692321,
