groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-132268,132268,132268,0,Wyotech-Daytona,,Ormond Beach,Florida,32174,12,3,2,2,765,1751,14357355,14357355,14357355,,973,94,715,69,4825,1,0,1500,67,6,3684,951,92,16220,,,,,,,13870179,,,,,,,,,,,,,,,,528,,,,,,,,,,,765,,,765,,,,,765,,,765,5,1,30,29,667,0,33,0,,60,176,122,169,83,47,66,28,,14,,,,,,,,,,,,,60,176,122,169,83,47,66,28,,14,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,485,472,13,261,255,6,261,255,6,485,261,261,0,,,,,,,,,,,29,,3.790849673,,79,,10.32679739,1,,-81.131652,29.346349,
-132338,132338,132338,0,The Art Institute of Fort Lauderdale Inc,,Fort Lauderdale,Florida,33316-3000,12,3,2,2,2356.071226,2771,57022362,60380722,57022362,0.049362775,311,91,237,70,6036,97,28,2195,211,62,1175,286,84,9789,100,21375,21375,,,,43211154,23044474,5409299,,,,,,,,270,321,,,,185,,,,,,,591,81,0.336099585,955,3155,1799,,,1799,1418,,,1418,3217,,,3217,6,68,655,1108,1066,,298,16,16,326,463,438,247,77,30,17,14,,171,,,,,,,,,,,,16,326,463,438,247,77,30,17,14,,171,11,95,172,325,337,140,92,91,22,,133,,,,,,,,,,,,11,95,172,325,337,140,92,91,22,,133,1409,557,852,532,252,280,503,239,264,1409,532,230,273,,,,,,,,,,,81,57,3.437926626,2.4192817,320,44619.24691,10.90798942,0.586956522,81,-80.164701,26.09989,
-132374,132374,132374,0,Atlantic Technical Center,,Coconut Creek,Florida,33063-3902,12,1,2,2,1226,1726,5394565,25282730,5394565,0.006479299,824,100,421,51,2877,402,49,1275,1,0,1500,0,0,,,,,,,,27302195,,,,,,,,,,,,,,,150,308,15,,,,,,500,0.42408821,,,1226,,,1226,,,,,1226,,,1226,11,34,545,259,357,,20,0,59,130,182,187,183,125,117,159,82,2,,,,,,,,,,,,,59,130,182,187,183,125,117,159,82,2,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,119,38,9.706362153,3.099510604,303,,20.4730832,0.757961783,,-80.189862,26.244552,
-132408,132408,132408,0,The Baptist College of Florida,,Graceville,Florida,32440,12,2,2,2,482.749975,453,3782301,8182574,7694481,0.120411887,41,91,34,76,2371,16,36,2246,31,69,1531,32,71,5230,400,8100,8100,,,,6213487,23026645,582094,22444551,1503631,,,22444551,,2217385,6,107,,,,,,,,,,,113,18,0.418604651,172,589,414,,,414,175,,,175,589,,,589,0,7,36,19,493,7,27,0,,62,139,120,44,18,15,9,7,0,0,,,,,,,,,,,,,62,139,120,44,18,15,9,7,0,0,,3,7,21,28,10,22,32,27,4,21,,,,,,,,,,,,,3,7,21,28,10,22,32,27,4,21,139,73,66,72,36,36,49,23,26,139,72,45,4,17,22,18,21,17,23,390,540,450,640,25,32,5.178664173,6.628690141,169,45079.2,11.80735431,0.438596491,25,-85.505478,30.963051,
1872,132471,132471,1,Barry University,Barry University,Miami,Florida,33161-6695,12,2,2,2,7214.92042,8662,173822192,158217648,179489439,0.244435388,634,98,387,60,5469,336,52,4171,634,98,13580,479,74,6571,0,26400,26400,0,15210,15210,146715626,171014071,81060777,89953294,12497896,,,89953294,,22132293,,1308,845,49,293,,,,0,44,,44,2495,196,0.35443038,1079,5098,4156,2034,2034,6190,942,1714,1714,2656,5098,3748,3748,8846,20,224,1727,2037,2221,0,2210,407,19,776,806,818,521,319,273,432,187,5,,,,10,511,938,262,114,147,47,2,3,19,776,816,1329,1459,581,387,579,234,7,3,2,5,10,63,136,128,140,282,171,5,,,,0,62,353,272,264,456,293,14,0,2,5,10,125,489,400,404,738,464,19,0,4347,1457,2867,2675,892,1776,652,217,434,4347,2675,651,1,,,,,,,410,490,420,500,341,539,4.726316857,7.47062987,1986,66434.38416,15.06600124,0.3875,341,-80.194127,25.879144,
-132523,132523,132523,0,Gooding Institute of Nurse Anesthesia,,Panama City,Florida,32401,12,1,2,2,51,52,737229,737229,737229,,,,,,,,,,,,,,,,,,,1750,18450,18450,517128,,,,,,,,,,,,16,,,,,,,,,,16,,,,,,51,51,51,,,,,,51,51,51,0,0,1,3,46,0,1,0,,,,,,,,,,,,,,,1,24,14,9,2,1,,,,,,1,24,14,9,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1.960784314,,3,100639,5.882352941,1,1,-85.649847,30.201128,
-132602,132602,132602,0,Bethune-Cookman University,Bethune-Cookman University,Daytona Beach,Florida,32114-3099,12,2,2,2,3544.617082,3553,46790583,69154932,54524288,0.248406715,770,98,612,78,5254,537,68,3366,338,43,6091,743,94,7476,0,12936,12936,0,13000,13000,60938667,130714982,30496009,100218973,6457468,,,100218973,,34035220,,476,17,,,,,,,,,,493,300,0.366748166,1368,3594,3474,11,11,3485,143,9,9,152,3617,20,20,3637,6,7,3416,59,56,11,10,72,77,1614,1082,493,90,37,19,26,10,,26,,,1,2,3,1,1,2,1,,,77,1614,1083,495,93,38,20,28,11,,26,0,16,38,46,15,10,8,7,3,,0,,,0,0,2,3,0,3,1,,,0,16,38,46,17,13,8,10,4,,0,5188,1901,3287,3587,1235,2352,1027,429,598,5188,3587,1020,7,16,19,16,19,16,19,380,460,390,470,202,28,5.698781993,0.789930177,468,47858.70297,12.4131885,0.87826087,202,-81.031893,29.211653,
2463,132657,132657,1,Lynn University,Lynn University,Boca Raton,Florida,33431-5598,12,2,2,2,1974.10446,2165,56043961,62883933,63272586,0.253684835,231,69,70,21,5160,69,21,3260,196,59,16259,101,30,7773,1500,28600,28600,0,16860,16860,61852755,112793442,38632051,74161391,7493800,,,74161391,,17399557,,437,167,18,,,,,1,,,,622,256,0.425956739,469,1786,1580,236,236,1816,206,202,202,408,1786,438,438,2224,3,11,89,147,960,,658,356,5,436,603,402,75,16,13,22,5,3,,,,2,123,67,26,7,6,5,0,,5,436,605,525,142,42,20,28,10,3,,25,18,13,48,32,17,19,27,7,0,,,,1,30,67,31,20,28,24,1,,25,18,14,78,99,48,39,55,31,1,,2657,1170,1487,1636,698,938,375,177,198,2657,1636,371,4,17,21,16,21,16,20,410,530,410,510,90,71,4.559029262,4.862964546,616,48883.71111,22.23793162,0.483870968,90,-80.12129,26.384181,
-132666,132666,132666,0,Bradenton Beauty and Barber Academy,,Bradenton,Florida,34209,12,3,2,2,181,153,767833,991960,767833,,90,75,80,67,3542,0,0,,0,0,,90,75,960,,,,,,,754093,,,,,,,,,,,,,,,51,142,,,,,,,,,,,181,,,181,,,,,181,,,181,0,0,47,79,50,,1,4,1,10,20,28,37,35,27,21,2,,,,,,,,,,,,,,1,10,20,28,37,35,27,21,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,1.657458564,3.867403315,22,,4.419889503,0.3,,-82.616199,27.495788,
-132675,132675,132675,0,Bradford-Union Area Career Technical Center,,Starke,Florida,32091,12,1,2,2,155.079321,259,717923,1752189,717923,0.037107044,271,100,180,66,2049,113,42,135,28,10,806,0,0,,,,,,,,1592839,,,,,,,,,,,,,,,46,42,1,,,,,,,,,,144,,,144,33,,,33,177,,,177,0,1,64,2,109,,1,0,4,24,14,30,25,15,11,14,7,,0,,,,,,,,,,,,4,24,14,30,25,15,11,14,7,,0,0,1,0,1,1,1,0,6,2,,21,,,,,,,,,,,,0,1,0,1,1,1,0,6,2,,21,,,,,,,,,,,,,,,,,,,,,,,,24,6,15.47595117,3.868987794,55,,30.30707105,0.8,,-82.115367,29.951935,
