groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-158158,158158,158158,0,American School of Business,,Shreveport,Louisiana,71105-5646,22,3,2,2,83.323508,125,609414,609414,609414,,45,79,30,53,3917,0,0,,0,0,,35,61,4683,,,,,,,549986,,,,,,,,,,,,,,,13,6,,,,,,,,,,,73,,,73,26,,,26,99,,,99,0,1,54,2,42,,0,0,,2,4,11,16,12,10,9,5,,4,,,,,,,,,,,,,2,4,11,16,12,10,9,5,,4,,0,2,2,4,9,3,2,1,,3,,,,,,,,,,,,,0,2,2,4,9,3,2,1,,3,,,,,,,,,,,,,,,,,,,,,,,,3,5,3.600424504,6.000707507,20,,8.40099051,0.375,,-93.723901,32.41414,
-158246,158246,158246,0,Ayers Career College,,Shreveport,Louisiana,71118,22,3,2,2,362,466,792904,2241937,792904,,320,100,320,100,3259,0,0,,4,1,1000,306,96,8033,0,14900,14900,,,,3048107,,,,,,,,,,,,,,,137,,,,,,,,,,,,362,,,362,,,,,362,,,362,2,0,232,10,106,,12,0,1,12,36,54,99,72,40,32,16,,,,,,,,,,,,,,1,12,36,54,99,72,40,32,16,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,17,3,4.696132597,0.828729282,33,,8.287292818,0.85,,-93.797522,32.419622,
-158282,158282,158282,0,Bastrop Beauty School Inc,,Bastrop,Louisiana,71220,22,3,2,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,16,,,,,16,,,16,0,0,3,0,13,0,0,0,,4,4,1,3,3,,1,,,,,,,,,,,,,,,,4,4,1,3,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,6.25,,3,,18.75,1,,-91.915711,32.778101,
-158325,158325,158325,0,Baton Rouge General Medical Center School of Nursing,,Baton Rouge,Louisiana,70806,22,2,2,2,72,75,641844,669260,641844,0.003116022,23,70,7,21,4679,4,12,253,3,9,667,23,70,8325,500,8050,8050,,,,871466,,,,,,,,,,,,,,,,,39,,,,,,,,,72,72,,,72,,,,,72,,,72,0,1,4,2,65,0,0,0,,,,1,48,15,6,2,,,,,,,,,,,,,,,,,,1,48,15,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,140,16,124,41,11,30,41,11,30,140,41,41,0,,,,,,,,,,,10,,13.88888889,,14,,19.44444444,1,,-91.153594,30.448257,
-158334,158334,158334,0,Baton Rouge General Medical Center-Radiologic Technology,,Baton Rouge,Louisiana,70806,22,2,2,2,60,80,58400,58400,58400,,13,43,6,20,4463,2,7,210,0,0,,13,43,6731,1500,1500,1500,,,,246044,,,,,,,,,,,,,,,,,16,,,,,,11,0.733333333,,60,60,,,60,,,,,60,,,60,0,0,4,2,54,,0,0,,,,13,15,2,,,,,30,,,,,,,,,,,,,,,13,15,2,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,0,82,35,47,30,11,19,30,11,19,82,30,30,0,,,,,,,,,,,3,,5,,5,,8.333333333,1,,-91.153594,30.448257,
-158343,158343,158343,0,Baton Rouge School of Computers,,Baton Rouge,Louisiana,70816-8188,22,3,2,2,33.088204,68,617699,617699,617699,,25,89,25,89,4730,0,0,,0,0,,25,89,7999,,,,,,,498742,307768,173665,,,,,,,,13,,,,,,6,,,,,,13,19,0.791666667,,,18,,,18,38,,,38,56,,,56,0,0,22,0,30,,0,4,0,4,0,1,6,4,3,0,,,,,,,,,,,,,,,0,4,0,1,6,4,3,0,,,,1,1,6,7,7,9,6,1,,,,,,,,,,,,,,,1,1,6,7,7,9,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,6.044450161,6.044450161,9,20455,12.08890032,0.5,2,-91.080936,30.422461,
2300,158352,158352,1,Louisiana Technical College-Baton Rouge Campus,Louisiana Technical Colleges,Baton Rouge,Louisiana,70805,22,1,2,2,18430.15698,20773,26631182,128601179,89411837,0.033386877,2557,74,2125,62,4092,643,19,1087,43,1,762,0,0,,404,630,1260,,,,163309478,84986007,57597958,27388049,5462999,,,27388049,,,688,,,,,13990,5139,12,,,,,688,768,0.417618271,6345,27188,12309,,,12309,18232,,,18232,30541,,,30541,372,296,12176,622,16268,3,803,1,470,2680,2252,1893,1982,1195,720,733,361,9,14,,,,,,,,,,,,470,2680,2252,1893,1982,1195,720,733,361,9,14,7397,2506,1486,1600,1802,1084,734,948,535,49,91,,,,,,,,,,,,7397,2506,1486,1600,1802,1084,734,948,535,49,91,,,,,,,,,,,,,,,,,,,,,,,,788,505,4.275601129,2.740074327,1933,40137.99518,7.438894857,0.609435422,622,-91.156062,30.476005,
-158431,158431,158431,0,Bossier Parish Community College,Bossier Parish Community College,Bossier City,Louisiana,71111-6922,22,1,2,2,3933.415461,4249,11550734,31197807,22617502,0.13800768,1027,99,727,70,3474,214,21,1357,86,8,1940,385,37,5189,488,1452,3592,,,,41387725,6808757,14468445,-7659688,1600000,,,-7659688,,,469,,,,,115,278,13,,,,,469,109,0.117837838,2089,5430,3177,,,3177,2253,,,2253,5430,,,5430,30,70,1590,133,3420,42,134,11,26,1048,825,402,366,203,117,139,49,2,,,,,,,,,,,,,26,1048,825,402,366,203,117,139,49,2,,300,240,264,328,370,255,155,217,112,12,,,,,,,,,,,,,300,240,264,328,370,255,155,217,112,12,,,,,,,,,,,,,,,,,,,,,,,,,115,196,2.923667768,4.982946804,561,44366.96522,8.516771323,0.36977492,115,-93.652727,32.539645,
-158440,158440,158440,0,Cameron College,,New Orleans,Louisiana,70119,22,3,2,2,173,139,1226418,1226418,1226418,,50,100,50,100,5037,0,0,,0,0,,24,48,3418,,,,,,,1196157,1467349,1018728,,,,,,,,0,,,,,12,10,,,,,,0,5,0.833333333,,,173,,,173,,,,,173,,,173,0,1,158,7,7,0,0,0,1,19,19,23,36,37,26,6,6,,,,,,,,,,,,,,1,19,19,23,36,37,26,6,6,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0.578034682,4.046242775,21,28637,4.624277457,0.125,1,-90.088188,29.965951,
-158477,158477,158477,0,Centenary College of Louisiana,Centenary College of Louisiana,Shreveport,Louisiana,71134-1188,22,2,2,2,915.425181,896,19968526,35209451,39242736,0.577216165,272,98,89,32,4834,162,58,3416,269,97,15135,145,52,5153,1110,21790,21790,100,4350,4350,28565495,149568846,20555458,129013388,3438299,,,129013388,,110177673,,184,20,,,,,,,,,,204,170,0.602836879,325,887,875,4,4,879,12,83,83,95,887,87,87,974,5,28,98,33,774,,15,21,8,427,331,93,10,2,1,0,3,,,,,,0,2,1,1,0,0,,0,8,427,331,93,12,3,2,0,3,,0,0,1,0,9,0,1,0,1,0,,,,,,8,24,21,12,13,4,,1,0,1,0,17,24,22,12,14,4,,1,1683,680,1003,914,383,531,276,115,161,1683,914,276,0,22,27,22,29,20,26,500,610,500,620,70,46,7.646719956,5.0249874,264,60503.34286,22.6124433,0.603448276,70,-93.733767,32.483803,
