groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-160940,160940,160940,0,Andover College,,S Portland,Maine,04106-2415,23,3,2,2,853.425526,1639,17847462,12856595,17884144,0.002055306,179,73,141,58,3406,22,9,797,36,15,605,156,64,6098,1030,11566,11566,,,,9935527,6743411,1800916,,,,,,,,324,,,,,10,,,,,,,324,40,0.220994475,,,398,,,398,1147,,,1147,1545,,,1545,2,0,8,3,389,0,1142,1,,27,56,68,93,52,29,55,18,0,,,,,,,,,,,,,,27,56,68,93,52,29,55,18,0,,,86,131,194,246,169,115,150,55,1,,,,,,,,,,,,,,86,131,194,246,169,115,150,55,1,,,,,,,,,,,,,,,,,,,,,,,,,11,85,1.288923247,9.959861454,172,37176.09091,8.788113047,0.114583333,11,-70.32441,43.638654,
-160959,160959,160959,0,College of the Atlantic,College of the Atlantic,Bar Harbor,Maine,4609,23,2,2,2,326.428568,336,17751467,24997071,28574971,0.376023627,68,89,29,38,5764,14,18,1014,67,88,26813,46,61,5570,480,32580,32580,480,21690,21690,19225524,58537600,15990094,42547506,5244768,,,42547506,,27689858,,77,1,,,,,,,,,,78,47,0.691176471,118,336,312,5,5,317,24,,,24,336,5,5,341,2,5,3,4,104,,173,50,2,112,136,46,12,2,1,0,1,,,,,,,3,2,,,,,,2,112,136,46,15,4,1,0,1,,,4,5,6,6,0,0,0,2,1,,,,,,,,,,,,,,4,5,6,6,0,0,0,2,1,,,326,118,208,244,75,169,76,57,19,326,244,76,0,,,,,,,,,,,23,6,7.045951934,1.838074418,96,61412,22.97593022,0.793103448,23,-68.226586,44.396642,
-160977,160977,160977,0,Bates College,Bates College,Lewiston,Maine,4240,23,2,2,2,1738,1717,87546566,108148425,122869474,0.246602854,192,41,55,12,4957,17,4,677,175,37,32022,118,25,6196,,,,,,,90095055,415246199,105905731,309340468,3527730,,,309340468,,227529838,,455,,,,,,,,,,,455,409,0.875802998,470,1738,1738,,,1738,,,,,1738,,,1738,9,116,83,70,1305,,57,98,24,854,730,126,4,,,,,,,,,,,,,,,,,,24,854,730,126,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,4767,2081,2686,1284,554,730,469,219,250,4767,1284,469,0,,,,,,,,,,,151,40,8.688147296,2.301495972,779,89172.70199,35.61565017,0.790575916,151,-70.205267,44.107237,
-160995,160995,160995,0,Beal College,,Bangor,Maine,4401,23,3,2,2,393.45573,519,2737893,3016465,2744936,0.005338046,189,97,154,79,2450,52,27,1734,0,0,,147,75,3412,,,,,,,2473203,1905061,913712,,,,,,,,105,,,,,,6,,,,,,105,40,0.263157895,,,320,,,320,185,,,185,505,,,505,3,0,3,2,483,2,12,0,,55,49,36,58,34,30,40,18,0,,,,,,,,,,,,,,55,49,36,58,34,30,40,18,0,,,4,37,27,34,21,16,30,15,1,,,,,,,,,,,,,,4,37,27,34,21,16,30,15,1,,,,,,,,,,,,,,,,,,,,,,,,,6,17,1.524949198,4.320689395,40,24273.33333,5.591480393,0.260869565,6,-68.784959,44.785898,
-161004,161004,161004,0,Bowdoin College,Bowdoin College,Brunswick,Maine,04011-8448,23,2,2,2,1773.357142,1749,69870000,178133000,172916000,0.338127952,217,44,63,13,7149,17,3,841,217,44,28292,31,6,5205,415,39605,39605,,,,122241000,1140092000,192773000,947319000,9050000,,,947319000,,830231000,,456,,,,,,,,,,,456,437,0.929787234,498,1777,1771,,,1771,6,,,6,1777,,,1777,10,205,115,181,1177,,27,62,32,885,749,104,1,,,0,,,,,,,,,,,,,,,32,885,749,104,1,,,0,,,,0,0,0,2,3,,,1,,,,,,,,,,,,,,,0,0,0,2,3,,,1,,,,5940,2608,3332,1153,575,578,494,241,253,5940,1153,494,0,30,33,31,34,27,33,660,750,660,750,198,26,11.16526363,1.466145729,936,90984.63636,44.20993276,0.883928571,198,-69.96341,43.90568,
-161022,161022,161022,0,Central Maine Medical Center College of Nursing and Health Professions,,Lewiston,Maine,4240,23,2,2,2,76.205772,101,1424409,1397219,1434115,0.078109588,3,100,3,100,3489,3,100,937,3,100,117,3,100,5810,1410,6279,6279,,,,2214597,,,,,,,,,,41,,,,,,,,,,,,41,,,78,157,23,,,23,134,,,134,157,,,157,0,2,0,3,152,0,0,0,,3,0,3,6,2,3,4,2,,,,,,,,,,,,,,,3,0,3,6,2,3,4,2,,,,2,8,20,35,24,13,25,7,,,,,,,,,,,,,,,2,8,20,35,24,13,25,7,,,6,1,5,3,0,3,3,0,3,6,3,3,0,,,,,,,460,560,500,700,15,4,19.68354838,5.248946235,26,66425.93333,28.86920429,0.789473684,15,-70.217679,44.10055,
-161059,161059,161059,0,Central Maine Medical Center School of Radiologic Technology,,Lewiston,Maine,4240,23,2,2,2,25,25,119488,119454,120454,0.008369041,1,8,0,0,,0,0,,1,8,400,0,0,,875,3600,3600,,,,297100,,,,,,,,,,,,,,,,,13,,,,,,13,1,,25,25,,,25,,,,,25,,,25,0,1,0,0,24,0,0,0,,8,5,4,6,1,,1,,,,,,,,,,,,,,,,8,5,4,6,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,,,,106,13,91,15,1,14,13,1,12,106,15,13,0,,,,,,,,,,,1,1,4,4,3,,8,0.5,,-70.217679,44.10055,
-161086,161086,161086,0,Colby College,Colby College,Waterville,Maine,04901-8840,23,2,2,2,1838,1998,75463000,171219000,170309000,0.294064641,227,47,44,9,7797,26,5,973,197,41,30828,116,24,6953,,,,,,,101852000,928434000,133943000,794491000,27711000,,,794491000,,502076000,,481,,,,,,,,,,,481,453,0.895256917,488,1838,1838,,,1838,,,,,1838,,,1838,10,147,52,58,1139,,334,98,4,772,859,202,1,,,,,,,,,,,,,,,,,,4,772,859,202,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,4519,2037,2482,1544,639,905,480,208,272,4519,1544,480,0,28,31,28,33,27,32,640,720,630,720,174,39,9.466811752,2.1218716,712,94108.76471,31.22959739,0.816901408,170,-69.652169,44.567215,
-161138,161138,161138,0,Eastern Maine Community College,Eastern Maine Community College,Bangor,Maine,4401,23,1,2,2,1493.856407,1591,7154657,18164374,14526636,0.066771056,346,90,220,57,3429,175,45,1391,112,29,1232,158,41,4782,687,2520,5040,,,,17103200,30253532,7826993,22426539,136671,,,22426539,,,269,,,,,,64,3,,,,,269,104,0.267352185,1024,2099,1188,,,1188,911,,,911,2099,,,2099,33,21,15,15,1833,0,182,0,1,498,294,145,103,41,32,42,16,0,16,,,,,,,,,,,,1,498,294,145,103,41,32,42,16,0,16,30,102,162,155,111,95,68,98,71,3,16,,,,,,,,,,,,30,102,162,155,111,95,68,98,71,3,16,1829,861,968,921,459,462,919,457,462,1829,921,661,258,,,,,,,,,,,54,,3.614805262,,117,57208.46296,7.564314714,1,54,-68.74054,44.826488,
2516,161165,161165,1,Husson University,Husson University,Bangor,Maine,04401-2999,23,2,2,2,2951.282097,3135,40920440,51066563,44733655,0.136790929,629,94,335,50,5358,270,40,1188,429,64,3963,537,80,7402,300,12690,12690,0,4806,4806,45990171,82187401,20839472,61347929,8147431,,,61347929,,19312458,64,419,149,9,49,,9,1,9,0,,0,690,193,0.467312349,963,2994,2358,246,246,2604,636,255,255,891,2994,501,501,3495,10,41,109,36,3250,0,0,49,2,660,916,511,136,35,31,50,15,0,2,,,14,101,68,25,8,15,12,2,1,2,660,930,612,204,60,39,65,27,2,3,7,28,26,79,89,84,80,168,65,5,5,,,0,9,40,41,31,74,54,6,0,7,28,26,88,129,125,111,242,119,11,5,1280,564,716,1113,486,627,533,245,288,1280,1113,675,12,16,22,16,23,17,23,420,510,410,510,106,60,3.591659371,2.033014738,426,52728.59804,10.67332738,0.638554217,102,-68.790823,44.824588,
