groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-152044,152044,152044,0,West Michigan College of Barbering and Beauty LLC,,Kalamazoo,Michigan,49008,26,3,2,2,103.985234,152,426412,481917,426412,,44,96,40,87,5329,8,17,3356,0,0,,0,0,,,,,,,,408388,,,,,,,,,,,,,,,2,17,18,,,,,,18,0.782608696,,,75,,,75,73,,,73,148,,,148,0,2,92,9,45,,0,0,1,5,15,13,21,10,3,5,1,1,,,,,,,,,,,,,1,5,15,13,21,10,3,5,1,1,,22,6,11,7,11,5,7,3,1,0,,,,,,,,,,,,,22,6,11,7,11,5,7,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,3,,2.885025003,,8,,7.693400007,1,,-85.589682,42.259637,
-168519,168519,168519,0,Fiser's College of Cosmetology,,Adrian,Michigan,49221,26,3,2,2,7.397058,45,201342,217239,201342,,15,100,15,100,4625,0,0,,0,0,,15,100,4808,,,,,,,208402,,,,,,,,,,,,,,,1,29,,,,,,,,,,,7,,,7,1,,,1,8,,,8,0,0,0,2,6,0,0,0,,4,2,0,1,,,,,,,,,,,,,,,,,,,4,2,0,1,,,,,,,,0,0,1,0,,,,,,,,,,,,,,,,,,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,13.51888819,54.07555274,8,,27.03777637,0.2,,-84.006452,41.892027,
-168528,168528,168528,0,Adrian College,Adrian College,Adrian,Michigan,49221-2575,26,2,2,2,1576.428564,1578,37521462,34823394,40982232,0.51901573,468,100,169,36,4383,248,53,1488,460,98,12507,416,89,6390,300,24140,24140,,,,35113953,98704381,38684764,60019617,9489098,,,60019617,,3638029,,207,0,,,,,,,,,,207,129,0.440273038,514,1608,1556,,,1556,52,,,52,1608,,,1608,3,8,69,39,1239,,181,69,50,698,607,179,12,4,3,2,1,,,,,,,,,,,,,,50,698,607,179,12,4,3,2,1,,,22,9,1,9,4,1,2,3,1,,,,,,,,,,,,,,22,9,1,9,4,1,2,3,1,,,3944,1949,1995,2285,996,1289,500,246,254,3944,2285,500,0,20,25,19,25,19,25,,,,,81,77,5.138196671,4.884458564,353,61796.50617,16.8101496,0.512658228,81,-84.058469,41.89895,
-168546,168546,168546,0,Albion College,Albion College,Albion,Michigan,49224,26,2,2,2,1720.392853,1769,51577386,60006488,71949335,0.500120731,434,100,126,29,5624,239,55,1531,433,100,16901,280,65,7666,518,29488,29488,,,,52561178,277159956,82539391,194620565,7004768,,,194620565,,162061679,,403,,,,,,,,,,,403,411,0.735241503,477,1738,1709,,,1709,29,,,29,1738,,,1738,6,44,59,18,1487,43,45,36,68,820,729,77,2,2,1,,0,,10,,,,,,,,,,,,68,820,729,77,2,2,1,,0,,10,8,2,9,4,2,0,1,,3,,0,,,,,,,,,,,,8,2,9,4,2,0,1,,3,,0,1780,920,860,1413,662,751,434,214,220,1780,1413,434,0,22,28,21,28,21,27,560,670,530,660,125,43,7.265782335,2.499429123,535,59980.384,22.26235707,0.744047619,125,-84.744963,42.243797,
-168555,168555,168555,0,Hillsdale Beauty College,,Hillsdale,Michigan,49242,26,3,2,2,53.544102,65,196680,223252,196680,,28,80,28,80,2590,0,0,,0,0,,23,66,3189,100,9000,9000,,,,220331,,,,,,,,,,,,,,,,10,,,,,,,,,,,46,,,46,19,,,19,65,,,65,0,0,0,0,65,,0,0,0,24,6,5,4,3,2,1,1,,,,,,,,,,,,,,0,24,6,5,4,3,2,1,1,,,9,10,0,0,0,0,0,0,0,,,,,,,,,,,,,,9,10,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1.867619332,5.602857995,5,,3.735238664,0.25,,-84.631999,41.918925,
-168573,168573,168573,0,Northwestern Technological Institute,,Southfield,Michigan,48075,26,3,2,2,531.191174,758,5971135,5985137,5968815,,572,96,519,87,4005,131,22,8156,0,0,,432,72,6569,,,,,,,5019267,,,,,,,,,,,,,,,423,,,,,,,,,,,,530,,,530,3,,,3,533,,,533,2,7,375,8,128,,13,0,1,27,43,64,101,65,70,98,58,3,,,,,,,,,,,,,1,27,43,64,101,65,70,98,58,3,,0,0,0,0,0,0,1,0,2,0,,,,,,,,,,,,,0,0,0,0,0,0,1,0,2,0,,206,199,7,169,163,6,169,163,6,206,169,150,19,,,,,,,,,,,6,11,1.12953684,2.07081754,45,,4.329891219,0.352941176,,-83.238124,42.469548,
-168591,168591,168591,0,Alma College,Alma College,Alma,Michigan,48801-1599,26,2,2,2,1403.321419,1407,35930232,43120066,49587595,0.538905955,400,100,146,37,5067,266,67,1579,400,100,16349,296,74,7992,230,25838,25838,,,,37234862,165076804,26761359,138315445,2108266,,,138315445,,100466438,,233,,,,,,,,,,,233,206,0.62804878,452,1444,1377,,,1377,67,,,67,1444,,,1444,12,22,32,47,1316,,6,9,0,650,604,110,4,1,4,3,1,,,,,,,,,,,,,,0,650,604,110,4,1,4,3,1,,,21,9,7,15,5,1,0,4,5,,,,,,,,,,,,,,21,9,7,15,5,1,0,4,5,,,1713,695,1018,1329,527,802,400,173,227,1713,1329,400,0,21,27,20,27,20,26,483,668,470,708,85,48,6.05705855,3.420456593,345,63290.50588,18.02865663,0.639097744,85,-84.670023,43.379033,
-168607,168607,168607,0,Alpena Community College,Alpena Community College,Alpena,Michigan,49707,26,1,2,2,1460.563936,1553,6615854,19647365,14898876,0.022883214,355,88,288,71,4168,92,23,2713,75,19,1088,144,36,4199,520,3780,5040,,,,19996154,20902127,4794165,16107962,1496004,,,16107962,,,326,,,,,18,153,,,,,,326,109,0.30362117,802,2077,1149,,,1149,928,,,928,2077,,,2077,13,13,10,13,1470,,555,3,4,438,231,104,117,82,38,81,26,8,20,,,,,,,,,,,,4,438,231,104,117,82,38,81,26,8,20,227,143,90,99,78,54,55,90,47,3,42,,,,,,,,,,,,227,143,90,99,78,54,55,90,47,3,42,,,,,,,,,,,,,,,,,,,,,,,,59,103,4.039535589,7.052070605,253,65836.79661,8.832204933,0.364197531,59,-83.442149,45.0787,
-168740,168740,168740,0,Andrews University,Andrews University,Berrien Springs,Michigan,49104,26,2,2,2,2861.911179,2967,62917845,97388059,83255938,0.342684353,375,100,114,30,5159,42,11,1496,374,100,8485,236,63,6944,650,20520,20520,502,19296,19296,88355601,142997883,28937040,114060843,14316450,,,114060843,,43630029,3,388,242,101,,,,,0,7,,7,734,153,0.520408163,611,2059,1714,694,694,2408,250,931,931,1181,1964,1625,1625,3589,17,281,815,421,1437,,0,618,71,609,558,290,96,33,25,19,13,,,,1,20,168,220,99,77,75,32,2,,71,610,578,458,316,132,102,94,45,2,,65,27,31,38,23,16,12,23,15,,,,0,1,19,71,94,134,312,283,17,,65,27,32,57,94,110,146,335,298,17,,1687,745,942,949,402,547,396,185,211,1687,949,386,10,20,26,19,27,18,19,460,590,470,610,218,59,7.617287413,5.730436402,971,46516.29817,22.78197887,0.570680628,218,-86.359495,41.963415,
-168786,168786,168786,0,Aquinas College,Aquinas College (MI),Grand Rapids,Michigan,49506-1799,26,2,2,2,1855.04382,1670,40099231,38187971,48241176,0.406088586,400,100,161,40,4916,300,75,1521,396,99,11755,322,80,5059,0,22314,22314,0,9504,9504,33381060,72071464,27229201,44842263,10698875,,,44842263,,25535448,6,348,88,,,,,,,,,,442,192,0.607594937,544,1908,1635,36,36,1671,273,201,201,474,1908,237,237,2145,11,33,89,81,1898,,29,4,39,707,568,222,47,16,16,14,6,0,,,,,4,14,4,5,8,1,,,39,707,568,226,61,20,21,22,7,0,,8,9,10,55,52,31,31,44,32,1,,,,,8,61,30,30,49,23,,,8,9,10,63,113,61,61,93,55,1,,2192,767,1425,1761,603,1158,402,131,271,2192,1761,402,0,20,26,20,26,19,25,,,,,90,151,4.851637413,8.139969437,441,47105,13.90802725,0.373443983,90,-85.629344,42.958031,
