groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-125231,125231,125231,0,Walden University,,Minneapolis,Minnesota,55401,27,3,2,2,33988.63733,52756,390666158,391245883,396802158,0.05233439,17,100,16,94,3355,0,0,,15,88,1884,17,100,7730,140,11314,11314,1375,13665,13665,319501000,320119000,86509000,,,,,,,,,297,7694,503,,,,,66,20,,20,8494,,,,5597,647,29097,29097,29744,4950,6020,6020,10970,5597,35117,35117,40714,310,757,11796,1972,19654,,5607,618,0,0,7,38,179,128,107,125,54,0,9,,2,13,907,5036,4679,4952,7865,5303,154,186,0,2,20,945,5215,4807,5059,7990,5357,154,195,3,166,376,408,951,854,712,977,420,8,75,,0,1,169,1090,1105,1065,1568,963,27,32,3,166,377,577,2041,1959,1777,2545,1383,35,107,,,,,,,,,,,,,,,,,,,,,,,,102,1710,0.300100292,5.066399054,2831,59992.94118,3.25697082,0.055921053,102,-93.260195,44.980273,
-172866,172866,172866,0,Academy College,,Minneapolis,Minnesota,55420-1554,27,3,2,2,172.821421,139,2178130,2547373,2181930,0.001744616,13,93,11,79,5158,7,50,1250,0,0,,13,93,8513,310,22398,22398,,,,2454080,1430648,956857,,,,,,,,14,17,,,,4,15,,,,,,31,1,1,43,205,152,,,152,53,,,53,205,,,205,3,17,51,6,111,0,17,0,,10,15,27,38,23,13,19,6,1,,,,,,,,,,,,,,10,15,27,38,23,13,19,6,1,,,3,1,8,10,14,9,4,4,0,,,,,,,,,,,,,,3,1,8,10,14,9,4,4,0,,22,13,9,22,13,9,22,13,9,22,22,17,5,,,,,,,,,,,,36,,20.83075107,54,,5.786319741,,,-93.259385,44.861896,
-172918,172918,172918,0,Alexandria Technical College,Alexandria Technical College,Alexandria,Minnesota,56308,27,1,2,2,1924.928517,2270,11276000,26793000,22361000,0.003813409,531,89,289,48,3989,313,52,1289,144,24,855,381,64,6462,563,4715,4715,,,,26862000,37525000,12966000,24559000,663000,,,24559000,,,408,,,,,236,135,84,,,,,408,282,0.50994575,1392,2550,1609,,,1609,941,,,941,2550,,,2550,21,20,21,18,2387,,81,2,85,804,294,129,115,51,42,52,36,1,0,,,,,,,,,,,,85,804,294,129,115,51,42,52,36,1,0,226,101,93,96,124,73,53,84,68,12,11,,,,,,,,,,,,226,101,93,96,124,73,53,84,68,12,11,,,,,,,,,,,,,,,,,,,,,,,,72,69,3.740398636,3.584548693,266,62836.80556,8.208097007,0.510638298,72,-95.373057,45.874073,
-172927,172927,172927,0,American Indian OIC Inc,,Minneapolis,Minnesota,55404-2221,27,2,2,2,119.86761,74,447825,1032087,733248,,105,95,105,95,3055,100,90,1925,0,0,,0,0,,140,4500,4500,,,,1027486,,,,,,,,,,,,,,,128,15,,,,,,,,,,,102,,,102,45,,,45,147,,,147,65,2,55,1,20,4,0,0,,0,7,14,20,13,10,21,15,0,2,,,,,,,,,,,,,0,7,14,20,13,10,21,15,0,2,,4,10,7,8,4,4,3,4,1,0,,,,,,,,,,,,,4,10,7,8,4,4,3,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,2,6,1.668507448,5.005522343,18,,7.508283514,0.25,,-93.246113,44.962519,
-172954,172954,172954,0,Anoka Technical College,Anoka Technical College,Anoka,Minnesota,55303,27,1,2,2,1631.970932,1896,9755000,20590000,18073000,,261,82,142,45,3968,158,50,2035,0,0,,173,54,5951,399,4332,4332,,,,19925000,28024000,7191000,20833000,1057000,,,20833000,,,176,,,,,47,145,29,,,,,176,73,0.288537549,1123,2453,1217,,,1217,1236,,,1236,2453,,,2453,21,91,210,40,2046,,41,4,8,229,217,177,190,125,96,123,49,0,3,,,,,,,,,,,,8,229,217,177,190,125,96,123,49,0,3,180,64,140,159,198,127,111,156,82,2,17,,,,,,,,,,,,180,64,140,159,198,127,111,156,82,2,17,,,,,,,,,,,,,,,,,,,,,,,,58,69,3.55398487,4.228016483,212,60142.24138,8.14965496,0.456692913,58,-93.412847,45.212629,
2008,172963,172963,1,Anoka-Ramsey Community College,Anoka-Ramsey Community College,Coon Rapids,Minnesota,55433-3470,27,1,2,2,5812.229856,6174,26750000,51506000,43878000,0.032224299,908,73,404,33,4044,314,25,813,86,7,1570,609,49,4908,504,3704,3704,,,,50371000,66478000,18313000,48165000,2766000,,,48165000,,,777,,,,,49,15,,,,,,777,204,0.170568562,4280,9192,4104,,,4104,5088,,,5088,9192,,,9192,104,295,558,141,7928,,150,16,456,1834,731,393,270,170,104,108,28,0,10,,,,,,,,,,,,456,1834,731,393,270,170,104,108,28,0,10,935,624,630,664,772,470,312,469,185,4,23,,,,,,,,,,,,935,624,630,664,772,470,312,469,185,4,23,,,,,,,,,,,,,,,,,,,,,,,,120,171,2.064612085,2.942072221,541,60785.41667,5.677683233,0.412371134,120,-93.347806,45.173592,
-172972,172972,172972,0,Apostolic Bible Institute Inc,,Saint Paul,Minnesota,55128-7021,27,2,2,2,57.571428,74,202130,739335,538975,0.152006135,17,100,0,0,,0,0,,17,100,372,2,12,5120,140,2900,2900,,,,773090,3558229,149624,3408605,450000,,,3408605,,,15,11,,,,,,,,,,,26,11,0.916666667,21,61,56,,,56,4,,,4,60,,,60,0,3,2,5,42,1,0,7,,17,19,12,7,,1,,0,,,,,,,,,,,,,,,17,19,12,7,,1,,0,,,,0,1,0,1,,0,,2,,,,,,,,,,,,,,,0,1,0,1,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,3.473945444,19.10669994,41,16626,26.05459083,0.153846154,1,-92.966216,44.949058,
-173045,173045,173045,0,Augsburg College,Augsburg College,Minneapolis,Minnesota,55454,27,2,2,2,3468.432376,3297,74782166,75948065,82033975,0.289584993,453,99,202,44,4825,242,53,4906,442,96,13700,386,84,7022,608,27020,27020,0,12084,12084,72366266,120527957,53791522,66736435,3530439,,,66736435,,30542502,,627,192,,,,0,,,0,,0,819,211,0.596045198,826,3119,2570,554,554,3124,549,337,337,886,3119,891,891,4010,79,223,279,116,2893,,379,41,11,785,782,386,242,145,68,107,43,1,0,,,2,92,217,97,55,59,32,0,0,11,785,784,478,459,242,123,166,75,1,0,0,4,15,89,95,90,66,132,50,2,6,,,1,15,81,64,34,84,55,1,2,0,4,16,104,176,154,100,216,105,3,8,2360,1154,1206,1218,575,643,465,221,244,2360,1218,459,6,19,25,18,24,18,25,473,628,450,590,195,264,5.622136425,7.611507776,830,58654.6359,14.27157708,0.424836601,195,-93.240749,44.967384,
-173063,173063,173063,0,Riverland Community College,Riverland Community College,Austin,Minnesota,55912-1473,27,1,2,2,2387.022036,2599,12854000,29744000,25118000,0.004512214,462,86,287,54,4081,272,51,1864,25,5,729,347,65,5677,602,4576,4576,,,,29314000,27104000,9147000,17957000,765000,,,17957000,,,347,,,,,118,94,61,,,,,347,194,0.407563025,1529,3867,1639,,,1639,2228,,,2228,3867,,,3867,24,60,149,223,3381,,4,26,124,537,285,187,174,117,75,100,38,1,1,,,,,,,,,,,,124,537,285,187,174,117,75,100,38,1,1,440,162,144,160,272,183,181,315,278,62,31,,,,,,,,,,,,440,162,144,160,272,183,181,315,278,62,31,,,,,,,,,,,,,,,,,,,,,,,,78,110,3.267669876,4.608252389,316,61858.97436,8.043495079,0.414893617,78,-93.000256,43.674022,
-173124,173124,173124,0,Bemidji State University,Bemidji State University,Bemidji,Minnesota,56601,27,1,2,2,4254.735402,4433,30634000,73003000,52952000,0.068681857,685,87,238,30,4903,318,40,2395,195,25,2386,562,71,7942,910,6291,6291,800,5688,5688,67651000,95998000,37026000,58972000,1063000,,,58972000,,,45,731,97,,,,,,,,,,873,307,0.518581081,1678,4730,3582,76,76,3658,1148,369,369,1517,4730,445,445,5175,184,64,56,31,4477,,221,142,40,1292,1133,628,210,110,54,79,31,2,3,,,0,18,23,10,4,14,3,1,3,40,1292,1133,646,233,120,58,93,34,3,6,229,88,78,163,164,112,109,122,58,8,17,,,2,41,96,53,42,80,36,2,17,229,88,80,204,260,165,151,202,94,10,34,2167,1052,1115,1747,859,888,810,416,394,2167,1747,795,15,19,24,18,23,18,25,,,,,159,110,3.737012645,2.58535466,578,69761.48428,10.36492187,0.591078067,159,-94.875584,47.482884,
