groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-175342,175342,175342,0,Alcorn State University,Alcorn State University,Alcorn State,Mississippi,39096-7500,28,1,2,2,2902.70551,3158,18286911,66717248,46636163,0.30818726,266,58,266,58,5074,23,5,768,91,20,5202,234,51,5668,927,3571,3571,927,3571,3571,80838201,192355722,61392729,130962993,879290,,,130962993,,,29,351,138,,,,,,,0,,0,518,210,0.372340426,649,2700,2436,205,205,2641,264,429,429,693,2700,634,634,3334,0,11,3050,20,188,,0,65,15,756,712,435,213,108,76,89,30,2,,,,2,58,68,28,20,19,10,0,,15,756,714,493,281,136,96,108,40,2,,0,5,16,47,50,33,30,48,35,0,,,,0,39,134,75,56,65,58,2,,0,5,16,86,184,108,86,113,93,2,,3195,1433,1762,1291,410,881,464,185,279,3195,1291,462,2,16,19,16,21,16,18,400,460,390,470,190,37,6.545617506,1.274672883,777,53504.78689,24.32213663,0.837004405,183,-91.13971,31.87819,
-175421,175421,175421,0,Belhaven University,Belhaven College,Jackson,Mississippi,39202,28,2,2,2,2728.790588,3281,35521878,42427298,37882421,0.200960462,202,86,108,46,3212,25,11,590,159,68,8673,159,68,5531,0,16780,16780,0,8900,8900,41232928,43395825,18788375,24607450,360409,,,24607450,,4305768,19,472,144,,,0,0,,,,,,635,129,0.544303797,603,2330,2190,441,441,2631,140,112,112,252,2330,553,553,2883,20,26,1378,102,1112,,234,11,5,302,362,259,285,277,254,318,125,2,1,,,1,38,108,100,68,88,37,,1,5,302,363,297,393,377,322,406,162,2,2,4,3,4,28,20,24,23,24,8,0,2,,,0,8,33,27,15,24,5,,0,4,3,4,36,53,51,38,48,13,0,2,1582,776,800,788,358,428,689,283,406,1582,788,633,56,19,24,20,26,17,23,460,570,490,610,68,137,2.491946443,5.057185429,419,47827.39706,9.564676789,0.330097087,68,-90.170914,32.318434,
-175430,175430,175430,0,Blue Mountain College,Blue Mountain College,Blue Mountain,Mississippi,38610-9509,28,2,2,2,459.431881,480,4570396,9077727,7464697,,73,100,37,51,2493,22,30,240,66,90,2746,32,44,2816,920,7650,7650,610,4770,4770,7929361,20844011,442724,20401287,608452,,,20401287,,9024915,,102,12,,,,,,,,,,114,19,0.395833333,164,491,422,8,8,430,72,3,3,75,494,11,11,505,0,3,75,5,421,,1,0,2,119,118,72,37,29,25,18,2,0,,,,,2,3,1,,1,1,,,2,119,118,74,40,30,25,19,3,0,,0,0,2,3,14,15,15,17,5,1,,,,,0,0,2,,1,0,,,0,0,2,3,14,17,15,18,5,1,,,,,,,,,,,,,,,,,,,,,,,,,27,16,5.876823337,3.482561977,106,44638.96296,16.10684915,0.627906977,27,-89.028252,34.671149,
-175494,175494,175494,0,Chris Beauty College,,Gulfport,Mississippi,39501,28,3,2,2,80,220,976248,1080299,978069,0.007516533,91,85,91,85,5929,0,0,,0,0,,0,0,,,,,,,,996602,,,,,,,,,,,,,,,18,42,,,,,,,,,,,80,,,80,,,,,80,,,80,0,12,34,2,31,0,1,0,5,25,17,14,1,10,5,2,,,1,,,,,,,,,,,,5,25,17,14,1,10,5,2,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,3,2,3.75,2.5,12,,8.75,0.6,,-89.07573,30.383549,
-175519,175519,175519,0,Coahoma Community College,Coahoma Community College,Clarksdale,Mississippi,38614,28,1,2,2,2338.486317,1471,3510059,33414947,14935888,,638,98,638,98,5038,49,8,659,101,16,717,0,0,,140,1700,2900,,,,30339981,38789614,1580329,37209285,305558,,,37209285,,,188,,,,,,95,0,,,,,188,325,0.24235645,796,2565,2224,,,2224,341,,,341,2565,,,2565,1,3,2486,8,60,0,7,0,6,457,477,347,352,219,163,147,50,1,5,,,,,,,,,,,,6,457,477,347,352,219,163,147,50,1,5,59,44,51,48,58,26,24,18,12,0,1,,,,,,,,,,,,59,44,51,48,58,26,24,18,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,71,48,3.036152039,2.052609829,262,39271.30986,8.509778251,0.596638655,71,-90.572128,34.262156,
1795,175573,175573,1,Copiah-Lincoln Community College,Copiah-Lincoln Community College,Wesson,Mississippi,39191,28,1,2,2,3300.922157,2948,9131835,40359742,23533035,,669,88,537,71,4941,97,13,716,203,27,1444,237,31,3329,120,1700,1700,,,,44202896,49074374,11533450,37540924,715118,,,37540924,,,506,,,,,57,88,,,,,,506,236,0.315086782,1238,3740,3079,,,3079,661,,,661,3740,,,3740,5,8,1716,23,1933,3,52,0,9,1053,826,373,341,187,109,128,51,2,,,,,,,,,,,,,9,1053,826,373,341,187,109,128,51,2,,94,124,61,89,76,68,53,53,36,7,,,,,,,,,,,,,94,124,61,89,76,68,53,53,36,7,,,,,,,,,,,,,,,,,,,,,,,,,110,44,3.332402122,1.332960849,412,47081.81818,9.633671589,0.714285714,110,-90.39759,31.70128,
-175591,175591,175591,0,Creations College of Cosmetology,,Tupelo,Mississippi,38801-2635,28,3,2,2,51,88,91120,93620,93620,,54,61,54,61,5278,0,0,,0,0,,0,0,,,,,,,,304413,,,,,,,,,,,,,,,,23,,,,,,,,,,,51,,,51,,,,,51,,,51,0,0,17,0,34,,0,0,4,,4,5,16,7,6,7,2,,,,,,,,,,,,,,4,,4,5,16,7,6,7,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,4,,7.843137255,,14,,27.45098039,1,,-88.743511,34.25565,
-175607,175607,175607,0,Delta Beauty College,,Greenville,Mississippi,38701,28,3,2,2,26,80,146358,195902,146443,,47,100,47,100,3040,0,0,,0,0,,0,0,,,,,,,,180308,,,,,,,,,,,,,,,0,15,0,,,,,,10,0.357142857,,,26,,,26,,,,,26,,,26,0,0,22,0,4,,0,0,,4,6,6,5,4,1,,,,,,,,,,,,,,,,,4,6,6,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3.846153846,,3,,7.692307692,1,,-91.04523,33.37377,
-175616,175616,175616,0,Delta State University,Delta State University,Cleveland,Mississippi,38733,28,1,2,2,3260.261834,3484,19705880,58665745,40005975,0.17255677,354,96,200,54,4963,115,31,501,151,41,4310,229,62,5651,504,3946,11016,504,3946,11016,65947181,106893745,14028330,92865415,860862,,,92865415,,,,519,231,2,,,,,,20,,20,752,177,0.464566929,865,3115,2497,286,286,2783,618,630,630,1248,3115,916,916,4031,7,39,1637,34,2249,,2,63,0,523,815,688,254,93,53,52,18,1,,,,1,68,93,39,31,39,15,0,,0,523,816,756,347,132,84,91,33,1,,94,61,23,80,61,65,43,62,60,69,,,,0,61,178,106,118,109,57,1,,94,61,23,141,239,171,161,171,117,70,,1919,734,1185,469,175,294,373,139,234,1919,469,367,6,17,22,17,23,16,22,,,,,193,66,5.91976994,4.570185083,731,52773.03627,16.28703543,0.564327485,193,-90.73318,33.74757,
-175643,175643,175643,0,East Central Community College,East Central Community College,Decatur,Mississippi,39327-0129,28,1,2,2,2317.496708,2582,5696520,38754930,18503375,0.021065493,741,91,486,60,4039,228,28,524,374,46,1612,244,30,3600,200,1600,3700,,,,29315925,24448079,3790485,20657594,274570,,,20657594,,,354,,,,,,88,,,,,,354,195,0.30952381,1028,2639,2155,,,2155,484,,,484,2639,,,2639,141,6,1057,35,1384,8,7,1,16,963,450,177,194,145,78,109,20,3,,,,,,,,,,,,,16,963,450,177,194,145,78,109,20,3,,22,40,70,57,85,55,58,68,29,0,,,,,,,,,,,,,22,40,70,57,85,55,58,68,29,0,,,,,,,,,,,,,,,,,,,,,,,,,81,44,3.495150596,1.898600324,257,47379.2875,9.14780156,0.648,80,-89.11017,32.438942,
