groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-155283,155283,155283,0,Concorde Career Colleges,,Kansas City,Missouri,64111,29,3,2,2,821,740,8147000,8279000,8230000,0.010187799,879,88,760,76,5920,80,8,7699,20,2,2367,852,86,10392,,,,,,,8058000,3260000,1310000,,,,,,,,102,,,,,513,45,,,,,,102,503,0.644871795,,,821,,,821,,,,,821,,,821,9,7,310,83,389,10,13,0,,47,111,155,220,117,73,66,32,,,,,,,,,,,,,,,47,111,155,220,117,73,66,32,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,261,27,234,261,27,234,261,27,234,261,261,261,0,,,,,,,,,,,27,5,3.288672351,0.609013398,64,43650.88889,7.1863581,0.84375,27,-94.590111,39.068156,
-176549,176549,176549,0,Allied College North,,Maryland Heights,Missouri,63043,29,3,2,2,346,583,5404704,5433586,5411292,,217,92,176,75,4151,0,0,,0,0,,194,82,6229,,,,,,,5606790,8698209,3058160,,,,,,,,101,,,,,79,2,,,,,,101,141,0.524163569,,,346,,,346,,,,,346,,,346,2,4,143,0,154,42,1,0,,31,52,67,64,44,28,43,17,,,,,,,,,,,,,,,31,52,67,64,44,28,43,17,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,15,5,4.335260116,1.445086705,50,28860.66667,12.71676301,0.75,15,-90.465179,38.755244,
-176600,176600,176600,0,Aquinas Institute of Theology,,Saint Louis,Missouri,63108-3323,29,2,2,2,133.388561,127,1861712,3431766,3633875,0.139843864,,,,,,,,,,,,,,,,,,390,15072,15072,5661953,8999179,4451597,4547582,105080,,,4547582,,4042692,,,68,4,,,,,12,,,,72,,,,,,65,65,65,,179,179,179,,244,244,244,1,8,16,12,199,,1,7,,,,,,,,,,,,,,1,4,10,13,3,13,18,3,,,,1,4,10,13,3,13,18,3,,,,,,,,,,,,,,,0,1,11,10,11,48,90,8,,,,0,1,11,10,11,48,90,8,,,,,,,,,,,,,,,,,,,,,,,,,17,4,12.74472104,5.247826311,43,39871.76471,24.73975261,0.708333333,17,-90.237404,38.635043,
-176619,176619,176619,0,Assemblies of God Theological Seminary,,Springfield,Missouri,65802-2131,29,2,2,2,279.435039,277,3339032,4868953,5312403,0.203288857,,,,,,,,,,,,,,,,,,0,11832,11832,5064295,7277865,2275715,5002150,48519,,,5002150,,,,,91,9,,,,,,,,,100,,,,,,195,195,195,,221,221,221,,416,416,416,6,15,10,19,356,1,0,9,,,,,,,,,,,,,,2,42,60,21,15,39,16,0,,,,2,42,60,21,15,39,16,0,,,,,,,,,,,,,,,0,12,21,21,27,55,83,2,,,,0,12,21,21,27,55,83,2,,,,,,,,,,,,,,,,,,,,,,,,,9,15,3.220784348,5.367973914,95,,17.53538145,0.375,,-93.261559,37.224376,
-176628,176628,176628,0,Avila University,Avila University,Kansas City,Missouri,64145-1698,29,2,2,2,1635.635178,1563,25947663,23781995,27800136,0.278061612,118,100,53,45,4768,55,47,3068,115,97,10850,110,93,6164,650,20250,20250,414,7956,7956,22889901,32569334,13971149,18598185,2742270,,,18598185,,6369102,,254,229,,,,,,96,,,,483,65,0.503875969,270,1151,950,523,523,1473,201,219,219,420,1151,742,742,1893,17,35,277,72,1239,,104,149,1,231,243,232,120,45,31,36,11,,,,,2,102,186,85,46,76,25,1,,1,231,245,334,306,130,77,112,36,1,,0,1,2,25,45,43,21,44,20,,,,,0,19,56,40,28,50,26,0,,0,1,2,44,101,83,49,94,46,0,,1036,361,675,446,119,327,119,39,80,1036,446,119,0,20,25,20,26,18,25,463,543,535,560,65,137,3.97399132,8.498227592,359,53891.98462,12.10538894,0.318627451,65,-94.593446,38.913326,
-176637,176637,176637,0,ITT Technical Institute-Earth City,,Earth City,Missouri,63045,29,3,2,2,862.571396,998,17295612,17245337,17295612,0.002906807,145,98,123,83,5735,0,0,,25,17,3672,136,92,12262,300,16848,16848,,,,8282598,5633669,2445256,,,,,,,,177,57,,,,,,,,,,,234,5,0.178571429,212,1001,773,,,773,228,,,228,1001,,,1001,4,13,380,14,564,0,26,0,,66,138,183,188,101,52,35,9,1,,,,,,,,,,,,,,66,138,183,188,101,52,35,9,1,,,6,26,64,63,27,25,12,5,0,,,,,,,,,,,,,,6,26,64,63,27,25,12,5,0,,433,323,110,266,203,63,266,203,63,433,266,177,89,,,,,,,,,,,15,45,1.738986485,5.216959455,104,47607.13333,6.724081075,0.25,15,-90.462274,38.760315,
-176664,176664,176664,0,Baptist Bible College and Graduate School,Baptist Bible College and Graduate School,Springfield,Missouri,65803-3498,29,2,2,2,479.288151,520,6098870,6676044,7535591,0.580359148,86,100,55,64,4787,5,6,890,86,100,7270,70,81,5669,100,13610,13610,100,3520,3520,7469299,9182978,4279769,4903209,636079,,,4903209,,593053,4,74,12,,,0,2,,,,,,90,36,0.307692308,123,481,410,20,20,430,71,56,56,127,481,76,76,557,5,3,15,16,494,12,1,11,7,141,134,75,31,13,4,5,0,,,,,1,8,7,2,0,1,1,,,7,141,135,83,38,15,4,6,1,,,0,2,11,26,11,9,3,6,3,,,,,2,11,15,9,9,3,7,,,0,2,13,37,26,18,12,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,25,11,5.216068861,2.920998562,106,36676.16,13.97906455,0.641025641,25,-93.284217,37.240666,
-176734,176734,176734,0,Boonslick Technical Education Center,,Boonville,Missouri,65233,29,1,2,2,25,21,314712,318767,314712,,23,85,20,74,2930,1,4,3888,0,0,,19,70,6520,,,,,,,141077,,,,,,,,,,,,,,,,17,,,,,,,,,,,25,,,25,,,,,25,,,25,0,0,3,0,22,,0,0,,2,4,3,4,4,3,1,2,,2,,,,,,,,,,,,,2,4,3,4,4,3,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,36,5,31,27,3,24,27,3,24,36,27,27,0,,,,,,,,,,,1,2,4,8,5,,8,0.333333333,,-92.773395,38.938632,
-176770,176770,176770,0,Cox College,,Springfield,Missouri,65802,29,2,2,2,338.535677,263,4724707,6333835,4989864,0.056121364,59,86,37,54,4471,11,16,4942,13,19,3572,57,83,7837,1365,9724,9724,390,3300,3300,4311984,,,,,,,,,,65,37,0,,,,18,,,,,,102,21,1,136,491,230,6,6,236,261,,,261,491,6,6,497,1,6,12,7,471,,0,0,0,0,0,113,82,13,7,11,4,,,,,,1,2,1,1,1,,,,0,0,0,114,84,14,8,12,4,,,3,9,52,62,59,35,23,15,3,,,,,,,,,,,,,,3,9,52,62,59,35,23,15,3,,,274,34,240,236,28,208,141,20,121,274,236,69,72,,,,,,,,,,,34,1,10.04325461,0.295389842,56,57250.64706,16.24644129,0.971428571,34,-93.289108,37.22589,
-176789,176789,176789,0,Calvary Bible College and Theological Seminary,,Kansas City,Missouri,64147-1341,29,2,2,2,208.803946,226,2182957,4185858,3562013,0.096450823,20,80,11,44,1415,0,0,,6,24,982,12,48,3124,768,7560,7560,534,5400,5400,3975332,2230232,549855,1680377,119452,,,1680377,,587506,1,48,14,,,,2,,,,,,63,18,0.666666667,77,218,146,20,20,166,72,38,38,110,218,58,58,276,5,6,18,7,236,1,2,1,3,36,48,27,12,3,3,6,2,,6,,,,,4,2,4,1,6,1,2,3,36,48,27,16,5,7,7,8,1,8,0,4,10,11,11,6,6,8,5,,11,,,,,7,5,5,5,6,0,10,0,4,10,11,18,11,11,13,11,0,21,46,21,25,37,18,19,32,17,15,46,37,26,6,19,24,20,25,17,23,,,,,14,15,6.704854131,7.183772284,92,25962.23077,25.38266207,0.482758621,13,-94.547241,38.839662,
