groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-179991,179991,179991,0,Academy of Cosmetology Inc,,Bozeman,Montana,59715-3544,30,3,2,2,44,51,318255,434376,319959,,19,58,11,33,4070,0,0,,0,0,,11,33,5783,,,,,,,382168,,,,,,,,,,,,,,,,,23,,,,,,18,0.75,,,44,,,44,,,,,44,,,44,0,0,1,1,42,,0,0,,18,12,6,6,1,,1,,,,,,,,,,,,,,,,18,12,6,6,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,4.545454545,2.272727273,6,,9.090909091,0.666666667,,-111.039193,45.680365,
-180054,180054,180054,0,Blackfeet Community College,,Browning,Montana,59417-0819,30,2,2,2,496.220538,471,852694,10693677,1280246,0.007841031,104,75,102,73,5533,29,21,770,21,15,765,0,0,,390,1800,1800,,,,11306301,11139639,2250754,8888885,2331541,,,8888885,,259697,58,,,,,,9,,,,,,58,10,0.108695652,163,533,472,,,472,61,,,61,533,,,533,515,0,1,4,13,0,0,0,1,80,78,100,71,54,28,39,17,4,,,,,,,,,,,,,1,80,78,100,71,54,28,39,17,4,,3,4,7,5,7,6,4,9,15,1,,,,,,,,,,,,,3,4,7,5,7,6,4,9,15,1,,,,,,,,,,,,,,,,,,,,,,,,,28,32,5.642652381,6.448745578,127,34480.60714,18.94319013,0.466666667,28,-113.022682,48.555957,
-180063,180063,180063,0,Butte Academy of Beauty Culture,,Butte,Montana,59701,30,3,2,2,47,72,293137,401090,293137,0.010234123,28,93,25,83,4877,0,0,,0,0,,23,77,6692,,,,,,,382307,,,,,,,,,,,,,,,,,22,,,,,,24,0.705882353,,,47,,,47,,,,,47,,,47,1,1,0,2,43,0,0,0,,12,11,13,4,2,3,2,,,,,,,,,,,,,,,,12,11,13,4,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,8.510638298,,5,,10.63829787,1,,-112.540593,46.012603,
-180106,180106,180106,0,Carroll College,Carroll College (MT),Helena,Montana,59625-0002,30,2,2,2,1327.821397,1292,28865156,30380767,34175806,0.468335179,301,100,102,34,4110,9,3,1111,299,99,11533,193,64,6234,340,22044,22044,,,,43707667,63084780,23338889,39745891,872868,,,39745891,,23066603,0,234,,,,,,,,,,,234,218,0.608938547,398,1464,1241,,,1241,221,,,221,1462,,,1462,19,17,12,47,440,,910,17,959,27,13,185,7,2,26,18,4,0,,,,,,,,,,,,,959,27,13,185,7,2,26,18,4,0,,19,5,18,21,41,24,40,46,5,2,,,,,,,,,,,,,19,5,18,21,41,24,40,46,5,2,,1137,505,632,842,366,476,301,115,186,1137,842,301,0,21,27,21,28,21,27,510,610,510,600,81,73,6.10021801,5.497727342,315,51615.55556,17.17098403,0.525974026,81,-112.041289,46.600848,
-180151,180151,180151,0,Dawson Community College,Dawson Community College,Glendive,Montana,59330,30,1,2,2,348.667443,455,1204490,7045462,4808265,0.429260517,120,94,54,42,5161,32,25,1249,61,48,3349,62,48,4970,1170,2673,7329,,,,7876620,14674605,5902240,8772365,137518,,,8772365,,,57,,,,,,23,0,,,,,57,80,0.747663551,174,441,302,,,302,139,,,139,441,,,441,15,4,11,8,399,,4,0,3,179,63,18,10,12,0,5,10,2,,,,,,,,,,,,,3,179,63,18,10,12,0,5,10,2,,11,10,16,8,23,13,5,19,29,5,,,,,,,,,,,,,11,10,16,8,23,13,5,19,29,5,,,,,,,,,,,,,,,,,,,,,,,,,29,3,8.317381098,0.860418734,68,42877.58621,18.06879342,0.90625,29,-104.722034,47.085957,
-180160,180160,180160,0,Chief Dull Knife College,,Lame Deer,Montana,59043,30,1,2,2,247.479106,186,467372,6185498,484700,,40,91,37,84,4528,1,2,4907,22,50,1976,0,0,,300,1960,1960,,,,5840442,6694459,864992,5829467,395149,,,5829467,,,17,,,,,,1,,,,,,17,21,0.567567568,44,472,134,,,134,338,,,338,472,,,472,381,0,0,0,91,,0,0,,53,36,14,16,6,7,2,0,,,,,,,,,,,,,,,53,36,14,16,6,7,2,0,,,,47,79,53,63,39,25,17,15,,,,,,,,,,,,,,,47,79,53,63,39,25,17,15,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,5.657043225,0.404074516,61,32326.81818,23.43632193,0.933333333,11,-106.66456,45.62566,
2561,180179,180179,1,Montana State University-Billings,Montana State University-Billings,Billings,Montana,59101-0298,30,1,2,2,3993.021613,4259,26458224,61010940,44194653,0.130012695,639,86,304,41,4219,181,24,2202,183,24,4158,457,61,5471,1219,3988,9336,1219,4786,9336,63418451,90444452,29199803,61244649,7831827,,,61244649,,,197,504,128,,,,28,31,,,,,829,143,0.304904051,1504,4547,3210,171,171,3381,1337,323,323,1660,4547,494,494,5041,281,61,34,195,4290,,167,13,9,872,776,634,457,195,107,114,44,2,,,,2,34,61,23,17,18,16,0,,9,872,778,668,518,218,124,132,60,2,,62,110,176,230,290,158,101,146,61,3,,,,1,27,77,57,43,78,38,2,,62,110,177,257,367,215,144,224,99,5,,895,339,556,892,336,556,532,204,328,895,892,475,57,18,24,17,23,17,24,460,590,460,580,154,136,3.856728436,3.781597362,643,53120.87662,11.72044745,0.504918033,154,-108.521686,45.794981,
2562,180197,180197,1,Flathead Valley Community College,Flathead Valley Community College,Kalispell,Montana,59901,30,1,2,2,1789.574327,2076,8458144,30477597,19550142,0.11534268,290,86,216,64,4520,94,28,1301,57,17,1740,139,41,5669,892,3976,9744,,,,32820839,38777737,21057780,17719957,4576787,,,17719957,,,265,,,,,15,76,,,,,,265,43,0.196347032,843,2501,1430,,,1430,1071,,,1071,2501,,,2501,70,28,10,51,1985,0,355,2,41,442,185,145,176,114,78,149,98,2,,,,,,,,,,,,,41,442,185,145,176,114,78,149,98,2,,163,141,94,117,133,70,71,131,126,25,,,,,,,,,,,,,163,141,94,117,133,70,71,131,126,25,,,,,,,,,,,,,,,,,,,,,,,,,43,161,2.402806039,8.996552843,322,49968.93023,8.2142439,0.210784314,43,-114.328355,48.225899,
-180203,180203,180203,0,Fort Belknap College,,Harlem,Montana,59526-0159,30,1,2,2,154.295651,179,227528,6157150,371085,0.579080377,35,97,33,92,7468,12,33,740,16,44,751,0,0,,670,1740,1740,,,,6235441,8498993,229323,8269670,,,,8269670,,,19,,,,,7,,,,,,,19,11,0.305555556,73,236,113,,,113,123,,,123,236,,,236,232,0,0,0,4,0,0,0,,22,28,13,18,11,8,11,2,0,,,,,,,,,,,,,,22,28,13,18,11,8,11,2,0,,,0,6,12,22,19,7,18,26,13,,,,,,,,,,,,,,0,6,12,22,19,7,18,26,13,,,,,,,,,,,,,,,,,,,,,,,,,14,6,9.073489699,3.888638443,60,31311.08333,31.75721395,0.7,12,-108.78364,48.53309,
-180212,180212,180212,0,Fort Peck Community College,,Poplar,Montana,59255-0398,30,1,2,2,347.952703,325,766429,8851687,784503,0.379908641,45,92,37,76,3802,38,78,1785,23,47,1139,0,0,,570,1680,1680,,,,9673712,12242418,3065274,9177144,65331,,,9177144,,,35,,,,,,22,,,,,,35,4,0.08,92,427,308,,,308,119,,,119,427,,,427,336,2,0,0,88,,1,0,1,53,47,49,43,36,25,29,22,0,3,,,,,,,,,,,,1,53,47,49,43,36,25,29,22,0,3,24,10,5,9,9,11,10,22,14,4,1,,,,,,,,,,,,24,10,5,9,9,11,10,22,14,4,1,,,,,,,,,,,,,,,,,,,,,,,,23,27,6.610093786,7.759675314,129,40774,20.6924675,0.46,23,-105.19298,48.11373,
