groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-181880,181880,181880,0,Academy of Hair Design,,Las Vegas,Nevada,89146,32,3,2,2,183.191118,354,2508488,2774547,2508488,0.023523732,184,74,166,67,3770,6,2,426,25,10,1510,184,74,6935,,,,,,,2721785,,,,,,,,,,,,,,,36,19,93,,,,,,132,0.819875776,,,155,,,155,71,,,71,226,,,226,6,20,24,50,106,,20,0,9,49,16,10,13,10,8,11,4,,25,,,,,,,,,,,,9,49,16,10,13,10,8,11,4,,25,2,23,8,8,13,5,2,8,2,,0,,,,,,,,,,,,2,23,8,8,13,5,2,8,2,,0,,,,,,,,,,,,,,,,,,,,,,,,7,3,3.821145958,1.637633982,34,,15.28458383,0.7,,-115.210189,36.15899,
-181941,181941,181941,0,Career College of Northern Nevada,,Sparks,Nevada,89434-7905,32,3,2,2,536,580,5313494,5325314,5323894,,697,69,572,57,4248,57,6,6604,118,12,146,697,69,7078,,,,,,,5404491,3407017,2399248,,,,,,,,87,,,,,,85,,,,,,87,166,0.612546125,,,536,,,536,,,,,536,,,536,32,22,27,100,349,0,6,0,,26,54,89,90,67,54,76,47,2,31,,,,,,,,,,,,,26,54,89,90,67,54,76,47,2,31,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,110,32,78,110,32,78,110,32,78,110,110,110,0,,,,,,,,,,,16,6,2.985074627,1.119402985,52,34642.25,7.089552239,0.727272727,16,-119.718421,39.541607,
-182005,182005,182005,0,College of Southern Nevada,College of Southern Nevada,Las Vegas,Nevada,89146-1164,32,1,2,2,20851.584,24528,57200000,170170000,119340000,0.007412587,1586,63,1037,41,4396,760,30,803,253,10,810,373,15,6302,165,1845,8033,,,,189185000,289886000,15865000,274021000,20375000,,,274021000,,,1801,6,,,,,229,,,,,,1807,,,12583,42103,10108,,,10108,32000,,,32000,42108,,,42108,360,4815,4626,10412,18291,850,2180,574,221,3470,2389,1449,1196,585,303,337,137,14,7,,,,,,,,,,,,221,3470,2389,1449,1196,585,303,337,137,14,7,1107,3472,3869,4684,5876,3958,2888,3702,1903,272,269,,,,,,,,,,,,1107,3472,3869,4684,5876,3958,2888,3702,1903,272,269,,,,,,,,,,,,,,,,,,,,,,,,492,976,2.359532974,4.680699557,2302,65426.09553,5.6494509,0.335149864,492,-115.233652,36.159035,
-182111,182111,182111,0,The Art Institute of Las Vegas,,Henderson,Nevada,89074-7737,32,3,2,2,1112.249945,1491,30188332,32496896,30188332,0.052206528,222,99,135,60,5934,3,1,744,122,54,1830,215,96,12255,700,23000,23000,,,,25747753,12591641,3016913,,,,,,,,46,139,,,,0,0,,,,,,185,33,0.251908397,420,1308,961,,,961,385,,,385,1346,,,1346,12,103,67,175,336,,653,0,3,224,176,158,151,61,33,29,9,,117,,,,,,,,,,,,3,224,176,158,151,61,33,29,9,,117,0,39,52,76,80,33,23,23,7,,52,,,,,,,,,,,,0,39,52,76,80,33,23,23,7,,52,544,275,269,280,151,129,271,144,127,544,280,211,60,,,,,,,,,,,30,65,2.697235467,5.844010179,187,41474.96667,10.78894187,0.315789474,30,-115.088151,36.02575,
2566,182148,182148,1,Everest College-Henderson,,Henderson,Nevada,89074,32,3,2,2,803.705688,942,15684044,15684044,15684044,,1000,97,890,86,4984,5,0,1000,0,0,,955,93,9296,0,20768,20768,,,,10603634,18145080,1294279,,,,,,,,56,,,,,101,3,,,,,,56,119,0.252118644,193,,710,,,710,236,,,236,946,,,946,9,50,230,310,259,33,55,0,1,60,168,135,134,70,46,68,26,2,0,,,,,,,,,,,,1,60,168,135,134,70,46,68,26,2,0,0,16,46,60,45,28,11,20,9,0,1,,,,,,,,,,,,0,16,46,60,45,28,11,20,9,0,1,192,44,148,139,31,108,92,20,72,192,139,35,57,,,,,,,,,,,11,6,1.368660215,0.746541936,66,24247.18182,7.092148389,0.647058824,11,-115.04609,36.03777,
-182209,182209,182209,0,Marinello School of Beauty,,Las Vegas,Nevada,89110,32,3,2,2,281.941104,624,3029564,3722403,3055991,,193,91,171,81,4028,0,0,,0,0,,138,65,5859,,,,,,,3295420,,,,,,,,,,,,,,,43,89,,,,,,,,,,,247,,,247,88,,,88,335,,,335,2,12,113,97,97,0,14,0,4,52,46,39,57,25,11,12,1,,,,,,,,,,,,,,4,52,46,39,57,25,11,12,1,,,1,19,8,19,17,13,2,6,3,,,,,,,,,,,,,,1,19,8,19,17,13,2,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,12,,4.256208063,,23,,7.803048115,1,,-115.064625,36.173967,
-182281,182281,182281,0,University of Nevada-Las Vegas,University of Nevada-Las Vegas,Las Vegas,Nevada,89154,32,1,1,2,23059.28208,24641,182416000,536770000,337891000,0.073217262,2720,88,1025,33,4679,2131,69,1855,645,21,7699,961,31,4888,492,4485,16825,528,4046,16386,528454000,1134795000,307041000,827754000,68542000,,,827754000,,,,3627,1264,140,223,,42,,66,23,,23,5254,1257,0.406007752,5749,22708,16410,2823,2823,19233,6324,3523,3523,9847,22734,6346,6346,29080,216,4766,2272,4272,14297,1021,1183,1053,5470,4560,2948,1684,1009,323,202,156,51,7,,,40,435,825,806,287,169,183,72,6,,5470,4600,3383,2509,1815,610,371,339,123,13,,484,743,1088,1231,1181,591,335,456,159,56,,,8,181,552,883,571,420,503,348,57,,484,751,1269,1783,2064,1162,755,959,507,113,,7800,3584,4216,6057,2673,3384,3236,1505,1731,7800,6057,3090,146,19,24,18,24,18,25,450,580,440,560,897,631,3.889973664,6.626398839,4991,90338.6845,13.47396675,0.369896907,897,-115.137461,36.107751,
-182290,182290,182290,0,University of Nevada-Reno,University of Nevada-Reno,Reno,Nevada,89557,32,1,1,1,13945.51839,13661,105913650,531289326,280408413,0.112067632,1930,91,483,23,4322,1509,71,1734,1527,72,2318,734,34,6279,546,4485,16825,537,4046,16386,517013048,1007692844,328353604,679339240,76644000,,,679339240,,,,2319,640,95,55,,,,,9,,9,3109,1051,0.492964353,3487,13340,10663,1447,1447,12110,2677,2088,2088,4765,13340,3535,3535,16875,152,1094,424,1737,12064,517,229,658,204,3788,3341,2236,666,198,85,93,35,4,13,,,28,416,583,176,102,80,56,6,,204,3788,3369,2652,1249,374,187,173,91,10,13,218,154,447,682,512,223,138,184,96,23,0,,,8,247,616,365,246,310,243,53,,218,154,455,929,1128,588,384,494,339,76,0,5127,2691,2354,4457,2441,2016,2172,1003,1169,5127,4457,2131,41,20,26,19,26,19,26,470,600,465,580,873,109,6.260075644,7.307006966,3864,89416.76279,19.13876506,0.46141649,645,-119.81425,39.538779,
-182306,182306,182306,0,Great Basin College,,Elko,Nevada,89801,32,1,2,2,2143.331903,4155,5267958,27449096,16247958,0.158453617,254,75,115,34,4707,141,42,787,25,7,794,72,21,5951,165,1845,8033,,,,29484000,48871000,3355000,45516000,7405453,,,45516000,,,238,59,,,,2,47,,,,,,297,7,0.205882353,1303,3647,1126,,,1126,2521,,,2521,3647,,,3647,108,56,62,328,2712,131,244,6,15,454,207,140,115,58,47,72,17,1,,,,,,,,,,,,,15,454,207,140,115,58,47,72,17,1,,419,196,174,203,265,224,208,390,329,113,,,,,,,,,,,,,419,196,174,203,265,224,208,390,329,113,,,,,,,,,,,,,,,,,,,,,,,,,68,187,3.172630422,8.724733661,574,63100.52941,9.751172915,0.266666667,68,-115.768435,40.841794,
-182397,182397,182397,0,Marinello Schools of Beauty,,Reno,Nevada,89502,32,3,2,-1,108.249958,251,1761685,2164569,1777051,,92,80,76,66,3443,2,2,4358,0,0,,77,67,5046,,,,,,,1916279,,,,,,,,,,,,,,,30,12,52,,,,,,81,0.618320611,,,88,,,88,51,,,51,139,,,139,6,8,3,35,79,0,8,0,,18,16,18,16,7,5,6,2,,,,,,,,,,,,,,,18,16,18,16,7,5,6,2,,,,5,9,13,11,4,1,7,1,,,,,,,,,,,,,,,5,9,13,11,4,1,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,10,,9.237878873,,16,,13.85681831,1,,-119.760781,39.485971,
