groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-182634,182634,182634,0,Colby-Sawyer College,Colby-Sawyer College,New London,New Hampshire,03257-7835,33,2,2,2,1100.749995,1068,31862237,36681497,40990238,0.529355864,419,97,131,30,5841,81,19,765,417,97,16975,359,83,4142,0,31090,31090,,,,32101843,76410045,31377874,45032171,4768592,,,45032171,,35606933,7,135,,,,,,,,,,,142,170,0.646387833,456,1142,1087,,,1087,35,,,35,1122,,,1122,6,13,39,23,982,8,29,22,31,646,353,43,5,2,,3,1,,3,,,,,,,,,,,,31,646,353,43,5,2,,3,1,,3,0,2,4,4,2,0,,2,0,,21,,,,,,,,,,,,0,2,4,4,2,0,,2,0,,21,3224,1050,2174,2573,753,1820,454,130,324,3224,2573,445,9,,,,,,,,,,,60,56,5.450829005,5.087440405,320,57186.48333,21.62162172,0.517241379,60,-71.978564,43.411561,
-182652,182652,182652,0,Continental Academie of Hair Design,,Hudson,New Hampshire,3051,33,3,2,2,86,108,855595,1062821,887073,,67,68,32,33,3308,3,3,1833,0,0,,60,61,5291,,,,,,,1089949,,,,,,,,,,,,,,,,42,,,,,,,,,,,86,,,86,,,,,86,,,86,0,1,0,4,80,0,1,0,4,49,11,9,5,4,2,2,,,,,,,,,,,,,,,4,49,11,9,5,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,74,9,65,57,6,51,57,6,51,74,57,57,0,,,,,,,,,,,5,1,5.813953488,1.162790698,14,,10.46511628,0.833333333,,-71.444768,42.776639,
-182661,182661,182661,0,Daniel Webster College,Daniel Webster College,Nashua,New Hampshire,03063-1300,33,3,2,2,847.035707,838,17590572,9625674,17590572,0.452793576,163,96,38,22,5351,21,12,563,160,95,13450,135,80,7324,675,27940,27940,0,21879,21879,9286326,35594734,32505386,,,,,,,,25,164,43,,,,,,,,,,232,63,0.39375,215,787,736,91,91,827,51,,,51,787,91,91,878,3,12,35,24,525,3,274,2,11,302,270,69,30,11,13,14,9,,7,,,,10,22,18,11,19,6,3,2,11,302,270,79,52,29,24,33,15,3,9,1,0,4,10,9,2,7,11,3,,4,,,,,,,,,,,,1,0,4,10,9,2,7,11,3,0,4,791,607,184,568,432,136,168,133,35,791,568,168,0,18,22,,,,,460,600,450,560,34,91,4.013998432,10.74334875,252,58359.73529,15.34764106,0.272,34,-71.511517,42.775539,
-182670,182670,182670,0,Dartmouth College,Dartmouth College,Hanover,New Hampshire,03755-3529,33,2,1,2,5880.028964,6153,247818480,877863814,789933545,0.426574059,725,66,201,18,6746,19,2,541,572,52,33230,527,48,4461,234,38445,38445,50,38445,38445,755982448,5185413946,1663775791,3521638155,112450396,,,3521638155,,3159435559,,1067,499,75,86,,,,,,,,1727,1026,0.953531599,1120,4196,4145,1668,1668,5813,51,123,123,174,4196,1791,1791,5987,171,744,397,345,3051,,462,817,72,1930,1847,276,14,4,1,1,,,,,,30,484,829,258,45,18,4,0,,72,1930,1877,760,843,262,46,19,4,0,,48,2,0,0,0,0,0,1,,,,,,1,33,22,15,14,21,16,1,,48,2,1,33,22,15,14,22,16,1,,16538,8149,8389,2228,1110,1118,1094,552,542,16538,2228,1094,0,29,34,,,,,670,780,660,770,800,195,13.60537516,11.64960248,4735,101847.304,62.89084667,0.538720539,523,-72.288576,43.704819,
2568,182704,182704,1,Empire Beauty School-Laconia,,Laconia,New Hampshire,3246,33,3,2,2,244.426422,277,2151314,2438727,2151314,,80,93,58,67,4868,0,0,,14,16,500,74,86,7771,,,,,,,2143437,,,,,,,,,,,,,,,11,111,,,,,,,,,,,221,,,221,59,,,59,280,,,280,0,2,5,8,265,,0,0,2,88,54,25,18,15,8,7,0,1,3,,,,,,,,,,,,2,88,54,25,18,15,8,7,0,1,3,1,9,9,13,9,6,3,6,1,0,2,,,,,,,,,,,,1,9,9,13,9,6,3,6,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,21,,8.59154253,,27,,11.04626897,1,,-71.468975,43.526045,
2569,182722,182722,1,Empire Beauty School-Somersworth,,Somersworth,New Hampshire,3878,33,3,2,2,257.411712,282,2426533,2750715,2426533,,143,95,109,73,4822,0,0,,2,1,500,142,95,7982,,,,,,,2541072,,,,,,,,,,,,,,,21,113,,,,,,,,,,,232,,,232,64,,,64,296,,,296,0,8,8,5,275,,0,0,3,74,46,34,35,13,10,10,6,,1,,,,,,,,,,,,3,74,46,34,35,13,10,10,6,,1,0,9,7,13,12,9,6,8,0,,0,,,,,,,,,,,,0,9,7,13,12,9,6,8,0,,0,,,,,,,,,,,,,,,,,,,,,,,,15,4,5.827240681,1.553930848,35,,9.32358509,0.789473684,,-70.904719,43.261022,
2240,182795,182795,1,Franklin Pierce University,Franklin Pierce University,Rindge,New Hampshire,03461-0060,33,2,2,2,2105.846935,2404,52468697,49763747,53775219,0.348478694,388,100,110,28,5345,75,19,910,365,94,15806,307,79,8456,1000,27700,27700,0,18720,18720,47933533,75939385,58600929,17338456,12868485,,,17338456,,7692969,36,468,77,2,44,11,0,,,0,,0,627,279,0.491197183,458,1892,1600,296,296,1896,292,249,249,541,1892,545,545,2437,9,25,65,55,1915,8,287,73,1,602,611,209,57,32,27,40,16,0,5,,,1,108,95,36,16,21,18,,1,1,602,612,317,152,68,43,61,34,0,6,21,18,8,29,37,37,43,67,29,3,0,,,1,15,46,37,48,69,33,,0,21,18,9,44,83,74,91,136,62,3,0,2746,1422,1324,2219,1148,1071,437,242,195,2746,2219,436,1,18,21,17,22,17,22,440,540,440,540,99,208,4.701196386,9.877261094,557,56349.26263,15.24327313,0.32247557,99,-72.057028,42.773135,
-182829,182829,182829,0,Franklin Pierce Law Center,,Concord,New Hampshire,03301-4197,33,2,2,2,468.438531,551,17760032,19391674,21281737,0.159106076,,,,,,,,,,,,,,,,,,80,36900,36900,15128069,37421732,11390543,26031189,651305,,,26031189,,21204022,,,20,25,128,,,,,,,,173,,,,,,465,465,465,,9,9,9,,474,474,474,1,40,24,16,311,,28,54,,,,,,,,,,,,,,,99,240,73,29,18,5,,1,,,,99,240,73,29,18,5,,1,,,,,,,,,,,,,,,1,3,0,3,1,1,,0,,,,1,3,0,3,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,37,1,7.898581682,0.213475181,106,94959.17143,20.49361734,0.973684211,35,-71.545086,43.206765,
2570,182865,182865,1,Hesser College,,Manchester,New Hampshire,03103-9969,33,3,2,2,3515.071194,3622,47013683,41673876,47052423,0.000824015,1059,81,761,58,4233,86,7,1804,200,15,703,999,76,7098,1020,13354,13354,,,,27450748,40051294,4189619,,,,,,,,661,260,,,,360,,,,,,,921,1,0.019230769,,,2870,,,2870,1642,,,1642,4512,,,4512,13,33,76,451,2198,14,1707,20,12,422,490,585,508,291,203,280,77,,2,,,,,,,,,,,,12,422,490,585,508,291,203,280,77,,2,0,121,252,282,332,198,161,207,84,,5,,,,,,,,,,,,0,121,252,282,332,198,161,207,84,,5,,,,,,,,,,,,,,,,,,,,,,,,28,255,0.796569926,7.254476109,453,43075.28571,5.149255591,0.098939929,28,-71.468351,42.97324,
-182883,182883,182883,0,Continental Academie of Hair Design,,Manchester,New Hampshire,3103,33,3,2,2,22,39,188140,241032,193323,,22,79,17,61,5869,1,4,1101,0,0,,21,75,7572,,,,,,,312348,,,,,,,,,,,,,,,,13,,,,,,,,,,,22,,,22,,,,,22,,,22,0,0,0,2,20,0,0,0,2,10,1,3,4,1,1,,,,,,,,,,,,,,,,2,10,1,3,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,29,0,29,24,0,24,24,0,24,29,24,24,0,,,,,,,,,,,2,,9.090909091,,3,,13.63636364,1,,-71.453057,42.980897,
