groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-183488,183488,183488,0,HoHoKus-Hackensack School of Business and Medical Sciences,,Hackensack,New Jeresy,7601,34,3,2,2,757.823256,1246,7932868,7932868,7932868,,808,99,549,67,2562,157,19,2754,0,0,,501,61,6127,,,,,,,7273893,,,,,,,,,,,,,,,181,393,,,,,,,449,0.696124031,,,626,,,626,332,,,332,958,,,958,3,70,247,484,143,3,8,0,1,40,68,88,90,60,58,89,58,2,72,,,,,,,,,,,,1,40,68,88,90,60,58,89,58,2,72,0,13,29,39,68,46,38,66,33,0,0,,,,,,,,,,,,0,13,29,39,68,46,38,66,33,0,0,317,32,285,262,19,243,262,19,243,317,262,158,104,,,,,,,,,,,23,21,3.035008469,2.771094689,110,,9.236982297,0.522727273,,-74.040881,40.885811,
-183600,183600,183600,0,Assumption College for Sisters,,Mendham,New Jeresy,07945-2923,34,2,2,2,33.367638,38,127230,605444,478215,,0,0,0,0,,0,0,,0,0,,0,0,,0,4900,4900,,,,689685,716071,5241,710830,7442,,,710830,,142894,9,,,,,3,,,,,,,9,11,1,16,40,29,,,29,11,,,11,40,,,40,0,1,2,4,7,0,0,26,,1,1,1,3,9,5,8,1,0,,,,,,,,,,,,,,1,1,1,3,9,5,8,1,0,,,0,1,3,2,4,0,0,0,1,,,,,,,,,,,,,,0,1,3,2,4,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.603415,40.754377,
-183655,183655,183655,0,Atlantic Cape Community College,Atlantic Cape Community College,Mays Landing,New Jeresy,08330-2699,34,1,2,2,5206.617145,5902,26510080,50561403,42199314,0.048871222,891,66,702,52,4322,560,42,2085,32,2,1924,242,18,5114,615,5580,11160,,,,54710794,69081694,10454796,58626898,3729434,,,58626898,,,779,,,,,,,,,,,,779,199,0.177678571,3309,7588,4003,,,4003,3585,,,3585,7588,,,7588,21,482,875,801,3646,0,1556,207,18,1828,1134,454,256,111,74,92,24,0,12,,,,,,,,,,,,18,1828,1134,454,256,111,74,92,24,0,12,29,378,557,697,603,355,299,426,203,33,5,,,,,,,,,,,,29,378,557,697,603,355,299,426,203,33,5,,,,,,,,,,,,,,,,,,,,,,,,105,345,2.016664507,6.626183381,841,61824.48515,7.240785898,0.233333333,101,-74.683979,39.465848,
-183725,183725,183725,0,Berdan Institute,,Wayne,New Jeresy,7470,34,3,2,2,421,924,6739000,6700838,6739000,0.005662858,401,100,311,78,4925,14,3,2856,191,48,226,383,96,8373,,,,,,,6440000,,,,,,,,,,,,,,,124,321,,,,,,,,,,,421,,,421,,,,,421,,,421,0,0,120,105,91,,105,0,,,,,,,,,,,421,,,,,,,,,,,,,,,,,,,,,,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,516,104,412,393,79,314,393,79,314,516,393,393,0,17,23,19,21,19,23,,,,,20,19,4.750593824,4.513064133,57,,8.788598575,0.512820513,,-74.256347,40.885616,
-183743,183743,183743,0,Bergen Community College,Bergen Community College,Paramus,New Jeresy,07652-1595,34,1,2,2,11708.89134,11797,69692723,112321313,100368436,,1216,45,956,35,4476,748,28,2427,0,0,,322,12,4815,840,5616,5880,,,,109582296,174421293,33813271,140608022,5598124,,,140608022,,,1867,,,,,9,40,,,,,,1867,367,0.150040883,5449,16469,9303,,,9303,7166,,,7166,16469,,,16469,31,1572,999,4378,6928,0,1271,1290,45,3614,2937,1259,746,261,164,194,75,0,8,,,,,,,,,,,,45,3614,2937,1259,746,261,164,194,75,0,8,45,905,1262,1522,1321,656,434,643,289,83,6,,,,,,,,,,,,45,905,1262,1522,1321,656,434,643,289,83,6,,,,,,,,,,,,,,,,,,,,,,,,335,626,2.861073608,5.346364414,1390,76067.97211,6.516415412,0.348595213,251,-74.094032,40.953669,
-183789,183789,183789,0,Berkeley College,,West Paterson,New Jeresy,7424,34,3,2,2,3353.214202,3876,77304103,67383219,77406730,0.187347908,890,100,652,73,3954,585,66,5079,755,85,3382,865,97,5516,900,19050,19050,,,,60742399,29751826,9943229,,,,,,,,258,380,,,,,0,,,,,,638,127,0.343243243,1235,3709,3123,,,3123,586,,,586,3709,,,3709,18,166,1023,1353,957,10,125,57,91,1014,670,532,398,194,90,106,26,,2,,,,,,,,,,,,91,1014,670,532,398,194,90,106,26,,2,2,18,64,84,131,88,56,99,42,,2,,,,,,,,,,,,2,18,64,84,131,88,56,99,42,,2,2453,,,1891,,,985,,,2453,1891,944,41,,,,,,,,,,,69,153,2.057727179,4.562786353,533,58244.94203,9.572904702,0.310810811,69,-74.187609,40.900835,
-183804,183804,183804,0,Beth Medrash Govoha,,Lakewood,New Jeresy,08701-2754,34,2,2,2,5630.546899,6435,50863048,24777719,62845064,0.950947651,,,,,,,,,,,,,,,0,15428,15428,0,4360,4360,32937754,79124007,29441878,49682129,10072634,,,49682129,,10429790,,478,342,,,,,,,250,,250,820,,,,2712,2675,2734,2734,5409,31,548,548,579,2706,3282,3282,5988,0,0,0,11,5795,0,0,182,,11,139,1582,900,39,2,1,0,1,,,,,38,1166,992,331,148,57,2,,,11,139,1620,2066,1031,333,149,57,3,,,0,0,8,19,3,0,0,1,0,,,,,2,81,161,150,119,31,4,,,0,0,10,100,164,150,119,32,4,,,,,,,,,,,,,,,,,,,,,,,,,25,47,0.444006603,0.834732413,200,39788.56,1.758266147,0.347222222,25,-74.220558,40.095469,
-183822,183822,183822,0,Bloomfield College,Bloomfield College,Bloomfield,New Jeresy,7003,34,2,2,2,1903.428512,1974,41452756,43665889,44886956,0.244293142,442,97,352,77,4993,341,75,9404,419,92,5715,354,78,7592,1000,20000,20000,,,,38857628,55492487,16495201,38997286,2958062,,,38997286,,12866705,,287,,,,,1,,,,,,287,105,0.290858726,706,2156,1740,,,1740,416,,,416,2156,,,2156,1,71,1074,420,328,0,229,33,8,630,471,355,138,48,37,36,17,0,0,,,,,,,,,,,,8,630,471,355,138,48,37,36,17,0,0,1,23,14,78,110,56,40,62,26,5,1,,,,,,,,,,,,1,23,14,78,110,56,40,62,26,5,1,3280,1155,2125,1692,571,1121,493,180,313,3280,1692,488,5,,,,,,,380,460,380,460,68,159,3.572500862,8.353347604,497,73157.70588,13.18673112,0.299559471,68,-74.196925,40.794793,
-183859,183859,183859,0,Brookdale Community College,Brookdale Community College,Lincroft,New Jeresy,07738-1597,34,1,2,2,11362.47481,12029,46387357,112597892,84980251,0.0054921,1477,47,903,29,4558,799,25,2468,26,1,824,628,20,3877,662,5520,6120,,,,141674459,197842579,62792846,135049733,5882463,,,135049733,,,1718,,,,,9,46,,,,,,1718,602,0.203653586,4807,15639,9201,,,9201,6438,,,6438,15639,,,15639,41,644,1602,1421,11263,5,538,125,17,4540,2812,944,425,145,87,122,44,6,59,,,,,,,,,,,,17,4540,2812,944,425,145,87,122,44,6,59,379,602,935,1135,1024,529,423,728,418,160,105,,,,,,,,,,,,379,602,935,1135,1024,529,423,728,418,160,105,,,,,,,,,,,,,,,,,,,,,,,,234,688,2.059410507,6.055018926,1602,73166.87179,6.688683698,0.253796095,234,-74.131441,40.331995,
-183877,183877,183877,0,Burlington County College,Burlington County College,Pemberton,New Jeresy,08068-1599,34,1,2,2,6871.210776,7926,25883998,52351167,40163703,,898,46,603,31,4072,488,25,1916,43,2,1942,312,16,3397,735,3060,5010,,,,53178121,119604746,19678097,99926649,6424429,,,99926649,,,1201,,,,,,19,,,,,,1201,342,0.207776428,3643,9693,5445,,,5445,4248,,,4248,9693,,,9693,36,377,1865,647,5982,33,615,138,20,2708,1543,493,274,127,90,128,42,3,17,,,,,,,,,,,,20,2708,1543,493,274,127,90,128,42,3,17,82,360,614,747,773,427,360,581,267,23,14,,,,,,,,,,,,82,360,614,747,773,427,360,581,267,23,14,,,,,,,,,,,,,,,,,,,,,,,,52,539,0.756780744,7.844323476,857,56293.5,4.555237937,0.087986464,52,-74.636146,39.966456,
-183910,183910,183910,0,Caldwell College,Caldwell College,Caldwell,New Jeresy,07006-6195,34,2,2,2,1675.416455,1805,36731910,33033623,38625033,0.290333065,260,95,111,41,4571,92,34,8332,199,73,10235,224,82,5792,800,23800,23800,50,13230,13230,31948008,42931313,28469165,14462148,5860432,,,14462148,,5098108,,290,103,,,,,,,,,,393,153,0.484177215,410,1528,1143,148,148,1291,466,527,527,993,1609,675,675,2284,8,57,276,261,1344,,237,101,,188,427,373,77,28,13,18,11,0,8,,,,30,64,18,10,11,11,1,3,,188,427,403,141,46,23,29,22,1,11,,4,7,35,77,67,56,147,67,2,4,,,,33,189,89,44,86,69,4,13,,4,7,68,266,156,100,233,136,6,17,1740,654,1086,995,378,617,274,115,159,1740,995,274,0,,,,,,,450,615,480,575,82,123,4.894305518,7.341458276,370,66580.78049,13.01169028,0.4,82,-74.270016,40.835696,
-183938,183938,183938,0,Camden County College,Camden County College,Blackwood,New Jeresy,8012,34,1,2,2,10926.49792,10374,47400248,97812697,68208929,0.007283886,1110,67,868,52,3562,599,36,2039,2,0,1097,353,21,3321,810,2910,2910,,,,105405302,115973694,21299057,94674637,6608887,,,94674637,,,1528,,,,,,346,,,,,,1528,270,0.135746606,4298,15670,8529,,,8529,7141,,,7141,15670,,,15670,65,1002,3504,1448,8940,0,711,0,20,3097,2498,1228,773,373,214,243,77,2,4,,,,,,,,,,,,20,3097,2498,1228,773,373,214,243,77,2,4,90,467,887,1327,1350,851,604,912,503,142,8,,,,,,,,,,,,90,467,887,1327,1350,851,604,912,503,142,8,,,,,,,,,,,,,,,,,,,,,,,,139,590,1.272136791,5.399717315,1112,64994.89209,4.429598611,0.190672154,139,-75.03879,39.78558,
-183974,183974,183974,0,Centenary College,Centenary College,Hackettstown,New Jeresy,7840,34,2,2,2,2581.887525,2551,50265000,48636000,53504000,0.283815776,255,94,118,44,4157,93,34,8115,248,92,10205,224,83,6522,1200,25334,25334,0,12690,12690,44067000,96374000,49529000,46845000,2990000,,,46845000,,3334000,74,524,147,,,,,,,,,,745,126,0.488372093,520,2140,1963,395,395,2358,177,404,404,581,2140,799,799,2939,1,119,273,200,1789,,539,18,0,202,525,487,123,82,48,111,53,,332,,,,15,88,66,60,97,37,0,32,0,202,525,502,211,148,108,208,90,0,364,2,4,1,15,24,51,8,27,14,,31,,,,52,108,69,47,64,62,2,0,2,4,1,67,132,120,55,91,76,2,31,754,295,459,673,254,419,271,105,166,754,673,271,0,16,20,,,,,420,510,410,510,69,270,2.672463434,10.61239103,620,56137.17391,11.54194352,0.201166181,69,-74.831187,40.848789,
-183983,183983,183983,0,Adult & Continuing Education-BCTS,,Hackensack,New Jeresy,07601-6637,34,1,2,2,42,131,980358,2015970,980358,,36,100,36,100,236,0,0,,0,0,,19,53,1760,,,,,,,1796310,,,,,,,,,,,,,,,19,20,,,,,,,,,,,42,,,42,,,,,42,,,42,1,2,7,9,23,,0,0,1,8,9,4,,2,4,11,3,,,,,,,,,,,,,,1,8,9,4,,2,4,11,3,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,5,41,11.9047619,97.61904762,65,,26.19047619,0.108695652,,-74.035559,40.90095,
-184047,184047,184047,0,Anthem Institute-Parsippany,,Parsippany,New Jeresy,07054-3897,34,3,2,2,458,732,5572597,5590075,5580221,,199,90,135,61,3742,0,0,,0,0,,196,89,6247,,,,,,,4486797,,,,,,,,,,,,,,,133,178,,,,,,,,,,,458,,,458,,,,,458,,,458,0,21,42,106,269,11,9,0,2,32,78,98,98,36,24,59,29,2,,,,,,,,,,,,,2,32,78,98,98,36,24,59,29,2,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,10,4,2.183406114,0.873362445,41,,7.641921397,0.714285714,,-74.383582,40.862671,
-184056,184056,184056,0,Lincoln Technical Institute,,Edison,New Jeresy,08820-2896,34,3,2,2,1158,1125,9199108,9260018,9199108,,842,86,597,61,4245,0,0,,8,1,4304,807,83,7715,,,,,,,10328091,,,,,,,,,,,,,,,,477,,,,,,,,,,,1158,,,1158,,,,,1158,,,1158,0,43,268,183,141,2,521,0,1,185,186,187,231,124,106,96,40,2,,,,,,,,,,,,,1,185,186,187,231,124,106,96,40,2,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,24,45,2.07253886,3.886010363,110,,5.354058722,0.347826087,,-74.345574,40.572584,
-184135,184135,184135,0,Dover Business College,,Clifton,New Jeresy,07011-2161,34,3,2,2,624,1204,11927273,12506293,11928179,0.016785647,407,90,347,77,3795,0,0,,32,7,1257,351,78,7682,225,16890,16890,,,,11722018,,,,,,,,,,,,,,,176,386,,,,,,,,,,624,624,,,624,,,,,624,,,624,3,8,118,275,170,,50,0,3,150,118,92,85,49,38,53,22,1,13,,,,,,,,,,,,3,150,118,92,85,49,38,53,22,1,13,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,935,209,726,544,126,418,457,106,351,935,544,457,0,,,,,,,,,,,51,64,8.173076923,10.25641026,171,,16.02564103,0.443478261,,-74.151411,40.889238,
2572,184144,184144,1,Concorde School of Hair Design-Ocean Township,,Ocean,New Jeresy,07712-4003,34,3,2,2,198.79406,471,3288170,3996765,3288170,0.002756244,336,96,305,87,6343,1,0,4308,95,27,101,304,87,10175,,,,,,,3078270,,,,,,,,,,,,,,,24,182,,,,,,,,,,,171,,,171,70,,,70,241,,,241,0,2,125,43,58,0,13,0,1,38,33,26,31,14,7,13,4,,4,,,,,,,,,,,,1,38,33,26,31,14,7,13,4,,4,0,1,7,17,14,10,11,5,5,,0,,,,,,,,,,,,0,1,7,17,14,10,11,5,5,,0,,,,,,,,,,,,,,,,,,,,,,,,12,4,6.036397667,2.012132556,28,,11.06672906,0.75,,-74.0394,40.25183,
