groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-217615,217615,217615,0,Aiken Technical College,Aiken Technical College,Graniteville,South Carolina,29829,45,1,2,2,2169.973261,2542,12462603,24493548,18376859,0.014355268,335,90,236,63,3417,202,54,2142,17,5,973,0,0,,290,3696,9600,,,,22299718,34032782,3664034,30368748,2380780,,,30368748,,,221,,,,,287,25,,,,,,221,50,0.142045455,1010,3233,1615,,,1615,1653,,,1653,3268,,,3268,18,35,1070,76,1994,,73,2,7,558,344,207,179,119,68,99,33,1,0,,,,,,,,,,,,7,558,344,207,179,119,68,99,33,1,0,44,156,262,302,317,215,137,164,51,4,1,,,,,,,,,,,,44,156,262,302,317,215,137,164,51,4,1,,,,,,,,,,,,,,,,,,,,,,,,55,169,2.534593444,7.788114399,441,47769,6.129107782,0.245535714,55,-81.858164,33.518797,
-217624,217624,217624,0,Allen University,Allen University,Columbia,South Carolina,29204,45,2,2,2,813.035711,1116,9137416,19298481,9725945,0.116199372,241,100,240,99,4855,240,99,1949,83,34,1987,241,100,7040,0,10884,10884,,,,18050684,42749887,32291907,10457980,411920,,,10457980,,2391080,,52,,,,,,,,,,,52,12,0.081632653,296,827,804,,,804,23,,,23,827,,,827,0,0,822,2,3,,0,0,3,305,283,128,27,7,12,20,16,,3,,,,,,,,,,,,3,305,283,128,27,7,12,20,16,,3,0,7,3,4,4,0,2,1,1,,1,,,,,,,,,,,,0,7,3,4,4,0,2,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,29,12,3.566878995,1.475949929,132,46021.34483,13.40654519,0.707317073,29,-81.021028,34.010414,
-217633,217633,217633,0,Anderson University,Anderson University (SC),Anderson,South Carolina,29621,45,2,2,2,1919.816265,1947,31571770,33684570,36591735,0.398677965,449,100,174,39,4934,337,75,6565,446,99,9781,299,67,7510,1336,17876,17876,35,8520,8520,27699121,83287420,25491348,57796072,3949394,,,57796072,,17839199,,235,37,,,,,,,,,,272,143,0.44,588,2132,1689,1,1,1690,443,146,146,589,2132,147,147,2279,4,25,277,45,1867,,12,49,8,710,534,174,73,65,49,58,7,1,10,,,0,0,0,1,0,0,0,,0,8,710,534,174,73,66,49,58,7,1,10,226,49,17,21,32,19,23,35,11,0,10,,,1,24,33,23,24,29,9,,3,226,49,18,45,65,42,47,64,20,0,13,1822,677,1145,1261,449,812,449,162,287,1822,1261,448,1,18,24,17,25,17,24,450,580,440,580,76,106,3.958712164,5.521361702,371,51878.30263,12.55328462,0.417582418,76,-82.63758,34.512043,
-217688,217688,217688,0,Charleston Southern University,Charleston Southern University,Charleston,South Carolina,29410-8087,45,2,2,2,2695.055231,3759,49721330,48053558,54285890,0.374526667,653,99,300,46,5239,493,75,5719,647,98,8872,479,73,5604,40,19238,19238,40,19230,19230,41225554,86246452,27275574,58970878,8625283,,,58970878,,10681958,,464,134,,,,,,,,,,598,121,0.34084507,922,2771,2364,,,2364,407,448,448,855,2771,448,448,3219,12,38,890,82,1817,,346,34,24,956,738,324,103,66,32,33,8,,80,,,,,,,,,,,,24,956,738,324,103,66,32,33,8,,80,2,3,10,72,91,70,48,69,19,,23,,3,4,81,133,75,48,70,21,,13,2,6,14,153,224,145,96,139,40,,36,3444,1204,2238,2191,763,1428,668,278,390,3444,2191,668,0,21,27,21,28,20,26,500,600,500,570,132,92,4.897858808,3.413659169,475,50906.16667,12.50438196,0.589285714,132,-80.070069,32.977217,
-217712,217712,217712,0,Technical College of the Lowcountry,Technical College of the Lowcountry,Beaufort,South Carolina,29901-1288,45,1,2,2,1492.879518,1971,8516292,21666043,14861333,0.007112133,265,97,191,70,4305,79,29,1612,2,1,666,29,11,4304,150,3232,7286,,,,23019087,30014286,5454880,24559406,6671632,,,24559406,,,175,,,,,234,38,,,,,,175,23,0.139393939,950,2565,951,,,951,1614,,,1614,2565,,,2565,10,32,1058,116,1281,,67,1,13,221,155,138,165,104,56,69,29,1,,,,,,,,,,,,,13,221,155,138,165,104,56,69,29,1,,126,187,212,213,276,194,140,168,90,8,,,,,,,,,,,,,126,187,212,213,276,194,140,168,90,8,,,,,,,,,,,,,,,,,,,,,,,,,48,90,3.215262814,6.028617776,284,49645.625,9.310865232,0.347826087,48,-80.688557,32.419544,
-217721,217721,217721,0,Benedict College,Benedict College,Columbia,South Carolina,29204-1086,45,2,2,2,2958.107137,4737,46045200,61118224,49219556,0.295184753,821,99,711,85,5243,277,33,4668,384,46,6407,784,94,10574,1662,13928,13928,,,,58646632,118182847,92008996,26173851,15581537,,,26173851,,26404833,,285,,,,,,,,,,,285,181,0.274658574,978,2983,2942,,,2942,41,,,41,2983,,,2983,2,2,2962,14,3,,0,0,15,1219,963,492,158,31,20,19,9,1,15,,,,,,,,,,,,15,1219,963,492,158,31,20,19,9,1,15,0,3,3,7,8,7,4,6,3,0,0,,,,,,,,,,,,0,3,3,7,8,7,4,6,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,132,31,4.462313023,1.047967452,609,47370.68702,17.61261428,0.809815951,131,-81.021678,34.01183,
-217749,217749,217749,0,Bob Jones University,Bob Jones University,Greenville,South Carolina,29614-0001,45,2,2,2,3799.526441,3946,44278376,120887813,46402846,,400,50,315,39,3315,125,16,5000,380,47,2500,380,47,2095,610,11520,11520,450,11520,11520,114600690,133329100,26377278,,,,,,,,49,647,167,8,,,1,0,0,6,,6,871,526,0.62994012,955,3457,3355,346,346,3701,102,153,153,255,3457,499,499,3956,7,221,58,122,3359,,189,0,44,1398,1400,442,53,10,4,2,2,0,,,,10,207,82,24,9,8,6,0,,44,1398,1410,649,135,34,13,10,8,0,,11,7,4,24,22,6,2,12,11,3,,,,0,27,53,17,16,19,19,2,,11,7,4,51,75,23,18,31,30,5,,,,,,,,,,,,,,,,,,,,,,,,,228,67,6.000747818,8.316825923,1703,32229.96491,30.34588699,0.419117647,228,-82.3638,34.8747,
-217776,217776,217776,0,Southern Wesleyan University,Southern Wesleyan University,Central,South Carolina,29630-1020,45,2,2,2,2364.999996,2000,18512881,20661020,20632015,0.242582935,167,99,92,55,4930,123,73,5899,167,99,7787,129,77,5981,500,18200,18200,1470,8295,8295,24965728,35845431,14350261,21495170,3382090,,,21495170,,557629,102,323,481,,,,,,,,,,906,52,0.419354839,245,1677,1649,705,705,2354,28,,,28,1677,705,705,2382,13,6,691,37,1435,,187,13,5,264,235,146,174,200,222,305,97,1,,,,,45,190,122,114,150,82,1,1,5,264,235,191,364,322,336,455,179,2,1,8,2,1,7,0,1,1,3,3,2,,,,,,,,,,,,,8,2,1,7,0,1,1,3,3,2,0,655,281,374,583,242,341,169,58,84,655,583,142,27,18,23,18,24,18,24,450,550,460,550,52,76,2.198731505,3.213530661,314,48622.34615,8.964059212,0.40625,52,-82.771953,34.724337,
-217794,217794,217794,0,Charleston Cosmetology Institute,,Charleston,South Carolina,29420,45,3,2,2,150.088204,163,1343761,1607353,1370635,,94,84,71,63,4926,0,0,,0,0,,81,72,6485,,,,,,,1253065,,,,,,,,,,,,,,,27,67,,,,,,,,,,,135,,,135,38,,,38,173,,,173,1,2,65,5,92,,8,0,2,26,17,18,41,18,9,4,0,,,,,,,,,,,,,,2,26,17,18,41,18,9,4,0,,,0,4,7,5,6,5,5,5,1,,,,,,,,,,,,,,0,4,7,5,6,5,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,5.996473913,1.332549759,30,,15.9905971,0.818181818,,-80.110606,32.916131,
-217819,217819,217819,0,College of Charleston,College of Charleston,Charleston,South Carolina,29424-0001,45,1,2,2,10453.46327,10578,131291903,228573575,161997634,0.094939556,1621,76,372,17,5240,1142,53,5081,722,34,5368,883,41,5860,8918,70,70,9816,70,70,199252019,463359724,236560472,226799252,45952616,,,226799252,,,,2220,230,,,,,,16,0,,0,2450,1283,0.661340206,3164,10147,9334,319,319,9653,813,1306,1306,2119,10147,1625,1625,11772,47,227,700,259,9643,,772,124,61,3707,3909,1200,303,80,37,27,7,3,,,,6,146,117,24,10,10,5,1,,61,3707,3915,1346,420,104,47,37,12,4,,82,68,66,241,163,64,34,35,35,25,,,,0,109,283,194,149,267,297,7,,82,68,66,350,446,258,183,302,332,32,,9964,3182,6782,6401,1964,4437,1956,657,1299,9964,6401,1955,1,23,26,22,28,22,26,570,650,570,650,504,342,4.821368641,4.697007941,1980,64706.9246,12.74218855,0.506532663,504,-79.936903,32.78334,
