groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-230816,230816,230816,0,Bennington College,Bennington College,Bennington,Vermont,05201-6003,50,2,2,2,795.066431,770,34475546,29088505,39693052,0.336265653,164,83,41,21,6521,9,5,714,157,79,25093,125,63,6068,1030,38730,38730,0,20950,20950,27856144,99438738,38461970,60976768,1555100,,,60976768,,11348064,,111,71,,,,,,10,,,,182,121,0.60199005,214,664,660,127,127,787,4,17,17,21,664,144,144,808,4,16,19,23,692,,15,39,14,326,263,51,6,,,,,,,,,,14,29,21,22,20,20,1,,14,326,263,65,35,21,22,20,20,1,,0,0,1,3,0,,,,,,,,,,1,6,1,0,8,1,0,,0,0,1,4,6,1,0,8,1,0,,1053,332,721,695,199,496,196,62,134,1053,695,196,0,,,,,,,,,,,62,52,7.798090522,7.169212254,346,65753.43548,29.55727859,0.521008403,62,-73.23687,42.9204,
-230825,230825,230825,0,Burlington College,Burlington College,Burlington,Vermont,5401,50,2,2,2,141.214278,149,3399719,3674446,3552895,0.055731665,14,70,8,40,5956,6,30,2133,12,60,4098,13,65,6327,0,20424,20424,,,,3765145,4606807,2834658,1772149,630460,,,1772149,,91986,3,34,,,,11,3,,,,,,37,5,0.454545455,70,174,120,,,120,54,,,54,174,,,174,0,3,4,4,137,0,24,2,3,28,35,30,16,6,0,1,1,,,,,,,,,,,,,,3,28,35,30,16,6,0,1,1,,,0,2,5,6,15,7,4,9,6,,,,,,,,,,,,,,0,2,5,6,15,7,4,9,6,,,126,67,59,104,54,50,24,15,9,126,104,20,4,,,,,,,,,,,5,51,3.540718453,36.11532822,76,42028.2,14.8710175,0.089285714,5,-73.222388,44.48451,
-230852,230852,230852,0,Champlain College,Champlain College,Burlington,Vermont,5401,50,2,2,2,2417.701522,2687,60883215,72366367,67565772,0.152982279,499,92,121,22,5454,124,23,2983,457,84,6355,436,80,5907,50,25850,25850,0,16776,16776,63314706,124358877,36788342,87570535,1332764,,,87570535,,19090607,61,495,67,,,53,5,,,,,,623,269,0.721179625,763,2659,2086,,,2086,573,279,279,852,2659,279,279,2938,9,41,59,40,1637,,1147,5,44,960,740,182,78,32,21,22,6,1,0,,,,,,,,,,,,44,960,740,182,78,32,21,22,6,1,0,0,0,8,47,100,108,95,114,35,0,66,,,1,25,68,45,44,60,31,2,3,0,0,9,72,168,153,139,174,66,2,69,2934,1509,1425,2271,1178,1093,551,343,208,2934,2271,545,6,21,26,21,26,20,25,510,600,510,610,89,226,3.68118228,9.347721294,545,67269.02247,12.65664919,0.282539683,89,-73.20545,44.475529,
-230889,230889,230889,0,Goddard College,Goddard College,Plainfield,Vermont,05667-9432,50,2,2,2,767.382059,972,10088404,12519519,10468065,0.004681315,5,63,2,25,5600,0,0,,2,25,4929,5,63,10370,164,12344,12344,164,14862,14862,11450013,8619712,2701223,5918489,594512,,,5918489,,806718,,76,181,,,,,,1,,,,257,6,0.6,96,275,275,492,492,767,,1,1,1,275,493,493,768,11,7,34,36,529,,148,3,,7,27,71,68,34,20,22,24,2,,,,2,33,95,87,64,102,105,3,1,,7,29,104,163,121,84,124,129,5,1,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,1,0,0,14,8,6,14,8,6,10,5,5,14,14,10,0,,,,,,,,,,,5,102,0.651565924,13.29194484,183,43646.8,9.512862484,0.046728972,5,-72.438569,44.279459,
-230898,230898,230898,0,Green Mountain College,Green Mountain College,Poultney,Vermont,05764-1199,50,2,2,2,842.821425,844,20152900,20076438,21200784,0.381836708,199,92,72,33,5995,36,17,2187,198,91,12251,153,71,7179,990,25910,25910,0,15400,15400,19553485,31681298,23637217,8044081,3239195,,,8044081,,3447175,,121,27,,,0,,,,,,,148,84,0.469273743,270,761,736,97,97,833,25,,,25,761,97,97,858,6,11,21,24,574,,219,3,1,317,275,110,23,4,2,1,0,0,3,,,,6,31,13,16,22,8,1,,1,317,275,116,54,17,18,23,8,1,3,4,1,2,7,3,3,0,1,1,1,2,,,,,,,,,,,,4,1,2,7,3,3,0,1,1,1,2,1496,618,878,923,426,497,221,88,133,1496,923,221,0,,,,,,,460,570,490,610,49,29,5.813805694,3.440823778,218,51258.08163,18.15331166,0.628205128,49,-73.24056,43.517025,
2106,230940,230940,1,Marlboro College,Marlboro College,Marlboro,Vermont,05344-0300,50,2,2,2,359.661098,404,11378168,17004030,17930508,0.364804158,61,95,16,25,5283,9,14,1764,60,94,16465,42,66,6410,1110,32550,32550,930,16275,16275,14349196,58329013,9044286,49284727,3764429,,,49284727,,33437550,,88,15,,,,,,1,,,,103,44,0.5,87,315,318,24,24,342,8,38,38,46,326,62,62,388,2,11,4,14,283,3,69,2,1,100,137,65,7,2,3,3,0,,,,,,1,4,4,2,9,4,0,,1,100,137,66,11,6,5,12,4,0,,1,0,0,2,1,0,1,1,2,,,,,,0,2,4,7,13,11,1,,1,0,0,2,3,4,8,14,13,1,,390,162,228,278,116,162,64,36,28,390,278,64,0,,,,,,,,,,,42,22,11.67765995,6.116869498,140,56386.30952,31.41846606,0.65625,42,-72.734734,42.838955,
2901,230959,230959,1,Middlebury College,Middlebury College,Middlebury,Vermont,5753,50,2,2,2,3225.54312,3987,175043000,281933462,333480712,0.276403729,274,45,61,10,6824,16,3,1246,253,42,30711,164,27,5304,,,,0,6300,6300,216152000,1326187000,397296000,928891000,50193000,,,928891000,,861922000,,652,638,3,,,,,28,,,,1293,523,0.909565217,629,2490,2463,721,721,3184,26,82,82,108,2489,803,803,3292,14,278,116,177,1961,19,189,538,3,977,1088,385,8,2,,0,0,,0,,1,6,218,321,106,44,16,9,,,3,978,1094,603,329,108,44,16,9,,0,0,0,1,16,5,1,,1,1,,1,,0,0,7,18,15,11,18,13,,,0,0,1,23,23,16,11,19,14,,1,6904,2769,4135,1413,684,729,604,290,314,6904,1413,604,0,30,33,29,33,30,35,650,740,638,730,352,58,10.91289085,2.945240428,1492,86602.02959,38.78416606,0.787472036,338,-73.17632,44.00898,
2681,230977,230977,1,New England Culinary Institute,,Montpelier,Vermont,5602,50,3,2,2,717,837,14899506,18225068,14941434,0.102452726,126,85,61,41,4158,26,18,1869,89,60,6049,111,75,9427,,,,,,,17126490,4960699,4932392,,,,,,,,116,49,,,,,44,,,,,,165,,,,,717,,,717,,,,,717,,,717,1,19,16,18,494,3,165,1,2,158,198,109,124,35,36,37,16,,2,,,,,,,,,,,,2,158,198,109,124,35,36,37,16,,2,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,35,13,4.881450488,1.813110181,211,43148.45714,20.50209205,0.729166667,35,-72.565976,44.256014,
2243,230995,230995,1,Norwich University,Norwich University,Northfield,Vermont,05663-1035,50,2,2,2,3311.389493,3866,79584173,112346634,106892173,0.308296714,628,100,167,27,6707,67,11,1372,628,100,15449,436,69,6951,1412,25958,25958,1061,15886,15886,93865000,313588000,110322000,203266000,8336000,,,203266000,,148415000,,389,688,,,,,,,,,,1077,274,0.526923077,692,2136,2088,1181,1181,3269,69,40,40,109,2157,1221,1221,3378,12,79,138,165,2529,,455,0,27,1013,732,226,56,19,4,9,2,,0,,,2,94,281,211,206,239,140,6,2,27,1013,734,320,337,230,210,248,142,6,2,15,7,1,11,10,6,7,9,2,,1,,,0,1,10,9,6,12,2,0,0,15,7,1,12,20,15,13,21,4,0,1,3319,2494,825,2168,1643,525,681,550,131,3319,2168,680,1,20,25,19,24,19,26,480,590,470,580,117,125,3.533259988,3.774850414,656,64409.84615,13.83105192,0.483471074,117,-72.659298,44.138418,
-231004,231004,231004,0,O'Briens Aveda Institute,,South Burlington,Vermont,05403-7747,50,3,2,2,29,64,149388,4119554,149388,,54,86,38,60,3465,43,68,2517,0,0,,45,71,6576,,,,,,,4399133,,,,,,,,,,,,,,,2,10,,,,,,,,,,,29,,,29,,,,,29,,,29,0,0,2,2,25,0,0,0,2,,8,8,7,,3,1,,,,,,,,,,,,,,,2,,8,8,7,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,10.34482759,3.448275862,13,,31.03448276,0.75,,-73.211095,44.431668,
