groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-131742,131742,131742,0,Sanz School,,Falls Church,Virginia,22044,51,3,2,2,1658,1653,12329985,12411019,12419926,0.007294494,1348,82,997,61,3382,13,1,7961,16,1,1493,846,51,2463,,,,,,,7922244,23398672,15774680,,,,,,,,0,,,,,900,,,,,,,0,539,0.591657519,,,1658,,,1658,,,,,1658,,,1658,1,34,574,875,25,2,145,2,36,122,238,276,312,237,154,195,84,4,,,,,,,,,,,,,36,122,238,276,312,237,154,195,84,4,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,21,52,1.266586248,3.136308806,105,30633.35294,3.075995175,0.287671233,17,-77.147974,38.869483,
2682,231280,231280,1,Bar Palma Beauty Careers Academy,,Roanoke,Virginia,24014,51,3,2,2,100.86761,115,907874,1722223,908481,,99,70,86,61,4213,0,0,,5,4,1128,84,60,5889,,,,,,,1450934,,,,,,,,,,,,,,,,63,,,,,,,,,,,83,,,83,45,,,45,128,,,128,0,0,66,1,60,0,1,0,0,11,20,26,19,4,3,,,,,,,,,,,,,,,,0,11,20,26,19,4,3,,,,,1,13,12,9,5,2,3,,,,,,,,,,,,,,,,1,13,12,9,5,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,4.956992636,4.956992636,19,,11.89678233,0.5,,-79.97035,37.23746,
-231411,231411,231411,0,Advanced Technology Institute,,Virginia Beach,Virginia,23462,51,3,2,2,827,1215,11297098,12154373,11303173,0.033769734,276,87,214,67,7541,0,0,,140,44,673,196,61,9523,100,11635,11635,,,,9775753,5536688,1901108,,,,,,,,134,,,,,174,157,,,,,,134,142,0.717171717,323,827,827,,,827,,,,,827,,,827,7,23,357,41,375,13,11,0,49,114,173,116,145,88,41,82,17,2,,,,,,,,,,,,,49,114,173,116,145,88,41,82,17,2,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,431,416,15,323,312,11,232,226,6,431,323,232,0,,,,,,,,,,,30,15,3.627569528,1.813784764,84,33682.93333,8.101571947,0.666666667,30,-76.182227,36.841007,
-231420,231420,231420,0,Averett University,Averett University,Danville,Virginia,24541,51,2,2,2,846.703443,778,17428172,18893985,22632356,0.40549267,222,94,174,74,2598,127,54,3440,221,94,8543,180,77,10041,1000,21112,21112,0,4860,4860,19929498,36924187,11385153,25539034,1885831,,,25539034,,20043713,0,147,16,,,,,,,,,,163,65,0.340314136,334,866,795,7,7,802,71,44,44,115,866,51,51,917,8,13,269,29,553,,0,45,12,331,237,118,39,18,12,15,9,0,4,,,,2,4,1,0,0,0,0,0,12,331,237,120,43,19,12,15,9,0,4,0,1,1,19,5,7,8,16,11,3,0,,,,5,15,6,4,5,6,1,2,0,1,1,24,20,13,12,21,17,4,2,1157,755,402,264,173,91,230,149,81,1157,264,230,0,17,21,,,,,420,530,410,510,52,43,6.141465519,5.078519564,196,52813.01923,15.11745359,0.547368421,52,-79.413307,36.57679,
-231536,231536,231536,0,Blue Ridge Community College,Blue Ridge Community College (VA),Weyers Cave,Virginia,24486-0080,51,1,2,2,2940.030725,3119,10846197,22060488,20357114,0.034196502,397,61,266,41,4337,98,15,1778,58,9,1000,138,21,4987,435,2790,8298,,,,22908117,29832176,3895993,25936183,2680543,,,25936183,,,440,,,,,67,27,,,,,,440,123,0.206722689,1410,4883,1958,,,1958,2925,,,2925,4883,,,4883,25,87,255,174,4189,0,151,2,73,971,386,191,151,60,35,61,29,1,,,,,,,,,,,,,73,971,386,191,151,60,35,61,29,1,,688,387,417,394,329,200,169,229,107,5,,,,,,,,,,,,,688,387,417,394,329,200,169,229,107,5,,,,,,,,,,,,,,,,,,,,,,,,,66,135,2.244874499,4.591788747,333,56236.4,5.442119997,0.328358209,65,-78.93823,38.27897,
-231554,231554,231554,0,Bluefield College,Bluefield College,Bluefield,Virginia,24605,51,2,2,2,695.321415,793,10796888,11896236,12926015,0.305911666,117,97,55,45,4505,85,70,3019,117,97,9027,92,76,7396,770,17250,17250,,,,11584398,17739505,9171213,8568292,945363,,,8568292,,4496014,,205,,,,,,,,,,,205,46,0.340740741,179,753,658,,,658,95,,,95,753,,,753,2,7,145,13,514,,61,11,3,174,143,76,49,52,41,66,37,1,16,,,,,,,,,,,,3,174,143,76,49,52,41,66,37,1,16,9,1,2,9,15,12,14,20,11,1,1,,,,,,,,,,,,9,1,2,9,15,12,14,20,11,1,1,835,366,469,339,128,211,195,88,107,835,339,160,35,17,20,15,21,16,20,430,530,420,520,36,58,5.177461707,8.341466083,167,44483.58333,13.95038293,0.382978723,36,-81.256699,37.240145,
-231581,231581,231581,0,Bridgewater College,Bridgewater College,Bridgewater,Virginia,22812-1599,51,2,2,2,1581.499998,1727,38246810,44856459,49286564,0.486154349,495,100,136,27,5058,391,79,3046,472,95,13671,387,78,7457,0,24500,24500,,,,35597133,140043022,41686503,98356519,10206633,,,98356519,,62490352,,290,,,,,,,,,,,290,341,0.635009311,556,1590,1576,,,1576,14,,,14,1590,,,1590,3,15,113,29,1264,15,140,11,20,817,593,133,9,0,0,3,1,,,,,,,,,,,,,,20,817,593,133,9,0,0,3,1,,,0,0,3,7,0,2,1,1,0,,,,,,,,,,,,,,0,0,3,7,0,2,1,1,0,,,3186,1246,1940,2726,1003,1723,497,190,307,3186,2726,497,0,18,23,17,23,17,24,460,560,450,550,101,35,6.386342088,2.213088843,385,55424.93069,19.98103069,0.742647059,101,-78.973509,38.380124,
-231624,231624,231624,0,College of William and Mary,College of William and Mary,Williamsburg,Virginia,23187-8795,51,1,2,2,7572.71177,7826,123851343,282311397,187724562,0.106929143,787,57,157,11,4701,181,13,7784,397,29,9960,438,31,6295,4412,6388,26180,4114,6400,19720,272716801,679407624,249586164,429821460,17168101,,,429821460,,,,1450,506,70,211,,,,,9,,9,2237,1198,0.897378277,1569,5836,5760,1637,1637,7397,76,401,401,477,5836,2038,2038,7874,62,526,590,429,4481,,1389,397,17,2378,2689,583,56,17,12,3,5,0,,,1,30,684,647,165,47,49,14,0,,17,2379,2719,1267,703,182,59,52,19,0,,8,7,8,18,11,2,6,5,9,2,,,0,0,26,128,82,61,68,34,2,,8,7,8,44,139,84,67,73,43,4,,12110,4458,7652,4058,1993,2065,1395,665,730,12110,4058,1391,4,27,32,28,34,26,32,620,720,620,730,671,166,8.860762437,12.50542776,3379,86203.66884,28.33859343,0.414709518,613,-76.711236,37.271881,
-231642,231642,231642,0,MedSpa Careers Institute,,Richmond,Virginia,23236,51,3,2,2,131,95,2073706,2220660,2166800,0.042423082,20,74,17,63,4078,0,0,,16,59,406,16,59,3547,450,10606,10606,,,,1840533,1131295,347833,,,,,,,,82,,,,,,1,,,,,,82,53,0.519607843,28,131,131,,,131,,,,,131,,,131,2,4,61,7,52,2,3,0,3,6,29,22,37,11,9,9,5,,,,,,,,,,,,,,3,6,29,22,37,11,9,9,5,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,78,11,67,58,8,50,49,7,42,78,58,49,0,,,,,,,,,,,2,7,1.526717557,5.34351145,23,44592.5,10.6870229,0.222222222,2,-77.582559,37.501051,
-231651,231651,231651,0,Regent University,Regent University,Virginia Beach,Virginia,23464,51,2,2,2,3111.780151,3578,64300000,67429000,66553000,0.226982893,77,99,36,46,4575,38,49,2718,61,78,3984,49,63,7021,250,11160,11160,212,741,741,83448000,310783000,131123000,179660000,13100000,,,179660000,,172587000,4,271,530,124,121,2,,,34,69,,69,1050,,,651,1930,1013,1128,1128,2141,917,1598,1598,2515,1930,2726,2726,4656,30,95,1159,204,2700,,346,122,3,120,145,172,182,140,83,119,42,2,5,,,9,317,386,150,88,112,63,2,1,3,120,154,489,568,290,171,231,105,4,6,0,10,43,84,169,144,109,204,104,4,46,,,1,49,287,253,249,425,318,9,7,0,10,44,133,456,397,358,629,422,13,53,189,72,117,168,63,105,102,50,52,189,168,83,19,16,17,,,,,430,580,470,630,168,13,5.398838988,0.417767303,543,67914.27381,15.8751575,0.928176796,168,-76.193837,36.804749,
