groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-234401,234401,234401,0,Academy of Hair Design,,Wenatchee,Washington,98801,53,3,2,2,57.76464,157,254077,385006,254077,,27,82,25,76,4264,0,0,,0,0,,24,73,6275,,,,,,,555297,,,,,,,,,,,,,,,11,,19,,,,,,10,0.588235294,,,26,,,26,80,,,80,106,,,106,6,0,0,27,73,0,0,0,0,8,1,6,3,4,4,,,,0,,,,,,,,,,,,0,8,1,6,3,4,4,,,,0,14,33,8,8,6,8,2,,,,1,,,,,,,,,,,,14,33,8,8,6,8,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,2,5.193488612,3.462325741,9,,8.655814353,0.6,,-120.309434,47.422057,
-234492,234492,234492,0,The Art Institute of Seattle,,Seattle,Washington,98121-1622,53,3,2,2,1801.142744,2177,44941198,51903869,44941198,0.035324181,274,90,146,48,7661,85,28,2076,97,32,2628,240,78,10079,50,21195,21195,,,,39005410,23230474,5378387,,,,,,,,204,168,,,,45,,,,,,,372,48,0.366412214,774,2454,1490,,,1490,792,,,792,2282,,,2282,30,264,109,134,1197,,414,134,5,422,392,304,214,76,26,18,6,,27,,,,,,,,,,,,5,422,392,304,214,76,26,18,6,,27,4,69,157,184,180,82,43,36,22,,15,,,,,,,,,,,,4,69,157,184,180,82,43,36,22,,15,930,421,509,453,234,219,438,225,213,930,453,306,132,,,,,,,,,,,67,62,3.71986064,3.442259099,267,47555.59701,10.71541945,0.519379845,67,-122.348568,47.612159,
-234650,234650,234650,0,Evergreen Beauty & Barber College,,Bellevue,Washington,98007,53,3,2,2,62,92,454054,751850,454054,,45,78,34,59,4956,0,0,,0,0,,43,74,8343,100,6349,6349,,,,476557,,,,,,,,,,,,,,,6,,46,,,,,,36,0.9,,,62,,,62,,,,,62,,,62,0,5,1,2,24,,30,0,4,27,8,6,7,3,,6,1,,,,,,,,,,,,,,4,27,8,6,7,3,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,4,,6.451612903,,9,,14.51612903,1,,-122.152872,47.59232,
-234669,234669,234669,0,Bellevue College,Bellevue Community College,Bellevue,Washington,98007-6484,53,1,2,2,9267.16218,11599,43497383,106768003,79308893,0.028435987,188,41,96,21,4294,107,23,2049,48,10,1710,43,9,6974,240,2628,7812,,,,103430607,205006166,28207325,176798841,4293780,,,176798841,,,1618,12,,,,563,140,,,,,,1630,,,7531,14010,6870,,,6870,7140,,,7140,14010,,,14010,64,2296,515,719,8451,299,992,674,766,2325,1312,766,652,318,240,324,164,3,0,,,,,,,,,,,,766,2325,1312,766,652,318,240,324,164,3,0,581,903,967,981,971,816,743,854,303,17,4,,,,,,,,,,,,581,903,967,981,971,816,743,854,303,17,4,,,,,,,,,,,,,,,,,,,,,,,,167,548,1.802061912,5.913352862,1167,58820.82036,6.431310777,0.233566434,167,-122.142837,47.586346,
-234687,234687,234687,0,Bellingham Beauty School,,Bellingham,Washington,98226-5515,53,3,2,2,53.397058,124,183833,323665,183833,,35,92,35,92,2656,0,0,,0,0,,6,16,2500,,,,,,,450897,,,,,,,,,,,,,,,2,,23,,,,,,25,0.892857143,,,53,,,53,1,,,1,54,,,54,2,2,0,2,48,0,0,0,,11,12,18,10,,2,,,,,,,,,,,,,,,,,11,12,18,10,,2,,,,,,0,0,1,0,,0,,,,,,,,,,,,,,,,,0,0,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,7.491049413,1.872762353,8,,7.491049413,0.8,,-122.485904,48.793002,
-234696,234696,234696,0,Bellingham Technical College,Bellingham Technical College,Bellingham,Washington,98225-1599,53,1,2,2,1879.562234,2248,5925526,24629182,16635271,0.019767359,40,55,36,49,3505,29,40,2004,0,0,,0,0,,113,3389,3389,,,,26323325,72130246,30638700,41491546,750590,,,41491546,,,346,,,,,417,130,,,,,,346,31,0.436619718,1786,2864,1382,,,1382,1482,,,1482,2864,,,2864,67,103,52,140,1704,1,794,3,43,230,163,176,257,151,114,166,81,1,0,,,,,,,,,,,,43,230,163,176,257,151,114,166,81,1,0,28,116,139,182,248,212,144,195,154,11,53,,,,,,,,,,,,28,116,139,182,248,212,144,195,154,11,53,,,,,,,,,,,,,,,,,,,,,,,,75,80,3.990290858,4.256310249,280,57207.68056,9.470290304,0.483870968,72,-122.512118,48.765236,
-234711,234711,234711,0,Big Bend Community College,Big Bend Community College,Moses Lake,Washington,98837-3299,53,1,2,2,1722.615264,1835,5771102,27731927,16891480,0.045072847,216,71,166,54,3976,156,51,2040,42,14,879,73,24,4520,0,3015,3405,,,,26244049,42665526,6981525,35684001,51700,,,35684001,,,293,,,,,218,44,,,,,,293,77,0.261016949,920,2169,1497,,,1497,672,,,672,2169,,,2169,26,31,39,613,1301,34,123,2,130,482,243,169,168,105,79,79,39,0,3,,,,,,,,,,,,130,482,243,169,168,105,79,79,39,0,3,43,61,86,73,121,80,78,71,42,8,9,,,,,,,,,,,,43,61,86,73,121,80,78,71,42,8,9,,,,,,,,,,,,,,,,,,,,,,,,46,79,2.670358319,4.586050156,291,54987.02174,10.85558708,0.368,46,-119.325684,47.184155,
2687,234739,234739,1,Everest College-Bremerton,,Bremerton,Washington,98337,53,3,2,2,2062,1927,25885689,25885689,25885689,,2175,96,1764,78,4793,0,0,,10,0,860,2066,91,8957,,,,,,,17866805,25892039,2612713,,,,,,,,,,,,,1387,,,,,,,,,,,,2062,,,2062,,,,,2062,,,2062,43,220,216,174,1329,64,16,0,25,144,391,492,394,247,142,153,73,1,,,,,,,,,,,,,25,144,391,492,394,247,142,153,73,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,149,23,126,37,13,24,37,13,24,149,37,282,0,,,,,,,,,,,27,28,1.309408341,1.357904947,141,25440.52941,5.480116392,0.490909091,17,-122.625212,47.564011,
-234784,234784,234784,0,Everest College-Renton,,Renton,Washington,98057,53,3,2,2,893,1267,12150231,12150231,12150231,,1005,95,837,79,4886,6,1,891,23,2,1217,950,89,8132,,,,,,,7671400,,,,,,,,,,,,,,,532,,,,,,,,,,,,893,,,893,,,,,893,,,893,21,178,264,90,313,,27,0,3,32,163,205,180,106,57,98,47,2,,,,,,,,,,,,,3,32,163,205,180,106,57,98,47,2,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,247,34,213,204,27,177,204,27,177,247,204,204,0,,,,,,,,,,,6,16,0.671892497,1.791713326,58,,4.70324748,0.272727273,,-122.231013,47.469462,
-234827,234827,234827,0,Central Washington University,Central Washington University,Ellensburg,Washington,98926-7501,53,1,2,2,10329.37136,10784,80820378,190843018,132027577,0.181413306,1307,79,514,31,4664,627,38,3842,768,47,2288,917,56,5642,905,5517,15780,905,7353,16383,200219414,474166636,135826047,338340589,4471078,,,338340589,,,,2440,183,,,11,,,3,,,,2623,769,0.557650471,3476,10765,9315,337,337,9652,1450,255,255,1705,10765,592,592,11357,85,423,282,850,8072,537,841,267,61,2739,2963,2069,852,238,161,152,73,2,5,,,10,134,96,32,19,25,21,0,,61,2739,2973,2203,948,270,180,177,94,2,5,240,79,133,304,245,129,103,141,68,0,8,,,0,23,89,48,29,38,26,2,,240,79,133,327,334,177,132,179,94,2,8,5013,2353,2660,3968,1776,2192,1570,778,792,5013,3968,1555,15,18,23,17,23,17,23,440,550,440,540,432,173,4.182248706,3.436801598,1752,62569.57407,12.37248575,0.548919949,432,-120.542563,46.999701,
