groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-201982,201982,201982,0,Scott College of Cosmetology,,Wheeling,West Virginia,26003,54,3,2,2,66,66,464035,559746,464035,,23,85,17,63,2908,0,0,,11,41,1000,6,22,3248,,,,,,,504827,,,,,,,,,,,,,,,0,,18,,,,,,6,0.375,,,66,,,66,,,,,66,,,66,0,0,0,0,66,,0,0,1,24,15,14,9,1,,2,,,,,,,,,,,,,,,1,24,15,14,9,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,4.545454545,3.03030303,7,,7.575757576,0.6,,-80.722045,40.064792,
-237118,237118,237118,0,Alderson Broaddus College,Alderson Broaddus College,Philippi,West Virginia,26416-2035,54,2,2,2,687.79899,754,15202376,15571528,17604093,0.412504861,162,100,86,53,5211,96,59,4125,161,99,11111,136,84,6765,210,21444,21444,210,21444,21444,15290896,36614696,12640296,23974400,1301520,,,23974400,,13205078,21,103,65,,,0,0,,,,,,189,75,0.510204082,198,592,566,107,107,673,26,12,12,38,592,119,119,711,1,16,29,18,618,5,10,14,4,269,181,71,17,12,5,5,2,,,,,2,53,35,6,6,5,0,,,4,269,183,124,52,18,11,10,2,,,1,0,0,3,8,4,2,6,2,,,,,0,0,1,4,1,5,1,,,1,0,0,3,9,8,3,11,3,,,597,178,419,441,136,305,162,60,102,597,441,162,0,19,23,19,34,17,24,420,510,440,530,60,15,8.723478934,2.180869733,147,41677.16949,18.61008839,0.8,59,-80.049338,39.157644,
-237136,237136,237136,0,Appalachian Bible College,,Mount Hope,West Virginia,25880,54,2,2,2,253.174403,258,2302883,5865128,4353128,0.215777354,45,96,29,62,3752,42,89,2951,42,89,2324,18,38,5693,1450,8770,8770,,,,6053175,15655676,7933180,7722496,1643160,,,7722496,,209440,9,52,3,,,,7,,,,,,64,19,0.422222222,131,293,223,,,223,70,7,7,77,293,7,7,300,1,3,1,3,287,,0,5,0,67,92,41,10,2,3,4,4,,,,,,,,,,,,,,0,67,92,41,10,2,3,4,4,,,26,14,3,7,3,3,1,6,7,,,,,,1,,2,1,1,2,,,26,14,3,8,3,5,2,7,9,,,83,37,46,47,19,28,47,19,28,83,47,47,0,16,25,17,28,15,24,390,520,450,610,12,2,4.73981566,0.789969277,61,26541.08333,18.95926264,0.857142857,12,-81.20104,37.85341,
-237145,237145,237145,0,B M Spurr School of Practical Nursing,,Glen Dale,West Virginia,26038,54,2,2,2,19,20,37600,149850,92600,,10,67,10,67,5725,0,0,,0,0,,0,0,,,,,,,,415560,,,,,,,,,,,,,,,,19,,,,,,,,,,,19,,,19,,,,,19,,,19,0,0,0,0,19,0,0,0,,5,2,1,4,2,4,1,,,,,,,,,,,,,,,,5,2,1,4,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,53,0,53,23,0,23,19,0,19,53,23,19,0,,,,,,,,,,,2,,10.52631579,,4,,21.05263158,1,,-80.754296,39.94671,
-237154,237154,237154,0,Mountain State University,Mountain State University,Beckley,West Virginia,25801-9003,54,2,2,2,5014.841939,4990,54023748,63346566,54897603,0.012119966,426,75,322,56,4320,44,8,2855,12,2,856,388,68,8311,1680,5220,5220,0,4020,4020,49449563,100891482,34052543,66838939,3843822,,,66838939,,15498693,190,667,368,0,,,4,,3,2,,2,1225,19,0.145038168,1590,5243,3753,657,657,4410,1490,51,51,1541,5243,708,708,5951,34,107,858,144,3724,,796,288,458,388,281,351,531,413,363,388,75,2,503,2,26,48,89,97,91,74,113,30,,87,460,414,329,440,628,504,437,501,105,2,590,113,93,78,153,253,192,171,173,69,12,183,0,3,1,3,8,11,8,5,8,,4,113,96,79,156,261,203,179,178,77,12,187,,,,,,,,,,,,,,,,,,,,,,,,84,339,1.675027868,7.019164398,717,46355.75,7.059046014,0.19266055,84,-81.190899,37.775949,
-237172,237172,237172,0,Ben Franklin Career Center,,Dunbar,West Virginia,25064,54,1,2,2,261.114525,167,429424,979984,628402,,92,68,92,68,3997,15,11,3349,0,0,,0,0,,275,1650,1650,,,,783020,,,,,,,,,,,,,,,,84,,,,,,,88,0.633093525,,477,152,,,152,325,,,325,477,,,477,0,0,25,1,451,,0,0,,13,20,22,18,25,24,11,1,,18,,,,,,,,,,,,,13,20,22,18,25,24,11,1,,18,,27,46,59,56,37,43,16,3,,38,,,,,,,,,,,,,27,46,59,56,37,43,16,3,,38,,,,,,,,,,,,,,,,,,,,,,,,24,19,9.191369189,7.276500608,59,,14.55300122,0.558139535,,-81.754175,38.367622,
-237181,237181,237181,0,Bethany College,Bethany College (WV),Bethany,West Virginia,26032,54,2,2,2,823.92857,882,17312640,24961427,25042820,0.485833934,279,99,173,61,5414,98,35,2420,277,98,11270,274,97,7460,900,20565,20565,,,,22878866,92498445,36866608,55631837,4913197,,,55631837,,38422746,,124,,,,,,,,,,,124,122,0.578199052,328,830,820,,,820,10,,,10,830,,,830,3,9,80,18,658,,55,7,11,406,312,76,8,1,3,1,,1,1,,,,,,,,,,,,11,406,312,76,8,1,3,1,,1,1,0,1,0,5,0,1,0,2,,1,0,,,,,,,,,,,,0,1,0,5,0,1,0,2,,1,0,1355,733,622,1069,572,497,284,175,107,1355,1069,284,0,18,24,17,23,17,24,420,520,430,520,49,23,5.947117479,4.854789779,248,47543.34694,23.30299094,0.550561798,49,-80.560803,40.205598,
-237215,237215,237215,0,Bluefield State College,Bluefield State College,Bluefield,West Virginia,24701,54,1,2,2,1756.38177,1872,8975723,22846080,14978573,0.13670999,293,96,241,79,3535,109,36,2593,88,29,1842,245,81,3718,0,4596,9000,,,,23847588,19968067,4246166,15721901,4659759,,,15721901,,,87,245,,,,,,,,,,,332,59,0.243801653,502,1989,1599,,,1599,390,,,390,1989,,,1989,8,10,254,18,1630,,0,69,5,314,364,340,237,150,92,73,24,0,,,,,,,,,,,,,5,314,364,340,237,150,92,73,24,0,,23,32,36,55,58,57,56,52,20,1,,,,,,,,,,,,,23,32,36,55,58,57,56,52,20,1,,463,173,290,384,161,223,301,120,181,463,384,296,5,16,21,15,21,16,19,420,530,410,530,79,70,4.497883168,3.985466098,272,53530.61538,11.33011077,0.530201342,78,-81.235105,37.267037,
-237242,237242,237242,0,Cabell County Career Technology Center,,Huntington,West Virginia,25705-2827,54,1,2,2,184.129798,135,301386,2061057,301891,,79,52,64,42,4677,17,11,2000,16,10,2286,0,0,,800,2700,2700,,,,2167343,,,,,,,,,,,,,,,0,59,,,,,,,,,,220,166,,,166,54,,,54,220,,,220,0,0,15,0,205,,0,0,2,41,25,26,23,20,10,17,1,1,,,,,,,,,,,,,2,41,25,26,23,20,10,17,1,1,,0,8,9,7,14,4,5,4,3,0,,,,,,,,,,,,,0,8,9,7,14,4,5,4,3,0,,,,,,,,,,,,,,,,,,,,,,,,,29,8,15.74975931,4.344761189,46,,20.63761565,0.783783784,,-82.374417,38.405927,
-237303,237303,237303,0,Charleston School of Beauty Culture,,Charleston,West Virginia,25301,54,3,2,2,108,172,496199,617417,496199,,49,67,46,63,3653,6,8,1728,0,0,,25,34,4639,,,,,,,660426,,,,,,,,,,,,,,,33,,19,,,,,,25,0.403225806,,,108,,,108,,,,,108,,,108,0,1,22,1,83,0,1,0,3,19,20,16,14,16,9,8,2,,1,,,,,,,,,,,,3,19,20,16,14,16,9,8,2,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,6,2,5.555555556,1.851851852,14,,10.18518519,0.75,,-81.634659,38.350122,
