instname,tuition,revenue
The University of Texas at Austin,1577358114,9524382216
University of Pennsylvania,931535000,6074477000
University of Michigan-Ann Arbor,957414000,5629823000
Harvard University,883013000,5348051000
University of Illinois at Chicago,1035187188,4901242755
University of California-Los Angeles,603432000,4847416000
Ohio State University-Main Campus,785413623,4564663793
Duke University,530020000,4511688000
Pennsylvania State University-Main Campus,1381794000,4460367000
Johns Hopkins University,618272000,4330093000
Columbia University in the City of New York,1043833831,4125163465
University of Washington-Seattle Campus,610418709,3838339639
Pennsylvania State University-Penn State Main Campus,1079565952,3771122032
Vanderbilt University,415440486,3574127362
University of California-San Francisco,72842000,3549452000
CUNY City College,1235936447,3525722222
University of Phoenix-Online Campus,3552223903,3479529376
Stanford University,535245000,3450481000
New York University,1539431000,3377625000
Pennsylvania State University-Main Campus,971864000,3287095024
Emory University,448689000,3215630815
University of Southern California,1152480000,3139912000
University of Chicago,573723955,3131317077
Massachusetts Institute of Technology,468570000,3071182000
University of California-Davis,391145000,2987475000
Yale University,383916112,2912061896
University of California-San Diego,380806000,2908774000
University of Utah,228465000,2768028000
University of Missouri-Columbia,630497715,2721031224
University of Minnesota-Twin Cities,654419272,2706299522
University of Rochester,321252000,2692752000
University of Massachusetts-Boston,713347946,2654223684
Washington University in St Louis,427952252,2613970330
University of Virginia-Main Campus,417351804,2560166336
Princeton University,258830000,2500873000
University of Alabama at Birmingham,139441181,2460168213
University of North Carolina at Chapel Hill,317817133,2451757618
California Institute of Technology,71503000,2365740000
University of Iowa,346060000,2317485000
University of New Mexico-Main Campus,253889870,2310223515
University of Miami,535490996,2310037972
University of Wisconsin-Madison,390735860,2291794800
University of Florida,383204000,2270132000
University of Kentucky,281848249,2257388491
Temple University,613695000,2195651285
Northwestern University,726246000,2130137000
University of Pittsburgh-Pittsburgh Campus,600771858,2060311687
Cornell University,715037682,2038599564
University of California-Berkeley,556252000,2033088000
University of Pittsburgh-Main Campus,480948160,1978551923
