instname,tuition03_tf,tot_rev_w_auxother_sum,control,total_enrollment,all_employees
Harvard University,33696,5348051000.00 ,2,27651,18075
Princeton University,35340,2500873000.00 ,2,7592,6535
Yale University,36500,2912061896.00 ,2,11593,15368
Columbia-Greene Community College,4562,13101125.00 ,1,1663,231
California Institute of Technology,33324,2365740000.00 ,2,2130,4085
Massachusetts Institute of Technology,37510,3071182000.00 ,2,10384,14101
Stanford University,37380,3450481000.00 ,2,18498,16424
University of Chicago,38550,3131317077.00 ,2,15094,11194
University of Pennsylvania,34868,6074477000.00 ,2,24599,16557
Duke University,37485,4511688000.00 ,2,14350,18468
Dartmouth College,38445,877863814.00 ,2,5987,4735
Northwestern University,38463,2130137000.00 ,2,19853,9346
Johns Hopkins University,39150,4330093000.00 ,2,20383,20917
Washington University in St Louis,37800,2613970330.00 ,2,13575,13361
Brown University,38048,805396000.00 ,2,8574,5054
Cornell University,37750,2038599564.00 ,2,20633,12220
Rice University,31303,691062175.00 ,2,5576,2757
Vanderbilt University,37632,3574127362.00 ,2,12506,23048
University of Notre Dame,37970,1337332000.00 ,2,11816,5959
Emory University,37500,3215630815.00 ,2,12930,11580
University of California-Berkeley,29557,2033088000.00 ,1,35830,16612
Georgetown University,38616,1059862000.00 ,2,16520,6413
Carnegie Mellon University,39470,987480415.00 ,2,11197,7070
Vanguard University of Southern California,25452,39759193.00 ,2,1923,332
University of California-Los Angeles,29557,4847416000.00 ,1,38550,22283
The University of Virginia's College at Wise,15714,37801761.00 ,1,2015,306
Wake Forest University,38206,1197367262.00 ,2,7079,6580
University of Michigan-Ann Arbor,34748,5629823000.00 ,1,41674,24469
Tufts University,39432,801191449.00 ,2,10252,5468
University of North Carolina at Chapel Hill,21753,2451757618.00 ,1,28916,15547
Boston College,38530,821848442.00 ,2,15036,4637
Brandeis University,37530,323812891.00 ,2,5598,2246
College of William and Mary,26180,282311397.00 ,1,7874,3379
New York University,36586,3377625000.00 ,2,43404,17671
University of Rochester,37870,2692752000.00 ,2,9506,9842
Georgia Institute of Technology-Main Campus,22434,1145862669.00 ,1,20291,10270
University of California-San Diego,29557,2908774000.00 ,1,28418,16333
Case Western Reserve University,35900,845615673.00 ,2,9738,5573
Lehigh University,38330,389613000.00 ,2,6996,2313
University of California-Davis,29557,2987475000.00 ,1,31247,16320
University of Miami,35540,2310037972.00 ,2,15629,11056
University of California-Santa Barbara,29557,773512000.00 ,1,22850,6630
University of Washington-Seattle Campus,23800,3838339639.00 ,1,51938,22089
University of Wisconsin-Madison,22045,2291794800.00 ,1,41654,20939
Pennsylvania State University-Main Campus,25134,4460367000.00 ,1,80754,27933
University of California-Irvine,29557,1801456000.00 ,1,27142,10129
University of Illinois at Chicago,20732,4901242755.00 ,1,75698,35642
The University of Texas at Austin,30006,9524382216.00 ,1,208961,69857
Yeshiva University,31594,589065089.00 ,2,6228,4644
George Washington University,39962,1122891000.00 ,2,25061,6762
