groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-106245,106245,106245,0,University of Arkansas at Little Rock,University of Arkansas at Little Rock,Little Rock,Arkansas,72204,5,1,2,2,9290.091403,9791,65238118,179129152,147517999,0.22054249,601,89,347,51,4442,190,28,2085,293,43,7921,289,43,4903,1298,5040,13500,1039,5662,12720,183646086,305014195,119504456,185509739,57803243,,,185509739,,,187,1040,570,31,130,1,,,90,8,,8,1958,162,0.213438735,2056,10200,5669,1147,1147,6816,4531,1785,1785,6316,10200,2932,2932,13132,102,405,3364,306,8486,0,133,336,51,1317,1275,1196,855,419,282,218,55,1,,,,11,347,377,159,100,100,53,0,,51,1317,1286,1543,1232,578,382,318,108,1,,916,155,240,572,882,568,401,456,281,60,,,,3,195,495,311,263,285,224,9,,916,155,243,767,1377,879,664,741,505,69,,,,,,,,,,,,,,,,,,,,,,,,,542,324,5.834172954,6.232446753,2103,58379.91882,16.22158421,0.483496878,542,-92.341778,34.72685,
-106263,106263,106263,0,University of Arkansas for Medical Sciences,,Little Rock,Arkansas,72205,5,1,1,1,2333.403452,2861,26172000,1149901000,118736000,0.063732233,,,,,,,,,,,,,,,241,5554,13800,241,5660,12158,1128595000,1124975000,453029000,671946000,7029000,,,671946000,,,60,318,130,30,252,,16,0,27,,,,790,,,,942,702,1366,1366,2068,240,466,466,706,942,1832,1832,2774,17,126,262,52,2237,22,2,56,,12,152,227,150,70,36,41,14,,,,2,68,597,512,111,40,27,9,,,,14,220,824,662,181,76,68,23,,,,0,17,51,55,28,34,38,17,,,,1,2,49,122,90,66,93,43,,,,1,19,100,177,118,100,131,60,,,,,,,,,,,,,,,,,,,,,,,,,,457,63,19.58512574,8.014044885,3762,74290.79412,147.3384295,0.709627329,136,-92.320992,34.75153,
-106281,106281,106281,0,ABC Beauty College Inc,,Arkadelphia,Arkansas,71923,5,3,2,2,54.397058,75,98306,116653,98966,,31,100,29,94,3423,1,3,3000,0,0,,29,94,4704,,,,,,,317669,,,,,,,,,,,,,,,3,23,,,,,,,,,,,54,,,54,1,,,1,55,,,55,0,0,33,0,22,,0,0,,1,6,13,10,7,6,11,,,,,,,,,,,,,,,,1,6,13,10,7,6,11,,,,,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,7.353338852,7.353338852,10,,11.03000828,0.5,,-93.08187,34.12268,
-106306,106306,106306,0,Arkansas Baptist College,Arkansas Baptist College,Little Rock,Arkansas,72202-6099,5,2,2,2,572.607127,792,5370514,10986803,6839415,0.093665336,108,91,90,76,2698,7,6,643,3,3,1178,103,87,3672,618,6400,6400,,,,8835012,16023183,8811957,7211226,994937,,,7211226,,2562939,22,28,,,,,,,,,,,50,1,0.021276596,368,734,529,,,529,111,,,111,640,,,640,3,1,588,0,38,,0,10,2,75,134,149,47,42,24,32,12,2,10,,,,,,,,,,,,2,75,134,149,47,42,24,32,12,2,10,0,7,14,18,15,19,13,9,3,1,12,,,,,,,,,,,,0,7,14,18,15,19,13,9,3,1,12,,,,,,,,,,,,,,,,,,,,,,,,16,27,2.794236964,4.715274876,124,36716,16.06686254,0.372093023,16,-92.289393,34.735262,
-106315,106315,106315,0,Arkansas Beauty School,,Little Rock,Arkansas,72209,5,3,2,2,39.352928,87,92392,182041,92392,,30,100,26,87,4015,0,0,,0,0,,25,83,4060,,,,,,,318204,,,,,,,,,,,,,,,6,18,,,,,,,,,,,33,,,33,16,,,16,49,,,49,0,0,49,0,0,0,0,0,,7,4,10,5,6,1,0,,,,,,,,,,,,,,,,7,4,10,5,6,1,0,,,,,0,1,0,9,4,0,2,,,,,,,,,,,,,,,,0,1,0,9,4,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,5.082213959,2.541106979,6,,12.7055349,0.666666667,,-92.334962,34.668785,
-106324,106324,106324,0,Arkansas Beauty College,,Russellville,Arkansas,72801,5,3,2,2,59,101,388805,438411,388805,,29,35,26,32,5052,0,0,,0,0,,16,20,6317,,,,,,,260464,,,,,,,,,,,,,,,2,30,,,,,,,,,,,59,,,59,,,,,59,,,59,0,0,0,3,56,0,0,0,1,13,11,12,12,3,4,3,,,,,,,,,,,,,,,1,13,11,12,12,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,6.779661017,,9,,11.86440678,1,,-93.135284,35.278587,
-106342,106342,106342,0,Lyon College,Lyon College,Batesville,Arkansas,72501,5,2,2,2,593.357138,558,10998056,16579090,15846585,0.42446556,217,100,98,45,5313,83,38,3123,217,100,10728,147,68,5938,544,19424,19424,,,,16384601,65647721,17706521,47941200,788801,,,47941200,,36734649,,102,,,,,,,,,,,102,72,0.510638298,312,614,580,,,580,34,,,34,614,,,614,6,9,24,15,519,,28,13,9,204,227,89,33,4,7,4,2,,1,,,,,,,,,,,,9,204,227,89,33,4,7,4,2,,1,11,2,5,6,2,2,0,2,3,,1,,,,,,,,,,,,11,2,5,6,2,2,0,2,3,,1,847,319,528,569,223,346,109,56,53,847,569,109,0,22,27,21,29,21,27,545,610,545,618,41,16,6.909835135,2.696521028,144,56084.92683,19.04417976,0.719298246,41,-91.628158,35.77897,
-106351,106351,106351,0,Arkansas College of Barbering and Hair Design,,North Little Rock,Arkansas,72114,5,3,2,2,108.91174,132,1026460,1225058,1029580,,126,91,115,83,4276,0,0,,0,0,,126,91,5344,,,,,,,1203706,,,,,,,,,,,,,,,4,68,,,,,,,,,,,97,,,97,30,,,30,127,,,127,0,0,125,0,2,0,0,0,,10,13,21,25,16,7,5,,,,,,,,,,,,,,,,10,13,21,25,16,7,5,,,,,2,3,10,4,8,2,1,,,,,,,,,,,,,,,,2,3,10,4,8,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,6.42722263,,12,,10.09992128,1,,-92.266583,34.754023,
-106360,106360,106360,0,Arthur's Beauty College Inc-Fort Smith,,Fort Smith,Arkansas,72901-3342,5,3,2,2,40,35,320850,350696,320850,,42,89,37,79,2851,0,0,,1,2,9000,34,72,3456,,,,,,,328028,,,,,,,,,,,,,,,3,23,,,,,,,,,,,40,,,40,,,,,40,,,40,3,7,4,2,24,,0,0,2,10,5,2,7,6,3,4,1,,,,,,,,,,,,,,2,10,5,2,7,6,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,3,,7.5,,4,,10,1,,-94.410982,35.380232,
2022,106397,106397,1,University of Arkansas,University of Arkansas Main Campus,Fayetteville,Arkansas,72701,5,1,2,2,17121.24015,18031,141295390,757963711,408543757,0.255125521,2223,77,561,19,4822,653,23,4187,1119,39,4968,1231,43,5917,1449,5010,13888,838,5304,12548,761745682,1234543172,572657598,661885574,55486479,,,661885574,,,,2604,1035,147,139,,,,7,8,,8,3925,1402,0.579338843,4329,15835,13783,1658,1658,15441,2052,2356,2356,4408,15835,4014,4014,19849,331,499,1040,699,15672,272,180,1156,122,5451,5084,2116,596,229,86,73,25,1,,,1,30,747,489,185,90,84,31,1,,122,5452,5114,2863,1085,414,176,157,56,2,,7,129,349,644,415,171,112,127,87,11,,,0,8,357,701,441,301,343,190,15,,7,129,357,1001,1116,612,413,470,277,26,,12035,5696,6339,6751,3187,3564,2919,1458,1461,12035,6751,2891,28,23,29,22,30,22,28,520,640,500,620,1005,97,5.869901896,8.19449986,5983,76750.92291,26.03199278,0.417358804,908,-94.17569,36.0671,
