groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-108199,108199,108199,0,Abram Friedman Occupational Center,,Los Angeles,California,90015-3507,6,1,2,-1,9122.320867,10950,283030,9373225,8846860,,16,2,0,0,,8,1,2241,0,0,,0,0,,,,,,,,9344406,,,,,,,,,,,,,,,630,289,,,,,,,,,,,8286,,,8286,2491,,,2491,10777,,,10777,13,303,1368,8741,351,0,1,0,42,1118,1226,1380,1161,1141,1219,655,317,27,,,,,,,,,,,,,42,1118,1226,1380,1161,1141,1219,655,317,27,,3,404,259,460,304,294,218,386,155,8,,,,,,,,,,,,,3,404,259,460,304,294,218,386,155,8,,,,,,,,,,,,,,,,,,,,,,,,,121,18,1.326416838,0.197318207,218,,2.017030564,0.870503597,,-118.266121,34.034208,
-108232,108232,108232,0,Academy of Art University,,San Francisco,California,94105,6,3,2,2,11561.2122,12153,232223834,247391291,232533879,0.013447995,712,63,358,32,4445,53,5,6306,29,3,15627,666,59,6463,290,17760,17760,290,20160,20160,211643891,65730814,34222518,,,,,,,,125,837,520,,,,,1,,,,,1482,136,0.292473118,2768,10864,6358,2743,2743,9101,4506,1806,1806,6312,10864,4549,4549,15413,90,1369,847,1083,4991,0,3861,3172,82,1391,1765,1722,997,227,107,49,13,0,5,,,25,729,1315,391,160,73,39,3,8,82,1391,1790,2451,2312,618,267,122,52,3,13,19,269,416,807,1328,720,373,391,162,12,9,,,2,154,595,397,231,239,182,5,1,19,269,418,961,1923,1117,604,630,344,17,10,,,,,,,,,,,,,,,,,,,,,,,,196,1105,1.695323956,9.557821284,2269,61883.66837,7.819249268,0.150653344,196,-122.400721,37.787685,
-108250,108250,108250,0,ITT Technical Institute-Rancho Cordova,,Rancho Cordova,California,95670-6034,6,3,2,2,666.642842,739,13129335,13088900,13129335,0.003079745,108,96,90,80,4884,0,0,,14,12,2710,89,79,9852,300,16848,16848,,,,7631333,1316774,2440729,,,,,,,,162,31,,,,,,,,,,,193,1,0.083333333,140,731,625,,,625,106,,,106,731,,,731,13,74,100,141,397,0,6,0,1,49,98,142,168,71,51,27,18,,,,,,,,,,,,,,1,49,98,142,168,71,51,27,18,,,0,3,11,20,34,20,12,3,3,,,,,,,,,,,,,,0,3,11,20,34,20,12,3,3,,,391,311,80,201,164,37,201,164,37,391,201,179,22,,,,,,,,,,,14,53,2.10007505,7.950284119,107,50828.28571,8.10028948,0.208955224,14,-121.281629,38.591135,
-108269,108269,108269,0,Academy of Chinese Culture and Health Sciences,,Oakland,California,94612,6,2,2,2,106.169416,188,830256,1684156,1528945,,,,,,,,,,,,,,,,,,,383,12822,12822,1263237,1450823,602946,847877,,,,847877,,,,,19,,,,,,,,,,19,,,,,,97,97,97,,24,24,24,,121,121,121,8,56,2,6,41,0,5,3,,,,,,,,,,,,,,,8,43,35,6,5,,,,,,,8,43,35,6,5,,,,,,,,,,,,,,,,,,3,10,7,3,1,,,,,,,3,10,7,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,34.84996093,54,,15.07025338,,,-122.272799,37.80664,
2419,108348,108348,1,The Academy of Radio and TV Broadcasting,,Huntington Beach,California,92647,6,3,2,2,76,113,1542073,1542073,1542073,,94,98,85,89,5000,0,0,,0,0,,85,89,7188,,,,,,,1340774,,,,,,,,,,,,,,,90,,,,,,,,,,,,76,,,76,,,,,76,,,76,0,2,17,42,15,,0,0,,,11,24,34,5,2,,,,,,,,,,,,,,,,,,11,24,34,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,7.894736842,5.263157895,26,,23.68421053,0.6,,-117.990398,33.7689,
-108649,108649,108649,0,Alameda Beauty College,,Alameda,California,94501,6,3,2,2,153.83819,322,1887942,2035599,1887942,,187,100,187,100,3507,0,0,,0,0,,187,100,7379,,,,,,,1968122,,,,,,,,,,,,,,,11,61,,,,,,,,,,,132,,,132,55,,,55,187,,,187,1,12,106,37,28,,2,1,1,38,35,16,25,9,5,3,,,,,,,,,,,,,,,1,38,35,16,25,9,5,3,,,,1,10,14,13,12,2,3,0,,,,,,,,,,,,,,,1,10,14,13,12,2,3,0,,,,69,4,65,69,4,65,69,4,65,69,69,53,16,,,,,,,,,,,7,2,4.550235543,1.300067298,18,,9.750504735,0.777777778,,-122.243386,37.764443,
1676,108667,108667,1,College of Alameda,College of Alameda,Alameda,California,94501,6,1,2,2,16130.55816,21830,20780088,170187241,140776132,0.372886631,879,61,596,41,4444,827,57,833,0,0,,37,3,6090,4,728,5328,,,,238922813,770029204,711471552,58557652,11913296,,,58557652,,,1129,,,,,358,277,24,,,,,1129,177,0.155809859,13500,35185,6508,,,6508,28661,,,28661,35169,,,35169,175,7520,8115,3999,4923,35,9251,1151,171,1780,1351,977,768,425,330,439,245,22,,,,,,,,,,,,,171,1780,1351,977,768,425,330,439,245,22,,1244,3370,3720,4698,4980,2850,1970,2755,2451,623,,,,,,,,,,,,,1244,3370,3720,4698,4980,2850,1970,2755,2451,623,,,,,,,,,,,,,,,,,,,,,,,,,340,852,2.10780059,5.281900302,1680,76985.45092,5.071120243,0.285234899,326,-122.280528,37.779884,
-108807,108807,108807,0,Allan Hancock College,Allan Hancock College,Santa Maria,California,93454-6399,6,1,2,2,5979.752631,6595,6632752,74479263,52360439,0.123446949,506,59,296,35,4430,485,57,885,1,0,175,30,4,2977,40,722,6042,,,,73655191,194297694,108016647,86281047,9298429,,,86281047,,,891,,,,,177,424,31,,,,,891,253,0.313895782,3068,11070,3407,,,3407,7663,,,7663,11070,,,11070,103,497,352,4590,4604,172,738,14,86,1608,752,397,249,118,66,95,35,1,0,,,,,,,,,,,,86,1608,752,397,249,118,66,95,35,1,0,323,1249,1223,1174,1149,668,502,746,527,101,1,,,,,,,,,,,,323,1249,1223,1174,1149,668,502,746,527,101,1,,,,,,,,,,,,,,,,,,,,,,,,157,454,2.625526668,7.592287307,858,76396.30263,6.655793719,0.25695581,152,-120.424824,34.943821,
-108852,108852,108852,0,American Academy of Dramatic Arts-West,,Los Angeles,California,90028,6,2,2,2,177,210,5194382,4622634,5506340,0.165669179,35,100,14,40,4593,3,9,6472,35,100,6157,20,57,8580,500,26500,26500,,,,4619410,9469478,8472550,996928,5142246,,,996928,,,17,,,,,,,64,,,,,17,51,0.607142857,72,177,177,,,177,,,,,177,,,177,1,2,13,17,80,16,8,40,,40,62,50,23,2,,,,,,,,,,,,,,,,,,40,62,50,23,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,350,138,212,193,73,120,75,43,32,350,193,75,0,,,,,,,,,,,9,32,5.084745763,18.07909605,62,43666.22222,14.12429379,0.219512195,9,-118.344097,34.095315,
-108861,108861,108861,0,American Baptist Seminary of the West,,Berkeley,California,94704-3029,6,2,2,2,39.900301,56,801480,2766099,1938931,0.298668713,,,,,,,,,,,,,,,,,,480,13390,13390,2348574,16727587,4371374,12356213,1825000,,,12356213,,4296424,,,20,0,,,,,,,,,20,,,,,,25,25,25,,39,39,39,,64,64,64,0,11,33,0,8,,0,12,,,,,,,,,,,,,,,,4,1,4,7,7,2,,,,,,4,1,4,7,7,2,,,,,,,,,,,,,,,,,3,4,2,8,18,4,,,,,,3,4,2,8,18,4,,,,,,,,,,,,,,,,,,,,,,,,,6,3,15.03748054,7.518740272,18,44204.33333,32.58120785,0.666666667,6,-122.256007,37.865388,
