groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-126164,126164,126164,0,The Salon Professional Academy,,Grand Junction,Colorado,81504,8,3,2,2,88,139,1159592,1487003,1159592,,30,65,18,39,4900,1,2,2995,0,0,,26,57,7128,,,,,,,793101,,,,,,,,,,,,,,,0,,48,,,,,,,,,,88,,,88,,,,,88,,,88,1,0,0,10,75,0,2,0,1,29,27,9,14,6,,2,,,,,,,,,,,,,,,1,29,27,9,14,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,7.954545455,1.136363636,16,,12.5,0.875,,-108.51054,39.077438,
-126182,126182,126182,0,Adams State College,Adams State College,Alamosa,Colorado,81102,8,1,2,2,2474.438839,2560,22356408,45720431,24746776,0.213765333,501,94,326,61,4456,322,61,1680,290,55,3292,350,66,5744,1742,2712,11856,1307,4350,9378,43392668,136425870,72123426,64302444,6230054,,,64302444,,,33,282,211,,,,,,,,,,526,91,0.296416938,838,2405,1916,160,160,2076,489,556,556,1045,2405,716,716,3121,57,52,141,820,1674,,373,4,20,701,539,337,148,64,40,44,22,1,,,,0,26,43,27,21,26,16,,1,20,701,539,363,191,91,61,70,38,1,1,32,37,49,57,82,71,41,76,39,5,,,,1,26,119,108,98,140,64,,0,32,37,50,83,201,179,139,216,103,5,0,2332,1056,1276,1335,620,715,566,290,276,2332,1335,535,31,17,22,16,22,15,22,420,545,400,550,106,79,4.283799556,3.718014709,485,51784.60377,14.34668719,0.535353535,106,-105.880677,37.471646,
-126207,126207,126207,0,Aims Community College,Aims Community College,Greeley,Colorado,80632,8,1,2,2,3279.404846,3612,14639631,63046844,52524094,0.091291645,397,74,248,46,4762,259,48,933,128,24,1426,252,47,6032,378,2136,9264,,,,51753495,113493619,29155131,84338488,12503312,,,84338488,,,358,,,,,778,120,,,,,,358,61,0.269911504,2244,5510,2152,,,2152,3358,,,3358,5510,,,5510,51,97,76,1291,3605,,390,0,42,726,442,297,270,136,89,103,47,0,,,,,,,,,,,,,42,726,442,297,270,136,89,103,47,0,,493,455,434,433,431,286,211,359,233,23,,,,,,,,,,,,,493,455,434,433,431,286,211,359,233,23,,,,,,,,,,,,,,,,,,,,,,,,,89,308,2.713907071,9.391948066,744,50658.44944,8.90405466,0.22418136,89,-104.768403,40.406971,
-126289,126289,126289,0,Arapahoe Community College,Arapahoe Community College,Littleton,Colorado,80160-9002,8,1,2,2,4966.435347,5342,28237222,40321602,29022195,,280,70,155,39,4371,154,39,1074,47,12,1174,181,45,3837,182,2119,9454,,,,37189764,49253910,9714875,39539035,4065816,,,39539035,,,488,,,,,655,154,,,,,,488,79,0.2,3514,9969,2438,,,2438,7531,,,7531,9969,,,9969,97,279,279,776,6153,,2310,75,53,728,469,310,340,192,132,156,56,2,,,,,,,,,,,,,53,728,469,310,340,192,132,156,56,2,,651,568,579,809,1354,952,823,1145,609,41,,,,,,,,,,,,,651,568,579,809,1354,952,823,1145,609,41,,,,,,,,,,,,,,,,,,,,,,,,,100,351,2.013516597,7.067443256,634,50603.25,5.69825197,0.22172949,100,-105.020971,39.608907,
-126359,126359,126359,0,Bel-Rea Institute of Animal Technology,,Denver,Colorado,80247,8,3,2,2,776,961,6809477,6957349,6809551,,177,83,76,36,3850,0,0,,3,1,2542,175,82,7526,0,9094,9094,,,,8630118,1299330,251666,,,,,,,,236,,,,,,,,,,,,236,92,0.60130719,214,776,776,,,776,,,,,776,,,776,5,3,21,47,679,,21,0,16,108,161,180,182,56,37,29,6,1,,,,,,,,,,,,,16,108,161,180,182,56,37,29,6,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,550,78,472,367,69,298,212,36,176,550,367,212,0,,,,,,,,,,,15,3,1.932989691,0.386597938,45,43540.2,4.768041237,0.833333333,15,-104.875272,39.686162,
-126401,126401,126401,0,Everest College-Colorado Springs,,Colorado Springs,Colorado,80916,8,3,2,2,707.396946,752,11305446,11305446,11305446,,749,94,674,84,4516,194,24,1522,20,3,6450,721,90,8373,0,12600,12600,,,,7817850,14005740,927566,,,,,,,,61,,,,,341,1,,,,,,61,204,0.434968017,161,,653,,,653,137,,,137,790,,,790,13,32,192,178,340,0,35,0,16,102,95,119,133,67,58,46,16,1,,,,,,,,,,,,,16,102,95,119,133,67,58,46,16,1,,1,14,22,26,31,14,10,16,3,0,,,,,,,,,,,,,1,14,22,26,31,14,10,16,3,0,,142,32,110,97,27,70,97,27,70,142,97,61,36,,,,,,,,,,,8,26,1.130906777,3.675447024,76,28315.375,6.502713966,0.235294118,8,-104.743198,38.806597,
-126410,126410,126410,0,Boulder College of Massage Therapy,,Boulder,Colorado,80301-3295,8,2,2,2,132.117624,125,2159375,2517616,2195123,,9,82,5,45,5060,0,0,,0,0,,8,73,4354,760,14200,14200,,,,2309865,5175596,4532181,643415,797500,,,643415,,,28,,,,,,108,,,,,,28,14,0.933333333,17,149,121,,,121,28,,,28,149,,,149,0,7,2,11,129,,0,0,,16,7,2,70,18,5,1,2,,,,,,,,,,,,,,,16,7,2,70,18,5,1,2,,,,4,1,3,15,3,1,1,0,,,,,,,,,,,,,,,4,1,3,15,3,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,3,30,2.270703869,22.70703869,54,36788,9.082815477,0.090909091,3,-105.208103,40.064253,
-126562,126562,126562,0,University of Colorado Denver,University of Colorado Denver,Denver,Colorado,80217-3364,8,1,1,2,16020.47066,18984,202523263,1247753221,260977944,0.073387589,723,70,349,34,4895,356,34,1377,475,46,2599,418,40,5546,945,5712,18744,945,7130,18990,1198312863,1650331211,751140732,899190479,29558962,,,899190479,,,,1826,1768,93,456,,,,,28,,28,4143,289,0.421282799,5729,13246,7247,4020,4020,11267,5999,6449,6449,12448,13246,10469,10469,23715,180,1732,914,2100,14978,,2840,971,95,1969,2047,1580,919,370,134,101,32,0,,,1,31,1121,1639,580,287,273,84,4,,95,1970,2078,2701,2558,950,421,374,116,4,,3156,372,336,670,671,326,200,166,86,16,,,1,18,562,1796,1317,859,1077,779,40,,3156,373,354,1232,2467,1643,1059,1243,865,56,,4187,1751,2436,2629,1045,1584,1073,427,646,4187,2629,985,88,20,25,19,25,19,25,480,590,470,600,3961,804,24.72461693,8.801239554,7666,76722.54967,38.17615682,0.737479054,755,-104.937759,39.730204,
-126580,126580,126580,0,University of Colorado at Colorado Springs,University of Colorado at Colorado Springs,Colorado Springs,Colorado,80918,8,1,2,2,7437.229915,7890,77787233,127280177,84008626,0.102509585,811,76,296,28,4921,277,26,1508,456,42,2194,498,46,5413,1013,4680,15600,0,7466,16304,118938522,299967551,130231745,169735806,10737503,,,169735806,,,,1228,496,9,8,,,,,,,,1741,422,0.449414271,2255,7007,5538,502,502,6040,1469,2224,2224,3693,7007,2726,2726,9733,66,428,358,883,7262,,649,87,51,1907,1606,1015,532,183,104,110,30,0,,,0,6,108,162,73,56,63,34,0,,51,1907,1612,1123,694,256,160,173,64,0,,171,96,157,288,302,151,95,144,62,3,,,1,7,187,506,363,309,502,340,9,,171,97,164,475,808,514,404,646,402,12,,4547,2086,2461,2932,1317,1615,1099,524,575,4547,2932,1058,41,21,26,20,26,20,26,490,600,480,590,337,87,4.531256985,1.734516769,965,64794.36278,10.24575021,0.723175966,317,-104.80114,38.891395,
-126605,126605,126605,0,Redstone College,,Broomfield,Colorado,80021-3465,8,3,2,2,624.397002,755,13000585,14193070,13000585,0.023973998,116,98,108,92,3782,17,14,1412,62,53,1472,110,93,11510,,,,,,,13190160,3072855,2228385,,,,,,,,238,,,,,,18,,,,,,238,33,0.523809524,,477,597,,,597,69,,,69,666,,,666,12,19,46,122,414,0,50,3,4,79,83,115,132,64,50,53,17,,,,,,,,,,,,,,4,79,83,115,132,64,50,53,17,,,0,3,14,11,10,17,7,7,0,,,,,,,,,,,,,,0,3,14,11,10,17,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,25,23,4.003862914,3.683553881,92,33783.08,9.449116477,0.520833333,25,-105.118435,39.914098,
