groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-130837,130837,130837,0,Beebe Hospital School of Nursing,,Lewes,Delaware,19958,10,2,2,2,53,62,364246,294816,364246,0.190612937,,,,,,,,,,,,,,,700,4400,4400,,,,1579191,,,,,,,,,,,,,,,,,21,,,,,,,,,53,53,,,53,,,,,53,,,53,0,1,0,1,46,4,0,1,,6,15,11,6,9,4,1,1,,,,,,,,,,,,,,,6,15,11,6,9,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,16.98113208,1.886792453,16,,22.64150943,0.9,,-75.142425,38.771333,
-130873,130873,130873,0,Dawn Training Centre,,Wilmington,Delaware,19805,10,3,2,2,200,739,3564249,3710888,3567166,,715,94,521,69,3522,96,13,3967,1,0,2499,551,73,4626,,,,,,,5672227,,,,,,,,,,,,,,,407,,,,,,,,,,,,200,,,200,,,,,200,,,200,0,4,89,4,92,11,0,0,,25,41,21,34,39,21,15,4,,,,,,,,,,,,,,,25,41,21,34,39,21,15,4,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,115,23,92,115,23,92,115,23,92,115,115,115,0,,,,,,,,,,,19,14,9.5,7,61,,21,0.575757576,,-75.594268,39.754694,
-130882,130882,130882,0,Delaware Technical and Community College-Central Office,,Dover,Delaware,19901,10,1,-2,2,,,,12264684,6237993,,,,,,,,,,,,,,,,,,,,,,12195493,3469954,89396,3380558,,,,3380558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,-75.554163,39.198752,
-130891,130891,130891,0,Delaware Technical and Community College-Owens,Delaware Technical and Community College-Owens,Georgetown,Delaware,19947,10,1,2,2,3189.447485,3464,18681023,44568506,36011112,0.009631807,647,89,362,50,3932,280,39,2075,106,15,1136,74,10,2650,344,2472,6180,,,,37452014,23615125,2581080,21034045,456321,,,21034045,,,421,,,,,183,305,,,,,,421,132,0.194690265,1239,4720,2382,,,2382,2405,,,2405,4787,,,4787,15,98,775,194,3464,56,37,148,89,1073,413,258,222,100,86,99,40,1,1,,,,,,,,,,,,89,1073,413,258,222,100,86,99,40,1,1,395,180,255,350,379,260,185,265,127,5,4,,,,,,,,,,,,395,180,255,350,379,260,185,265,127,5,4,,,,,,,,,,,,,,,,,,,,,,,,117,237,3.668346964,7.430754108,565,62864.18803,8.590829643,0.330508475,117,-75.39528,38.69785,
-130907,130907,130907,0,Delaware Technical and Community College-Terry,Delaware Technical and Community College-Terry,Dover,Delaware,19901,10,1,2,2,2210.990863,2474,12436902,30610164,23725440,0.002771028,521,88,254,43,3775,252,42,2001,57,10,895,108,18,2840,344,2472,6180,,,,25637056,20656826,1255389,19401437,302250,,,19401437,,,285,,,,,11,75,,,,,,285,87,0.147457627,913,3376,1607,,,1607,1799,,,1799,3406,,,3406,17,101,945,145,2022,47,76,53,68,760,275,136,140,90,56,62,18,2,,,,,,,,,,,,,68,760,275,136,140,90,56,62,18,2,,31,143,239,254,281,253,201,296,94,7,,,,,,,,,,,,,31,143,239,254,281,253,201,296,94,7,,,,,,,,,,,,,,,,,,,,,,,,,81,163,3.663515818,7.372260226,398,62453.19753,9.769375515,0.331967213,81,-75.560738,39.197527,
-130916,130916,130916,0,Delaware Technical and Community College-Stanton-Wilmington,Delaware Technical and Community College-Stanton-Wilmington,Newark,Delaware,19702,10,1,2,2,4699.423926,5413,25104814,64197594,54453394,0.011628965,757,68,356,32,3740,341,31,2046,119,11,932,132,12,2848,344,2472,6180,,,,54965773,50804961,3272324,47532637,3647994,,,47532637,,,522,,,,,48,34,,,,,,522,74,0.068773234,1987,7414,3290,,,3290,4198,,,4198,7488,,,7488,18,276,1716,506,4478,89,248,157,119,1623,688,367,232,105,57,73,25,1,0,,,,,,,,,,,,119,1623,688,367,232,105,57,73,25,1,0,36,433,697,758,765,448,331,477,236,13,4,,,,,,,,,,,,36,433,697,758,765,448,331,477,236,13,4,,,,,,,,,,,,,,,,,,,,,,,,178,346,3.787698297,7.362604554,819,62872.57303,9.618200169,0.339694656,178,-75.652399,39.694149,
-130934,130934,130934,0,Delaware State University,Delaware State University,Dover,Delaware,19901,10,1,2,2,3309.307956,3333,36933624,99612961,74109407,0.228760952,722,98,426,58,4658,238,32,3118,415,56,4495,707,96,9898,780,5701,12962,350,4380,9624,99109336,214191977,79010843,135181134,16968407,,,135181134,,,,436,116,7,,,,,,,,,559,269,0.391557496,976,3222,2818,295,295,3113,404,92,92,496,3222,387,387,3609,4,32,2476,84,400,,545,68,124,1201,905,412,98,34,25,12,6,1,0,,,6,89,56,48,24,46,22,2,2,124,1201,911,501,154,82,49,58,28,3,2,62,48,69,87,49,18,25,26,17,2,1,,,0,7,30,12,8,16,17,2,0,62,48,69,94,79,30,33,42,34,4,1,8075,2962,5113,2999,976,2023,757,288,469,8075,2999,739,18,15,19,13,19,15,18,390,480,400,480,190,66,5.741381658,1.994374681,836,66510.60526,22.30073507,0.7421875,190,-75.533802,39.184199,
-130943,130943,130943,0,University of Delaware,University of Delaware,Newark,Delaware,19716,10,1,2,2,19505.76338,21277,384596106,841784457,668396311,0.21106351,3108,74,490,12,4641,739,18,5823,1331,32,5708,2179,52,7274,946,8540,22240,712,22240,22240,738021556,2337339504,617699213,1719640291,79440000,,,1719640291,,249525210,254,3361,652,176,54,,,,,,,,4497,2659,0.771171694,4705,17504,15798,2671,2671,18469,1706,963,963,2669,17504,3634,3634,21138,53,963,1191,1031,15811,,737,1352,382,7647,6546,1003,143,32,19,16,9,1,0,,,66,970,999,359,141,94,39,3,,382,7647,6612,1973,1142,391,160,110,48,4,0,129,93,222,416,230,121,121,158,179,36,1,,,3,119,267,178,143,152,80,21,,129,93,225,535,497,299,264,310,259,57,1,24744,10597,14147,14109,5915,8194,4223,1793,2430,24744,14109,4212,11,24,28,23,29,23,29,540,650,520,630,1112,44,5.700879161,8.910187034,5702,98168.40108,19.37376111,0.390175439,1112,-75.751326,39.679028,
-130989,130989,130989,0,Goldey-Beacom College,,Wilmington,Delaware,19808,10,2,2,2,787.25207,1006,18732866,25946674,23258564,0.403325471,76,100,37,49,4921,10,13,760,75,99,10535,54,71,6120,300,17580,17580,180,14166,14166,19146341,65226915,2546898,62680017,388137,,,62680017,,35105073,26,139,231,,,,,,11,,,,396,55,0.5,118,702,474,38,38,512,228,486,486,714,702,524,524,1226,2,349,182,58,562,13,59,1,6,158,167,81,26,18,8,10,0,,,1,,0,24,7,3,3,0,0,,,7,158,167,105,33,21,11,10,0,,,13,6,16,43,39,28,18,44,21,,,0,,7,161,208,58,20,25,7,,,13,6,23,204,247,86,38,69,28,,,442,191,251,294,126,168,99,45,54,442,294,96,3,,,,,,,,,,,20,28,2.540482364,3.55667531,159,72268.65,8.51061592,0.416666667,20,-75.689381,39.740195,
-131061,131061,131061,0,Schilling-Douglas School of Hair Design,,Newark,Delaware,19711-7964,10,3,2,2,105.088204,183,431424,1673022,1356250,,53,96,36,65,5054,5,9,5281,17,31,104,41,75,6176,,,,,,,1602788,,,,,,,,,,,,,,,6,63,,,,,,,,,,,90,,,90,38,,,38,128,,,128,0,1,27,12,87,1,0,0,,40,11,4,20,6,4,5,0,0,,,,,,,,,,,,,,40,11,4,20,6,4,5,0,0,,,2,5,5,14,4,1,5,1,1,,,,,,,,,,,,,,2,5,5,14,4,1,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,10,1,9.515815876,0.951581588,15,,13.32214223,0.909090909,,-75.756788,39.680687,
