groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-131159,131159,131159,0,American University,American University,Washington,District of Columbia,20016-8001,11,2,2,2,10517.10756,11845,393303000,553545000,548365000,0.221564544,1202,79,219,14,5420,68,4,912,1049,69,20679,847,55,8128,517,34456,34456,430,22266,22266,406717000,1069628000,373289000,696339000,50283000,,,696339000,,419994000,0,1510,1407,55,476,70,,,55,,,,3448,956,0.792703151,2034,6444,6404,3043,3043,9447,244,2550,2550,2794,6648,5593,5593,12241,65,705,822,704,6474,346,2137,988,137,3149,2632,397,64,13,8,2,0,,2,,,85,1323,1305,243,52,28,7,0,,137,3149,2717,1720,1369,256,60,30,7,0,2,9,8,62,74,40,19,12,13,7,,0,,,21,548,952,452,246,218,109,4,,9,8,83,622,992,471,258,231,116,4,0,14936,5858,9078,7950,2960,4990,1533,611,922,14936,7950,1533,0,26,30,26,32,24,29,580,670,590,700,646,549,6.142373237,9.070935091,3634,92404.27002,19.91992559,0.40375,637,-77.086355,38.937921,
-131283,131283,131283,0,Catholic University of America,Catholic University of America,Washington,District of Columbia,20064,11,2,2,2,5466.031685,6030,180744542,267707109,260870726,0.285645931,768,94,76,9,5964,37,5,947,750,92,13401,545,67,7302,150,31740,31740,50,31740,31740,202389000,517839000,157857000,359982000,26031000,,,359982000,,258144000,5,749,513,109,286,,0,,2,0,,0,1662,494,0.687065369,953,3466,3234,1423,1423,4657,232,1879,1879,2111,3466,3302,3302,6768,18,308,409,395,3870,,1361,407,32,1427,1389,233,79,31,15,23,4,0,1,,4,16,492,586,170,63,63,27,0,2,32,1431,1405,725,665,201,78,86,31,0,3,1,11,14,35,36,27,23,37,30,2,16,,1,3,134,568,390,233,334,192,17,7,1,12,17,169,604,417,256,371,222,19,23,5180,2352,2828,4199,1857,2342,908,432,476,5180,4199,901,7,21,27,,,,,500,610,510,610,368,349,6.732489331,11.61720306,2161,81057.90217,24.22232574,0.366899302,368,-76.997755,38.932583,
-131308,131308,131308,0,Corcoran College of Art and Design,,Washington,District of Columbia,20006-4804,11,2,2,2,629.131097,527,17149774,26908580,20840028,0.167113223,72,97,23,31,6133,4,5,713,72,97,14879,58,78,6576,200,27960,27960,200,22517,22517,25546015,52796529,15103891,37692638,1255835,,,37692638,,9262320,9,65,42,,,2,,,,,,,116,30,0.545454545,252,691,309,133,133,442,382,97,97,479,691,230,230,921,5,48,59,59,591,10,96,53,1,114,91,47,36,4,4,9,3,0,,,,3,38,51,17,9,10,5,0,,1,114,94,85,87,21,13,19,8,0,,11,7,12,33,44,45,26,76,105,23,,,,0,4,35,20,14,10,12,2,,11,7,12,37,79,65,40,86,117,25,,435,120,315,229,66,163,73,18,55,435,229,73,0,20,26,19,25,17,23,450,540,460,610,19,,3.020038286,,77,53556.10526,11.92120376,1,19,-77.039461,38.895781,
2244,131399,131399,1,University of the District of Columbia,University of the District of Columbia,Washington,District of Columbia,20008,11,1,2,2,3632.773524,4062,27224066,150459694,94491570,0.042320901,316,68,116,25,2293,18,4,563,5,1,436,116,25,1833,620,4750,11680,620,7580,14580,109469000,170068277,79030401,91037876,7531544,,,91037876,,,109,431,62,,81,,,,,,,,683,20,0.081300813,978,4770,2182,363,363,2545,2588,120,120,2708,4770,483,483,5253,6,170,3340,304,374,,1059,0,54,360,369,453,434,208,118,123,57,6,,,,1,68,157,78,20,24,11,2,2,54,360,370,521,591,286,138,147,68,8,2,93,194,253,307,475,303,255,388,255,65,,,,0,11,23,19,21,24,21,1,0,93,194,253,318,498,322,276,412,276,66,0,,,,,,,,,,,,,,,,,,,,,,,,264,119,7.267174743,4.514457037,987,77786.5,18.93869781,0.61682243,264,-77.064161,38.945168,
-131405,131405,131405,0,Dominican House of Studies,,Washington,District of Columbia,20017-1585,11,2,2,2,78.697652,88,1080112,4111645,2043326,0.02334943,,,,,,,,,,,,,,,,,,100,15120,15120,3808693,2663985,294310,2369675,,,,2369675,,1000000,,,16,,,,,,,10,,10,16,,,,,,68,68,68,,28,28,28,,96,96,96,0,0,0,3,68,1,3,21,,,,,,,,,,,,,,,6,21,22,8,6,3,1,1,,,,6,21,22,8,6,3,1,1,,,,,,,,,,,,,,,3,5,4,8,4,3,0,1,,,,3,5,4,8,4,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,15,12,19.06028912,15.24823129,40,35790.33333,33.03783447,0.555555556,15,-76.999459,38.931833,
-131450,131450,131450,0,Gallaudet University,Gallaudet University,Washington,District of Columbia,20002-3695,11,2,2,2,1352.309677,1393,18991010,145237032,29093926,0.33207365,198,94,87,41,4741,148,70,10637,169,80,6239,80,38,5119,376,10850,10850,376,11930,11930,135636281,345982214,21933707,324048507,7399359,,,324048507,,157372982,,190,116,17,,,,,16,,,,323,79,0.348017621,314,1081,1000,267,267,1267,81,140,140,221,1081,407,407,1488,22,62,163,115,1013,,25,88,19,274,243,243,129,92,,,,,,,,5,101,101,60,,,,,,19,274,248,344,230,152,,,,,,0,1,11,22,14,33,,,,,,,,0,6,42,92,,,,,,0,1,11,28,56,125,,,,,,413,190,223,283,127,156,211,99,112,413,283,211,0,15,20,14,18,15,20,,,,,201,1,14.86345941,0.073947559,1028,93516.02488,73.57782148,0.995049505,201,-76.996075,38.905334,
2039,131469,131469,1,George Washington University,George Washington University,Washington,District of Columbia,20052,11,2,1,1,19633.03176,21710,709757000,1122891000,861914000,0.283978883,1730,67,360,14,6045,60,2,959,1680,65,25813,1028,40,6060,39,39962,39962,18,20124,20124,986274000,2897272000,1236666000,1660606000,139353000,,,1660606000,,1504526000,120,2405,3664,243,762,2,268,,463,117,,117,7194,2113,0.805566146,3173,10558,9640,6621,6621,16261,918,7882,7882,8800,10558,14503,14503,25061,153,2376,2178,1350,13700,,3006,2298,25,3499,4328,1550,151,52,16,18,1,0,0,1,0,47,2261,3000,726,281,233,70,1,1,26,3499,4375,3811,3151,778,297,251,71,1,1,13,44,117,242,187,122,69,83,32,2,7,0,1,9,709,2584,1650,944,1194,756,26,9,13,45,126,951,2771,1772,1013,1277,788,28,16,19430,8265,11165,7261,3258,4003,2461,1048,1413,19430,7261,2449,12,26,30,26,32,25,30,600,690,590,680,1128,1298,5.74541932,8.35836268,6762,108648.2694,24.73891989,0.407367281,939,-77.047734,38.90068,
-131496,131496,131496,0,Georgetown University,Georgetown University,Washington,District of Columbia,20057,11,2,1,1,14633.17384,16400,547424000,1059862000,808760000,0.207513737,920,59,189,12,7261,37,2,969,748,48,26217,507,33,5372,420,38616,38616,320,36744,36744,974494000,2251639000,1303955000,947684000,69045000,,,947684000,,949802000,,1834,2313,108,842,,,,42,,,,5097,1409,0.925147735,2016,7461,7141,6320,6320,13461,320,2739,2739,3059,7461,9059,9059,16520,15,1404,1019,770,9285,,2217,1810,80,3018,3294,514,136,35,13,8,4,29,10,,3,84,2095,2798,740,206,93,157,128,16,80,3021,3378,2609,2934,775,219,101,161,157,26,15,23,29,78,63,16,14,29,6,32,15,,0,6,374,1077,506,241,187,146,148,54,15,23,35,452,1140,522,255,216,152,180,69,18696,8286,10410,3514,1621,1893,1571,749,822,18696,3514,1571,0,26,33,25,34,26,32,660,750,650,740,1521,748,10.39419074,10.16867575,6413,102723.4908,32.86368393,0.505483549,980,-77.071586,38.907663,
-131520,131520,131520,0,Howard University,Howard University,Washington,District of Columbia,20059-0001,11,2,1,1,9980.844165,11485,187303000,874836000,253958000,0.305195325,1516,95,688,43,4937,68,4,1890,903,57,9186,1338,84,10307,805,15270,15270,805,19125,19125,903500000,1248862000,774941000,473921000,27711000,,,473921000,,459046000,,1163,395,,373,,,32,,21,,21,1931,1317,0.911418685,1989,7005,6791,2817,2817,9608,385,580,580,965,7176,3397,3397,10573,10,185,5387,112,100,,4290,489,112,2718,2473,901,250,60,28,28,12,2,207,,,39,785,1152,303,120,102,66,2,248,112,2718,2512,1686,1402,363,148,130,78,4,455,2,40,41,114,68,36,24,36,24,0,0,,,0,22,161,134,82,71,92,11,7,2,40,41,136,229,170,106,107,116,11,7,9209,2967,6242,4976,1593,3383,1598,505,1093,9209,4976,1584,14,19,29,17,30,18,29,440,660,460,660,1175,59,11.77255131,4.157964929,3869,63093.09634,33.28375782,0.738993711,955,-77.02117,38.923072,
-131566,131566,131566,0,Dudley Beauty College,,Washington,District of Columbia,20018-2834,11,3,2,2,50.514682,129,739551,750408,739551,,18,64,11,39,4300,1,4,1000,1,4,800,18,64,1944,,,,,,,704847,,,,,,,,,,,,,,,14,36,,,,,,,,,,,39,,,39,29,,,29,68,,,68,0,0,68,0,0,,0,0,,13,21,3,0,2,,,,,,,,,,,,,,,,,,13,21,3,0,2,,,,,,,7,7,8,7,0,,,,,,,,,,,,,,,,,,7,7,8,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,5.938867437,1.979622479,14,,19.79622479,0.75,,-76.975735,38.929168,
