groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-135364,135364,135364,0,Luther Rice University,,Lithonia,Georgia,30038-2418,13,2,2,2,542.081811,677,4874102,5000850,5183556,0.044226198,4,100,3,75,3700,0,0,,2,50,1044,3,75,5582,360,4872,4872,270,3654,3654,4334161,4552026,1160804,3391222,45600,,,3391222,,,,60,183,,10,,,,,,,,253,2,0.08,15,351,92,168,168,260,259,472,472,731,351,640,640,991,3,64,375,19,517,,4,9,,4,7,12,16,14,10,20,8,1,,0,,,5,17,27,31,57,29,2,,0,4,7,17,33,41,41,77,37,3,,,3,2,7,24,44,43,78,54,4,,1,,,5,31,51,70,163,141,10,,1,3,2,12,55,95,113,241,195,14,,,,,,,,,,,,,,,,,,,,,,,,,10,23,1.84474,4.242902,61,43282.8,6.45659,0.303030303,10,-84.123449,33.698513,
-138558,138558,138558,0,Abraham Baldwin Agricultural College,Abraham Baldwin Agricultural College,Tifton,Georgia,31793-2601,13,1,2,2,2761.047924,2773,8328753,41421477,19975263,,916,87,586,56,4805,377,36,2880,119,11,2127,532,51,5175,702,2016,7992,,,,39860096,83012206,51970968,31041238,67441,,,31041238,,,447,24,,,,1,,,,,,,471,,,1368,3327,2475,,,2475,852,,,852,3327,,,3327,10,26,681,143,2375,35,27,30,6,1446,638,203,82,38,36,20,6,0,,,,,,,,,,,,,6,1446,638,203,82,38,36,20,6,0,,21,86,172,162,114,93,83,87,33,1,,,,,,,,,,,,,21,86,172,162,114,93,83,87,33,1,,2927,1264,1663,2326,998,1327,2027,940,1087,2927,2326,1708,319,,,,,,,,,,,94,69,3.40450447,2.499051154,488,46572.31915,10.10485901,0.576687117,94,-83.523399,31.475038,
-138600,138600,138600,0,Agnes Scott College,Agnes Scott College,Decatur,Georgia,30030-3797,13,2,2,2,843.627896,887,24574408,51783071,54719296,0.601453878,238,100,93,39,5472,119,50,3569,238,100,18947,146,61,6324,215,29890,29890,215,15200,15200,45435795,373734800,88341224,285393576,10810997,,,285393576,,239684484,,173,17,,,,,,13,,,,190,176,0.682170543,300,842,810,18,18,828,32,8,8,40,842,26,26,868,1,33,209,43,428,21,71,62,21,376,312,51,25,10,6,7,2,,,,,0,9,4,2,1,2,0,,,21,376,312,60,29,12,7,9,2,,,2,0,0,21,2,0,3,3,1,,,,,1,0,0,3,0,2,2,,,2,0,1,21,2,3,3,5,3,,,1984,0,1984,918,0,918,237,0,237,1984,918,237,0,,,,,,,,,,,82,27,9.719925146,3.200463158,391,70137.69512,35.91630877,0.752293578,82,-84.295613,33.769957,
-138655,138655,138655,0,Interactive College of Technology,,Chamblee,Georgia,30341,13,3,2,2,307.176464,413,11607016,14573336,11607016,,90,88,90,88,4331,0,0,,0,0,,78,76,3531,50,7440,7440,,,,11378874,20688880,13928038,,,,,,,,30,,,,,,176,,,,,,30,79,0.711711712,108,312,304,,,304,8,,,8,312,,,312,0,44,170,37,61,0,0,0,,13,14,32,65,47,60,55,18,,,,,,,,,,,,,,,13,14,32,65,47,60,55,18,,,,0,0,2,1,3,2,0,0,,,,,,,,,,,,,,,0,0,2,1,3,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,6,19,1.953274649,6.185369723,65,23182.33333,13.67292255,0.24,6,-84.301978,33.889384,
-138664,138664,138664,0,Interactive College of Technology,,Morrow,Georgia,30260,13,3,2,2,53,73,1250515,1250515,1250515,,32,94,32,94,4777,0,0,,0,0,,19,56,3041,50,7080,7080,,,,934753,,,,,,,,,,,,,,,,43,,,,,,,,,,53,53,,,53,,,,,53,,,53,0,5,25,23,0,0,0,0,,4,8,7,8,6,8,10,2,,,,,,,,,,,,,,,4,8,7,8,6,8,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1.886792453,1.886792453,10,,11.32075472,0.5,,-84.337666,33.57235,
-138682,138682,138682,0,Albany Technical College,Albany Technical College,Albany,Georgia,31701,13,1,2,2,3008.118332,4173,8380869,20948278,15832495,,652,99,544,83,4693,634,96,1993,5,1,73,260,40,8125,243,1800,3600,,,,29906237,24069603,1849372,22220231,1457005,,,22220231,,,118,,,,,1664,631,142,,,,,118,153,0.422651934,1019,3962,2526,,,2526,1436,,,1436,3962,,,3962,9,22,2926,16,955,1,33,0,8,251,370,369,474,372,269,281,127,5,,,,,,,,,,,,,8,251,370,369,474,372,269,281,127,5,,12,106,188,221,254,194,137,205,112,7,,,,,,,,,,,,,12,106,188,221,254,194,137,205,112,7,,,,,,,,,,,,,,,,,,,,,,,,,78,107,2.592983101,3.55704092,312,43448.17949,5.485156559,0.421621622,78,-84.176414,31.555963,
-138691,138691,138691,0,Darton College,Darton College,Albany,Georgia,31707-3098,13,1,2,2,3874.49626,4669,14906153,36535885,28241809,0.033071041,995,89,734,66,4904,278,25,2583,47,4,2077,539,48,4417,694,1812,7224,,,,42882552,47582873,6016094,41566779,989113,,,41566779,,,625,,,,,64,24,,,,,,625,82,0.098914355,2486,5854,2874,,,2874,2980,,,2980,5854,,,5854,13,62,2500,97,3022,6,87,67,24,1197,486,273,356,214,143,135,45,1,,,,,,,,,,,,,24,1197,486,273,356,214,143,135,45,1,,46,191,309,338,496,382,328,392,206,292,,,,,,,,,,,,,46,191,309,338,496,382,328,392,206,292,,,,,,,,,,,,,,,,,,,,,,,,,118,153,3.045557205,3.948900444,642,45505.84746,7.742942046,0.435424354,118,-84.209136,31.585774,
-138716,138716,138716,0,Albany State University,Albany State University,Albany,Georgia,31705,13,1,2,2,3883.600782,4187,20258579,59720398,36050031,0.046995794,727,98,573,77,5710,241,32,4514,64,9,2528,633,85,6777,962,3100,12398,962,2916,12116,66186892,136116710,38393551,97723159,2922366,,,97723159,,,,508,136,,,,,,,18,,18,644,270,0.448504983,1087,4016,3366,141,141,3507,650,316,316,966,4016,457,457,4473,4,11,4031,22,267,0,116,22,24,1127,942,694,261,122,95,72,29,0,,,,1,27,48,24,17,16,8,,,24,1127,943,721,309,146,112,88,37,0,,0,10,46,99,124,120,82,126,41,2,,,,1,29,81,45,61,66,33,,,0,10,47,128,205,165,143,192,74,2,,5494,1886,3563,1641,528,1110,625,235,390,5494,1641,618,7,17,19,16,20,16,19,400,470,410,480,141,123,3.630651241,3.295910347,739,55283.34043,14.57410356,0.524163569,141,-84.142518,31.569128,
-138761,138761,138761,0,Andrew College,,Cuthbert,Georgia,39840-5550,13,2,2,2,227.191174,242,2496690,7129480,6391246,0.422530631,131,85,79,51,2487,109,71,1859,131,85,5302,96,62,4418,0,11416,11416,,,,7699230,22627781,5407516,17220265,889195,,,17220265,,9766148,28,,,,,,,,,,,,28,31,0.205298013,162,229,226,,,226,3,,,3,229,,,229,0,4,106,11,104,0,0,4,,164,54,4,2,1,,,1,,,,,,,,,,,,,,,164,54,4,2,1,,,1,,,,0,0,1,2,0,,,0,,,,,,,,,,,,,,,0,0,1,2,0,,,0,,,674,312,362,375,180,195,154,71,83,674,375,154,0,14,19,13,19,14,20,370,500,360,490,16,4,7.042527101,1.760631775,78,32377.25,28.1701084,0.8,16,-84.7964,31.77325,
-138789,138789,138789,0,Armstrong Atlantic State University,Armstrong Atlantic State University,Savannah,Georgia,31419-1997,13,1,2,2,5955.985949,6530,27666790,78244343,53706634,0.031380402,924,87,403,38,4975,559,53,4021,34,3,742,453,43,5374,928,3120,12408,928,2934,11736,82326049,149408912,83766371,65642541,4678254,,,65642541,,,73,867,281,,,1,120,,2,,,,1221,221,0.286640726,2102,6598,4621,308,308,4929,1991,618,618,2609,6612,926,926,7538,40,223,1685,288,5117,44,11,130,37,1387,1122,966,586,244,129,126,23,1,,,,0,92,99,43,30,24,20,0,,37,1387,1122,1058,685,287,159,150,43,1,,36,144,223,427,501,216,160,176,71,37,,,,1,59,179,104,100,112,61,2,,36,144,224,486,680,320,260,288,132,39,,5839,1923,3916,3873,1322,2551,2351,864,1487,5839,3873,71,2280,18,23,18,23,17,23,440,550,450,540,206,192,3.458705272,3.995979877,893,59255.78641,9.738102221,0.463963964,206,-81.161892,31.982292,
