groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-141486,141486,141486,0,Chaminade University of Honolulu,Chaminade University of Honolulu,Honolulu,Hawaii,96816-1578,15,2,2,2,2097.895047,1866,29604040,37796830,36582749,0.246293648,257,98,112,43,6039,11,4,1800,250,95,8428,204,78,6937,160,16900,16900,0,13200,13200,35082443,69431563,24256521,45175042,1308600,,,45175042,,8028284,106,314,245,,,,,,,,,,665,117,0.473684211,566,1897,1303,458,458,1761,594,271,271,865,1897,729,729,2626,22,1204,187,216,670,,283,44,3,386,343,229,146,87,37,45,23,1,3,,,1,128,186,70,32,24,13,0,4,3,386,344,357,332,157,69,69,36,1,7,0,20,41,109,165,100,72,57,26,0,4,,,0,30,84,55,35,38,27,2,0,0,20,41,139,249,155,107,95,53,2,4,1037,364,673,989,346,643,264,100,164,1037,989,264,0,18,22,16,22,16,23,420,520,420,520,62,163,2.955343266,7.76969278,444,59668.46774,11.3447048,0.275555556,62,-157.80791,21.287285,
-141565,141565,141565,0,University of Hawaii at Hilo,University of Hawaii at Hilo,Hilo,Hawaii,96720-4091,15,1,2,2,3493.258331,3535,19605812,85838832,50282394,0.189149626,361,79,198,44,4787,105,23,2096,149,33,2716,191,42,5361,304,4584,14088,304,7008,16128,100821134,236383285,44962199,191421086,10496667,,,191421086,,,,508,47,0,0,,,,46,,,,555,137,0.332524272,1134,3444,2821,359,359,3180,623,171,171,794,3444,530,530,3974,46,2253,50,111,1260,,48,206,121,867,771,579,250,82,52,61,36,2,0,,,20,131,141,39,11,8,9,0,,121,867,791,710,391,121,63,69,45,2,0,40,51,82,122,130,50,30,62,52,3,1,,,1,14,49,27,21,22,34,3,,40,51,83,136,179,77,51,84,86,6,1,2023,806,1217,1136,433,703,552,218,334,2023,1136,535,17,17,24,13,20,16,21,420,540,410,520,217,72,6.211965433,2.061112955,624,74998.21659,15.5156003,0.750865052,217,-155.077727,19.700675,
-141574,141574,141574,0,University of Hawaii at Manoa,University of Hawaii at Manoa,Honolulu,Hawaii,96822-2301,15,1,1,2,16899.36675,17295,152396130,820179245,363098623,0.244576473,1320,70,425,23,5119,171,9,2851,816,43,3731,645,34,5277,399,6768,18816,419,8928,21552,826217000,1161041835,475685503,685356332,55608636,,,685356332,,,,2834,1169,184,167,,,,60,,,,4354,952,0.503171247,4026,13952,11361,3365,3365,14726,2591,3118,3118,5709,13952,6483,6483,20435,102,12055,275,518,5535,,197,1753,410,3505,3558,2586,848,220,100,91,42,1,,,1,44,939,1240,588,254,207,87,4,1,410,3506,3602,3525,2088,808,354,298,129,5,1,11,203,527,810,585,173,93,109,72,8,,,0,13,256,877,672,454,501,322,22,1,11,203,540,1066,1462,845,547,610,394,30,1,7029,3223,3806,4688,2041,2647,1866,816,1050,7029,4688,1812,54,21,23,20,22,21,26,500,610,480,570,1617,467,9.56840587,10.40867404,6161,92693.2355,24.95951513,0.478969194,1138,-157.818304,21.300073,
-141608,141608,141608,0,Hawaii Institute of Hair Design,,Honolulu,Hawaii,96817-5195,15,3,2,2,89,137,772617,1050435,772617,0.004465343,72,94,61,79,4594,0,0,,7,9,173,52,68,4324,,,,,,,1002670,,,,,,,,,,,,,,,,68,,,,,,,,,,,89,,,89,,,,,89,,,89,1,68,9,2,9,,0,0,2,19,9,17,16,6,7,10,3,,,,,,,,,,,,,,2,19,9,17,16,6,7,10,3,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,3.370786517,5.617977528,14,,7.865168539,0.375,,-157.861626,21.311352,
2024,141644,141644,1,Hawaii Pacific University,Hawaii Pacific University,Honolulu,Hawaii,96813-2785,15,2,2,2,5895.468364,6090,86185691,94473004,94400668,0.200174713,337,56,218,36,3819,13,2,1642,227,38,5193,217,36,7227,100,14860,14860,0,15580,15580,90312717,116361264,15673069,100688195,666291,,,100688195,,70783917,143,864,390,,,7,,,92,0,,0,1397,255,0.388719512,1963,6906,3849,622,622,4471,3057,585,585,3642,6906,1207,1207,8113,64,1737,429,1014,2156,1206,478,1029,69,967,940,921,599,207,77,62,7,0,0,,,11,183,264,78,36,32,17,1,,69,967,951,1104,863,285,113,94,24,1,0,18,83,278,658,899,475,307,265,70,1,3,,,0,50,193,128,84,91,39,0,,18,83,278,708,1092,603,391,356,109,1,3,2871,990,1881,2350,790,1560,616,216,400,2871,2350,597,19,18,23,17,24,17,22,420,530,430,550,244,673,4.138772103,11.48339637,1364,67420.91393,10.41477898,0.264929425,244,-157.860057,21.310956,
-141680,141680,141680,0,Honolulu Community College,Honolulu Community College,Honolulu,Hawaii,96817-4598,15,1,2,2,2622.702199,2545,6495143,40168617,26909886,0.078027381,206,39,154,29,3481,3,1,3042,94,18,989,31,6,3841,30,1896,6528,,,,42446954,22974386,5977075,16997311,2577556,,,16997311,,,443,,,,,,42,1,,,,,443,48,0.114558473,1874,4567,1640,,,1640,2927,,,2927,4567,,,4567,15,3747,67,73,509,,101,55,111,649,347,220,138,72,41,42,20,0,,,,,,,,,,,,,111,649,347,220,138,72,41,42,20,0,,122,442,526,526,538,305,165,215,82,6,,,,,,,,,,,,,122,442,526,526,538,305,165,215,82,6,,,,,,,,,,,,,,,,,,,,,,,,,129,76,4.918591217,2.89777467,394,68490.93023,11.93425621,0.629268293,129,-157.870393,21.320515,
-141796,141796,141796,0,Kapiolani Community College,Kapiolani Community College,Honolulu,Hawaii,96816-4496,15,1,2,2,5148.970887,5351,18064000,59923618,38585093,0.067405281,263,36,175,24,4548,13,2,1502,120,16,1159,67,9,4227,60,1896,6528,,,,59648509,71964958,10201180,61763778,3276114,,,61763778,,,738,,,,,,45,,,,,,738,95,0.170250896,3347,9102,3151,,,3151,5951,,,5951,9102,,,9102,42,6710,94,183,1411,,73,589,179,1108,759,508,327,128,63,55,24,0,,,,,,,,,,,,,179,1108,759,508,327,128,63,55,24,0,,157,922,1155,1238,1115,518,314,383,145,4,,,,,,,,,,,,,157,922,1155,1238,1115,518,314,383,145,4,,,,,,,,,,,,,,,,,,,,,,,,,197,159,3.826007261,3.087995708,553,66587.56853,7.477222312,0.553370787,197,-157.79953,21.270541,
-141802,141802,141802,0,Kauai Community College,Kauai Community College,Lihue,Hawaii,96766-9591,15,1,2,2,821.560756,763,1613579,16558853,10961737,0.131620454,108,50,83,38,4019,20,9,1233,43,20,1137,35,16,3816,60,1896,6528,,,,18500524,13996066,2704702,11291364,2836604,,,11291364,,,125,,,,,,37,,,,,,125,29,0.210144928,561,1345,557,,,557,788,,,788,1345,,,1345,4,915,7,36,360,,16,7,47,286,98,47,37,17,10,9,5,1,0,,,,,,,,,,,,47,286,98,47,37,17,10,9,5,1,0,74,80,124,124,109,76,51,72,64,13,1,,,,,,,,,,,,74,80,124,124,109,76,51,72,64,13,1,,,,,,,,,,,,,,,,,,,,,,,,59,33,7.181453054,4.016744928,184,66500.0678,18.13621195,0.641304348,59,-159.433056,21.962712,
-141811,141811,141811,0,Leeward Community College,Leeward Community College,Pearl City,Hawaii,96782-3393,15,1,2,2,4656.896672,4391,11131783,42930602,27197731,0.081493144,404,45,293,32,3632,14,2,1103,180,20,959,67,7,3305,45,1896,6528,,,,46807509,21175410,9840070,11335340,2121217,,,11335340,,,530,,,,,,78,,,,,,530,97,0.118437118,3105,7484,3228,,,3228,4256,,,4256,7484,,,7484,29,5844,133,210,999,,187,82,251,1454,743,338,207,94,63,52,25,1,,,,,,,,,,,,,251,1454,743,338,207,94,63,52,25,1,,160,816,790,787,630,371,234,302,151,15,,,,,,,,,,,,,160,816,790,787,630,371,234,302,151,15,,,,,,,,,,,,,,,,,,,,,,,,,153,93,3.285449749,1.997038082,427,66746.43791,7.172158275,0.62195122,153,-157.984191,21.394926,
-141839,141839,141839,0,Maui Community College,Maui Community College,Kahului,Hawaii,96732-1644,15,1,2,2,2532.389797,2475,5783358,36578544,19452738,0.114193692,357,66,265,49,4071,18,3,2503,66,12,954,166,31,5466,126,1896,9600,,,,44008481,87471136,6700681,80770455,1864062,,,80770455,,,272,9,,,,,135,,,,,,281,,,1653,4114,1733,,,1733,2381,,,2381,4114,,,4114,23,2640,33,122,1243,,4,49,131,649,307,190,171,93,64,88,40,0,,,,,,,,,,,,,131,649,307,190,171,93,64,88,40,0,,190,300,341,318,386,248,160,239,183,16,,,,,,,,,,,,,190,300,341,318,386,248,160,239,183,16,,,,,,,,,,,,,,,,,,,,,,,,,103,118,4.067304335,4.659630209,371,66557.15534,9.753632726,0.466063348,103,-156.463265,20.892947,
