groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-142054,142054,142054,0,Apollo College,,Boise,Idaho,83704-8742,16,3,2,2,1440,1088,11749126,12567365,11754666,,691,75,499,54,4224,0,0,,0,0,,566,61,7509,,,,,,,9256817,,,,,,,,,,170,,,,,,386,,,,,,170,304,0.716981132,,,1440,,,1440,,,,,1440,,,1440,15,25,23,132,1008,5,231,1,8,95,105,152,245,179,191,296,139,27,3,,,,,,,,,,,,8,95,105,152,245,179,191,296,139,27,3,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,745,120,625,725,116,609,725,116,609,745,725,725,0,,,,,,,,,,,31,23,2.152777778,1.597222222,107,50043.32258,5.625,0.574074074,31,-116.261124,43.615607,
-142090,142090,142090,0,Boise Bible College,,Boise,Idaho,83714-1220,16,2,2,2,167.92857,156,2269578,4015950,3191041,0.232282389,51,98,30,58,2223,0,0,,51,98,2126,25,48,3168,210,8550,8550,,,,4169486,7162855,3197712,3965143,437569,,,3965143,,1104185,14,27,,,,9,,,,,,,41,5,0.384615385,71,174,164,,,164,10,,,10,174,,,174,0,4,3,6,145,0,11,5,5,65,48,22,8,4,6,4,2,,,,,,,,,,,,,,5,65,48,22,8,4,6,4,2,,,0,0,3,3,3,0,0,1,0,,,,,,,,,,,,,,0,0,3,3,3,0,0,1,0,,,77,39,38,77,39,38,53,30,23,77,77,52,1,17,22,14,25,15,20,440,560,470,580,8,6,4.763930283,3.572947712,43,45193.25,13.69629956,0.571428571,8,-116.290551,43.659151,
-142115,142115,142115,0,Boise State University,Boise State University,Boise,Idaho,83725,16,1,2,2,15255.97081,16185,99548370,279966657,196470638,0.120543792,1713,85,729,36,4958,1133,56,426,1327,66,1913,1046,52,6290,1758,3106,12110,1758,3998,13002,286773849,586991329,291766549,295224780,46896603,,,295224780,,,287,2097,551,3,5,1,47,51,85,,,,2943,490,0.305676856,3549,16693,12142,732,732,12874,4551,1508,1508,6059,16693,2240,2240,18933,216,630,346,1189,15157,,1028,367,99,3122,2742,2555,1834,735,438,469,144,4,,,,4,166,260,94,70,98,39,1,,99,3122,2746,2721,2094,829,508,567,183,5,,39,295,465,903,1004,597,406,508,295,39,,,,3,68,347,282,224,349,225,10,,39,295,468,971,1351,879,630,857,520,49,,4127,2053,2074,3606,1740,1866,2194,991,1203,4127,3606,2010,184,19,25,18,24,18,25,470,590,460,570,560,470,3.670693966,5.099642689,2750,61979.30922,11.98874869,0.418535127,553,-116.206016,43.603435,
-142179,142179,142179,0,Eastern Idaho Technical College,Eastern Idaho Technical College,Idaho Falls,Idaho,83404-5788,16,1,2,2,512.684194,650,1695598,10073722,7676231,0.126795384,60,87,48,70,4020,16,23,344,6,9,1167,22,32,3616,130,1750,6414,,,,12480646,28225877,1119119,27106758,355988,,,27106758,,,87,,,,,30,57,47,,,,,87,39,0.557142857,607,886,324,,,324,562,,,562,886,,,886,4,6,6,55,652,0,159,4,1,51,52,58,55,32,28,38,9,0,0,,,,,,,,,,,,1,51,52,58,55,32,28,38,9,0,0,6,49,68,84,124,88,53,53,34,2,1,,,,,,,,,,,,6,49,68,84,124,88,53,53,34,2,1,,,,,,,,,,,,,,,,,,,,,,,,41,118,7.99712581,23.01611818,235,40536.92683,20.09034045,0.257861635,41,-111.984681,43.482286,
-142276,142276,142276,0,Idaho State University,Idaho State University,Pocatello,Idaho,83209,16,1,2,2,10691.69787,10799,79018885,202355207,161908332,0.205735971,761,81,421,45,4736,391,42,427,452,48,2493,585,62,6608,1650,3318,13120,2530,3318,13120,211393246,272567970,103031624,169536346,4064973,,,169536346,,,300,1095,412,33,97,5,84,90,6,8,,8,1937,197,0.256510417,3398,11257,7638,1229,1229,8867,3620,1006,1006,4626,11258,2235,2235,13493,237,281,166,737,10731,,1071,270,69,1815,1431,1633,1322,620,322,315,110,1,0,,1,24,277,517,202,104,71,33,0,,69,1816,1455,1910,1839,822,426,386,143,1,0,663,182,236,404,709,421,290,404,279,31,1,,1,0,47,203,165,139,231,208,12,,663,183,236,451,912,586,429,635,487,43,1,,,,,,,,,,,,,,,,,,,,,,,,602,236,5.630536957,3.722514467,2107,56327.6747,15.91889352,0.602,581,-112.43324,42.862231,
-142285,142285,142285,0,University of Idaho,University of Idaho,Moscow,Idaho,83844-2282,16,1,2,2,10512.63132,11271,79133666,315210786,210326147,0.306867964,1437,82,637,36,3919,51,3,262,1150,65,5030,914,52,5517,4932,0,10080,5556,0,10080,349067948,588541006,208254578,380286428,61248899,,,380286428,,,,1640,492,73,95,87,,,,45,,45,2300,883,0.551186017,2799,9343,8288,1337,1337,9625,1055,1277,1277,2332,9343,2614,2614,11957,147,268,141,608,9405,,877,511,73,3052,2730,1591,535,147,68,67,24,1,0,,,17,380,522,209,85,85,39,0,,73,3052,2747,1971,1057,356,153,152,63,1,0,74,51,75,172,189,127,94,132,123,14,4,,,1,58,247,224,223,311,201,12,,74,51,76,230,436,351,317,443,324,26,4,4935,2580,2355,3844,1991,1853,1709,917,792,4935,3844,1666,43,20,26,19,26,19,26,490,610,480,600,717,173,6.820366645,8.142585562,3220,70419.72727,21.60258389,0.45581691,572,-117.0215,46.72935,
-142294,142294,142294,0,The College of Idaho,The College of Idaho,Caldwell,Idaho,83605-4432,16,2,2,2,978.392849,1032,18789596,24134700,30502299,0.589535507,287,98,115,39,4951,180,61,455,287,98,11466,183,62,6346,450,19300,19300,0,15500,15500,22400263,139119473,29699619,109419854,5888960,,,109419854,,78929412,,171,6,,,,,,,,,,177,111,0.584210526,356,1002,945,11,11,956,57,,,57,1002,11,11,1013,2,18,6,63,471,,373,80,9,461,368,74,13,5,,2,0,,13,,,,8,2,1,,,,,,9,461,368,82,15,6,,2,0,,13,2,13,7,11,12,4,,6,2,,0,,,,,,,,,,,,2,13,7,11,12,4,,6,2,,0,1391,580,811,843,348,495,306,124,182,1391,843,287,19,22,27,21,28,21,27,460,595,440,575,77,28,7.870049345,2.861836125,259,50198.31081,19.62401914,0.733333333,74,-116.676062,43.654877,
-142328,142328,142328,0,Lewis-Clark State College,Lewis-Clark State College,Lewiston,Idaho,83501-2698,16,1,2,2,3206.302638,2991,16950208,44777917,36311553,0.090962896,556,93,313,52,4038,233,39,750,278,46,2301,368,61,5069,1204,3392,11582,,,,44381039,72265272,16210179,56055093,2946201,,,56055093,,,148,431,,,,,16,0,,,,,579,95,0.302547771,1151,4200,2534,,,2534,1666,,,1666,4200,,,4200,186,62,26,156,3508,,164,98,26,762,527,437,319,157,97,155,49,5,,,,,,,,,,,,,26,762,527,437,319,157,97,155,49,5,,772,95,73,114,137,124,94,153,92,12,,,,,,,,,,,,,772,95,73,114,137,124,94,153,92,12,,1273,596,677,1252,585,667,635,287,348,1273,1252,599,36,17,22,15,21,17,22,438,540,450,540,159,75,4.958982914,2.339142884,518,47784.86792,12.03878871,0.679487179,159,-117.026607,46.412584,
-142337,142337,142337,0,ITT Technical Institute-Boise,,Boise,Idaho,83713-1529,16,3,2,2,508.499982,547,10873297,10850833,10873297,0.002065979,73,99,63,85,5374,2,3,329,21,28,2894,66,89,9957,300,16848,16848,,,,5950069,3797772,2008082,,,,,,,,118,41,,,,,,,,,,,159,5,0.161290323,105,585,459,,,459,126,,,126,585,,,585,6,19,5,47,496,0,12,0,,18,44,84,119,74,53,55,12,,,,,,,,,,,,,,,18,44,84,119,74,53,55,12,,,,1,7,22,41,25,11,14,5,,,,,,,,,,,,,,,1,7,22,41,25,11,14,5,,,302,228,74,155,121,34,155,121,34,302,155,136,19,,,,,,,,,,,13,45,2.55653893,8.849557835,91,51174.53846,8.062930472,0.224137931,13,-116.335557,43.659532,
-142407,142407,142407,0,Mr Juans College of Hair Design,,Twin Falls,Idaho,83301,16,3,2,2,36,55,245456,626641,245456,,33,94,31,89,3687,1,3,1150,0,0,,33,94,4741,,,,,,,562283,,,,,,,,,,,,,,,0,1,15,,,,,,14,0.636363636,,,36,,,36,,,,,36,,,36,1,0,0,9,26,0,0,0,1,8,9,4,8,3,1,1,1,,,,,,,,,,,,,,1,8,9,4,8,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,,5.555555556,,6,,16.66666667,1,,-114.460252,42.572104,
