groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-142832,142832,142832,0,Adler School of Professional Psychology,,Chicago,Illinois,60601-7298,17,2,2,2,555.930042,660,18483498,19614499,18981398,0.008287879,,,,,,,,,,,,,,,,,,943,28274,28274,19085902,23417686,18740317,4677369,,,,4677369,,1110885,,,146,,45,,,,,23,,23,191,,,,,,465,465,465,,238,238,238,,703,703,703,1,27,77,50,435,,76,37,,,,,,,,,,,,,,1,197,164,43,21,22,16,1,,,,1,197,164,43,21,22,16,1,,,,,,,,,,,,,,,0,16,71,46,38,49,18,0,,,,0,16,71,46,38,49,18,0,,,,,,,,,,,,,,,,,,,,,,,,,37,5,6.655513681,6.295756184,133,65754.37838,17.44823857,0.513888889,37,-87.625649,41.886838,
-142869,142869,142869,0,Alvareitas College of Cosmetology,,Edwardsville,Illinois,62025,17,3,2,2,33.749986,64,380845,471256,380845,,45,90,45,90,2677,0,0,,0,0,,38,76,2123,,,,,,,387253,,,,,,,,,,,,,,,,16,,,,,,,,,,,27,,,27,17,,,17,44,,,44,0,0,3,0,40,,1,0,,13,2,5,3,1,1,2,,,,,,,,,,,,,,,,13,2,5,3,1,1,2,,,,,3,1,2,5,2,1,3,,,,,,,,,,,,,,,,3,1,2,5,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,8.888892576,,4,,11.85185677,1,,-89.953227,38.807189,
-142878,142878,142878,0,Alvareitas College of Cosmetology,,Godfrey,Illinois,62035-4150,17,3,2,2,36,53,361057,476358,361057,,46,100,10,22,2775,0,0,,0,0,,41,89,4591,,,,,,,419443,,,,,,,,,,,,,,,11,44,,,,,,,,,,,36,,,36,,,,,36,,,36,0,0,2,0,34,,0,0,,11,9,7,2,6,1,,,,,,,,,,,,,,,,,11,9,7,2,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,11.11111111,,5,,13.88888889,1,,-90.191666,38.930568,
-142887,142887,142887,0,American Academy of Art,,Chicago,Illinois,60604-4302,17,3,2,2,346.571416,390,7864002,8056339,7984063,,95,89,48,45,4885,49,46,4277,10,9,9366,88,82,8795,370,23880,23880,,,,7176470,4545316,1502693,,,,,,,,,54,,,,,,,,,,,54,46,0.474226804,166,400,312,,,312,88,,,88,400,,,400,3,13,43,92,235,13,0,1,5,165,100,33,8,0,0,1,,,,,,,,,,,,,,,5,165,100,33,8,0,0,1,,,,0,45,24,7,10,1,1,0,,,,,,,,,,,,,,,0,45,24,7,10,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,27,3,7.790602096,0.865622455,92,35244.74074,15.58120419,0.9,27,-87.624374,41.877643,
-143048,143048,143048,0,School of the Art Institute of Chicago,,Chicago,Illinois,60603,17,2,2,2,3000.214219,3160,106512403,113755165,125641113,0.25415995,449,98,102,22,4482,34,7,4089,443,97,8534,215,47,9092,360,34200,34200,360,36600,36600,100663312,,,,,,,,,,,456,222,,,,,,33,,,,678,201,0.610942249,777,2445,2219,676,676,2895,226,43,43,269,2445,719,719,3164,18,345,119,254,1847,,49,532,26,715,766,437,208,42,14,9,2,,0,,,4,217,303,96,31,16,9,,,26,715,770,654,511,138,45,25,11,,0,0,7,20,67,58,28,14,14,17,,1,,,0,3,19,9,3,6,3,,,0,7,20,70,77,37,17,20,20,,1,3114,887,2227,2533,708,1825,462,121,341,3114,2533,456,6,21,27,21,28,19,26,490,610,520,630,135,450,4.499678694,23.09835063,1146,71748.71111,14.6989504,0.163043478,135,-87.626177,41.88141,
-143075,143075,143075,0,The College of Office Technology,,Chicago,Illinois,60642-3312,17,3,2,2,276,622,366532,2382077,368255,0.038195846,335,79,335,79,3729,0,0,,0,0,,335,79,6071,,,,,,,3804028,3131618,2029251,,,,,,,,0,,,,,36,245,,,,,,0,342,0.74186551,,,276,,,276,,,,,276,,,276,0,4,214,51,7,,0,0,,28,33,44,73,47,31,13,7,,,,,,,,,,,,,,,28,33,44,73,47,31,13,7,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,12,9,4.347826087,3.260869565,44,35291,11.23188406,0.571428571,12,-87.665722,41.903391,
-143084,143084,143084,0,Augustana College,Augustana College (IL),Rock Island,Illinois,61201-2296,17,2,2,2,2456.214282,2455,74068403,82852159,93871209,0.414813426,609,99,107,17,4889,141,23,4792,596,97,15105,426,69,6892,0,31326,31326,,,,66418619,237476104,77370732,160105372,14205161,,,160105372,,104393036,,585,,,,,,,,,,,585,460,0.767946578,662,2472,2446,,,2446,26,,,26,2472,,,2472,6,56,53,76,2002,33,222,24,10,1082,1178,159,8,6,,2,1,,,,,,,,,,,,,,10,1082,1178,159,8,6,,2,1,,,0,0,6,12,4,1,,2,1,,,,,,,,,,,,,,0,0,6,12,4,1,,2,1,,,3633,1668,1965,2639,1132,1507,616,274,342,3633,2639,616,0,23,28,22,27,22,28,,,,,174,46,7.08407248,1.872800771,635,62919.35057,21.04865214,0.790909091,174,-90.547546,41.505135,
-143118,143118,143118,0,Aurora University,Aurora University,Aurora,Illinois,60506-4892,17,2,2,2,3213.464677,4405,58453447,65607548,71582879,0.277854238,415,100,158,38,5303,161,39,4632,405,97,9363,304,73,6107,200,18000,18000,0,10224,10224,55502653,130528173,47115968,83412205,15107888,,,83412205,,43010356,,551,679,25,,,,,7,80,,80,1255,160,0.544217687,821,2391,2066,436,436,2502,325,1528,1528,1853,2391,1964,1964,4355,18,107,343,473,3285,,127,2,11,700,717,347,137,61,35,48,10,0,,,,1,105,115,57,47,81,29,1,,11,700,718,452,252,118,82,129,39,1,,0,2,7,43,61,51,47,77,35,2,,,,1,147,471,263,195,313,138,0,,0,2,8,190,532,314,242,390,173,2,,1620,611,1009,1151,415,736,417,160,257,1620,1151,416,1,20,24,19,24,18,25,480,550,460,540,120,296,3.734287197,9.211241752,769,61045.51667,11.88748091,0.288461538,120,-88.346873,41.755058,
-143215,143215,143215,0,Southwestern Illinois College,Southwestern Illinois College,Belleville,Illinois,62221-5899,17,1,2,2,8593.157074,10042,27053307,96380850,73893756,0.071425279,529,64,338,41,4542,116,14,2134,132,16,3287,160,19,2853,0,5404,8260,,,,109039871,151716026,75317484,76398542,13109794,,,76398542,,,1338,,,,,1695,278,,,,,,1338,145,0.18904824,2965,14440,5638,,,5638,8802,,,8802,14440,,,14440,45,214,2800,329,10381,,646,25,39,2184,1334,702,529,294,196,251,109,0,,,,,,,,,,,,,39,2184,1334,702,529,294,196,251,109,0,,892,899,979,1218,1398,887,689,1063,689,88,,,,,,,,,,,,,892,899,979,1218,1398,887,689,1063,689,88,,,,,,,,,,,,,,,,,,,,,,,,,154,548,1.792123648,6.377167266,1061,61187.57143,4.654866617,0.219373219,154,-89.926076,38.519491,
1908,143279,143279,1,Black Hawk College,Black Hawk College,Moline,Illinois,61265-5899,17,1,2,2,3907.537824,5244,15107135,56212610,43224777,0.132209449,487,99,337,69,4352,171,35,1492,142,29,1818,89,18,2695,255,5730,8220,,,,50472201,94941940,32861597,62080343,5410861,,,62080343,,,508,,,,,43,145,,,,,,508,109,0.188908146,1388,6267,2715,,,2715,3552,,,3552,6267,,,6267,27,141,569,631,4878,,4,17,16,1262,537,281,276,151,95,70,25,2,0,,,,,,,,,,,,16,1262,537,281,276,151,95,70,25,2,0,496,319,341,419,524,414,282,450,277,18,12,,,,,,,,,,,,496,319,341,419,524,414,282,450,277,18,12,,,,,,,,,,,,,,,,,,,,,,,,134,195,3.429269428,4.990354765,633,60630.32836,9.264145769,0.407294833,134,-90.44772,41.47724,
-143288,143288,143288,0,Blackburn College,Blackburn College,Carlinville,Illinois,62626,17,2,2,2,593.035711,581,8577702,11557000,10498684,0.230165142,140,96,72,49,4308,70,48,4298,101,69,3900,130,89,5532,110,14176,14176,,,,11392574,38517089,6037436,32479653,1242431,,,32479653,,13079354,,122,,,,,,,,,,,122,78,0.443181818,151,607,584,,,584,23,,,23,607,,,607,3,4,42,10,512,,36,0,1,191,239,115,23,9,3,3,0,0,0,,,,,,,,,,,,1,191,239,115,23,9,3,3,0,0,0,0,1,2,10,4,1,0,0,1,3,1,,,,,,,,,,,,0,1,2,10,4,1,0,0,1,3,1,912,461,451,491,191,292,148,55,93,912,491,144,4,18,24,18,24,17,24,,,,,36,34,6.070460738,5.733212919,136,51053.72222,15.00752794,0.514285714,36,-89.872972,39.285856,
