groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-143233,143233,143233,0,Bethany Theological Seminary,,Richmond,Indiana,47374-4019,18,2,2,2,40.697652,44,466603,5472633,5870226,0.721810618,,,,,,,,,,,,,,,,,,330,9900,9900,2619575,34055112,1827654,32227458,,,,32227458,,30125018,,,9,,,,,,1,,,,9,,,,,,30,30,30,,28,28,28,,58,58,58,1,1,0,0,52,,4,0,,,,,,,,,,,,,,,3,9,4,2,6,6,0,,,,,3,9,4,2,6,6,0,,,,,,,,,,,,,,,,0,8,3,2,2,12,1,,,,,0,8,3,2,2,12,1,,,,,,,,,,,,,,,,,,,,,,,,,7,1,17.20000947,2.457144211,37,49800.42857,61.42860527,0.875,7,-84.910791,39.826609,
-150048,150048,150048,0,Ancilla College,,Donaldson,Indiana,46513-0001,18,2,2,2,475.220482,455,6168371,7461120,8140827,0.216524265,157,97,100,62,4914,74,46,5408,138,85,2974,112,69,5629,230,12450,12450,,,,6662722,11161150,560685,10600465,,,,10600465,,3063472,90,,,,,0,,,,,,,90,16,0.113475177,251,553,424,,,424,129,,,129,553,,,553,2,7,32,31,470,2,3,6,3,182,88,35,37,25,20,30,4,,,,,,,,,,,,,,3,182,88,35,37,25,20,30,4,,,1,9,13,15,25,28,15,19,4,,,,,,,,,,,,,,1,9,13,15,25,28,15,19,4,,,,,,,,,,,,,,,,,,,,,,,,,,21,28,4.419001452,5.892001936,103,43283.19048,13.467433,0.428571429,21,-86.45227,41.33522,
-150066,150066,150066,0,Anderson University,Anderson University (IN),Anderson,Indiana,46012-3495,18,2,2,2,2282.304421,2467,47783000,53442000,57010000,0.386915849,540,99,168,31,4084,161,29,4222,521,95,10842,418,76,7139,0,22910,22910,0,9495,9495,50496000,144810000,71900000,72910000,9481000,,,72910000,,28640000,6,401,207,16,,,,,,,,,630,329,0.568221071,673,2134,1927,99,99,2026,207,458,458,665,2134,557,557,2691,8,17,183,35,2272,0,110,66,10,859,723,215,41,21,19,25,13,1,,,,2,33,30,13,6,8,7,,,10,859,725,248,71,34,25,33,20,1,,20,17,7,26,23,20,25,50,19,0,,,,0,25,113,74,68,101,77,,,20,17,7,51,136,94,93,151,96,0,,2381,1016,1365,1646,581,1065,552,234,318,2381,1646,548,4,22,26,21,27,21,27,470,580,460,570,146,7,6.39704321,0.306707551,437,54168.9863,17.21943823,0.954248366,146,-85.665504,40.111212,
-150075,150075,150075,0,Apex Academy of Hair Design Inc,,Anderson,Indiana,46016-1158,18,3,2,2,20,21,97885,97885,97885,,3,38,3,38,3567,0,0,,0,0,,0,0,,,,,,,,151927,,,,,,,,,,,,,,,,5,,,,,,,,,,,20,,,20,,,,,20,,,20,0,0,3,0,17,,0,0,1,12,2,,1,1,2,1,,,,,,,,,,,,,,,1,12,2,,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,,2,,10,1,,-85.680674,40.112483,
-150136,150136,150136,0,Ball State University,Ball State University,Muncie,Indiana,47306,18,1,2,2,19089.63034,20532,182190873,438547416,329259075,0.175307668,3501,84,1157,28,5068,1961,47,3507,1528,37,4941,2460,59,6019,602,7228,19796,602,5936,15136,405792502,865090159,236324602,628765557,45962647,,,628765557,,,302,3125,1212,42,32,,,,36,,,,4713,1924,0.574499851,5314,17737,16412,1281,1281,17693,1325,2383,2383,3708,17737,3664,3664,21401,66,175,1382,449,17766,,1297,266,5482,3184,4957,1279,534,345,219,294,103,2,13,3,2,180,599,270,88,52,43,20,0,24,5485,3186,5137,1878,804,433,271,337,123,2,37,355,34,146,260,150,108,94,124,47,1,6,10,0,21,335,701,393,296,363,159,4,101,365,34,167,595,851,501,390,487,206,5,107,13021,5597,7424,9594,3906,5688,4178,1921,2257,13021,9594,4157,21,19,24,19,25,19,24,470,580,470,570,981,200,5.138915644,5.804198301,4277,59921.72553,15.25959355,0.469602681,940,-85.408962,40.197752,
-150145,150145,150145,0,Bethel College,Bethel College (IN),Mishawaka,Indiana,46545,18,2,2,2,1778.702447,1898,30655465,33350606,35261571,0.304409377,294,100,149,51,5584,109,37,5028,285,97,8628,275,93,6571,600,20978,20978,600,6300,6300,30869353,45532123,29950753,15581370,3208732,,,15581370,,4966650,92,419,71,,,,,,,,,,582,187,0.611111111,309,1928,1480,52,52,1532,450,183,183,633,1930,235,235,2165,12,23,275,62,1742,,0,51,7,428,495,210,78,55,63,97,47,0,,,,,4,10,14,6,11,7,0,,7,428,495,214,88,69,69,108,54,0,,17,9,10,31,81,79,65,90,65,3,,,,,9,39,19,28,50,36,2,,17,9,10,40,120,98,93,140,101,5,,,,,,,,,,,,,,,,,,,,,,,,,91,102,5.116088987,5.734517326,417,48260.71429,14.39251407,0.471502591,91,-86.195371,41.678445,
-150163,150163,150163,0,Butler University,Butler University,Indianapolis,Indiana,46208,18,2,2,2,4203.431539,4647,117213000,138437000,150361000,0.367305674,869,92,171,18,5540,179,19,4095,823,87,12918,612,65,8494,786,28460,28460,786,7380,7380,123860000,344302000,128238000,216064000,8302000,,,216064000,,178936000,1,689,215,,107,,,,,,,,1012,677,0.731891892,1056,3726,3670,346,346,4016,56,433,433,489,3726,779,779,4505,10,96,160,68,3827,0,213,131,5,1378,1656,558,45,11,10,6,1,,0,,,3,272,49,9,6,5,2,0,0,5,1378,1659,830,94,20,16,11,3,0,0,2,3,8,22,7,2,4,4,3,,1,,,1,32,158,95,58,56,27,1,5,2,3,9,54,165,97,62,60,30,1,6,6246,2554,3692,4928,1959,2969,946,373,573,6246,4928,945,1,25,30,25,31,25,30,540,650,520,630,325,145,7.731778119,3.449562546,1177,67226.56615,21.86308951,0.691489362,325,-86.169031,39.839401,
-150172,150172,150172,0,Calumet College of Saint Joseph,Calumet College of Saint Joseph,Whiting,Indiana,46394,18,2,2,2,868.513097,1042,14648663,13901338,15788663,0.169547965,132,96,72,52,5065,29,21,4375,123,89,4749,98,71,5198,170,13050,13050,170,10800,10800,13005401,16517578,3730781,12786797,407000,,,12786797,,4256822,9,264,84,,,,3,,,,,,357,21,0.269230769,339,1132,561,36,36,597,554,141,141,695,1115,177,177,1292,6,7,367,301,608,,0,3,58,183,125,51,46,29,24,30,15,0,,,1,1,3,6,7,8,7,3,0,,58,184,126,54,52,36,32,37,18,0,,0,17,23,42,100,76,112,140,42,2,,,0,0,4,21,27,18,52,18,1,,0,17,23,46,121,103,130,192,60,3,,,,,,,,,,,,,,,,,,,,,,,,,34,97,3.91473659,11.16851321,241,47501.5,12.89560289,0.259541985,34,-87.493041,41.670982,
-150215,150215,150215,0,Christian Theological Seminary,,Indianapolis,Indiana,46208-3301,18,2,2,2,186.418543,174,1926501,15736759,15831574,0.712014165,,,,,,,,,,,,,,,,,,180,8820,8820,10257446,108845571,744755,108100816,1390682,,,108100816,,93622522,,,48,1,1,,,,,,,,50,,,,,,157,157,157,,77,77,77,,234,234,234,1,5,55,15,151,,4,3,,,,,,,,,,,,,,1,13,27,16,23,38,36,2,1,,,1,13,27,16,23,38,36,2,1,,,,,,,,,,,,,,0,3,9,7,10,20,25,2,1,,,0,3,9,7,10,20,25,2,1,,,,,,,,,,,,,,,,,,,,,,,,18,14,9.655691816,10.19211914,106,64959.16667,33.25849403,0.486486486,18,-86.178819,39.831781,
-150251,150251,150251,0,College of Court Reporting Inc,,Hobart,Indiana,46342,18,3,2,2,202.044018,241,3243487,3243487,3243487,,27,90,11,37,4591,1,3,750,0,0,,25,83,8268,650,11700,11700,,,,2398774,764205,149366,,,,,,,,18,,,,,,0,,,,,,18,16,0.275862069,36,275,154,,,154,121,,,121,275,,,275,3,6,36,20,197,,13,0,,3,8,10,34,17,25,35,22,,,,,,,,,,,,,,,3,8,10,34,17,25,35,22,,,,0,2,6,13,20,25,40,15,,,,,,,,,,,,,,,0,2,6,13,20,25,40,15,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,10.88871634,31,,4.454474866,,,-87.259518,41.521749,
