groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-152798,152798,152798,0,Allen College,,Waterloo,Iowa,50703-1999,19,2,2,2,350.887782,338,5279328,5674624,5577516,0.035022829,3,100,3,100,6647,3,100,5800,3,100,1167,3,100,4833,1460,13119,13119,826,12550,12550,5367433,5257740,35411,5222329,,,,5222329,,3336607,16,108,23,,,,0,,,6,,6,147,21,0.807692308,94,314,249,37,37,286,65,103,103,168,314,140,140,454,4,2,5,4,438,,0,1,,16,119,69,22,10,4,4,1,,4,,,,7,4,6,8,5,2,,5,,16,119,76,26,16,12,9,3,,9,,0,5,3,3,6,12,20,7,,9,,,,6,19,12,12,20,18,,16,,0,5,9,22,18,24,40,25,,25,10,3,7,6,2,4,3,0,3,10,6,3,0,21,24,23,25,20,29,,,,,29,28,8.264750581,7.979759181,81,56762.55172,13.67958717,0.50877193,29,-92.338018,42.531427,
-152822,152822,152822,0,AIB College of Business,,Des Moines,Iowa,50321-1799,19,2,2,2,741.928518,1004,11180736,11029453,12042630,0.280980698,150,99,73,48,4448,91,60,3330,144,95,5286,130,86,6100,240,12900,12900,,,,10825288,17763745,2910636,14853109,676693,,,14853109,,5658960,169,179,,,,,,,,,,,348,,,291,969,595,,,595,374,,,374,969,,,969,7,28,27,16,832,0,57,2,3,207,168,86,61,21,15,17,5,,12,,,,,,,,,,,,3,207,168,86,61,21,15,17,5,,12,16,10,49,81,92,47,35,30,12,,2,,,,,,,,,,,,16,10,49,81,92,47,35,30,12,,2,399,140,259,278,97,181,173,59,114,399,278,160,13,19,23,17,23,17,23,,,,,24,50,3.23481298,6.739193708,168,40179.70833,14.55665841,0.324324324,24,-93.645181,41.56268,
-152992,152992,152992,0,Briar Cliff University,Briar Cliff University,Sioux City,Iowa,51104,19,2,2,2,1002.433473,1029,19601311,20093663,22580173,0.445064567,220,99,102,46,5585,79,35,3683,218,98,13312,217,97,6944,669,21867,21867,293,4696,4696,19207192,32173165,6955330,25217835,1575238,,,25217835,,7741886,1,204,13,,,,,,10,2,,2,218,141,0.55511811,405,1079,893,10,10,903,186,69,69,255,1079,79,79,1158,19,26,62,73,958,18,0,2,3,364,332,84,37,28,18,18,8,1,,,,,2,4,2,2,0,0,0,,3,364,332,86,41,30,20,18,8,1,,52,9,1,12,18,22,25,30,17,0,,,,,2,9,11,14,24,8,1,,52,9,1,14,27,33,39,54,25,1,,,,,,,,,,,,,,,,,,,,,,,,,60,26,5.985434606,2.593688329,210,48773.95,15.26285825,0.697674419,60,-96.424152,42.526386,
1567,153001,153001,1,Buena Vista University,Buena Vista University,Storm Lake,Iowa,50588,19,2,2,2,2399.625304,2863,39182402,50799621,54800614,0.295396745,261,96,122,45,5879,143,52,3515,261,96,13316,237,87,8747,0,25540,25540,,,,41890055,163442229,30244281,133197948,7306544,,,133197948,,100334260,,754,34,,,,,,,,,,788,191,0.577039275,792,2566,2241,,,2241,325,81,81,406,2566,81,81,2647,19,22,67,84,2326,7,76,46,9,406,613,391,303,185,135,141,53,1,4,,,,,,,,,,,,9,406,613,391,303,185,135,141,53,1,4,3,7,14,58,64,48,50,45,34,0,2,,,1,11,27,19,8,11,4,,,3,7,15,69,91,67,58,56,38,0,2,1433,742,691,1027,519,508,274,151,123,1433,1027,274,0,18,25,17,24,18,25,455,563,350,528,82,293,3.417200171,12.21023964,639,61405.91463,13.58545434,0.218666667,82,-95.207928,42.642492,
-153074,153074,153074,0,Capri College,,Dubuque,Iowa,52004-0873,19,3,2,2,170,160,1295720,2175446,1295720,0.025583459,80,87,63,68,4654,0,0,,0,0,,77,84,6113,,,,,,,1662352,,,,,,,,,,,,,,,37,1,46,,,,,,40,0.8,,,170,,,170,,,,,170,,,170,1,1,8,5,155,,0,0,2,61,29,30,26,2,11,8,1,,,,,,,,,,,,,,2,61,29,30,26,2,11,8,1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,66,1,65,62,0,62,62,0,62,66,62,62,0,,,,,,,,,,,11,7,6.470588235,4.117647059,31,,12.35294118,0.611111111,,-90.665418,42.497479,
-153083,153083,153083,0,Capri College,,Cedar Rapids,Iowa,52404,19,3,2,2,208,220,1459979,2401140,1459979,0.017496142,64,94,41,60,4694,0,0,,0,0,,61,90,6116,,,,,,,1976432,,,,,,,,,,,,,,,39,1,51,,,,,,47,0.635135135,,,208,,,208,,,,,208,,,208,1,0,6,6,194,,0,1,3,63,51,27,29,17,10,6,2,,,,,,,,,,,,,,3,63,51,27,29,17,10,6,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,86,6,80,80,4,76,80,4,76,86,80,80,0,,,,,,,,,,,17,1,8.173076923,0.480769231,26,,11.05769231,0.944444444,,-91.71027,41.9607,
-153092,153092,153092,0,American College of Hairstyling-Cedar Rapids,,Cedar Rapids,Iowa,52402,19,3,2,2,14,13,129094,221771,129094,,9,90,9,90,5200,2,20,1565,0,0,,8,80,5782,,,,,,,257491,,,,,,,,,,,,,,,0,0,4,,,,,,19,0.791666667,,,14,,,14,,,,,14,,,14,0,0,6,3,5,0,0,0,,6,1,2,3,2,,,,,,,,,,,,,,,,,,6,1,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7.142857143,7.142857143,3,,14.28571429,0.5,,-91.651441,41.988517,
-153108,153108,153108,0,Central College,Central College,Pella,Iowa,50219,19,2,2,2,1612.321423,1622,38743041,48939263,48676957,0.454850279,444,100,126,28,5057,216,49,4255,444,100,13449,360,81,11674,380,24630,24630,,,,43599797,178102693,71538045,106564648,6941776,,,106564648,,54332844,,317,,,,,,,,,,,317,283,0.641723356,589,1636,1597,,,1597,39,,,39,1636,,,1636,5,31,38,33,1469,,36,24,2,647,715,204,16,7,2,4,0,,,,,,,,,,,,,,2,647,715,204,16,7,2,4,0,,,7,0,2,13,3,1,3,8,2,,,,,,,,,,,,,,7,0,2,13,3,1,3,8,2,,,2451,1197,1254,1823,892,931,443,227,216,2451,1823,443,0,21,27,20,27,20,27,480,650,470,670,88,42,5.457968786,2.604939648,421,56088.80682,20.09524871,0.676923077,88,-92.918599,41.400252,
-153126,153126,153126,0,Clarke College,Clarke College,Dubuque,Iowa,52001-3198,19,2,2,2,1034.627806,1087,21541866,23487049,25989360,0.330201803,144,99,52,36,4274,50,34,3615,144,99,11415,112,77,7371,720,22800,22800,468,10836,10836,21123441,53986301,10733217,43253084,1947748,,,43253084,,26915132,1,204,32,,25,,,,,0,,0,262,130,0.637254902,220,982,802,126,126,928,180,94,94,274,982,220,220,1202,0,11,14,22,517,0,624,14,0,263,324,104,44,19,18,22,6,0,2,,,,47,41,7,3,8,4,,16,0,263,324,151,85,26,21,30,10,0,18,25,3,3,22,22,23,26,33,22,1,0,,,,6,28,20,15,13,11,,1,25,3,3,28,50,43,41,46,33,1,1,823,277,546,637,209,428,146,57,89,823,637,146,0,20,26,20,26,20,26,448,548,440,595,77,96,7.442289832,10.24523016,355,49363.81818,20.87707277,0.420765027,77,-90.689759,42.510467,
-153144,153144,153144,0,Coe College,Coe College,Cedar Rapids,Iowa,52402-5092,19,2,2,2,1254.323901,1397,31142514,39546228,43518047,0.598931191,323,99,80,25,7333,116,36,3676,320,98,16871,295,91,5877,320,28950,28950,320,28950,28950,34467450,149180993,35566320,113614673,14090526,,,113614673,,82074403,,250,5,,,,,,,,,,255,221,0.699367089,381,1287,1225,,,1225,62,13,13,75,1287,13,13,1300,5,14,31,21,1110,18,54,47,6,575,500,121,13,3,3,2,0,2,,,,,,,,,,,,,6,575,500,121,13,3,3,2,0,2,,7,10,6,12,4,9,6,5,2,1,,,,,2,8,2,,1,,,,7,10,6,14,12,11,6,6,2,1,,2063,992,1071,1336,596,740,325,139,186,2063,1336,325,0,23,28,22,29,22,28,538,640,540,638,91,81,7.254904409,6.457662166,369,61933.71429,18.73519271,0.529069767,91,-91.657325,41.985267,
-153162,153162,153162,0,Cornell College,Cornell College,Mount Vernon,Iowa,52314-1098,19,2,2,2,1125.714284,1216,32435584,37901866,45033437,0.492643512,318,95,92,27,5278,31,9,3561,311,93,18451,234,70,5883,180,29400,29400,,,,31527053,149164117,29260133,119903984,3087723,,,119903984,,60221041,,202,,,,,,,,,,,202,194,0.664383562,372,1133,1121,,,1121,12,,,12,1133,,,1133,8,33,30,40,849,,121,52,12,552,478,59,12,3,4,0,1,,,,,,,,,,,,,,12,552,478,59,12,3,4,0,1,,,0,0,4,4,1,1,1,1,0,,,,,,,,,,,,,,0,0,4,4,1,1,1,1,0,,,2916,1443,1473,1271,597,674,335,157,178,2916,1271,335,0,24,29,22,30,22,28,570,660,550,660,97,27,8.616751282,2.398477161,300,60837.51546,22.11928937,0.782258065,97,-91.411245,41.919653,
-153171,153171,153171,0,Iowa School of Beauty,,Marshalltown,Iowa,50158,19,3,2,2,28,60,303098,384527,303098,,25,100,24,96,4810,0,0,,0,0,,19,76,7735,,,,,,,298375,,,,,,,,,,,,,,,0,0,7,,,,,,17,0.772727273,,,28,,,28,,,,,28,,,28,0,0,2,6,20,,0,0,,8,4,5,6,1,2,2,,,,,,,,,,,,,,,,8,4,5,6,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,7.142857143,7.142857143,5,,10.71428571,0.5,,-92.914184,42.015612,
-153214,153214,153214,0,Des Moines Area Community College,Des Moines Area Community College,Ankeny,Iowa,50023-3993,19,1,2,2,13438.15385,15940,52668767,135067297,98043802,0.015629472,1801,68,1170,44,2303,142,5,848,120,5,239,1335,50,2811,0,3450,6900,,,,125230362,255992993,157404786,98588207,6708926,,,98588207,,,1805,,,,,453,417,,,,,,1805,910,0.423059042,9314,22324,8947,,,8947,13377,,,13377,22324,,,22324,127,666,1462,845,17294,185,1584,161,247,3475,1641,1063,985,528,377,421,207,3,0,,,,,,,,,,,,247,3475,1641,1063,985,528,377,421,207,3,0,5903,1264,1042,1147,1311,794,603,848,395,37,33,,,,,,,,,,,,5903,1264,1042,1147,1311,794,603,848,395,37,33,,,,,,,,,,,,,,,,,,,,,,,,333,6,2.478018958,0.04464899,846,59861.36036,5.893666711,0.982300885,333,-93.600374,41.748735,
-153241,153241,153241,0,Divine Word College,,Epworth,Iowa,52045,19,2,2,2,90.178571,38,2140500,8533264,9144211,0.474805419,36,100,8,22,6981,0,0,,36,100,8947,7,19,2593,100,10800,10800,,,,6208700,21159982,442945,20717037,310405,,,20717037,,16485105,0,5,,,,,,,,,,,5,5,0.3125,47,92,89,,,89,3,,,3,92,,,92,0,20,4,0,5,,0,63,,8,6,8,31,18,13,5,0,0,,,,,,,,,,,,,,8,6,8,31,18,13,5,0,0,,,0,0,0,0,0,0,0,1,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,2,,38,25,13,36,23,13,36,23,13,38,36,36,0,,,,,,,,,,,17,4,18.85148524,4.435643585,57,45222.41176,53.22772303,0.80952381,17,-90.93225,42.440923,
-153250,153250,153250,0,Dordt College,Dordt College,Sioux Center,Iowa,51250-1697,19,2,2,2,1299.524911,1346,28178580,37296356,40027347,0.358650046,349,100,121,35,4609,75,21,3566,348,100,9443,288,83,6572,360,21720,21720,,,,28871415,103112937,27716960,75395977,6147843,,,75395977,,28731516,11,265,2,,,,,,,,,,278,229,0.652421652,407,1321,1285,,,1285,36,1,1,37,1321,1,1,1322,3,7,4,16,1076,,16,200,2,437,609,223,10,3,,1,,0,,,,,,,,,,,,,2,437,609,223,10,3,,1,0,0,,6,11,3,8,3,2,,2,,1,,,,,,,,,,1,,,6,11,3,8,3,2,,2,1,1,,1005,483,522,840,405,435,363,178,185,1005,840,363,0,22,27,21,28,21,27,480,620,460,610,81,35,6.233047117,2.693291964,265,55060.74074,14.38987421,0.698275862,81,-96.169793,43.082098,
-153269,153269,153269,0,Drake University,Drake University,Des Moines,Iowa,50311-4505,19,2,2,2,4869.994145,5783,122527144,142098098,153865089,0.372497787,848,99,148,17,6316,124,14,3624,847,98,12958,522,61,7678,462,25160,25160,330,8550,8550,118954937,361647833,118252370,243395463,23167443,,,243395463,,136372592,,793,385,5,245,,,,,27,,27,1428,489,0.732035928,1051,3547,3326,1056,1056,4382,222,1049,1049,1271,3548,2105,2105,5653,5,172,161,95,4167,,778,275,24,1651,1301,265,45,21,4,10,5,0,,,2,208,520,219,51,25,22,5,0,4,24,1653,1509,785,264,72,29,32,10,0,4,21,6,27,55,32,27,16,20,8,10,,,0,2,119,334,207,128,183,71,1,4,21,6,29,174,366,234,144,203,79,11,4,4829,2013,2816,3577,1424,2153,863,348,515,4829,3577,862,1,24,29,24,30,23,29,530,660,510,640,277,149,5.687891849,3.182755367,1145,75129.03636,18.48051503,0.641203704,275,-93.651201,41.600472,
-153278,153278,153278,0,University of Dubuque,University of Dubuque,Dubuque,Iowa,52001,19,2,2,2,1581.734928,1560,32350765,60373408,58425703,0.189204336,341,100,195,57,4622,76,22,3289,318,93,8016,313,92,11053,570,20200,20200,0,530,530,36965028,188964163,64158863,124805300,2977882,,,124805300,,76221869,0,240,55,,2,,,,,,,,297,128,0.462093863,506,1422,1355,141,141,1496,85,137,137,222,1440,278,278,1718,21,34,177,66,1234,,145,41,8,568,465,183,76,19,11,19,6,,,,,,19,21,17,11,26,45,2,,8,568,465,202,97,36,22,45,51,2,,2,3,3,24,16,8,7,15,7,,,,,,20,26,9,13,34,26,9,,2,3,3,44,42,17,20,49,33,9,,1181,737,444,882,533,349,358,227,131,1181,882,355,3,18,23,16,22,17,24,440,540,440,530,84,66,5.310624335,4.615185434,398,50312.17857,18.58718517,0.535031847,84,-90.692106,42.498505,
-153296,153296,153296,0,Ellsworth Community College,Ellsworth Community College,Iowa Falls,Iowa,50126,19,1,2,-1,868.43902,829,2574286,15928870,9260182,0.263893367,282,94,164,55,4574,56,19,2289,205,69,1838,214,72,5040,624,3048,3816,,,,16789578,30916211,20621833,10294378,1286553,,,10294378,,,160,,,,,1,35,,,,,,160,95,0.276162791,528,1174,714,,,714,460,,,460,1174,,,1174,2,5,117,39,933,1,77,0,6,377,183,34,38,32,16,24,4,0,0,,,,,,,,,,,,6,377,183,34,38,32,16,24,4,0,0,164,68,10,18,27,14,15,39,44,34,27,,,,,,,,,,,,164,68,10,18,27,14,15,39,44,34,27,,,,,,,,,,,,,,,,,,,,,,,,31,2,3.569623115,0.230298266,68,51663.35484,6.563500567,0.939393939,31,-93.266691,42.527713,
-153302,153302,153302,0,Emmaus Bible College,,Dubuque,Iowa,52001-3096,19,2,2,2,239.071426,240,2742345,5552440,4362748,0.077447221,39,89,18,41,4121,6,14,3304,36,82,1809,22,50,5328,812,10916,10916,,,,5344194,11062723,2934405,8128318,1054114,,,8128318,,1879569,7,24,,,,,73,,,,,,31,47,0.796610169,94,250,232,,,232,18,,,18,250,,,250,0,10,5,14,217,,4,0,4,100,86,35,6,,0,0,1,,,,,,,,,,,,,,4,100,86,35,6,,0,0,1,,,2,1,0,5,3,,1,3,3,,,,,,,,,,,,,,2,1,0,5,3,,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,20,8,8.365700717,3.346280287,73,39685.45,19.65939669,0.714285714,20,-90.706493,42.507707,
-153311,153311,153311,0,Eastern Iowa Community College District,Eastern Iowa Community College District,Davenport,Iowa,52801-1221,19,1,2,2,5483.509607,6088,21356626,73091775,49631098,0.058182505,941,75,645,51,4303,91,7,1711,175,14,1143,563,45,5278,0,3360,5040,,,,68976129,163934184,94325701,69608483,4169483,,,69608483,,,836,,,,,246,133,,,,,,836,215,0.202067669,2548,8480,3969,,,3969,4511,,,4511,8480,,,8480,73,109,486,424,5538,,1780,70,50,1387,712,465,525,331,211,213,74,1,,,,,,,,,,,,,50,1387,712,465,525,331,211,213,74,1,,1515,479,372,445,509,365,270,371,178,7,,,,,,,,,,,,,1515,479,372,445,509,365,270,371,178,7,,,,,,,,,,,,,,,,,,,,,,,,,151,418,2.753710868,7.622855251,913,49336.00662,7.750510721,0.265377856,151,-90.577164,41.52028,
-153320,153320,153320,0,Faith Baptist Bible College and Theological Seminary,,Ankeny,Iowa,50023-2152,19,2,2,2,368.668571,400,4510747,9715158,6005568,0.192502262,88,97,52,57,3840,41,45,3497,86,95,3537,53,58,6228,400,12860,12860,400,10688,10688,8694101,17313737,2329493,14984244,2037068,,,14984244,,7825780,20,50,19,,,,6,,,,,,89,59,0.648351648,128,352,307,31,31,338,45,34,34,79,352,65,65,417,2,4,4,7,393,0,0,7,3,149,112,31,8,1,1,0,1,0,1,,,2,16,7,5,0,1,0,0,,3,149,114,47,15,6,1,1,1,0,1,4,8,12,9,2,5,2,2,0,1,0,,,0,9,7,4,1,6,6,1,,4,8,12,18,9,9,3,8,6,2,0,179,61,118,102,33,69,92,30,62,179,102,91,1,20,25,20,26,17,23,540,570,570,630,21,12,5.696173108,3.254956062,110,44922.28571,17.08851932,0.636363636,21,-93.624268,41.735459,
-153339,153339,153339,0,Faust Institute of Cosmetology,,Storm Lake,Iowa,50588,19,3,2,2,24,46,261800,413491,262405,0.004755539,10,53,10,53,3758,1,5,1575,0,0,,10,53,4552,,,,,,,364997,,,,,,,,,,,,,,,,,15,,,,,,11,0.6875,,,24,,,24,,,,,24,,,24,0,0,0,6,18,0,0,0,,9,8,5,1,,,,1,,,,,,,,,,,,,,,9,8,5,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,0,,,28,1,27,24,1,23,24,1,23,28,24,24,0,,,,,,,,,,,3,3,12.5,12.5,10,,25,0.5,,-95.200824,42.65529,
