groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-154633,154633,154633,0,Academy of Hair Design Inc,,Salina,Kansas,67401,20,3,2,2,59,100,411896,493879,411896,,72,95,63,83,5602,0,0,,0,0,,69,91,8354,,,,,,,364124,,,,,,,,,,,,,,,,21,,,,,,,,,,,59,,,59,,,,,59,,,59,0,0,4,8,44,0,3,0,2,18,14,8,9,5,1,2,,,,,,,,,,,,,,,2,18,14,8,9,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,5.084745763,3.389830508,7,,6.779661017,0.6,,-97.60819,38.840102,
-154642,154642,154642,0,Allen County Community College,Allen County Community College,Iola,Kansas,66749,20,1,2,2,2000.731267,2277,4133536,13884980,11353885,0.052557907,411,90,254,55,3492,1,0,2217,307,67,1486,171,37,3742,512,1504,1504,,,,15978080,21231766,5176348,16055418,145550,,,16055418,,,237,,,,,407,0,,,,,,237,108,0.249422633,911,3124,1433,,,1433,1691,,,1691,3124,,,3124,45,24,133,133,2766,0,3,20,91,547,297,147,136,87,57,52,19,0,,,,,,,,,,,,,91,547,297,147,136,87,57,52,19,0,,374,342,168,227,202,120,85,94,69,10,,,,,,,,,,,,,374,342,168,227,202,120,85,94,69,10,,,,,,,,,,,,,,,,,,,,,,,,,36,136,1.7993421,6.797514601,258,40899.61111,5.897843551,0.209302326,36,-95.39976,37.938592,
-154651,154651,154651,0,AIB International,,Manhattan,Kansas,66502,20,2,2,2,42,42,1676126,1676126,1676126,,15,20,0,0,,0,0,,0,0,,5,7,4070,,,,,,,1709758,,,,,,,,,,,,,,,82,,,,,,,,,,,,42,,,42,,,,,42,,,42,0,18,3,4,13,,4,0,,,,18,13,2,9,,,,,,,,,,,,,,,,,,,18,13,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,16.66666667,,9,,21.42857143,1,,-96.57422,39.198509,
2503,154688,154688,1,Baker University,Baker University,Baldwin City,Kansas,66006-0065,20,2,2,2,2462.342661,3493,40620655,40883349,46480509,0.244261989,261,99,71,27,3504,110,42,3319,253,96,13472,204,78,7119,80,21050,21050,150,7500,7500,36183334,80251658,33368749,46882909,4270972,,,46882909,,33599885,97,456,832,15,,,,6,,,,,1400,140,0.689655172,,,1142,444,444,1586,946,1321,1321,2267,2088,1765,1765,3853,39,61,309,106,2958,,373,7,3,423,397,174,66,35,21,19,3,0,1,,,,46,153,95,67,58,24,1,0,3,423,397,220,219,130,88,77,27,1,1,61,3,25,89,227,198,135,151,55,1,1,,,,72,425,263,200,244,108,2,7,61,3,25,161,652,461,335,395,163,3,8,1266,579,687,706,322,384,257,137,120,1266,706,257,0,21,26,20,26,19,26,433,563,453,575,72,419,2.924044697,17.01631567,761,52343.34722,11.16822627,0.146639511,72,-95.188757,38.776755,
-154697,154697,154697,0,Barton County Community College,Barton County Community College,Great Bend,Kansas,67530,20,1,2,2,2060.210149,3394,9112363,32352393,26168583,0.090418808,300,85,158,45,4334,1,0,500,208,59,1951,145,41,5141,800,1568,2240,,,,31296634,33843735,10786157,23057578,1051986,,,23057578,,,427,,,,,71,85,,,,,,427,117,0.314516129,2023,4644,960,,,960,3277,,,3277,4237,,,4237,40,92,468,328,2991,6,312,0,13,478,172,85,83,53,35,24,16,1,,,,,,,,,,,,,13,478,172,85,83,53,35,24,16,1,,381,287,402,539,580,358,240,321,128,41,,,,,,,,,,,,,381,287,402,539,580,358,240,321,128,41,,,,,,,,,,,,,,,,,,,,,,,,,68,128,3.300634163,6.212958424,438,40767,13.3966916,0.346938776,68,-98.819799,38.405183,
-154712,154712,154712,0,Benedictine College,Benedictine College,Atchison,Kansas,66002-1499,20,2,2,2,1649.029829,1661,16438211,25589919,30321871,0.817112337,428,100,102,24,4789,86,20,2832,428,100,10378,299,70,5990,0,19500,19500,100,22000,22000,27902438,86836952,34214727,52622225,497085,,,52622225,,21418129,,252,34,,,,,,,,,,286,163,0.520766773,769,1818,1470,32,32,1502,348,27,27,375,1818,59,59,1877,6,24,56,95,1556,20,84,36,45,694,569,140,17,2,2,1,,,,,,,10,9,4,4,4,1,0,,45,694,569,150,26,6,6,5,1,0,,293,33,8,2,7,1,0,4,,,,,,,5,9,4,2,4,2,1,,293,33,8,7,16,5,2,8,2,1,,2411,1080,1331,1477,656,821,428,201,227,2411,1477,428,0,21,27,21,27,19,26,,,,,75,47,4.548128765,2.971444127,284,49318.94667,12.43155196,0.60483871,75,-95.115074,39.57231,
-154721,154721,154721,0,Bethany College,Bethany College (KS),Lindsborg,Kansas,67456-1897,20,2,2,2,581.071426,585,10361358,12955237,14070168,0.452729073,181,99,63,35,4478,54,30,3323,181,99,10058,143,79,6624,350,18715,18715,,,,12437053,27001292,9086633,17914659,2723226,,,17914659,,10378096,,98,,,,,,,,,,,98,57,0.37254902,250,592,574,,,574,18,,,18,592,,,592,3,5,62,37,424,27,7,27,1,239,210,94,17,6,2,3,2,,,,,,,,,,,,,,1,239,210,94,17,6,2,3,2,,,4,1,1,3,4,1,1,1,2,,,,,,,,,,,,,,4,1,1,3,4,1,1,1,2,,,840,538,302,491,285,206,182,93,89,840,491,182,0,20,25,19,24,18,25,430,520,390,490,43,41,7.400122958,7.055931193,183,41659.51163,21.85617711,0.511904762,43,-97.672492,38.580074,
-154749,154749,154749,0,Bethel College,Bethel College (KS),North Newton,Kansas,67117-8061,20,2,2,2,424.249997,433,9959761,13961916,14921593,0.382312487,92,100,34,37,4638,35,38,3025,92,100,11160,69,75,6870,0,19990,19990,,,,12176019,39353778,8491646,30862132,871562,,,30862132,,12813535,,89,,,,5,,,,,,,89,64,0.542372881,141,437,416,,,416,21,,,21,437,,,437,5,7,24,30,356,,0,15,1,165,162,56,24,4,2,1,1,,,,,,,,,,,,,,1,165,162,56,24,4,2,1,1,,,1,0,1,13,5,0,0,1,0,,,,,,,,,,,,,,1,0,1,13,5,0,0,1,0,,,387,233,154,289,174,115,92,51,41,387,289,92,0,21,29,20,29,21,29,460,730,420,700,38,13,8.956982974,3.535651174,149,45205.84211,25.92810861,0.716981132,38,-97.344332,38.074844,
-154767,154767,154767,0,Brown Mackie College-Kansas City,,Lenexa,Kansas,66215,20,3,2,2,515,629,8957032,9834088,8957032,0.001738411,129,99,107,82,5040,0,0,,0,0,,126,97,9944,630,11472,11472,,,,8229720,7220943,2118345,,,,,,,,104,,,,,,69,,,,,,104,8,0.210526316,93,568,515,,,515,,,,,515,,,515,10,13,135,16,319,5,17,0,,27,45,78,129,94,57,61,22,1,1,,,,,,,,,,,,,27,45,78,129,94,57,61,22,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,18,,3.495145631,,46,42696.66667,8.54368932,1,18,-94.734861,38.953197,
-154776,154776,154776,0,Brown Mackie College-Salina,,Salina,Kansas,67401-7307,20,3,2,2,466,557,7955139,8072105,7955139,0.06025187,138,99,99,71,5504,1,1,6516,42,30,5300,134,96,11179,540,9576,9576,,,,7031001,9082878,2883059,,,,,,,,101,,,,,3,93,,,,,,101,4,0.129032258,88,505,466,,,466,,,,,466,,,466,3,5,47,10,376,12,13,0,,59,72,70,96,58,44,52,14,1,,,,,,,,,,,,,,59,72,70,96,58,44,52,14,1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,21,,4.506437768,,56,31409.71429,11.37339056,1,21,-97.612905,38.80637,
