groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-156189,156189,156189,0,Alice Lloyd College,Alice Lloyd College,Pippa Passes,Kentucky,41844,21,2,2,2,577.999996,589,5048851,14337870,12752363,0.43187648,170,99,90,53,4613,122,71,3935,124,73,3421,73,43,2498,1275,7300,7300,,,,11635452,55922478,839370,55083108,1242945,,,55083108,,29223485,,101,,,,,,,,,,,101,67,0.382857143,210,595,567,,,567,28,,,28,595,,,595,1,4,6,4,579,,0,1,9,281,195,68,9,1,1,3,,,,,,,,,,,,,,,9,281,195,68,9,1,1,3,,,,13,3,1,4,2,1,2,2,,,,,,,,,,,,,,,13,3,1,4,2,1,2,2,,,,1992,790,1202,172,100,72,172,100,72,1992,172,172,0,18,22,17,23,16,20,420,520,460,590,28,7,4.844290691,1.211072673,113,33545.5,17.82006933,0.8,28,-82.87419,37.3358,
-156213,156213,156213,0,Asbury College,Asbury College,Wilmore,Kentucky,40390-1198,21,2,2,2,1506.335464,1577,29882688,32884003,35904929,0.340451803,312,99,110,35,5124,148,47,4275,311,99,9561,202,64,8869,171,22242,22242,0,10224,10224,28286798,98843695,18795781,80047914,5190450,,,80047914,,37802169,1,286,34,,,,,,,,,,321,190,0.629139073,507,1484,1388,47,47,1435,96,88,88,184,1484,135,135,1619,10,15,32,41,1491,,10,20,6,489,537,182,68,38,24,29,15,,,,,,11,16,5,7,6,2,,,6,489,537,193,84,43,31,35,17,,,33,21,0,10,5,3,4,13,7,,,,,,13,27,15,6,20,7,,,33,21,0,23,32,18,10,33,14,,,1563,524,1039,872,284,588,315,117,198,1563,872,315,0,21,24,22,29,19,26,490,630,510,650,83,70,5.510060805,4.647039233,385,52279.45783,17.59236281,0.54248366,83,-84.66228,37.862309,
1918,156222,156222,1,Asbury Theological Seminary,,Wilmore,Kentucky,40390-1199,21,2,2,2,1046.693678,1087,13598949,47478326,50400577,0.195954187,,,,,,,,,,,,,,,,,,100,11520,11520,20894707,210846703,19122880,191723823,4993354,,,191723823,,147531999,,,258,25,12,,,,3,,,,295,,,,,,725,725,725,,842,842,842,,1567,1567,1567,13,25,85,32,1065,4,202,141,,,,,,,,,,,,,,4,130,242,104,75,99,67,4,,,,4,130,242,104,75,99,67,4,,,,,,,,,,,,,,,0,28,123,94,124,243,227,3,,,,0,28,123,94,124,243,227,3,,,,,,,,,,,,,,,,,,,,,,,,,61,78,5.827875078,7.452036985,268,63495.63934,17.3880863,0.438848921,61,-84.662078,37.861404,
-156277,156277,156277,0,Barrett and Company School of Hair Design,,Nicholasville,Kentucky,40356-2152,21,3,2,2,90,79,145793,582801,146269,,72,73,71,72,3675,0,0,,0,0,,9,9,1931,,,,,,,443770,,,,,,,,,,,,,,,1,1,40,,,,,,66,0.640776699,,,90,,,90,,,,,90,,,90,0,2,10,0,74,4,0,0,5,21,16,12,13,15,4,4,,,,,,,,,,,,,,,5,21,16,12,13,15,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,5.555555556,,7,,7.777777778,1,,-84.58606,37.86484,
-156286,156286,156286,0,Bellarmine University,Bellarmine University,Louisville,Kentucky,40205-0671,21,2,2,2,2628.685687,3022,71374988,58882239,84279379,0.454481505,601,100,160,27,5013,379,63,4306,601,100,16730,398,66,6232,1100,27800,27800,140,11434,11434,51624417,160853095,67813197,93039898,3508618,,,93039898,,40975858,,395,255,,42,,,,8,,,,692,280,0.687960688,905,2417,2047,290,290,2337,370,383,383,753,2417,673,673,3090,6,76,106,55,2451,,346,50,44,1007,758,166,39,17,7,8,1,0,,,,4,111,96,34,24,17,4,0,,44,1007,762,277,135,51,31,25,5,0,,184,31,9,36,23,29,12,33,12,1,,,,0,56,126,53,42,63,42,1,,184,31,9,92,149,82,54,96,54,2,,6021,2280,3741,3214,1176,2038,603,221,382,6021,3214,602,1,22,27,22,29,21,26,510,600,480,600,138,207,5.249771804,7.874657705,631,66367.23913,13.92330783,0.4,138,-85.709009,38.218883,
-156295,156295,156295,0,Berea College,Berea College,Berea,Kentucky,40404-2182,21,2,2,2,1519.464279,1561,42854616,135645830,154840931,0.959541745,392,100,352,90,5017,161,41,6273,392,100,22173,69,18,1886,876,0,0,,,,70533608,1099423419,89067949,1010355470,1736391,,,1010355470,,892227000,,289,,,,,,,,,,,289,256,0.64,466,1496,1501,,,1501,47,,,47,1548,,,1548,12,20,275,41,1049,,33,118,16,624,577,202,50,15,6,7,4,,,,,,,,,,,,,,16,624,577,202,50,15,6,7,4,,,33,1,1,7,1,1,2,0,1,,,,,,,,,,,,,,33,1,1,7,1,1,2,0,1,,,2745,1107,1638,516,216,300,392,171,221,2745,516,392,0,21,26,20,27,19,24,465,585,500,620,137,28,9.016335684,1.842754738,505,65043.32117,28.10200976,0.83030303,137,-84.289618,37.571848,
2508,156310,156310,1,PJ's College of Cosmetology,,Bowling Green,Kentucky,42101,21,3,2,2,503.338106,686,4851710,5353639,4851710,0.002864763,368,93,336,85,3961,0,0,,0,0,,349,88,8912,,,,,,,4507712,,,,,,,,,,,,,,,32,52,103,,,,,,45,0.737704918,,,441,,,441,157,,,157,598,,,598,2,5,147,17,419,4,2,2,3,61,70,73,95,69,30,26,11,1,2,,,,,,,,,,,,3,61,70,73,95,69,30,26,11,1,2,21,21,17,17,37,19,14,8,3,0,0,,,,,,,,,,,,21,21,17,17,37,19,14,8,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,38,2,7.549597288,0.397347226,57,,10.33102787,0.95,,-86.467746,36.979878,
-156356,156356,156356,0,Brescia University,Brescia University,Owensboro,Kentucky,42301-3023,21,2,2,2,594.097123,571,8289411,10224462,10544823,0.364087026,112,98,95,83,2347,96,84,4505,112,98,7895,70,61,4961,440,15600,15600,120,9600,9600,10531070,22539246,6463119,16076127,3121980,,,16076127,,8370195,2,70,23,,,,,,2,,,,95,37,0.451219512,196,670,489,21,21,510,181,34,34,215,670,55,55,725,2,4,38,15,593,0,50,23,,175,129,67,50,24,21,18,5,0,0,,,,4,5,1,3,6,2,,,,175,129,71,55,25,24,24,7,0,0,,0,25,17,26,28,24,25,25,6,5,,,,2,12,14,3,2,1,,,,0,25,19,38,42,27,27,26,6,5,677,245,432,453,149,304,122,44,78,677,453,121,1,18,24,18,24,16,23,440,510,,,40,18,6.732905859,3.029807636,150,44739.775,20.03039493,0.689655172,40,-87.112974,37.768788,
-156365,156365,156365,0,Campbellsville University,Campbellsville University,Campbellsville,Kentucky,42718-2799,21,2,2,2,2306.008665,2571,32517813,33038498,37151069,0.3576465,489,95,281,55,4240,369,72,4569,478,93,8642,382,74,5440,400,18410,18410,150,6750,6750,32483261,80057358,40831976,39225382,8245015,,,39225382,,11972952,23,256,199,,,,,,,,,,478,161,0.444751381,1532,2733,1710,39,39,1749,1023,406,406,1429,2733,445,445,3178,6,13,300,34,2574,,90,161,5,631,513,262,98,56,49,67,28,1,,,,2,6,11,7,3,7,3,,,5,631,515,268,109,63,52,74,31,1,,579,157,15,27,38,40,51,67,44,5,,,,1,60,141,78,56,54,16,,,579,157,16,87,179,118,107,121,60,5,,2107,1001,1106,1444,702,742,514,254,260,2107,1444,510,4,18,23,16,24,17,23,420,600,410,570,115,179,4.986971721,8.369439496,559,46976.87826,13.92015585,0.373376623,115,-85.346111,37.345192,
-156408,156408,156408,0,Centre College,Centre College,Danville,Kentucky,40422-1394,21,2,2,2,1216,1225,47233516,57746211,72486846,0.361299252,328,99,57,17,5055,198,60,3811,309,93,16731,160,48,5773,0,31200,31200,,,,47198893,313948759,97342429,216606330,6813092,,,216606330,,175151652,,293,,,,,,,,,,,293,255,0.858585859,342,1216,1216,,,1216,,,,,1216,,,1216,2,33,54,26,1072,,4,25,3,545,583,83,2,,,,,,,,,,,,,,,,,,3,545,583,83,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,2056,997,1059,1422,645,777,333,145,188,2056,1422,333,0,26,30,25,33,25,30,570,670,550,670,105,11,8.634868421,0.904605263,379,66574.2,27.79605263,0.905172414,105,-84.778924,37.645051,
