groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-161615,161615,161615,0,Aaron's Academy of Beauty,,Waldorf,Maryland,20602,24,3,2,2,59.794116,66,457789,457789,457789,,49,96,42,82,4524,0,0,,0,0,,49,96,4791,,,,,,,526300,,,,,,,,,,,,,,,1,19,,,,,,,,,,,59,,,59,2,,,2,61,,,61,0,1,51,1,8,,0,0,,10,5,18,16,6,3,1,,,,,,,,,,,,,,,,10,5,18,16,6,3,1,,,,,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,6.689621434,,6,,10.03443215,1,,-76.905025,38.611486,
-161651,161651,161651,0,Aesthetics Institute of Cosmetology,,Gaithersburg,Maryland,20877,24,3,2,2,24.352928,59,294366,294480,294366,,18,72,18,72,4055,0,0,,0,0,,4,16,2990,,,,,,,348481,,,,,,,,,,,,,,,12,14,,,,,,,,,,,18,,,18,16,,,16,34,,,34,0,8,16,3,6,,1,0,0,,5,1,4,1,4,2,1,,,,,,,,,,,,,,0,,5,1,4,1,4,2,1,,,1,,1,2,3,5,2,2,0,,,,,,,,,,,,,,1,,1,2,3,5,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,8.21256483,8.21256483,8,,12.31884724,0.5,,-77.207336,39.151681,
-161688,161688,161688,0,Allegany College of Maryland,Allegany College of Maryland,Cumberland,Maryland,21502-2596,24,1,2,2,2905.268912,2717,16030527,36328832,33518205,0.220899475,713,87,432,53,4605,428,52,1651,154,19,1058,394,48,5245,194,5520,6630,,,,36224500,41340844,4736505,36604339,564352,,,36604339,,,572,,,,,,199,,,,,,572,159,0.224893918,1935,4085,2309,,,2309,1776,,,1776,4085,,,4085,8,29,301,33,3668,,45,1,15,971,558,247,170,125,94,95,33,1,,,,,,,,,,,,,15,971,558,247,170,125,94,95,33,1,,667,281,133,151,167,99,90,133,50,5,,,,,,,,,,,,,667,281,133,151,167,99,90,133,50,5,,,,,,,,,,,,,,,,,,,,,,,,,114,196,3.923905272,6.74636345,579,50242.95614,10.3260665,0.367741935,114,-78.739195,39.653019,
-161767,161767,161767,0,Anne Arundel Community College,Anne Arundel Community College,Arnold,Maryland,21012-1895,24,1,2,2,9577.587808,10664,37634733,122007042,100604094,0.017958251,868,41,492,23,4257,229,11,733,67,3,1704,345,16,4551,280,5070,8970,,,,130603545,115251090,32989124,82261966,7905894,,,82261966,,,1336,,,,,,478,,,,,,1336,265,0.136738906,4647,16741,5957,,,5957,10784,,,10784,16741,,,16741,91,605,2507,471,10241,,2677,149,51,2986,1423,620,429,168,110,126,42,2,,,,,,,,,,,,,51,2986,1423,620,429,168,110,126,42,2,,750,1298,1484,1508,1636,966,775,1314,804,249,,,,,,,,,,,,,750,1298,1484,1508,1636,966,775,1314,804,249,,,,,,,,,,,,,,,,,,,,,,,,,262,1158,2.735553098,12.09072705,2057,68066.34733,8.843562878,0.184507042,262,-76.519935,39.052816,
2521,161800,161800,1,Award Beauty School,,Hagerstown,Maryland,21740-5610,24,3,2,2,188.911684,287,1460685,1543549,1460685,,343,100,343,100,3026,15,4,500,0,0,,343,100,4137,,,,,,,2245336,,,,,,,,,,,,,,,41,66,,,,,,,,,,,150,,,150,98,,,98,248,,,248,0,2,107,1,138,,0,0,,10,38,42,27,13,10,6,4,,,,,,,,,,,,,,,10,38,42,27,13,10,6,4,,,,4,29,37,21,4,3,0,0,,,,,,,,,,,,,,,4,29,37,21,4,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,6.352174596,0.529347883,30,,14.82174072,0.923076923,,-77.720549,39.640446,
-161855,161855,161855,0,Baltimore Studio of Hair Design,,Baltimore,Maryland,21201-3444,24,3,2,2,86.735276,163,632863,836713,636590,,110,99,110,99,4700,10,9,500,0,0,,108,97,5500,,,,,,,1452170,,,,,,,,,,,,,,,0,36,,,,,,,,,,,78,,,78,22,,,22,100,,,100,0,0,100,0,0,0,0,0,,18,29,24,3,4,0,,,,,,,,,,,,,,,,,18,29,24,3,4,0,,,,,,3,10,2,3,3,1,,,,,,,,,,,,,,,,,3,10,2,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,3.458800316,5.764667193,14,,9.223467508,0.375,,-76.619777,39.293109,
-161864,161864,161864,0,Baltimore City Community College,Baltimore City Community College,Baltimore,Maryland,21215-7893,24,1,2,2,4190.994446,4807,18156059,77173496,59451158,0.010744457,635,89,614,86,4804,80,11,644,76,11,1218,0,0,,422,2640,6300,,,,73186813,96308172,11290389,85017783,5458065,,,85017783,,,411,,,,,22,33,,,,,,411,34,0.048850575,1613,6953,2795,,,2795,4158,,,4158,6953,,,6953,14,121,5404,95,561,,257,501,14,671,516,480,418,230,154,210,101,1,,,,,,,,,,,,,14,671,516,480,418,230,154,210,101,1,,72,367,387,521,788,556,424,665,354,24,,,,,,,,,,,,,72,367,387,521,788,556,424,665,354,24,,,,,,,,,,,,,,,,,,,,,,,,,128,480,3.054167732,11.45312899,1055,60467.24219,10.52256226,0.210526316,128,-76.65957,39.320516,
-161873,161873,161873,0,University of Baltimore,University of Baltimore,Baltimore,Maryland,21201,24,1,2,2,4415.864032,4273,60863661,96109818,87580977,0.147920777,178,95,103,55,5261,88,47,2235,120,64,3448,97,52,5585,1846,5325,18832,1400,10244,14832,100463966,109039736,48613079,60426657,10238030,,,60426657,,,,516,527,9,332,,,,20,,,,1384,,,979,3004,1768,1519,1519,3287,1236,1742,1742,2978,3004,3261,3261,6265,29,287,1788,133,2549,,1252,227,7,308,362,429,338,137,72,78,32,0,5,,,14,569,613,182,60,61,15,2,3,7,308,376,998,951,319,132,139,47,2,8,0,5,35,185,310,219,145,222,99,5,11,,,2,230,604,342,181,239,102,3,39,0,5,37,415,914,561,326,461,201,8,50,748,310,438,488,208,280,203,91,112,748,488,203,0,1,22,,,,,410,540,420,540,178,195,4.030921213,4.415896834,940,98266.50562,15.33108798,0.477211796,178,-76.61621,39.30543,
-161882,161882,161882,0,Baltimore International College,,Baltimore,Maryland,21202-3230,24,2,2,2,470.210122,558,16394497,15843148,16641182,0.324311993,119,83,70,49,5404,46,32,2850,112,78,5270,106,74,3777,9460,17930,17930,456,9396,9396,14012191,26772513,14215839,12556674,2489630,,,12556674,,1286473,104,24,6,,,,54,,,,,,134,1,0.333333333,227,477,440,13,13,453,37,7,7,44,477,20,20,497,3,9,205,19,207,,44,10,3,138,76,79,61,36,12,26,9,,,,,,4,4,3,2,,,,,3,138,76,83,65,39,14,26,9,,,0,3,17,9,5,1,1,1,0,,,,,,2,2,3,0,,,,,0,3,17,11,7,4,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,11,22,2.33937967,4.67875934,57,41932.7,7.443480768,0.333333333,10,-76.610179,39.288878,
-162007,162007,162007,0,Bowie State University,Bowie State University,Bowie,Maryland,20715-9465,24,1,2,2,4684.593502,4705,32750159,82254044,65323680,0.137178174,569,90,301,47,4605,243,38,3331,204,32,3365,469,74,6196,1753,4286,14724,1381,8040,15360,83351564,137298925,26470175,110828750,4184611,,,110828750,,,,606,273,6,,,,,1,3,,3,885,234,0.373205742,1154,4400,3710,401,401,4111,690,816,816,1506,4400,1217,1217,5617,24,99,4968,92,234,,129,71,20,1213,1192,880,253,67,31,33,20,1,,,,2,114,128,54,42,49,12,0,,20,1213,1194,994,381,121,73,82,32,1,,5,44,101,197,145,70,42,56,26,4,,,,0,74,245,164,110,128,90,5,,5,44,101,271,390,234,152,184,116,9,,3496,1284,2212,1696,592,1104,714,272,442,3496,1696,706,8,,,,,,,390,470,400,480,230,176,4.909710947,3.756996203,783,65598.92174,12.21023766,0.566502463,230,-76.764463,39.01741,
