groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-164438,164438,164438,0,New England College of Business and Finance,,Boston,Massachusetts,2110,25,3,2,-1,463.033969,343,1758000,1579444,1758000,0.101567691,22,92,6,25,2874,0,0,,16,67,714,6,25,5518,100,8800,8800,125,11800,11800,2997000,3860000,623000,,,,,,,,53,11,13,,,23,,,1,,,,77,,,,,237,31,31,268,477,20,20,497,714,51,51,765,4,30,56,61,399,,215,0,1,0,11,21,55,48,18,56,13,,14,,,,2,5,7,6,6,3,,2,1,0,11,23,60,55,24,62,16,,16,1,2,16,43,96,87,67,104,38,,23,,,,1,4,4,3,4,2,,2,1,2,16,44,100,91,70,108,40,,25,,,,,,,,,,,,,,,,,,,,,,,,1,28,0.215966877,6.263039419,49,65456,4.31933753,0.033333333,1,-71.060911,42.309882,
-164447,164447,164447,0,American International College,American International College,Springfield,Massachusetts,1109,25,2,2,2,2365.727143,3466,53926169,47456996,57024147,0.404526863,354,100,195,55,5190,134,38,2087,354,100,16882,327,92,7429,0,25550,25550,0,11934,11934,45603061,53104924,31612953,21491971,7832872,,,21491971,,7637939,1,298,561,16,0,,,,,70,,70,876,119,0.370716511,572,1750,1601,114,114,1715,149,1550,1550,1699,1750,1664,1664,3414,16,58,568,214,1517,0,966,75,6,494,515,314,121,53,33,43,10,0,12,,,,57,36,5,8,6,1,0,1,6,494,515,371,157,58,41,49,11,0,13,0,1,7,24,29,23,14,20,10,1,20,,,,169,380,225,198,357,190,1,30,0,1,7,193,409,248,212,377,200,2,50,1469,730,739,1162,553,609,364,193,171,1469,1162,361,3,16,21,15,22,16,19,400,520,410,510,88,223,3.719786547,11.41298145,713,49210.28409,14.83687589,0.245810056,88,-72.557401,42.113788,
-164465,164465,164465,0,Amherst College,Amherst College,Amherst,Massachusetts,01002-5000,25,2,2,2,1744,1755,65990848,304984044,315407152,0.522098913,322,69,93,20,5554,20,4,2183,251,54,35993,86,18,5459,678,38250,38250,,,,137628381,2183314439,418561643,1764752796,18650392,,,1764752796,,1687506301,,428,,,,,,,,,,,428,403,0.948235294,474,1744,1744,,,1744,,,,,1744,,,1744,2,183,189,189,679,,360,142,38,778,771,141,14,2,,,,,,,,,,,,,,,,,38,778,771,141,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,7679,3368,4311,1227,584,643,467,237,230,7679,1227,467,0,30,34,30,34,29,35,650,780,660,760,195,20,11.18119266,1.146788991,800,102745.5026,43.00458716,0.906976744,189,-72.51695,42.37237,
-164474,164474,164474,0,Andover Newton Theological School,,Newton Centre,Massachusetts,02459-2243,25,2,2,2,152.69416,103,1829127,6143153,5009917,0.416465341,,,,,,,,,,,,,,,,,,930,11352,11352,7772936,27520557,3998973,23521584,147212,,,23521584,,14474036,,,70,4,,,,,,,,,74,,,,,,61,61,61,,240,240,240,,301,301,301,1,10,33,6,217,,31,3,,,,,,,,,,,,,,1,7,11,5,4,11,22,0,,,,1,7,11,5,4,11,22,0,,,,,,,,,,,,,,,0,6,9,16,21,79,99,10,,,,0,6,9,16,21,79,99,10,,,,,,,,,,,,,,,,,,,,,,,,,16,24,10.47846231,15.71769346,78,81531.625,31.43538692,0.4,16,-71.191675,42.327027,
-164492,164492,164492,0,Anna Maria College,Anna Maria College,Paxton,Massachusetts,01612-1198,25,2,2,2,1246.607674,1307,26429165,23018733,27142323,0.394846905,372,100,173,47,4747,146,39,2278,372,100,12648,348,94,11876,2428,24192,24192,0,8388,8388,21573406,34075420,18786752,15288668,7594827,,,15288668,,3108431,16,174,144,,,,,,0,16,,16,334,87,0.46031746,466,1188,958,73,73,1031,224,334,334,558,1182,407,407,1589,11,21,111,86,1133,,218,9,67,501,296,65,12,9,4,2,2,0,,,,2,33,13,12,4,6,3,0,,67,501,298,98,25,21,8,8,5,0,,1,2,6,15,31,29,27,84,27,2,,,,5,63,66,44,38,79,37,2,,1,2,11,78,97,73,65,163,64,4,,2042,944,1098,1441,678,763,373,201,172,2042,1441,373,0,18,21,,,,,390,500,400,500,52,140,4.171320383,11.23047795,359,50800.01923,11.55134875,0.270833333,52,-71.918182,42.327527,
-164535,164535,164535,0,Assabet Valley Regional Technical School,,Marlborough,Massachusetts,1752,25,1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,0,,,,,-71.568049,42.368256,
-164562,164562,164562,0,Assumption College,Assumption College,Worcester,Massachusetts,01609-1296,25,2,2,2,2480.251375,2720,68300825,68215892,71298084,0.412055301,514,100,79,15,4809,78,15,1924,501,97,13821,398,77,8212,365,29806,29806,40,8748,8748,62889671,180675666,57957837,122717829,6981165,,,122717829,,74240483,3,596,139,,,19,,,0,17,,17,738,458,0.723538705,566,2312,2125,158,158,2283,187,324,324,511,2312,482,482,2794,4,37,66,89,2081,,494,23,43,976,1013,78,6,1,1,2,1,,4,,,7,87,27,4,9,12,1,,11,43,976,1020,165,33,5,10,14,2,,15,0,0,4,7,11,10,12,22,11,,110,,,1,59,84,27,16,32,16,,89,0,0,5,66,95,37,28,54,27,,199,3719,1824,1895,2947,1343,1604,515,221,294,3719,2947,515,0,20,25,20,25,18,25,490,590,480,580,155,129,6.249366559,5.281722704,619,62921.87097,16.49026402,0.541958042,155,-71.83153,42.291149,
-164571,164571,164571,0,Atlantic Union College,Atlantic Union College,South Lancaster,Massachusetts,01561-1000,25,2,2,2,393.310613,460,5455791,11127801,9945198,0.22176491,66,85,39,50,4847,6,8,2017,66,85,5467,66,85,6885,1610,14960,14960,0,3120,3120,12996450,15667380,9776177,5891203,455905,,,5891203,,585215,26,60,15,,,,0,,0,,,,101,37,0.430232558,155,465,343,2,2,345,122,1,1,123,465,3,3,468,0,20,252,85,97,,14,0,5,79,85,74,33,18,16,28,5,,,,,,1,,,,1,0,,,5,79,85,75,33,18,16,29,5,,,5,12,13,17,26,14,14,13,8,,,,,,0,,,,0,1,,,5,12,13,17,26,14,14,13,9,,,,,,,,,,,,,,,,,,,,,,,,,,28,3,7.11905529,0.762755924,112,36988.18519,23.39118167,0.903225806,27,-71.68394,42.445255,
-164580,164580,164580,0,Babson College,,Wellesley,Massachusetts,02457-0310,25,2,2,2,2809.138711,3404,122907286,164248630,148465159,0.216707836,257,55,79,17,5949,25,5,1635,223,47,23930,197,42,6917,0,37824,37824,0,40600,40600,148485006,414791267,164710067,250081200,28645253,,,250081200,,197005749,,456,716,,,,,,,3,,3,1172,387,0.908450704,528,1898,1898,518,518,2416,,1029,1029,1029,1898,1547,1547,3445,7,397,118,201,1519,13,464,726,56,828,884,117,10,3,,,,,,,,3,41,296,119,35,15,3,0,6,56,828,887,158,306,122,35,15,3,0,6,,,,,,,,,,,,,,3,17,239,356,228,129,27,2,28,0,0,3,17,239,356,228,129,27,2,28,4150,2720,1430,1674,943,731,471,270,201,4150,1674,471,0,25,29,24,27,28,31,610,700,560,650,179,89,6.372059852,5.731294057,881,116399.0994,24.38469832,0.526470588,171,-71.2623,42.299,
-164599,164599,164599,0,Bancroft School of Massage Therapy,,Worcester,Massachusetts,1604,25,3,2,2,81.397058,56,894000,1098503,915000,,16,59,11,41,3289,1,4,800,0,0,,16,59,5445,,,,,,,1008000,,,,,,,,,,,,,,,,55,,,,,,,,,,,81,,,81,1,,,1,82,,,82,0,0,1,4,76,1,0,0,,6,3,10,14,19,9,13,6,,1,,,,,,,,,,,,,6,3,10,14,19,9,13,6,,1,,1,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,1,0,0,0,0,0,0,0,,0,15,2,12,10,2,8,10,2,8,15,10,10,0,,,,,,,,,,,,11,,13.51400194,19,,6.142728156,,,-71.778471,42.269492,
