groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-180771,180771,180771,0,La'James International College,,Fremont,Nebraska,68025,31,3,2,2,51,86,575160,866024,575160,0.062824258,41,87,31,66,4236,26,55,1534,8,17,2884,37,79,7510,,,,,,,707893,,,,,,,,,,,,,,,4,1,25,,,,,,27,0.627906977,,,51,,,51,,,,,51,,,51,3,0,2,10,36,0,0,0,,21,15,5,4,3,2,1,,,,,,,,,,,,,,,,21,15,5,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,5.882352941,,5,,9.803921569,1,,-96.482186,41.444947,
-180814,180814,180814,0,Bellevue University,Bellevue University,Bellevue,Nebraska,68005-3098,31,2,2,2,5652.447781,8389,77178701,84057603,84503182,0.028246135,8,50,0,0,,0,0,,6,38,787,4,25,2787,150,5520,5520,150,7740,7740,75998762,159792070,40335903,119456167,8171869,,,119456167,,34195144,,2085,870,0,,,,,,,,,2955,31,0.256198347,125,6776,2842,395,395,3237,3934,2277,2277,6211,6776,2672,2672,9448,218,245,1179,630,6300,0,616,260,0,31,169,457,693,493,395,487,110,3,4,1,0,1,20,79,71,79,103,39,2,0,1,31,170,477,772,564,474,590,149,5,4,14,166,244,593,919,674,489,592,227,3,13,2,1,4,176,563,491,391,472,173,3,1,16,167,248,769,1482,1165,880,1064,400,6,14,,,,,,,,,,,,,,,,,,,,,,,,90,182,1.592230543,3.219843987,778,54614.65556,10.11950967,0.330882353,90,-95.917799,41.151456,
-180832,180832,180832,0,Clarkson College,,Omaha,Nebraska,68131-2739,31,2,2,2,668.448318,772,9254437,13802281,9868537,0.090483732,13,93,6,43,5863,2,14,1400,6,43,5225,12,86,8992,984,9840,9840,666,8226,8226,13211068,15410926,8033001,7377925,1207148,,,7377925,,1087040,53,131,60,,,1,3,,,5,,5,244,9,0.473684211,196,725,481,19,19,500,244,190,190,434,725,209,209,934,5,15,57,29,783,,45,0,2,64,141,143,70,27,17,15,2,,,,,,1,4,7,2,4,1,,,2,64,141,144,74,34,19,19,3,,,10,7,18,49,45,31,24,42,18,,,,,,13,55,37,23,44,18,,,10,7,18,62,100,68,47,86,36,,,725,107,618,436,65,371,243,34,209,725,436,171,72,19,24,18,24,17,24,,,,,44,14,6.582408664,2.094402757,132,47286.70455,17.05442245,0.75862069,44,-95.97568,41.259664,
-180878,180878,180878,0,BryanLGH College of Health Sciences,,Lincoln,Nebraska,68506-1299,31,2,2,2,373.714256,380,4680500,9703215,5278819,,28,100,8,29,5519,7,25,750,24,86,2867,24,86,5417,670,11400,11400,1512,14082,14082,9517302,,,,,,,,,,14,69,10,,,,,,,,,,93,,,106,467,259,33,33,292,208,,,208,467,33,33,500,2,6,7,9,470,1,5,0,,59,92,63,20,12,6,5,2,,,,,,1,18,8,3,3,,,,,59,92,64,38,20,9,8,2,,,,7,37,88,35,19,7,12,3,,,,,,,,,,,,,,,7,37,88,35,19,7,12,3,,,113,,,85,,,83,10,73,113,85,66,17,20,23,20,24,19,23,,,,,32,32,8.562691812,8.562691812,87,57014.09677,13.64679008,0.5,31,-96.650883,40.797343,
1513,180902,180902,1,Central Community College,Central Community College,Grand Island,Nebraska,68802-4903,31,1,2,2,4205.935056,4431,10633675,52261003,42975865,0.037988372,788,89,462,52,4145,172,19,484,238,27,733,375,42,2708,210,2100,3210,,,,55555287,78301345,26951192,51350153,1323529,,,51350153,,,547,,,,,678,328,,,,,,547,233,0.330028329,2795,7321,2632,,,2632,4688,,,4688,7320,,,7320,35,99,87,632,6133,31,302,1,14,1260,572,242,223,110,79,81,48,2,1,,,,,,,,,,,,14,1260,572,242,223,110,79,81,48,2,1,1142,517,388,460,554,395,294,510,353,29,46,,,,,,,,,,,,1142,517,388,460,554,395,294,510,353,29,46,,,,,,,,,,,,,,,,,,,,,,,,159,166,3.780372209,3.94680369,759,49980.38994,9.985888855,0.489230769,159,-98.374998,40.888,
-180948,180948,180948,0,Chadron State College,Chadron State College,Chadron,Nebraska,69337-2690,31,1,2,2,2163.369954,2252,8949856,33325857,25538286,,364,89,150,37,4576,27,7,963,237,58,2915,230,57,4403,1099,3430,6860,757,2799,5598,31701440,46090389,9415699,36674690,49395,,,36674690,,,,366,98,,,,,,,0,,0,464,170,0.456989247,685,2235,1709,109,109,1818,526,368,368,894,2235,477,477,2712,49,28,56,95,2025,0,413,46,6,590,544,328,112,52,35,32,9,0,1,,,1,29,35,17,9,13,5,,0,6,590,545,357,147,69,44,45,14,0,1,16,19,44,75,105,72,47,77,41,8,22,,,1,36,78,75,60,61,56,,1,16,19,45,111,183,147,107,138,97,8,23,,,,,,,,,,,,,,,,,,,,,,,,93,44,4.298848647,3.69793432,372,53865.90323,12.34185579,0.537572254,93,-103.00187,42.821277,
-180957,180957,180957,0,College of Hair Design,,Lincoln,Nebraska,68508-2199,31,3,2,2,160,257,2467232,3570112,2499787,,153,97,127,81,1821,101,64,554,0,0,,152,97,4317,,,,,,,2047307,,,,,,,,,,,,,,,,19,107,,,,,,61,0.792207792,,,160,,,160,,,,,160,,,160,0,6,7,11,133,,2,1,,63,52,21,11,4,8,1,,,,,,,,,,,,,,,,63,52,21,11,4,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,6.875,1.875,29,,12.5,0.785714286,,-96.705464,40.811295,
-180984,180984,180984,0,Concordia University,Concordia University (NE),Seward,Nebraska,68434-1556,31,2,2,2,1539.284779,1544,24942670,30136667,34825224,0.441186569,288,100,96,33,4759,35,12,1060,288,100,11644,197,68,10170,150,21100,21100,0,6030,6030,25003792,88692675,28921289,59771386,940972,,,59771386,,27951306,,226,79,,,0,,,149,,,,305,166,0.597122302,486,1257,1062,364,364,1426,195,96,96,291,1257,460,460,1717,2,15,56,30,1458,,142,14,7,476,420,133,12,3,3,4,4,,0,,,,40,95,62,58,67,40,,2,7,476,420,173,107,65,61,71,44,,2,107,13,6,9,14,9,7,21,7,,2,,,,8,20,18,12,15,23,,0,107,13,6,17,34,27,19,36,30,,2,1281,658,623,962,465,497,288,149,139,1281,962,288,0,21,28,20,29,19,28,430,640,440,590,55,87,3.573088018,5.716940829,288,52151.65455,10.84919453,0.384615385,55,-97.091868,40.916635,
-181002,181002,181002,0,Creighton University,Creighton University,Omaha,Nebraska,68178,31,2,1,2,6827.996126,9671,223210595,438807375,301279367,0.253415323,1039,99,183,17,6477,42,4,1558,1026,97,15993,638,61,8965,1306,28232,28232,1306,13000,13000,399909000,884303000,371198000,513105000,77107000,,,513105000,,372618000,3,906,201,6,613,,4,,9,32,,32,1729,743,0.767561983,1248,4133,3869,2610,2610,6479,264,642,642,906,4133,3252,3252,7385,69,686,255,263,5779,,170,163,186,1872,1380,274,90,35,22,8,2,0,0,,10,209,1179,840,199,81,63,28,0,1,186,1882,1589,1453,930,234,103,71,30,0,1,10,6,16,50,46,35,18,41,36,3,3,,0,4,96,174,98,76,126,66,1,1,10,6,20,146,220,133,94,167,102,4,4,4752,1991,2761,3888,1579,2309,1054,420,634,4752,3888,1054,0,24,29,24,31,23,29,540,650,520,640,734,226,10.74985964,4.232574165,3054,73546.21941,38.43001595,0.717497556,474,-95.948624,41.264875,
-181011,181011,181011,0,Dana College,Dana College,Blair,Nebraska,68008,31,2,2,2,583.85714,,,,,,,,,,,,,,,,,,,,800,20300,20300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231,,576,,,576,20,,,20,596,,,596,4,10,35,32,507,,7,1,1,250,219,86,10,3,0,2,2,0,3,,,,,,,,,,,,1,250,219,86,10,3,0,2,2,0,3,0,0,0,0,4,1,4,3,7,1,0,,,,,,,,,,,,0,0,0,0,4,1,4,3,7,1,0,1087,662,425,721,416,305,174,105,69,1087,721,174,0,20,25,19,25,17,24,410,520,,,32,24,5.480792784,4.110594588,160,43900,19.01149997,0.571428571,32,-96.156109,41.551679,
