groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-187505,187505,187505,0,Olympian University of Cosmetology,,Alamogordo,New Mexico,88310-5051,35,3,2,2,1087,1637,8959629,10041764,8959629,,632,85,529,71,4074,0,0,,50,7,397,561,76,6883,,,,,,,9538741,,,,,,,,,,,,,,,44,340,,,,,,,,,,,1087,,,1087,,,,,1087,,,1087,25,17,185,394,391,0,75,0,166,258,154,97,162,128,31,91,,,,,,,,,,,,,,,166,258,154,97,162,128,31,91,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,58,9,5.335786569,0.827966881,114,,9.383624655,0.865671642,,-105.949931,32.899905,
-187532,187532,187532,0,Central New Mexico Community College,Central New Mexico Community College,Albuquerque,New Mexico,87106,35,1,2,2,15222.56546,19200,17918902,135206096,120230974,0.066298761,2101,87,1428,59,4664,1643,68,830,18,1,637,641,26,5366,228,1836,5412,,,,147507261,291575164,67407224,224167940,38468274,,,224167940,,,1579,,,,,674,990,116,,,,,1579,142,0.077510917,6007,27999,8765,,,8765,19234,,,19234,27999,,,27999,2092,624,959,11222,9916,,2768,418,174,2866,1476,1102,1274,690,426,518,228,8,3,,,,,,,,,,,,174,2866,1476,1102,1274,690,426,518,228,8,3,925,1755,2367,2925,3535,2351,1567,2283,1404,115,7,,,,,,,,,,,,925,1755,2367,2925,3535,2351,1567,2283,1404,115,7,,,,,,,,,,,,,,,,,,,,,,,,327,771,2.148126746,5.0648493,1966,48185.51376,7.101299732,0.297814208,327,-106.624099,35.076433,
-187596,187596,187596,0,Navajo Technical College,,Crownpoint,New Mexico,87313-0849,35,1,2,2,617.483137,416,3184922,13837186,3196178,,204,85,204,85,3984,149,62,2122,0,0,,0,0,,180,1320,1320,,,,13325294,30280520,9055667,21224853,1046894,,,21224853,,,46,,,,,20,115,,,,,,46,152,0.915662651,239,762,550,,,550,201,,,201,751,,,751,747,1,2,0,1,0,0,0,13,72,73,61,60,65,45,38,15,,108,,,,,,,,,,,,13,72,73,61,60,65,45,38,15,,108,2,29,52,39,32,23,0,0,0,,24,,,,,,,,,,,,2,29,52,39,32,23,0,0,0,,24,,,,,,,,,,,,,,,,,,,,,,,,36,,5.830118726,,130,43674.88889,21.05320651,1,36,-108.1336,35.67535,
-187602,187602,187602,0,De Wolff College Hair Styling and Cosmetology,,Albuquerque,New Mexico,87112-4413,35,3,2,2,137,135,822537,878818,822537,,78,89,75,85,4720,2,2,700,1,1,3356,61,69,6095,,,,,,,522875,,,,,,,,,,,,,,,12,60,,,,,,,,,,,137,,,137,,,,,137,,,137,10,2,18,63,44,,0,0,5,15,19,19,27,26,13,13,,,,,,,,,,,,,,,5,15,19,19,27,26,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,3.649635036,0.729927007,8,,5.109489051,0.833333333,,-106.532151,35.096681,
-187639,187639,187639,0,Clovis Community College,Clovis Community College,Clovis,New Mexico,88101-8381,35,1,2,2,2095.910467,1539,2537719,21933322,13734556,0.21410763,157,89,149,84,4717,116,66,702,15,8,294,19,11,2619,112,768,1560,,,,23769122,29960187,2838555,27121632,2122773,,,27121632,,,104,,,,,1,37,,,,,,104,5,0.055555556,1884,4282,991,,,991,3291,,,3291,4282,,,4282,34,92,248,1152,2434,,322,0,21,308,162,146,148,92,41,55,17,1,,,,,,,,,,,,,21,308,162,146,148,92,41,55,17,1,,549,160,214,303,438,258,196,420,441,312,,,,,,,,,,,,,549,160,214,303,438,258,196,420,441,312,,,,,,,,,,,,,,,,,,,,,,,,,50,119,2.385598087,5.677723446,372,44113.9,8.206457418,0.295857988,50,-103.16821,34.400462,
1824,187648,187648,1,Eastern New Mexico University-Main Campus,Eastern New Mexico University,Portales,New Mexico,88130,35,1,2,2,3996.846145,4173,14183548,66616192,49036647,0.131874267,684,98,369,53,4830,512,73,2166,513,74,1851,243,35,4544,1038,2514,8064,1038,2922,8454,69865777,120983869,25977754,95006115,4347313,,,95006115,,,21,517,125,,,82,0,1,,,,,663,140,0.24137931,1313,4754,2807,222,222,3029,1947,623,623,2570,4754,845,845,5599,198,49,276,1570,3018,,331,157,37,993,773,463,227,121,79,80,34,0,0,,,1,58,82,31,16,16,18,0,,37,993,774,521,309,152,95,96,52,0,0,413,78,120,206,269,202,173,265,198,21,2,,,0,38,138,76,101,142,122,6,,413,78,120,244,407,278,274,407,320,27,2,1841,879,962,1226,600,626,634,348,286,1841,1226,622,12,17,23,16,22,16,22,420,540,410,540,160,124,4.003156344,3.802998526,733,52818.2875,14.03606693,0.512820513,160,-103.346946,34.175925,
-187666,187666,187666,0,Eastern New Mexico University-Roswell Campus,Eastern New Mexico University-Roswell Campus,Roswell,New Mexico,88203,35,1,2,2,2477.099655,2487,4668497,32915258,21729251,0.07453191,437,86,333,66,4671,293,58,974,18,4,2255,56,11,2995,125,1160,4088,,,,35012372,57354467,8027946,49326521,1699854,,,49326521,,,301,,,,,281,88,0,,,,,301,102,0.233409611,1210,4347,1532,,,1532,2815,,,2815,4347,,,4347,127,40,101,1909,1965,,204,1,84,462,348,188,179,100,69,66,34,2,0,,,,,,,,,,,,84,462,348,188,179,100,69,66,34,2,0,303,222,136,264,380,323,257,479,415,32,4,,,,,,,,,,,,303,222,136,264,380,323,257,479,415,32,4,,,,,,,,,,,,,,,,,,,,,,,,61,172,2.462557365,6.943604374,422,46049.09836,9.68875029,0.261802575,61,-104.524257,33.314281,
-187745,187745,187745,0,Institute of American Indian and Alaska Native Culture,,Santa Fe,New Mexico,87508-1300,35,1,2,2,272.46059,269,818084,15430332,1964814,1.299602486,35,78,16,36,3914,5,11,1073,26,58,1167,8,18,2161,200,2400,2400,,,,15858671,64622788,12595372,52027416,1400000,,,52027416,,,4,20,,,,,,,,,,,24,5,0.208333333,211,323,220,,,220,130,,,130,350,,,350,293,2,2,11,15,0,26,1,14,43,35,40,33,23,8,14,9,1,,,,,,,,,,,,,14,43,35,40,33,23,8,14,9,1,,57,8,8,15,13,8,2,7,11,1,,,,,,,,,,,,,57,8,8,15,13,8,2,7,11,1,,,,,,,,,,,,,,,,,,,,,,,,,18,36,6.606460039,13.21292008,150,48851.77778,35.6014791,0.333333333,18,-106.010123,35.586741,
-187897,187897,187897,0,New Mexico Highlands University,New Mexico Highlands University,Las Vegas,New Mexico,87701,35,1,2,2,2781.313519,2860,10063151,59317405,42748778,0.130157443,367,97,211,56,4817,125,33,1252,225,59,1708,133,35,3793,596,2165,3732,20,2938,4526,73713160,115546525,42924667,72621858,25528918,,,72621858,,,2,355,357,,,,,,,,,,714,48,0.19047619,811,2257,1622,575,575,2197,635,907,907,1542,2257,1482,1482,3739,255,49,200,1870,1094,,150,121,4,433,386,365,190,91,58,61,34,0,,,,3,78,179,86,67,94,64,4,,4,433,389,443,369,177,125,155,98,4,,44,39,36,90,92,71,66,105,74,18,,,,0,34,181,141,135,201,171,44,,44,39,36,124,273,212,201,306,245,62,,,,,,,,,,,,,,,,,,,,,,,,,143,10,5.141455612,4.350462441,678,52844.92908,18.94788187,0.541666667,141,-105.21741,35.59518,
-187903,187903,187903,0,New Mexico Junior College,New Mexico Junior College,Hobbs,New Mexico,88240,35,1,2,2,1491.970932,2106,3907151,35353186,27830719,,305,82,253,68,3932,119,32,972,84,23,3507,79,21,4488,360,1128,1248,,,,33040572,80149019,6535532,73613487,4683972,,,73613487,,,179,,,,,50,6,,,,,,179,75,0.243506494,650,3439,1077,,,1077,1236,,,1236,2313,,,2313,18,33,156,793,1164,43,77,29,263,400,135,97,66,40,38,23,13,2,,,,,,,,,,,,,263,400,135,97,66,40,38,23,13,2,,422,139,106,92,82,91,90,79,83,52,,,,,,,,,,,,,422,139,106,92,82,91,90,79,83,52,,,,,,,,,,,,,,,,,,,,,,,,,76,25,5.093933023,1.675635863,331,48814,17.2925621,0.752475248,76,-103.180332,32.760008,
