groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-197814,197814,197814,0,College of the Albemarle,College of the Albemarle,Elizabeth City,North Carolina,27906-2327,37,1,2,2,1609.626282,1907,3258760,18131914,16145951,0.273945918,134,63,115,54,4648,77,36,1881,8,4,1167,0,0,,90,1600,7722,,,,22070833,42745804,1463642,41282162,2434007,,,41282162,,,225,,,,,239,68,,,,,,225,43,0.221649485,1399,2769,1010,,,1010,1786,,,1786,2796,,,2796,27,1,584,60,2044,7,71,2,25,336,139,132,129,87,43,76,43,0,,,,,,,,,,,,,25,336,139,132,129,87,43,76,43,0,,252,285,238,239,213,137,123,163,128,8,,,,,,,,,,,,,252,285,238,239,213,137,123,163,128,8,,,,,,,,,,,,,,,,,,,,,,,,,84,210,5.218602662,13.04650665,455,41976.21429,11.67972977,0.285714286,84,-76.220571,36.322237,
-197832,197832,197832,0,The Art Institute of Charlotte,,Charlotte,North Carolina,28217-4536,37,3,2,2,876.857108,1115,22547805,25923944,22547805,0.012190588,186,97,136,71,6111,8,4,698,49,26,737,172,90,10841,250,21888,21888,,,,21491733,7519418,2810986,,,,,,,,104,85,,,,,19,,,,,,189,,,389,1049,781,,,781,244,,,244,1025,,,1025,6,22,375,57,432,,133,0,3,265,236,133,77,31,14,15,3,,4,,,,,,,,,,,,3,265,236,133,77,31,14,15,3,,4,5,18,46,53,50,26,17,20,6,,3,,,,,,,,,,,,5,18,46,53,50,26,17,20,6,,3,659,241,418,264,96,168,242,86,156,659,264,171,71,,,,,,,,,,,41,30,4.675790346,3.421310009,162,39931.02439,14.1414147,0.577464789,41,-80.926183,35.183463,
-197850,197850,197850,0,South Piedmont Community College,South Piedmont Community College,Polkton,North Carolina,28135,37,1,2,2,1475.893089,2031,3227966,19169547,16312475,0.039168318,66,49,62,46,3657,36,27,1840,0,0,,0,0,,138,1600,7722,,,,21910173,23982466,1485393,22497073,2413160,,,22497073,,,148,,,,,210,70,,,,,,148,31,0.213793103,721,2736,839,,,839,1897,,,1897,2736,,,2736,15,35,686,113,1801,,82,4,13,230,166,74,83,90,65,76,42,0,,,,,,,,,,,,,13,230,166,74,83,90,65,76,42,0,,366,266,209,165,221,155,156,249,104,6,,,,,,,,,,,,,366,266,209,165,221,155,156,249,104,6,,,,,,,,,,,,,,,,,,,,,,,,,83,179,5.623713575,12.12824976,394,46098.25301,13.14458354,0.316793893,83,-80.21126,35.00045,
-197869,197869,197869,0,Appalachian State University,Appalachian State University,Boone,North Carolina,28608,37,1,2,2,15694.31239,16534,88878573,337089139,227256683,0.126342476,1783,65,515,19,4574,924,34,3019,732,27,1984,1270,46,4936,2150,2341,12962,2180,2779,13193,337577880,605191400,240866324,364325076,20944721,,,364325076,,,,3000,768,10,,,,,43,50,,50,3778,1653,0.659353809,3873,14872,14116,807,807,14923,756,1289,1289,2045,14872,2096,2096,16968,57,194,545,392,15013,147,494,126,46,5213,5757,2427,440,105,54,58,16,0,,,,9,458,225,58,20,21,16,0,,46,5213,5766,2885,665,163,74,79,32,0,,5,17,68,227,152,85,75,75,48,4,,,,0,102,299,212,209,316,146,5,,5,17,68,329,451,297,284,391,194,9,,13182,6091,7091,7655,3501,4154,2781,1360,1421,13182,7655,2773,8,22,26,21,27,22,27,550,630,530,620,824,334,5.250309665,5.065529349,3327,69824.65777,15.69358338,0.508956146,824,-81.679239,36.214908,
-197887,197887,197887,0,Asheville-Buncombe Technical Community College,Asheville-Buncombe Technical Community College,Asheville,North Carolina,28801-4897,37,1,2,2,4067.90451,6419,8533885,47746628,40728180,0.037510817,324,72,177,39,4260,130,29,1245,10,2,1197,107,24,3442,55,1200,5791,,,,55450709,79091536,5035658,74055878,5798514,,,74055878,,,587,,,,,282,148,,,,,,587,103,0.293447293,3662,7573,2312,,,2312,5230,,,5230,7542,,,7542,54,78,432,232,6338,,391,17,52,613,395,319,366,193,153,151,68,2,,,,,,,,,,,,,52,613,395,319,366,193,153,151,68,2,,1047,758,554,598,702,496,339,462,255,19,,,,,,,,,,,,,1047,758,554,598,702,496,339,462,255,19,,,,,,,,,,,,,,,,,,,,,,,,,175,536,4.301969222,13.17631716,1048,46889.00581,9.660993739,0.246132208,172,-82.554561,35.571594,
-197911,197911,197911,0,Barton College,Barton College,Wilson,North Carolina,27893-7000,37,2,2,2,984.249961,1049,20107736,24249377,23989156,0.198484951,230,100,112,49,5197,185,80,4502,228,99,8871,181,79,8439,1548,19100,19100,,,,25346012,59768241,24537467,35230774,3170668,,,35230774,,21791574,,220,,,,,,,,,,,220,95,0.365384615,372,1150,877,,,877,273,,,273,1150,,,1150,7,18,297,20,673,23,87,25,15,381,300,99,35,20,9,13,3,0,2,,,,,,,,,,,,15,381,300,99,35,20,9,13,3,0,2,0,1,3,13,48,50,47,69,33,6,3,,,,,,,,,,,,0,1,3,13,48,50,47,69,33,6,3,2681,947,1734,1360,470,890,230,74,156,2681,1360,230,0,17,20,15,21,16,20,420,560,400,550,67,35,6.807213884,3.556007253,220,48152.62687,16.8656344,0.656862745,67,-77.91171,35.73685,
-197966,197966,197966,0,Beaufort County Community College,Beaufort County Community College,Washington,North Carolina,27889,37,1,2,2,1333.621624,1765,2042872,15031733,12543656,0.04518149,193,72,179,67,4141,90,33,1781,10,4,571,11,4,5227,64,1600,7722,,,,18713193,17976632,968105,17008527,369900,,,17008527,,,184,,,,,57,68,,,,,,184,33,0.12267658,956,1924,1014,,,1014,952,,,952,1966,,,1966,7,1,678,47,1186,,47,0,10,243,150,121,180,97,93,83,35,2,,,,,,,,,,,,,10,243,150,121,180,97,93,83,35,2,,207,92,102,89,95,92,78,111,75,11,,,,,,,,,,,,,207,92,102,89,95,92,78,111,75,11,,,,,,,,,,,,,,,,,,,,,,,,,59,140,4.424043442,10.4977302,319,45745.01695,11.77245458,0.296482412,59,-77.006743,35.542053,
-197984,197984,197984,0,Belmont Abbey College,Belmont Abbey College,Belmont,North Carolina,28012-1802,37,2,2,2,1568.785698,1538,24136639,26761146,27704482,0.418720974,280,71,117,30,3766,139,35,5764,245,62,12805,219,55,5489,2156,20356,20356,,,,24039767,19898401,10047797,9850604,,,,9850604,,7516138,,305,,,,,,,,,,,305,64,0.367816092,576,1638,1524,,,1524,114,,,114,1638,,,1638,8,29,436,75,900,,147,43,6,393,293,156,133,127,153,190,69,,4,,,,,,,,,,,,6,393,293,156,133,127,153,190,69,,4,0,2,2,8,16,13,24,32,17,,0,,,,,,,,,,,,0,2,2,8,16,13,24,32,17,,0,1763,833,929,1321,620,701,403,173,230,1763,1321,396,7,20,28,20,28,19,25,450,570,440,580,69,63,4.398306288,4.015844872,257,41912.17391,11.09138107,0.522727273,69,-81.04254,35.26361,
-197993,197993,197993,0,Bennett College for Women,Bennett College for Women,Greensboro,North Carolina,27401-3239,37,2,2,2,731.392849,731,10472283,21648200,14211929,0.153297232,229,99,178,77,5025,106,46,4252,83,36,3366,216,94,10656,1976,13258,13258,,,,22599352,46863908,26140554,20723354,3920008,,,20723354,,9780425,,79,,,,,,,,,,,79,80,0.465116279,264,766,709,,,709,57,,,57,766,,,766,0,1,749,4,2,,6,4,51,347,232,60,12,3,2,1,1,,0,,,,,,,,,,,,51,347,232,60,12,3,2,1,1,,0,43,3,2,3,0,0,0,0,0,,6,,,,,,,,,,,,43,3,2,3,0,0,0,0,0,,6,1396,0,1396,636,0,636,195,0,195,1396,636,192,3,,,,,,,,,,,60,26,8.203525654,3.554861117,219,44531.36667,23.10659726,0.697674419,60,-79.780371,36.069338,
-198011,198011,198011,0,Bladen Community College,Bladen Community College,Dublin,North Carolina,28332,37,1,2,2,1173.932548,1520,2126742,11135210,8584576,,146,86,141,83,4954,65,38,1828,2,1,1375,0,0,,82,1400,6756,,,,15753896,10118334,823938,9294396,78163,,,9294396,,,139,,,,,96,19,,,,,,139,20,0.141843972,614,1699,904,,,904,804,,,804,1708,,,1708,253,1,734,25,670,,25,0,18,171,136,114,141,104,89,83,47,1,,,,,,,,,,,,,18,171,136,114,141,104,89,83,47,1,,42,84,85,98,112,108,91,119,59,6,,,,,,,,,,,,,42,84,85,98,112,108,91,119,59,6,,,,,,,,,,,,,,,,,,,,,,,,,43,89,3.662902104,7.581355518,208,48258.83721,8.603560756,0.325757576,43,-78.73189,34.64604,
-198039,198039,198039,0,Blue Ridge Community College,Blue Ridge Community College (NC),Flat Rock,North Carolina,28731-4728,37,1,2,2,1344.139114,2174,3308607,18527780,16912666,0.114298555,124,66,103,55,4668,73,39,1790,36,19,828,10,5,602,95,1600,7722,,,,21679522,32302437,1360693,30941744,1590270,,,30941744,,,188,,,,,60,32,,,,,,188,28,0.170731707,740,2488,766,,,766,1722,,,1722,2488,,,2488,10,22,110,126,2172,,47,1,15,276,122,64,78,48,47,62,45,1,8,,,,,,,,,,,,15,276,122,64,78,48,47,62,45,1,8,274,272,207,219,207,142,109,153,115,18,6,,,,,,,,,,,,274,272,207,219,207,142,109,153,115,18,6,,,,,,,,,,,,,,,,,,,,,,,,70,239,5.207794288,17.78089764,441,51515.37143,12.49870629,0.226537217,70,-82.425742,35.307659,
-198066,198066,198066,0,Brevard College,Brevard College,Brevard,North Carolina,28712,37,2,2,2,650.85714,638,13146161,20550125,19508769,0.473158818,187,98,65,34,5042,95,50,4045,187,98,8586,159,84,7185,0,20900,20900,,,,18208891,50607663,18448380,32159283,2399442,,,32159283,,19559547,,132,,,,,,,,,,,132,51,0.34,237,663,643,,,643,20,,,20,663,,,663,6,2,76,11,505,,42,21,8,275,242,87,13,7,3,7,1,0,0,,,,,,,,,,,,8,275,242,87,13,7,3,7,1,0,0,3,0,0,5,2,2,0,1,2,1,4,,,,,,,,,,,,3,0,0,5,2,2,0,1,2,1,4,1194,684,510,684,393,291,189,121,68,1194,684,186,3,16,21,15,21,16,21,430,550,420,540,55,40,8.450395121,6.453029001,218,44496.36364,23.96839343,0.567010309,55,-82.72968,35.236502,
2598,198075,198075,1,Brookstone College,,Charlotte,North Carolina,28262,37,3,2,2,91,503,3641938,3691020,3641938,,168,73,129,56,3171,0,0,,0,0,,146,64,4088,,,,,,,4787523,,,,,,,,,,,,,,,49,133,,,,,,,,,,,91,,,91,,,,,91,,,91,0,0,64,4,20,,3,0,1,3,11,15,17,11,7,12,8,,6,,,,,,,,,,,,1,3,11,15,17,11,7,12,8,,6,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,0,142,12,130,142,12,130,142,12,130,142,142,156,0,,,,,,,,,,,13,11,14.28571429,12.08791209,49,,36.26373626,0.541666667,,-80.741268,35.327138,
-198084,198084,198084,0,Brunswick Community College,Brunswick Community College,Supply,North Carolina,28462,37,1,2,2,1034.560756,1716,1666346,15080647,13634910,0.051657339,153,69,131,59,4061,124,56,1287,15,7,431,0,0,,100,1600,7720,,,,17731811,46188415,846745,45341670,1358229,,,45341670,,,144,,,,,109,68,,,,,,144,38,0.258503401,743,1558,770,,,770,788,,,788,1558,,,1558,13,8,222,42,1224,,49,0,26,311,147,71,76,40,39,40,19,1,,,,,,,,,,,,,26,311,147,71,76,40,39,40,19,1,,188,79,77,77,94,68,65,90,45,5,,,,,,,,,,,,,188,79,77,77,94,68,65,90,45,5,,,,,,,,,,,,,,,,,,,,,,,,,49,743,4.736309561,71.81791844,1126,35983.08163,13.91895055,0.061868687,49,-78.235515,34.042604,
-198109,198109,198109,0,Cabarrus College of Health Sciences,,Concord,North Carolina,28025,37,2,2,2,293.107113,321,3440927,7674138,6237709,0.012393172,19,100,8,42,3911,19,100,3611,10,53,714,11,58,4705,290,9660,9660,,,,5152853,,,,,,,,,,106,21,,,,261,13,,,,,,127,,,192,420,211,,,211,209,,,209,420,,,420,5,9,38,13,350,5,0,0,3,35,48,45,30,17,14,13,6,,,,,,,,,,,,,,3,35,48,45,30,17,14,13,6,,,0,8,31,41,47,27,23,29,3,,,,,,,,,,,,,,0,8,31,41,47,27,23,29,3,,,49,4,45,43,3,40,21,2,19,49,43,17,4,19,21,17,22,19,24,450,520,480,560,26,9,8.870477326,3.070549844,58,54820.96154,16.37626583,0.742857143,26,-80.600994,35.439054,
