groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
2602,200013,200013,1,Rasmussen College-Fargo,,Fargo,North Dakota,58103-7196,38,3,2,2,1206.071282,1796,25060793,22211732,25060793,0.113685988,69,100,51,74,4116,25,36,783,69,100,1096,63,91,7599,60,13140,13140,,,,20197930,5353013,2812266,,,,,,,,256,81,,,,0,11,,,,,,337,,,553,1849,803,,,803,1026,,,1026,1829,,,1829,52,9,53,37,1662,11,0,5,1,35,94,175,239,122,52,66,19,,,,,,,,,,,,,,1,35,94,175,239,122,52,66,19,,,3,43,88,167,301,182,90,106,46,,,,,,,,,,,,,,3,43,88,167,301,182,90,106,46,,,,,,,,,,,,,,,,,,,,,,,,,,25,62,2.072845973,5.140658013,163,35000.68,7.959728536,0.287356322,25,-96.848666,46.849747,
-200022,200022,200022,0,Bismarck State College,Bismarck State College,Bismarck,North Dakota,58506-5587,38,1,2,2,3150.486944,3292,15893447,38470034,28534495,0.047392174,760,85,279,31,4534,308,35,1108,155,17,1318,572,64,5083,665,2691,7186,,,,39360769,43024363,11239160,31785203,791601,,,31785203,,,853,13,,,,4,163,,,,,,866,,,1257,4020,2710,,,2710,1312,,,1312,4022,,,4022,116,19,53,52,3396,20,357,9,13,1189,531,295,290,145,106,104,23,0,14,,,,,,,,,,,,13,1189,531,295,290,145,106,104,23,0,14,116,80,156,173,191,164,110,205,108,3,6,,,,,,,,,,,,116,80,156,173,191,164,110,205,108,3,6,,,,,,,,,,,,,,,,,,,,,,,,113,173,3.586747129,5.49121463,481,46610.31858,9.300149634,0.395104895,113,-100.816808,46.820748,
-200059,200059,200059,0,Dickinson State University,Dickinson State University,Dickinson,North Dakota,58601-4896,38,1,2,2,2188.43671,2129,14710315,28798954,25913754,0.27447502,263,86,108,35,4187,59,19,1206,139,45,1415,165,54,5514,1089,4160,11106,,,,29571623,49983085,3040748,46942337,2310007,,,46942337,,,48,571,,,,79,0,,,,,,619,122,0.410774411,707,2767,1797,,,1797,970,,,970,2767,,,2767,57,19,41,55,1796,9,397,393,15,454,664,410,145,45,29,27,8,0,,,,,,,,,,,,,15,454,664,410,145,45,29,27,8,0,,250,58,54,112,136,76,60,106,108,10,,,,,,,,,,,,,250,58,54,112,136,76,60,106,108,10,,,,,,,,,,,,,,,,,,,,,,,,,95,138,4.340998283,6.30587119,395,51499.45263,11.37798497,0.407725322,95,-102.80036,46.881952,
-200086,200086,200086,0,Fort Berthold Community College,,New Town,North Dakota,58763,38,1,2,2,228.010391,231,599041,8378958,674108,0.167552805,28,70,27,68,4231,11,28,1091,14,35,1556,0,0,,600,3240,3240,,,,5940833,10608370,1976545,8631825,9990,,,8631825,,,23,,,,,,7,,,,,,23,5,0.128205128,115,323,180,,,180,143,,,143,323,,,323,298,0,0,3,22,0,0,0,0,32,22,25,36,25,13,21,4,0,2,,,,,,,,,,,,0,32,22,25,36,25,13,21,4,0,2,19,10,4,5,17,10,13,29,24,6,6,,,,,,,,,,,,19,10,4,5,17,10,13,29,24,6,6,,,,,,,,,,,,,,,,,,,,,,,,13,8,5.701494543,3.508612026,57,36203.15385,21.49024866,0.619047619,13,-102.472574,47.981607,
-200129,200129,200129,0,Headquarters Academy of Hair Design Inc,,Minot,North Dakota,58701-3914,38,3,2,2,63,62,486989,619836,486989,,37,73,31,61,4328,4,8,2924,0,0,,31,61,7310,,,,,,,296659,,,,,,,,,,,,,,,,,21,,,,,,15,0.46875,,,63,,,63,,,,,63,,,63,7,0,6,1,49,0,0,0,1,14,14,14,10,3,5,,2,,,,,,,,,,,,,,1,14,14,14,10,3,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,4,,6.349206349,,6,,9.523809524,1,,-101.293097,48.235288,
-200156,200156,200156,0,Jamestown College,Jamestown College,Jamestown,North Dakota,58405,38,2,2,2,963.249989,1032,13642960,19975488,20428099,0.375541232,232,100,67,29,5171,59,25,1392,232,100,7176,186,80,7081,420,14432,14432,,,,15757374,62782226,9492172,53290054,1380359,,,53290054,,28615508,,167,5,,,,,,,,,,172,104,0.454148472,336,1010,933,,,933,77,,,77,1010,,,1010,10,15,16,19,896,,1,53,3,399,375,131,14,7,0,2,1,1,,,,,,,,,,,,,3,399,375,131,14,7,0,2,1,1,,6,20,3,9,12,5,5,7,10,0,,,,,,,,,,,,,6,20,3,9,12,5,5,7,10,0,,898,556,342,602,333,269,241,118,123,898,602,233,8,20,25,18,25,19,25,400,570,400,520,57,25,5.917466976,2.595380253,183,48370,15.05320547,0.695121951,57,-98.700552,46.903156,
2603,200165,200165,1,Josef's School of Hair Design Inc,,Fargo,North Dakota,58102,38,3,2,2,157,275,1140682,1642932,1140682,,87,81,60,56,3826,0,0,,0,0,,87,81,6268,,,,,,,1644830,,,,,,,,,,,,,,,26,,69,,,,,,96,0.615384615,,,157,,,157,,,,,157,,,157,0,1,3,0,152,0,1,0,2,73,39,25,6,1,3,5,,,3,,,,,,,,,,,,2,73,39,25,6,1,3,5,,,3,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,10,1,6.369426752,0.636942675,16,,9.554140127,0.909090909,,-96.789046,46.875967,
-200192,200192,200192,0,Lake Region State College,Lake Region State College,Devils Lake,North Dakota,58301-1598,38,1,2,2,896.913244,987,4738293,12729982,9068313,0.063766213,158,86,76,42,4190,59,32,1124,85,46,1052,106,58,4873,843,3065,3065,,,,12258577,9464111,2868124,6595987,17000,,,6595987,,,159,,,,,54,38,,,,,,159,63,0.45323741,313,1702,490,,,490,1212,,,1212,1702,,,1702,49,17,45,32,1493,9,31,26,4,215,79,77,53,23,15,22,2,0,,,,,,,,,,,,,4,215,79,77,53,23,15,22,2,0,,455,140,145,145,110,72,36,64,41,4,,,,,,,,,,,,,455,140,145,145,110,72,36,64,41,4,,,,,,,,,,,,,,,,,,,,,,,,,30,10,3.344805108,1.114935036,102,46206.66667,9.365454303,0.75,30,-98.866022,48.126168,
-200208,200208,200208,0,Cankdeska Cikana Community College,,Fort Totten,North Dakota,58335,38,1,2,2,174.938281,199,796817,12004342,1149752,0.201190487,24,80,24,80,2720,10,33,705,16,53,820,0,0,,200,2280,2280,,,,3641446,13035526,398219,12637307,462583,,,12637307,,,24,,,,,,7,,,,,,24,2,0.074074074,56,250,137,,,137,113,,,113,250,,,250,241,0,0,0,9,0,0,0,40,8,13,18,16,13,15,11,3,,,,,,,,,,,,,,40,8,13,18,16,13,15,11,3,,,29,15,7,15,11,11,12,9,4,,,,,,,,,,,,,,29,15,7,15,11,11,12,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,9.146082783,0.571630174,77,31901.1875,41.7290027,0.941176471,16,-98.9906,47.97806,
-200217,200217,200217,0,University of Mary,University of Mary,Bismarck,North Dakota,58504,38,2,2,2,2390.218051,3099,34588887,36916952,40818103,0.226718772,312,100,84,27,5376,104,33,2460,312,100,5247,230,74,7036,224,12360,12360,72,10320,10320,36616858,88023621,8618378,79405243,4948628,,,79405243,,36105076,1,525,390,,30,,,,,,,,946,204,0.474418605,583,2137,1554,462,462,2016,583,380,380,963,2137,842,842,2979,125,28,88,40,2483,10,147,58,1,402,578,365,112,29,31,22,5,0,9,,,5,89,104,70,49,87,52,1,5,1,402,583,454,216,99,80,109,57,1,14,20,45,16,68,105,81,72,98,34,1,43,,,0,45,89,57,61,64,28,2,34,20,45,16,113,194,138,133,162,62,3,77,924,380,544,723,278,445,312,120,192,924,723,312,0,20,25,19,25,18,25,440,560,410,500,95,176,3.974532782,7.990902751,462,49989.57895,10.83583148,0.332167832,95,-100.745539,46.722271,
