groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-200590,200590,200590,0,ETI Technical College,,Niles,Ohio,44446-4398,39,3,2,2,221.132278,304,3602661,3611085,3622606,0.004325414,35,100,29,83,5874,0,0,,6,17,1153,29,83,6410,323,7248,7248,,,,2908396,2632468,1964988,,,,,,,,50,,,,,,44,,,,,,50,58,0.716049383,183,276,185,,,185,91,,,91,276,,,276,0,2,52,5,217,,0,0,,33,19,22,41,42,10,15,3,,,,,,,,,,,,,,,33,19,22,41,42,10,15,3,,,,8,12,8,17,17,10,10,9,,,,,,,,,,,,,,,8,12,8,17,17,10,10,9,,,77,55,22,69,50,19,69,50,19,77,69,38,31,,,,,,,,,,,8,15,3.617744127,6.783270238,33,28596.125,8.139924285,0.347826087,8,-80.722672,41.186819,
-200624,200624,200624,0,The Art Institute of Cincinnati,,Cincinnati,Ohio,45246-3322,39,3,2,2,44,85,972783,934718,972783,0.039130001,18,82,11,50,4708,0,0,,3,14,2792,18,82,7087,300,13947,13947,,,,849758,1015615,675064,,,,,,,,27,,,,,,,,,,,,27,23,0.851851852,24,56,44,,,44,,,,,44,,,44,0,0,7,2,35,0,0,0,,22,11,3,5,,2,1,,,,,,,,,,,,,,,,22,11,3,5,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,0,,,,64,41,23,59,37,22,24,13,11,64,59,24,0,,,,,,,,,,,5,3,11.36363636,6.818181818,14,26126.8,25,0.625,5,-84.451266,39.286305,
2604,200633,200633,1,Academy of Court Reporting and Technology-Cleveland,,Cleveland,Ohio,44115,39,3,2,2,1004.970244,1268,17505130,18136596,17505130,,67,96,57,81,4902,0,0,,0,0,,62,89,7903,75,12168,12168,,,,19598410,6487279,2009561,,,,,,,,178,,,,,,35,2,,,,,178,12,0.133333333,230,1159,839,,,839,418,,,418,1257,,,1257,4,4,610,31,416,10,175,7,,27,77,99,167,95,96,119,45,3,111,,,,,,,,,,,,,27,77,99,167,95,96,119,45,3,111,,12,20,40,67,73,52,64,43,3,44,,,,,,,,,,,,,12,20,40,67,73,52,64,43,3,44,109,23,86,82,9,73,82,9,73,109,82,257,68,,,,,,,,,,,25,129,2.487635843,12.83620095,217,33714.5,8.159445565,0.162337662,12,-81.675822,41.50152,
-200697,200697,200697,0,Air Force Institute of Technology-Graduate School of Engineering & Management,,Wright Patterson AFB,Ohio,45433-7765,39,1,2,-1,664.106372,850,,,,,,,,,,,,,,,,,,,,,,0,15600,15600,,,,,,,,,,,,,288,24,,,,,,,,,312,,,,,,633,633,633,,86,86,86,,719,719,719,0,1,0,1,37,0,649,31,,,,,,,,,,,,,,1,81,188,140,97,30,1,,95,,,1,81,188,140,97,30,1,,95,,,,,,,,,,,,,,0,7,35,16,8,16,2,,2,,,0,7,35,16,8,16,2,,2,,,,,,,,,,,,,,,,,,,,,,,,132,10,19.87633391,1.505782872,274,87895.56154,39.60208953,0.929577465,130,-84.089135,39.776423,
-200785,200785,200785,0,Akron Institute of Herzing University,,Akron,Ohio,44306-3931,39,3,2,2,677.1174,1114,15636166,15453884,15636166,0.011657717,164,97,153,91,5613,0,0,,106,63,83,163,96,12135,70,14192,14192,,,,6859880,10088654,7009811,,,,,,,,161,,,,,,37,,,,,,161,,,242,858,558,,,558,300,,,300,858,,,858,2,5,403,9,342,,97,0,,26,64,101,131,99,66,52,19,,,,,,,,,,,,,,,26,64,101,131,99,66,52,19,,,,3,28,54,85,53,38,28,11,,,,,,,,,,,,,,,3,28,54,85,53,38,28,11,,,,,,,,,,,,,,,,,,,,,,,,,,28,29,4.135176559,4.282861436,91,35301.03571,6.941189224,0.49122807,28,-81.491582,41.028148,
2196,200800,200800,1,University of Akron Main Campus,University of Akron,Akron,Ohio,44325-4702,39,1,2,2,22964.03181,24050,235381790,430925624,360011357,0.18371422,4031,89,1923,42,4751,1340,30,1070,1660,37,4847,3123,69,6676,1407,7345,16593,1186,6570,11250,442296923,1000925231,537327189,463598042,83933553,,,463598042,,,448,2547,1035,87,144,145,,,0,47,,47,4261,1032,0.387242026,6647,23210,17645,2293,2293,19938,5545,2339,2339,7884,23190,4632,4632,27822,63,513,3439,313,20638,,1915,941,194,5811,5581,3622,1284,485,284,284,99,0,1,,,38,892,846,245,116,116,39,1,,194,5811,5619,4514,2130,730,400,400,138,1,1,726,433,501,960,1124,589,399,522,276,14,1,,,2,211,746,454,299,387,232,8,,726,433,503,1171,1870,1043,698,909,508,22,1,,,,,,,,,,,,,,,,,,,,,,,,796,1041,3.466290269,10.31613272,5257,72449.38191,11.1957692,0.25150079,796,-81.51025,41.07637,
-200828,200828,200828,0,Akron School of Practical Nursing,,Akron,Ohio,44320-1736,39,1,2,2,72.371792,72,572494,718609,708494,,65,98,50,76,2650,24,36,1333,0,0,,48,73,3292,,,,,,,729453,,,,,,,,,,,,,,,,53,,,,,,,,,,,67,,,67,16,,,16,83,,,83,0,0,32,0,49,2,0,0,,5,8,10,14,10,20,0,,,,,,,,,,,,,,,,5,8,10,14,10,20,0,,,,,0,0,0,10,0,2,4,,,,,,,,,,,,,,,,0,0,0,10,0,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,4,10,5.527015277,13.81753819,17,,8.290522915,0.285714286,,-81.575851,41.086529,
-200873,200873,200873,0,Allegheny Wesleyan College,,Salem,Ohio,44460-9598,39,2,2,2,54.92857,48,271561,785379,568152,0.167273651,16,100,13,81,4331,4,25,288,6,38,1500,2,13,2500,0,4440,4440,,,,815806,1222624,259710,962914,183612,,,962914,,109746,,5,,,,0,,,,,,,5,2,0.117647059,23,61,51,,,51,10,,,10,61,,,61,0,0,0,0,61,,0,0,3,21,14,8,3,1,,0,1,,,,,,,,,,,,,,3,21,14,8,3,1,,0,1,,,2,2,1,1,1,0,,2,1,,,,,,,,,,,,,,2,2,1,1,1,0,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,7.282184845,7.282184845,20,13673.75,25.48764696,0.5,4,-80.86052,40.866906,
2605,201016,201016,1,Antonelli College,,Cincinnati,Ohio,45202,39,3,2,2,1066.382068,1829,22651613,22647813,22651613,0.000167758,199,83,187,78,3402,0,0,,8,3,163,180,75,8899,885,12600,12600,,,,21450356,11981922,9364213,,,,,,,,310,,,,,,5,,,,,,310,53,0.317365269,538,1261,929,,,929,346,,,346,1275,,,1275,0,6,740,16,508,0,5,0,6,113,139,165,191,112,68,60,19,1,55,,,,,,,,,,,,6,113,139,165,191,112,68,60,19,1,55,0,31,40,55,67,51,43,31,26,1,1,,,,,,,,,,,,0,31,40,55,67,51,43,31,26,1,1,,,,,,,,,,,,,,,,,,,,,,,,62,89,5.814051254,8.345976801,230,32669.43548,12.84717777,0.410596026,62,-84.510656,39.104128,
-201034,201034,201034,0,Apollo Career Center,,Lima,Ohio,45806-1497,39,1,2,2,370.615264,319,3024737,3644389,3400668,,650,87,150,20,3051,275,37,3261,15,2,1000,10,1,7000,,,,,,,3729488,,,,,,,,,,,,,,,525,124,,,,,,,,,,,145,,,145,672,,,672,817,,,817,0,4,52,5,698,5,51,2,0,9,18,19,27,19,16,26,11,0,,,,,,,,,,,,,0,9,18,19,27,19,16,26,11,0,,6,24,38,64,73,105,139,102,114,7,,,,,,,,,,,,,6,24,38,64,73,105,139,102,114,7,,,,,,,,,,,,,,,,,,,,,,,,,11,254,2.968037496,68.53468399,276,,4.586967039,0.041509434,,-84.15111,40.691757,
