groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
2622,206783,206783,1,American Broadcasting School,,Oklahoma City,Oklahoma,73115,40,3,2,2,141,190,1986895,1994702,1994702,,75,69,56,52,4462,2,2,1759,0,0,,69,64,3775,,,,,,,1589640,,,,,,,,,,,,,,,,63,,,,,,,,,,,141,,,141,,,,,141,,,141,2,0,56,11,69,0,3,0,,11,16,23,51,20,13,5,2,,,,,,,,,,,,,,,11,16,23,51,20,13,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,7,,4.964539007,,14,,9.219858156,1,,-97.436203,35.435314,
-206817,206817,206817,0,Bacone College,Bacone College,Muskogee,Oklahoma,74403-1597,40,2,2,2,925.678549,972,5630227,15147264,13851533,0.686522764,204,100,133,65,3602,64,31,2734,190,93,5200,175,86,6577,2000,9700,9700,,,,13133751,21620078,4915436,16704642,3446188,,,16704642,,4472221,64,64,,,,,,,,,,,128,11,0.244444444,445,1021,864,,,864,157,,,157,1021,,,1021,308,4,247,51,371,2,38,0,2,274,219,172,89,39,29,25,14,1,,,,,,,,,,,,,2,274,219,172,89,39,29,25,14,1,,1,3,2,14,30,31,30,28,18,0,,,,,,,,,,,,,1,3,2,14,30,31,30,28,18,0,,481,262,219,373,239,134,222,129,93,481,373,206,16,16,19,14,20,15,18,408,483,398,470,23,58,2.48466382,6.265673982,200,42755.95652,14.25980975,0.283950617,23,-95.333776,35.775621,
-206835,206835,206835,0,Oklahoma Wesleyan University,Oklahoma Wesleyan University,Bartlesville,Oklahoma,74006-6299,40,2,2,2,750.643563,977,13423765,15360164,16067483,0.211502287,114,99,54,47,5234,23,20,3564,112,97,7542,107,93,8205,1100,16870,16870,1168,8100,8100,14219994,25742681,4034305,21708376,1499939,,,21708376,,1345639,18,296,31,,,,,,,,,,345,46,0.418181818,271,987,540,6,6,546,447,76,76,523,987,82,82,1069,104,12,95,34,762,,43,19,0,118,175,106,31,28,28,38,14,0,2,,,,0,1,2,2,0,1,,,0,118,175,106,32,30,30,38,15,0,2,9,20,2,26,66,64,72,120,67,1,0,,,,7,18,11,11,19,10,,,9,20,2,33,84,75,83,139,77,1,0,,,,,,,,,,,,,,,,,,,,,,,,22,,2.930818445,,96,46876.36364,11.72327378,1,22,-95.953337,36.717485,
-206862,206862,206862,0,Southern Nazarene University,Southern Nazarene University,Bethany,Oklahoma,73008,40,2,2,2,2069.766592,2247,32073505,38479204,38979681,0.261777096,270,96,112,40,4510,68,24,3398,245,87,6904,183,65,6410,624,17040,17040,486,10224,10224,40318731,95972915,39390697,56582218,4004558,,,56582218,,41711163,3,497,236,,,,,,,,,,736,141,0.457792208,369,1653,1602,442,442,2044,51,15,15,66,1653,457,457,2110,123,46,233,107,1543,,6,52,7,383,422,272,183,127,62,103,42,1,,,,,33,76,81,77,114,55,3,3,7,383,422,305,259,208,139,217,97,4,3,1,1,3,15,12,8,3,5,3,0,,,,,1,3,3,2,4,2,0,0,1,1,3,16,15,11,5,9,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,72,129,3.478653114,6.232586829,515,51638.65278,14.63933185,0.358208955,72,-97.630095,35.511898,
2623,206880,206880,1,Broken Arrow Beauty College Inc,,Broken Arrow,Oklahoma,74012,40,3,2,2,102.176464,151,545883,628723,547259,,72,90,72,90,2874,0,0,,0,0,,70,88,4838,,,,,,,893161,,,,,,,,,,,,,,,14,61,,,,,,,,,,,99,,,99,8,,,8,107,,,107,11,1,9,3,77,6,0,0,1,18,21,13,12,18,9,3,4,,,,,,,,,,,,,,1,18,21,13,12,18,9,3,4,,,0,2,1,3,0,1,0,1,0,,,,,,,,,,,,,,0,2,1,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,5.872193816,2.936096908,15,,11.74438763,0.666666667,,-95.797456,36.049266,
-206905,206905,206905,0,Pontotoc Technology Center,,Ada,Oklahoma,74820,40,1,2,2,169.952703,314,638752,5363170,4408549,,44,39,35,31,2346,30,27,1206,34,30,2415,0,0,,,,,,,,4303330,,,,,,,,,,,,,,,,124,,,,,,,,,,,130,,,130,119,,,119,249,,,249,53,1,6,2,163,,24,0,0,35,19,18,15,11,6,8,5,1,12,,,,,,,,,,,,0,35,19,18,15,11,6,8,5,1,12,76,24,4,1,1,1,1,0,0,0,11,,,,,,,,,,,,76,24,4,1,1,1,1,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,13,,7.649186962,,49,,26.47795487,1,,-96.67007,34.75137,
-206914,206914,206914,0,Cameron University,Cameron University,Lawton,Oklahoma,73505,40,1,2,2,4789.668363,4767,26659655,53905352,49897699,0.332489036,723,88,375,46,4683,454,55,2029,161,20,3738,224,27,3923,1305,2805,8670,783,2183,6408,62604126,100254626,36219153,64035473,421978,,,64035473,,,178,584,84,,,,,,0,,,,846,92,0.16,1290,5704,3727,177,177,3904,1959,263,263,2222,5686,440,440,6126,499,202,946,487,3242,8,475,267,12,958,873,747,472,286,152,165,51,1,10,,,1,25,52,29,15,42,13,0,,12,958,874,772,524,315,167,207,64,1,10,114,173,149,289,406,254,187,264,97,15,11,,,0,20,67,41,35,63,36,1,,114,173,149,309,473,295,222,327,133,16,11,,,,,,,,,,,,,,,,,,,,,,,,183,146,3.820723819,3.92511518,771,50691.5082,10.27210994,0.493261456,183,-98.432172,34.608807,
-206923,206923,206923,0,Carl Albert State College,Carl Albert State College,Poteau,Oklahoma,74953-5208,40,1,2,2,1899.741031,2037,3125685,25577206,10077535,0.409607174,510,94,334,61,4906,186,34,1186,193,35,2845,129,24,3037,576,1224,1224,,,,20376952,29036529,9099882,19936647,1575213,,,19936647,,,427,,,,,6,51,,,,,,427,111,0.263657957,937,2488,1610,,,1610,863,,,863,2473,,,2473,655,25,82,60,1593,58,0,0,3,539,365,161,195,123,90,103,29,2,,,,,,,,,,,,,3,539,365,161,195,123,90,103,29,2,,110,130,93,118,122,91,82,88,26,3,,,,,,,,,,,,,110,130,93,118,122,91,82,88,26,3,,,,,,,,,,,,,,,,,,,,,,,,,56,69,2.947770201,3.632073997,330,39406.57143,11.15941576,0.448,56,-94.636797,35.039849,
-206932,206932,206932,0,Central State Beauty Academy,,Oklahoma City,Oklahoma,73162-6007,40,3,2,2,106.691146,124,1050482,1218666,1050482,,46,92,46,92,1823,0,0,,0,0,,28,56,4432,,,,,,,1219286,,,,,,,,,,,,,,,28,60,,,,,,,,,,,92,,,92,37,,,37,129,,,129,11,6,38,5,67,,1,1,,12,13,17,24,17,6,3,0,,,,,,,,,,,,,,,12,13,17,24,17,6,3,0,,,,0,5,5,18,7,1,0,1,,,,,,,,,,,,,,,0,5,5,18,7,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,3.749139596,2.811854697,17,,12.18470369,0.571428571,,-97.664708,35.569345,
-206941,206941,206941,0,University of Central Oklahoma,University of Central Oklahoma,Edmond,Oklahoma,73034,40,1,2,2,12721.44821,12800,64781359,161728599,130805171,0.081188325,1242,74,548,33,4432,500,30,3159,121,7,2393,665,40,5251,542,3681,10110,433,3892,9812,161137234,195123843,95108355,100015488,10920038,,,100015488,,,0,2326,450,,,,,2,,,,,2776,670,0.357142857,4088,14413,9875,639,639,10514,4538,1040,1040,5578,14413,1679,1679,16092,803,552,1487,734,9910,165,1561,880,62,2715,2964,2456,1027,315,151,146,35,0,4,,,4,240,201,76,47,57,14,,0,62,2715,2968,2696,1228,391,198,203,49,0,4,215,669,549,1002,900,425,285,350,128,10,5,,,2,131,313,157,133,185,118,,1,215,669,551,1133,1213,582,418,535,246,10,6,5181,2280,2901,3907,1719,2188,2208,969,1239,5181,3907,1669,539,19,24,19,24,17,23,,,,,445,411,3.498029411,4.464900461,1823,63164.62697,9.299255714,0.43928924,445,-97.474961,35.655897,
