groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-208080,208080,208080,0,Academy of Hair Design Inc,,Salem,Oregon,97301,41,3,2,2,71,92,616752,755384,616752,,34,97,26,74,3201,0,0,,0,0,,34,97,4338,,,,,,,239713,,,,,,,,,,,,,,,3,4,14,,,,,,25,0.609756098,,,71,,,71,,,,,71,,,71,4,0,2,12,53,,0,0,2,9,12,14,14,8,8,1,3,,,,,,,,,,,,,,2,9,12,14,14,8,8,1,3,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,4,,5.633802817,,8,,9.85915493,1,,-123.039766,44.941568,
-208123,208123,208123,0,Abdill Career College Inc,,Medford,Oregon,97504-7137,41,3,2,2,114,100,1309994,1309994,1309994,,141,87,134,82,3001,0,0,,0,0,,133,82,6232,,,,,,,870242,,,,,,,,,,,,,,,86,,,,,,,,,,,,114,,,114,,,,,114,,,114,6,1,0,8,99,0,0,0,,3,11,20,20,15,16,17,11,,1,,,,,,,,,,,,,3,11,20,20,15,16,17,11,,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,3,6,2.631578947,5.263157895,16,,8.771929825,0.333333333,,-122.863005,42.327864,
-208239,208239,208239,0,The Art Institute of Portland,,Portland,Oregon,97209-2911,41,3,2,2,1436.249885,1650,33138540,35375462,33138540,0.016635947,173,89,98,50,6080,0,0,,47,24,1392,159,82,8066,150,21015,21015,,,,24560897,13326274,5938625,,,,,,,,27,231,,,,,,,,,,,258,74,0.362745098,621,1899,1120,,,1120,805,,,805,1925,,,1925,35,120,47,141,1321,,261,0,2,261,278,269,199,59,16,12,2,0,22,,,,,,,,,,,,2,261,278,269,199,59,16,12,2,0,22,4,78,130,155,203,111,49,37,8,1,29,,,,,,,,,,,,4,78,130,155,203,111,49,37,8,1,29,1178,518,660,606,279,327,586,263,323,1178,606,339,247,,,,,,,,,,,39,105,2.715404917,7.310705546,250,41929.46154,10.02611046,0.270833333,39,-122.682676,45.524381,
-208248,208248,208248,0,Beau Monde College of Hair Design,,Portland,Oregon,97205,41,3,2,2,196,279,1989761,1860503,1996830,0.067847344,195,83,168,71,3701,0,0,,27,11,5000,171,73,6280,,,,,,,1995503,,,,,,,,,,,,,,,1,36,36,,,,,,57,0.670588235,,,196,,,196,,,,,196,,,196,2,5,51,7,128,,3,0,3,41,45,24,48,22,5,4,4,,,,,,,,,,,,,,3,41,45,24,48,22,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,4.591836735,0.510204082,19,,7.142857143,0.9,,-122.686127,45.516896,
-208275,208275,208275,0,Blue Mountain Community College,Blue Mountain Community College,Pendleton,Oregon,97801,41,1,2,2,1739.547812,1826,6394780,26465473,19356571,0.061901895,289,82,211,60,4230,155,44,1950,59,17,1507,110,31,5203,212,3060,9180,,,,27010132,43417488,17866266,25551222,2528556,,,25551222,,,201,,,,,1,35,,,,,,201,55,0.177419355,1423,2720,1244,,,1244,1476,,,1476,2720,,,2720,70,35,19,274,1418,,904,0,35,395,189,135,156,112,75,105,40,2,,,,,,,,,,,,,35,395,189,135,156,112,75,105,40,2,,521,141,117,113,156,104,90,154,76,4,,,,,,,,,,,,,521,141,117,113,156,104,90,154,76,4,,,,,,,,,,,,,,,,,,,,,,,,,59,151,3.391686023,8.68041677,362,58256.54237,9.140306401,0.280952381,59,-118.8119,45.673876,
-208318,208318,208318,0,Central Oregon Community College,Central Oregon Community College,Bend,Oregon,97701,41,1,2,2,4012.469745,5742,14319908,48700629,36188739,0.060612191,490,78,383,61,4841,284,45,2180,53,8,2183,357,57,6362,123,3276,6696,,,,51812951,129469197,67906882,61562315,6966537,,,61562315,,,412,,,,,188,166,,,,,,412,64,0.137044968,1691,6261,2876,,,2876,3385,,,3385,6261,,,6261,155,100,41,326,4934,,705,0,46,714,430,326,500,301,177,251,130,1,0,,,,,,,,,,,,46,714,430,326,500,301,177,251,130,1,0,291,558,428,428,482,333,259,356,219,28,3,,,,,,,,,,,,291,558,428,428,482,333,259,356,219,28,3,,,,,,,,,,,,,,,,,,,,,,,,100,137,2.49223063,3.414355963,436,58974.59,6.704100394,0.421940928,100,-121.348869,44.074876,
-208390,208390,208390,0,Chemeketa Community College,Chemeketa Community College,Salem,Oregon,97305,41,1,2,2,7989.630268,10225,33019066,136141037,99059310,0.075312912,777,72,632,58,3596,391,36,1922,93,9,2442,439,41,5593,360,3150,10570,,,,140517280,306948614,149860857,157087757,25109791,,,157087757,,,941,,,,,,329,,,,,,941,42,0.126126126,2927,12217,5853,,,5853,6364,,,6364,12217,,,12217,358,393,216,1527,8334,,1338,51,835,1591,646,620,783,485,337,387,160,3,6,,,,,,,,,,,,835,1591,646,620,783,485,337,387,160,3,6,639,917,716,787,991,650,486,707,423,45,3,,,,,,,,,,,,639,917,716,787,991,650,486,707,423,45,3,,,,,,,,,,,,,,,,,,,,,,,,194,476,2.428147405,5.957722498,1309,58747.59794,8.248191442,0.289552239,194,-122.983304,44.977144,
-208406,208406,208406,0,Clackamas Community College,Clackamas Community College,Oregon City,Oregon,97045-8980,41,1,2,2,4863.54078,4556,20140508,74415435,60836262,0.098125032,523,65,186,23,3207,453,56,1619,133,16,1784,255,32,4909,225,3465,9457,,,,75095635,134566158,97694582,36871576,3194504,,,36871576,,,521,,,,,148,103,,,,,,521,54,0.088379705,2951,8145,3205,,,3205,4940,,,4940,8145,,,8145,114,374,141,740,5791,1,965,19,90,1235,588,327,328,191,156,192,94,0,4,,,,,,,,,,,,90,1235,588,327,328,191,156,192,94,0,4,273,724,585,624,736,516,401,576,435,53,17,,,,,,,,,,,,273,724,585,624,736,516,401,576,435,53,17,,,,,,,,,,,,,,,,,,,,,,,,136,350,2.796316637,7.196403111,842,65529.26471,7.792676512,0.279835391,136,-122.579593,45.32377,
-208415,208415,208415,0,Clatsop Community College,Clatsop Community College,Astoria,Oregon,97103,41,1,2,2,1286.274421,975,3074327,18474886,10864903,0.06257337,138,85,79,49,3635,51,31,1649,91,56,642,34,21,5207,216,2592,5184,,,,17410749,56512226,34795428,21716798,85535,,,21716798,,,94,,,,,,28,,,,,,94,31,0.25203252,1098,1804,503,,,503,2333,,,2333,2836,,,2836,57,46,28,196,1911,,597,1,12,143,108,62,57,34,23,40,19,1,4,,,,,,,,,,,,12,143,108,62,57,34,23,40,19,1,4,249,185,110,154,222,199,165,289,460,223,77,,,,,,,,,,,,249,185,110,154,222,199,165,289,460,223,77,,,,,,,,,,,,,,,,,,,,,,,,41,66,3.18750022,5.131097915,234,50815.60526,10.41768365,0.38317757,38,-123.823561,46.184242,
-208433,208433,208433,0,College of Hair Design Careers,,Salem,Oregon,97301-1952,41,3,2,2,82,104,713824,830398,713824,,17,85,13,65,2244,0,0,,0,0,,17,85,3813,,,,,,,555885,,,,,,,,,,,,,,,6,3,25,,,,,,34,0.607142857,,,82,,,82,,,,,82,,,82,0,1,1,17,63,,0,0,,11,28,13,14,11,2,2,1,,,,,,,,,,,,,,,11,28,13,14,11,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,64,1,63,64,1,63,64,1,63,64,64,64,0,,,,,,,,,,,3,,3.658536585,,6,,7.317073171,1,,-122.981953,44.949983,
-208479,208479,208479,0,Concorde Career Institute,,Portland,Oregon,97232,41,3,2,2,720,861,8668000,8793200,8668000,0.000323027,946,92,653,64,5303,94,9,11194,363,35,1054,889,87,10285,,,,,,,7870000,2584000,1634000,,,,,,,,0,,,,,431,380,,,,,,0,530,0.769230769,,,720,,,720,,,,,720,,,720,15,40,37,77,484,23,44,0,,74,115,112,133,95,67,74,50,,,,,,,,,,,,,,,74,115,112,133,95,67,74,50,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,316,60,256,316,60,256,316,60,256,316,316,316,0,,,,,,,,,,,18,17,2.5,2.361111111,68,41869.44444,6.944444444,0.514285714,18,-122.649012,45.52792,
-208488,208488,208488,0,Concordia University,Concordia University (OR),Portland,Oregon,97211-6099,41,2,2,2,1664.299636,1799,31252941,29370086,34248106,0.298486693,185,99,71,38,4528,27,15,2129,185,99,11599,137,74,6687,210,22900,22900,100,18740,18740,28699501,62209671,37245212,24964459,1274963,,,24964459,,683736,0,235,314,,,,,,5,,,,549,54,0.435483871,451,1117,948,567,567,1515,169,217,217,386,1117,784,784,1901,18,86,86,79,1305,,304,23,14,295,288,150,74,46,22,43,11,,5,,,1,67,171,109,84,91,43,,1,14,295,289,217,245,155,106,134,54,,6,24,7,13,32,25,15,15,23,9,,6,,,0,4,57,46,32,46,22,,10,24,7,13,36,82,61,47,69,31,,16,898,249,649,536,151,385,164,60,104,898,536,160,4,18,25,17,25,17,25,450,580,450,590,52,118,3.124437383,7.090069447,406,56728.01923,11.23595751,0.305882353,52,-122.637684,45.568227,
