groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-210456,210456,210456,0,Abington Memorial Hospital Dixon School of Nursing,,Willow Grove,Pennsylvania,19090-1284,42,2,2,2,249,269,1219950,4543433,1219950,,,,,,,,,,,,,,,,500,7500,7500,,,,4203477,,,,,,,,,,,,,,,,,109,,,,,,,,,249,249,,,249,,,,,249,,,249,0,3,45,14,186,1,0,0,,7,22,34,49,42,33,42,20,,,,,,,,,,,,,,,7,22,34,49,42,33,42,20,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,17,10,6.827309237,4.016064257,40,,10.84337349,0.62962963,,-75.12968,40.161701,
-210474,210474,210474,0,Academy of Hair Design,,Hazleton,Pennsylvania,18201,42,3,2,2,34,21,325503,489321,489321,,37,88,33,79,5641,0,0,,0,0,,37,88,8106,,,,,,,494775,,,,,,,,,,,,,,,1,23,,,,,,,,,,,34,,,34,,,,,34,,,34,0,0,0,7,18,,9,0,,3,10,5,8,2,2,3,1,,,,,,,,,,,,,,,3,10,5,8,2,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,5.882352941,2.941176471,8,,14.70588235,0.666666667,,-75.993273,40.934804,
-210483,210483,210483,0,Keystone Technical Institute,,Harrisburg,Pennsylvania,17112-1012,42,3,2,2,250,321,3552382,3601301,3554777,0.010983898,129,79,82,50,4704,72,44,2629,5,3,8002,113,69,7514,,,,,,,3084524,2395978,671270,,,,,,,,75,,,,,,33,,,,,,75,91,0.413636364,,,250,,,250,,,,,250,,,250,1,6,49,7,187,,0,0,,55,45,21,49,19,22,25,13,1,,,,,,,,,,,,,,55,45,21,49,19,22,25,13,1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,15,13,6,5.2,49,26946.06667,13.6,0.535714286,15,-76.8311,40.337215,
-210492,210492,210492,0,Bryn Athyn College of the New Church,Bryn Athyn College of the New Church,Bryn Athyn,Pennsylvania,19009-0717,42,2,2,2,201.806471,212,2357447,7911331,7506566,0.564557761,69,99,20,29,4600,13,19,2839,69,99,8163,28,40,3271,2250,9741,9741,90,11361,11361,14666177,,,,,,,,,,24,20,5,,,,,,,,,,49,11,0.174603175,75,188,181,15,15,196,7,8,8,15,188,23,23,211,0,3,10,0,150,3,0,45,2,81,55,23,14,3,1,2,,,,,,,1,3,5,1,2,3,0,,2,81,55,24,17,8,2,4,3,0,,0,0,3,1,1,2,0,0,,,,,,,0,3,1,0,2,0,2,,0,0,3,1,4,3,0,2,0,2,,484,174,310,208,74,134,70,28,42,484,208,70,0,20,23,17,24,17,23,470,600,490,630,28,40,13.87467897,19.82096996,191,71668.66667,45.58823091,0.411764706,24,-75.06037,40.13106,
-210508,210508,210508,0,Academy of Vocal Arts,,Philadelphia,Pennsylvania,19103-6685,42,2,2,2,24,27,,3656802,3207365,,,,,,,,,,,,,,,,,,,0,0,0,3160331,,,,,,,,,,,,,,,,,,1,,,,,,,,,,24,24,24,,,,,,24,24,24,0,1,2,1,19,0,0,1,,,,,,,,,,,,,,,6,15,3,,,,,,,,,6,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,7,41.66666667,29.16666667,31,,66.66666667,0.588235294,,-75.173106,39.947961,
-210571,210571,210571,0,Albright College,Albright College,Reading,Pennsylvania,19612-5234,42,2,2,2,2293.429337,2340,55812631,64100053,66073507,0.388170484,508,94,204,38,6710,228,42,3503,479,89,15454,481,89,8764,800,30800,30800,,,,49294231,140274903,66636184,73638719,4135937,,,73638719,,43959254,,470,26,,,,0,,,,,,496,310,0.613861386,652,2282,2253,,,2253,29,76,76,105,2282,76,76,2358,9,31,256,134,1676,,127,125,35,836,637,154,151,107,107,155,60,1,10,,,,,,,,,,,,35,836,637,154,151,107,107,155,60,1,10,1,1,2,18,1,0,0,4,0,2,0,,,,16,19,10,4,14,11,,2,1,1,2,34,20,10,4,18,11,2,2,5565,2294,3271,3113,1222,1891,541,225,316,5565,3113,541,0,,,,,,,,,,,121,81,5.275941929,3.57543172,547,62915.80992,17.09230774,0.596059113,121,-75.911489,40.360911,
-210599,210599,210599,0,All-State Career School,,Lester,Pennsylvania,19029,42,3,2,2,202,1371,12520373,12444485,12520373,0.006061161,725,92,601,76,3419,58,7,3706,453,57,129,559,71,5554,,,,,,,10605151,,,,,,,,,,,,,,,413,289,10,,,,,,648,0.688629118,,,202,,,202,,,,,202,,,202,0,1,102,25,54,1,19,0,,19,14,38,35,35,22,30,8,,1,,,,,,,,,,,,,19,14,38,35,35,22,30,8,,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,31,38,15.34653465,18.81188119,118,,37.12871287,0.449275362,,-75.280292,39.868508,
-210669,210669,210669,0,Allegheny College,Allegheny College,Meadville,Pennsylvania,16335-3902,42,2,2,2,2108.928566,2064,70395843,82343201,95502734,0.448404404,577,99,127,22,5476,140,24,3071,577,99,16693,392,68,8093,320,33240,33240,,,,70257030,309389352,78477293,230912059,12800764,,,230912059,,159089621,,463,,,,,,,,,,,463,504,0.778979907,640,2132,2094,,,2094,38,,,38,2132,,,2132,5,64,78,62,1880,,2,41,45,1026,908,107,5,2,1,0,0,,,,,,,,,,,,,,45,1026,908,107,5,2,1,0,0,,,17,4,1,9,1,0,2,2,2,,,,,,,,,,,,,,17,4,1,9,1,0,2,2,2,,,3916,1792,2124,2594,1143,1451,583,281,302,3916,2594,580,3,23,29,23,31,23,29,560,650,550,660,160,40,7.586790875,1.896697719,504,69541.7375,20.1998307,0.8,160,-80.144494,41.650656,
-210711,210711,210711,0,The Vision Academy,,Allentown,Pennsylvania,18109-1629,42,3,2,2,71.749986,136,1415808,1415808,1415808,,126,92,86,63,3557,0,0,,3,2,1000,125,91,5294,,,,,,,1932730,,,,,,,,,,,,,,,9,59,,,,,,,,,,,65,,,65,17,,,17,82,,,82,0,0,7,49,26,0,0,0,,1,10,13,27,4,8,2,,,,,,,,,,,,,,,,1,10,13,27,4,8,2,,,,,0,4,3,5,1,4,0,,,,,,,,,,,,,,,,0,4,3,5,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,6.968642475,1.393728495,15,,16.72474194,0.833333333,,-75.427586,40.625576,
-210739,210739,210739,0,DeSales University,DeSales University,Center Valley,Pennsylvania,18034-9568,42,2,2,2,2316.122232,2457,54562187,59299059,59827884,0.287706209,373,99,72,19,5726,121,32,2882,369,98,12253,286,76,8726,1000,26000,26000,800,17500,17500,54983965,146733534,50479467,96254067,12177232,,,96254067,,38878148,,518,284,,,,,,8,0,,0,802,234,0.642857143,439,2333,1729,61,61,1790,604,756,756,1360,2333,817,817,3150,2,42,45,90,1641,,1330,0,21,680,676,174,72,42,23,34,3,,4,,,2,29,15,6,3,4,2,0,0,21,680,678,203,87,48,26,38,5,0,4,0,2,7,62,129,109,95,142,55,,3,,,0,55,177,120,112,155,64,1,72,0,2,7,117,306,229,207,297,119,1,75,1998,837,1161,1465,633,832,378,179,199,1998,1465,378,0,20,28,20,29,18,27,480,590,490,600,104,184,4.49026388,7.944313018,596,64142.48077,15.32734305,0.361111111,104,-75.373052,40.537998,
