groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-240879,240879,240879,0,Institute of Beauty Careers,,Arecibo,Puerto Rico,613,72,3,2,2,213,576,2826583,3094683,2826583,,276,52,276,52,1278,130,24,269,0,0,,0,0,,,,,,,,3473156,,,,,,,,,,,,,,,,342,,,,,,,,,,,213,,,213,,,,,213,,,213,0,0,0,213,0,,0,0,,38,43,31,30,19,16,9,2,,25,,,,,,,,,,,,,38,43,31,30,19,16,9,2,,25,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,8,0.469483568,3.755868545,39,,12.20657277,0.111111111,,-66.731499,18.472333,
-240985,240985,240985,0,Educational Technical College-Bayamon,,Bayamon,Puerto Rico,959,72,3,2,2,436,474,2556873,2623064,2556873,,221,69,221,69,4520,154,48,160,0,0,,0,0,,,,,,,,2533762,,,,,,,,,,,,,,,,176,,,,,,,,,,,436,,,436,,,,,436,,,436,0,0,0,436,0,,0,0,31,109,65,61,63,49,24,26,8,,,,,,,,,,,,,,31,109,65,61,63,49,24,26,8,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,0.688073394,5.963302752,55,,5.963302752,0.103448276,,-66.159092,18.395254,
1928,241100,241100,1,American University of Puerto Rico,,Bayamon,Puerto Rico,00960-2037,72,2,2,2,2927.080471,2543,974615,1950647,974615,,417,89,416,89,5202,62,13,806,8,2,1598,7,1,3246,864,3816,3816,652,6480,6480,13847560,16591922,9084958,7506964,,,,7506964,,,40,294,84,,,,,,,,,,418,70,0.300429185,627,3019,2658,124,124,2782,309,62,62,371,2967,186,186,3153,0,0,0,3152,0,0,0,1,90,761,611,462,322,189,104,106,13,,,,,1,11,31,17,23,30,4,,7,90,761,612,473,353,206,127,136,17,,7,2,34,43,83,66,35,22,15,9,,,,,0,8,16,6,9,20,3,,0,2,34,43,91,82,41,31,35,12,,0,,,,,,,,,,,,,,,,,,,,,,,,47,202,1.60569552,6.901074364,400,24978.19565,6.115308471,0.18875502,46,-66.191229,18.405861,
-241146,241146,241146,0,American Educational College,,Bayamon,Puerto Rico,961,72,3,2,2,714.94116,866,351950,485085,368231,,302,97,302,97,2490,94,30,200,0,0,,0,0,,1738,4296,4296,,,,4162533,,,,,,,,,,,,,,,22,246,,,,,,,,,,727,707,,,707,20,,,20,727,,,727,0,0,0,727,0,0,0,0,27,237,105,106,107,50,40,26,8,1,,,,,,,,,,,,,27,237,105,106,107,50,40,26,8,1,,0,6,3,7,1,2,1,0,0,0,,,,,,,,,,,,,0,6,3,7,1,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,31,36,4.336021163,5.035379415,127,,11.18973203,0.462686567,,-66.16185,18.40694,
-241182,241182,241182,0,Antilles School of Technical Careers,,Santurce,Puerto Rico,00919-1536,72,3,2,2,354,467,2197599,2197599,2197599,,117,72,117,72,3726,30,19,293,0,0,,0,0,,,,,,,,1902755,,,,,,,,,,,,,,,,134,,,,,,,,,,,354,,,354,,,,,354,,,354,0,0,0,354,0,0,0,0,23,73,42,57,62,28,24,33,12,,,,,,,,,,,,,,23,73,42,57,62,28,24,33,12,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,5.084745763,5.084745763,61,,11.29943503,0.5,,-66.060183,18.438871,
-241191,241191,241191,0,Universidad Adventista de las Antillas,,Mayaguez,Puerto Rico,00680-0000,72,2,2,2,965.984195,978,10157699,13423845,12126684,0.029285471,173,100,157,91,5384,111,64,383,53,31,1643,51,29,3147,995,5150,5150,570,2280,2280,8854871,10203805,5765528,4438277,2001925,,,4438277,,187777,14,146,22,,,,,,,,,,182,43,0.338582677,271,955,886,46,46,932,69,18,18,87,955,64,64,1019,2,2,34,934,6,0,0,41,16,265,248,188,78,39,23,23,6,,,,,,3,4,9,10,17,3,,,16,265,248,191,82,48,33,40,9,,,0,3,2,13,15,10,7,15,4,,,,,,0,1,5,2,8,2,,,0,3,2,13,16,15,9,23,6,,,1596,560,1036,696,224,472,175,63,112,1596,696,174,1,,,,,,,,,,,43,42,4.451418587,4.347897224,188,26073.39535,13.2507344,0.505882353,43,-67.112624,18.2053,
-241216,241216,241216,0,Atlantic College,,Guaynabo,Puerto Rico,970,72,2,2,2,1027.795598,1437,7940073,9064382,7940073,0.001511321,221,92,211,88,3878,40,17,600,2,1,3000,35,15,3000,675,5400,5400,580,10800,10800,6441458,12000113,1771127,10228986,309075,,,10228986,,,19,155,33,,,,,,,,,,207,40,0.481927711,339,1168,878,16,16,894,290,52,52,342,1168,68,68,1236,0,0,0,1236,0,,0,0,16,311,275,163,72,20,6,11,4,,,,,2,8,1,4,0,1,0,,,16,311,277,171,73,24,6,12,4,,,1,39,104,73,44,18,4,4,3,,,,,0,16,21,10,3,1,1,,,1,39,104,89,65,28,7,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,20,31,1.945912207,3.01616392,88,26652.875,4.962076127,0.392156863,16,-66.111244,18.357625,
-241225,241225,241225,0,Bayamon Central University,,Bayamon,Puerto Rico,00960-1725,72,2,2,2,1811.114255,2237,12387424,16449220,12713719,0.014419544,250,94,246,92,7840,123,46,518,12,5,1045,8,3,3639,500,4120,4120,500,4960,4960,12897362,33538265,15711914,17826351,1154847,,,17826351,,6909188,9,240,117,,,0,,0,,,,,366,56,0.240343348,443,1830,1389,121,121,1510,394,383,383,777,1783,504,504,2287,0,0,0,2287,0,,0,0,10,363,309,294,162,106,64,63,18,,,,,,18,48,20,9,18,8,0,0,10,363,309,312,210,126,73,81,26,0,0,1,25,33,98,90,67,34,37,9,,,,,,19,108,74,55,82,39,5,1,1,25,33,117,198,141,89,119,48,5,1,1068,335,733,405,159,246,282,107,175,1068,405,240,42,,,,,,,,,,,41,104,2.263799751,5.74232132,285,27207.46341,9.441701402,0.282758621,41,-66.181496,18.400541,
-241304,241304,241304,0,Columbia Centro Universitario,,Caguas,Puerto Rico,726,72,3,2,2,987.304715,1482,17548780,17548780,17548780,,188,95,188,95,5402,40,20,674,0,0,,0,0,,730,6592,6592,775,6435,6435,8898142,5809984,3063746,,,,,,,,142,119,62,,,,95,,,,,,323,,,226,1258,699,58,58,757,559,28,28,587,1258,86,86,1344,0,0,0,1344,0,0,0,0,8,187,143,120,79,70,38,45,5,,4,,,,,9,7,8,19,12,1,2,8,187,143,120,88,77,46,64,17,1,6,0,27,75,90,111,85,62,83,21,,5,,,,,2,7,6,9,4,0,0,0,27,75,90,113,92,68,92,25,0,5,,,,,,,,,,,,,,,,,,,,,,,,14,79,1.418001939,8.001582369,160,12781.42857,6.887437988,0.150537634,14,-66.028097,18.2263,
-241331,241331,241331,0,Carlos Albizu University,,San Juan,Puerto Rico,00902-3711,72,2,2,2,766.527284,628,6486852,9999801,9023463,0.007256833,,,,,,,,,,,,,,,979,5760,5760,1546,5184,5184,9583400,10450850,3154174,7296676,,,,7296676,,943267,,68,121,27,48,,,,,,,,264,,,,167,96,588,588,684,71,143,143,214,167,731,731,898,0,0,2,803,5,,88,0,,6,52,16,12,7,1,2,,,,,,7,176,215,93,52,34,11,,,,6,59,192,227,100,53,36,11,,,,0,10,19,19,10,6,7,,,,,,0,16,73,32,10,11,1,,,,0,10,35,92,42,16,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,23,5,3.00054551,0.652292502,109,42607.40909,12.91539154,0.821428571,22,-66.115431,18.465719,
1930,241377,241377,1,Caribbean University-Bayamon,,Bayamon,Puerto Rico,00959-0493,72,2,2,2,2131.791348,2280,45278555,25349615,45278555,0.008747673,767,89,740,86,5926,210,24,537,78,9,3629,121,14,2460,750,3720,3720,880,5250,5250,24308331,45244888,30958901,14285987,8373624,,,14285987,,,,364,,,,,,,,,,,364,3,0.02189781,581,2953,1747,153,153,1900,449,145,145,594,2196,298,298,2494,0,0,0,2494,0,,0,0,24,588,427,251,188,113,86,57,12,1,0,,,,,5,53,55,34,6,,,24,588,427,251,193,166,141,91,18,1,0,5,51,48,88,75,76,45,33,12,0,16,,,,,13,47,36,44,5,,,5,51,48,88,88,123,81,77,17,0,16,,,,,,,,,,,,,,,,,,,,,,,,53,288,2.486172019,13.50976493,555,18098.69811,12.52467791,0.15542522,53,-66.168249,18.382912,
1818,241410,241410,1,Pontifical Catholic University of Puerto Rico-Ponce,,Ponce,Puerto Rico,00717-9997,72,2,2,2,8894.452697,9202,57590755,64863744,59634714,0.048810404,1277,98,1107,85,7708,988,76,283,303,23,459,419,32,2818,518,4480,4480,552,3960,3960,56172564,105891821,31614574,74277247,1797737,,,74277247,,23638792,42,794,257,61,156,,17,,11,,,,1310,453,0.316783217,1617,7195,6482,1803,1803,8285,714,861,861,1575,7196,2664,2664,9860,0,0,0,9721,8,0,97,34,267,2044,1793,1400,514,241,103,93,25,0,2,,1,19,459,663,261,187,162,51,0,,267,2045,1812,1859,1177,502,290,255,76,0,2,6,21,53,230,177,87,53,54,30,2,1,,0,1,42,231,190,123,171,102,1,,6,21,54,272,408,277,176,225,132,3,1,1798,664,1134,1487,536,951,1004,369,635,1798,1487,1291,8,,,,,,,,,,,236,297,2.6533392,3.339159925,1163,35490.06829,8.971884243,0.442776735,205,-66.61791,18.00178,
2705,241517,241517,1,Centro de Estudios Multidisciplinarios,,San Juan,Puerto Rico,00926-1931,72,2,2,2,2464.029308,3707,14546225,15085457,14546225,,608,93,608,93,4702,202,31,216,0,0,,19,3,2305,900,4500,4500,,,,10848191,18015217,5474885,12540332,1022293,,,12540332,,713406,420,,,,,78,278,,,,,,420,476,0.762820513,889,2540,2414,,,2414,126,,,126,2540,,,2540,0,0,0,2540,0,0,0,0,161,513,405,380,398,248,106,165,34,4,,,,,,,,,,,,,161,513,405,380,398,248,106,165,34,4,,0,17,31,21,23,7,17,8,2,0,,,,,,,,,,,,,0,17,31,21,23,7,17,8,2,0,,735,195,540,698,178,520,628,152,476,735,698,1311,0,,,,,,,,,,,21,162,0.85226259,6.574597123,315,17804,5.519414869,0.114754098,21,-66.010873,18.39031,
-241614,241614,241614,0,Universidad Teologica del Caribe,,Trujillo Alto,Puerto Rico,00978-0901,72,2,2,2,153.249977,200,647919,926104,870754,,2,100,2,100,1813,0,0,,0,0,,0,0,,380,2760,2760,,,,907289,1017677,524167,493510,50590,,,493510,,,,27,,,,,,,,,,,27,9,1,10,251,90,,,90,161,,,161,251,,,251,0,0,0,251,0,,0,0,,4,7,12,15,7,11,22,12,0,,,,,,,,,,,,,,4,7,12,15,7,11,22,12,0,,,4,1,5,15,21,25,50,39,1,,,,,,,,,,,,,,4,1,5,15,21,25,50,39,1,,,,,,,,,,,,,,,,,,,,,,,,,6,25,3.915171876,16.31321615,54,11118,13.70310157,0.193548387,6,-66.014483,18.370604,
