groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-217095,217095,217095,0,Empire Beauty School-Providence,,Providence,Rhode Island,02903-3052,44,3,2,2,125.86761,224,1736201,2069383,1736201,0.00348462,231,98,204,87,8114,84,36,729,57,24,101,201,86,11870,,,,,,,1872506,,,,,,,,,,,,,,,0,109,,,,,,,,,,,108,,,108,45,,,45,153,,,153,1,1,19,57,64,2,9,0,0,25,25,17,17,16,3,3,2,,,,,,,,,,,,,,0,25,25,17,17,16,3,3,2,,,1,1,3,20,12,1,2,3,2,,,,,,,,,,,,,,1,1,3,20,12,1,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,4.766913426,3.177942284,18,,10.32831242,0.6,,-71.422331,41.821463,
-217156,217156,217156,0,Brown University,Brown University,Providence,Rhode Island,2912,44,2,1,2,8326.347011,8208,320538000,805396000,697096000,0.334964965,877,59,198,13,6087,42,3,762,572,38,29119,364,24,6178,800,38048,38048,670,38048,38048,658792000,3729250000,856917000,2872333000,56992000,,,2872333000,,2522480000,,1483,428,204,97,,,,,,,,2212,1366,0.955913226,1753,6244,6002,2167,2167,8169,242,163,163,405,6244,2330,2330,8574,41,1165,442,681,3974,169,916,1186,96,2777,2685,409,26,3,4,2,,,,1,,34,709,988,319,71,39,5,1,,97,2777,2719,1118,1014,322,75,41,5,1,,1,36,98,54,33,11,5,4,,,,0,,1,29,52,37,18,16,10,0,,1,36,99,83,85,48,23,20,10,0,,24988,10160,14828,2790,1342,1448,1494,723,771,24988,2790,1494,0,29,34,29,35,28,34,670,770,650,760,1040,168,12.4904715,6.965839872,5054,107284.1566,43.52448913,0.641975309,728,-71.403806,41.826187,
-217165,217165,217165,0,Bryant University,Bryant University,Smithfield,Rhode Island,02917-1291,44,2,2,2,3436.302157,3654,108588609,127230882,124626609,0.334793192,624,83,108,14,5252,113,15,638,582,77,15996,503,67,8135,312,30992,30992,0,29880,29880,116860000,327166000,124456000,202710000,16795000,,,202710000,,129854000,,805,134,,,,,,,,,,939,580,0.762155059,864,3386,3254,59,59,3313,132,187,187,319,3386,246,246,3632,6,106,128,135,2968,,109,180,49,1479,1551,154,16,0,4,1,0,0,,,,7,41,10,0,0,1,0,,,49,1479,1558,195,26,0,4,2,0,0,,3,2,4,40,29,18,15,13,6,2,,,,1,36,70,33,16,25,6,,,3,2,5,76,99,51,31,38,12,2,,6253,3691,2562,2822,1614,1208,911,527,384,6253,2822,907,4,23,26,,,,,560,630,510,600,158,84,4.597965859,2.444488178,700,101169.5949,17.51883194,0.652892562,158,-71.515212,41.911502,
2652,217235,217235,1,Johnson & Wales University,Johnson & Wales University,Providence,Rhode Island,02903-3703,44,2,2,2,15955.31113,17209,339344550,344249933,364638162,0.30316382,3603,99,1598,44,4714,723,20,1938,3564,98,8860,3306,91,7476,1065,22149,22149,0,8532,8532,291204850,815560655,251916788,563643867,54531569,,,563643867,,214738739,2584,2306,384,58,,,9,,,6,,6,5332,2492,0.659782896,4986,15441,14542,965,965,15507,899,249,249,1148,15441,1214,1214,16655,60,355,1834,1138,6958,,4747,1563,402,6338,4836,1944,671,162,71,77,13,1,27,,,16,328,340,90,65,62,42,0,22,402,6338,4852,2272,1011,252,136,139,55,1,49,1,36,105,178,152,118,80,179,48,0,2,,,0,28,77,33,29,45,18,1,18,1,36,105,206,229,151,109,224,66,1,20,14804,6475,8329,10450,4306,6144,2604,1185,1419,14804,10450,4175,53,,,,,,,,,,,481,268,3.014670137,1.679691469,2918,59305.53222,11.17496227,0.642189586,481,-71.413291,41.820606,
-217244,217244,217244,0,Gibbs College,,Cranston,Rhode Island,2920,44,3,2,2,10.720566,127,1316039,1365882,1316039,,,,,,,,,,,,,,,,675,13000,13000,,,,3137215,,,,,,,,,,77,,,,,,0,0,,,,,77,,,,,,,,,27,,,27,27,,,27,0,2,2,6,10,2,5,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,7,6,8,3,2,1,,,,,,,,,,,,,,,,,7,6,8,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,9.327865712,27.98359713,8,41728,46.63932856,0.25,1,-71.441647,41.800136,
-217305,217305,217305,0,New England Institute of Technology,,Warwick,Rhode Island,02886-2244,44,2,2,2,3108.464231,3898,59075374,61805141,62274489,0.058084507,682,89,375,49,4438,160,21,644,501,65,1575,637,83,7656,1410,16800,16800,,,,49075776,248415816,68281096,180134720,39528135,,,180134720,,34450051,924,215,,,,,4,,,,,,1139,,,889,3341,2958,,,2958,383,,,383,3341,,,3341,33,62,225,183,2170,,661,7,35,936,670,497,379,166,86,148,41,0,,,,,,,,,,,,,35,936,670,497,379,166,86,148,41,0,,0,29,70,76,67,32,38,55,15,1,,,,,,,,,,,,,0,29,70,76,67,32,38,55,15,1,,,,,,,,,,,,,,,,,,,,,,,,,108,181,3.474384518,5.822811091,522,55323.50926,7.56000335,0.373702422,108,-71.445625,41.7149,
-217323,217323,217323,0,New England Tractor Trailer Training School,,Pawtucket,Rhode Island,2860,44,3,2,2,503,453,5000065,5000065,5000065,,786,100,786,100,6361,755,96,238,0,0,,0,0,,,,,,,,4157065,,,,,,,,,,,,,,,249,,,,,,,,,,,,503,,,503,,,,,503,,,503,0,2,62,73,298,,68,0,,,8,73,86,112,93,83,42,6,,,,,,,,,,,,,,,8,73,86,112,93,83,42,6,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,19,8,3.777335984,1.590457256,48,,7.952286282,0.703703704,,-71.40504,41.880347,
2653,217350,217350,1,Newport School of Hairdressing-Main Campus,,Pawtucket,Rhode Island,2860,44,3,2,2,24.617596,44,268497,333539,271691,,,,,,,,,,,,,,,,,,,,,,284639,,,,,,,,,,,,,,,0,25,,,,,,,,,,,,,,,62,,,62,62,,,62,1,1,9,46,5,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,,,,,6,,5,14,8,14,15,,,,,,,,,,,,,,,,6,,5,14,8,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,8.124270136,12.1864052,8,,16.24854027,0.4,,-71.384834,41.877256,
-217402,217402,217402,0,Providence College,Providence College,Providence,Rhode Island,02918-0001,44,2,2,2,4349.645738,4445,130575643,161489644,157950025,0.333954565,739,77,124,13,6590,105,11,859,642,67,17361,604,63,7845,800,32320,32320,0,7350,7350,136755031,433715098,98891298,334823800,1733048,,,334823800,,145244966,6,974,229,,,101,0,,,,,,1209,890,0.859073359,1100,4238,3816,186,186,4002,422,476,476,898,4238,662,662,4900,5,88,108,152,3633,53,798,63,65,1807,1763,155,11,4,5,2,1,3,,,,8,130,20,9,1,4,3,0,11,65,1807,1771,285,31,13,6,6,4,3,11,3,13,57,78,67,48,81,46,15,14,,,,1,62,118,82,61,86,43,4,19,3,13,58,140,185,130,142,132,58,18,19,8376,3298,5078,5008,2181,2827,955,405,550,8376,5008,955,0,23,28,,,,,530,640,530,630,269,191,6.184411702,4.391162212,1000,80087.11152,17.21979318,0.584782609,269,-71.437978,41.844154,
-217420,217420,217420,0,Rhode Island College,Rhode Island College,Providence,Rhode Island,2908,44,1,2,2,7335.397079,7430,57550970,131730698,95675975,,1052,87,499,41,4753,532,44,948,401,33,3030,815,67,5637,988,5420,14500,444,5580,11088,127513969,134747340,68108141,66639199,10930197,,,66639199,,,,1239,268,7,,1,,,4,21,,21,1514,487,0.464251668,2136,7883,5842,269,269,6111,2041,1108,1108,3149,7883,1377,1377,9260,25,145,396,482,4891,249,3045,27,223,2152,1769,1129,347,94,58,56,14,0,,,0,4,88,76,30,20,28,21,2,,223,2152,1773,1217,423,124,78,84,35,2,,17,103,257,545,444,212,156,233,68,6,,,1,5,143,270,194,113,217,156,9,,17,104,262,688,714,406,269,450,224,15,,4028,1401,2627,2865,871,1994,1190,375,815,4028,2865,1155,35,17,21,15,22,16,21,420,530,420,530,333,1,4.539631548,0.109060217,801,65260.35736,10.72879888,0.976539589,333,-71.45311,41.843088,
