groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-219000,219000,219000,0,Augustana College,Augustana College (SD),Sioux Falls,South Dakota,57197-0001,46,2,2,2,1716.273224,1814,40619415,45306492,53493765,0.455486767,431,100,127,29,5643,99,23,1135,431,100,12829,326,76,8944,274,23276,23276,274,25442,25442,39077763,122910400,30782194,92128206,4888023,,,92128206,,50010110,,362,11,,,,,,,,,,373,264,0.673469388,514,1771,1666,1,1,1667,105,21,21,126,1771,22,22,1793,7,19,24,3,1686,,14,40,2,715,716,185,20,12,6,8,1,,1,,,,1,0,0,,0,,0,0,2,715,716,186,20,12,6,8,1,0,1,9,4,12,30,15,10,5,14,5,,1,,,,6,9,1,,3,,1,1,9,4,12,36,24,11,5,17,5,1,2,1284,565,719,1036,438,598,432,171,261,1284,1036,431,1,22,28,22,28,22,27,420,660,460,680,125,56,7.283222639,3.262883742,438,53631.912,19.92689714,0.690607735,125,-96.736273,43.52661,
-219037,219037,219037,0,Black Hills Beauty College,,Rapid City,South Dakota,57701,46,3,2,2,105,251,802342,1140816,802342,0.007478108,81,88,59,64,3488,0,0,,6,7,1000,81,88,3295,,,,,,,1083079,,,,,,,,,,,,,,,,,64,,,,,,59,0.694117647,,,105,,,105,,,,,105,,,105,4,2,5,0,94,0,0,0,,62,17,14,2,7,1,2,,,,,,,,,,,,,,,,62,17,14,2,7,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,8.571428571,,16,,15.23809524,1,,-103.22831,44.07992,
-219046,219046,219046,0,Black Hills State University,Black Hills State University,Spearfish,South Dakota,57799-9500,46,1,2,2,3153.64157,3128,20715362,42019090,29043547,0.071984646,496,90,226,41,4596,63,11,954,197,36,1441,409,74,5983,3707,2934,2934,2780,3336,3336,42877851,70745299,25178668,45566631,3943295,,,45566631,,,27,446,74,,,,,,29,,,,547,168,0.294220665,1215,3769,2549,2,2,2551,1220,305,305,1525,3769,307,307,4076,146,28,30,71,3422,,326,53,4,668,738,650,247,111,48,62,21,0,,,,,0,1,1,0,0,0,,,4,668,738,650,248,112,48,62,21,0,,7,82,176,271,266,160,89,108,60,1,,,,,15,70,52,48,67,53,,,7,82,176,286,336,212,137,175,113,1,,1578,642,936,1104,452,652,600,252,348,1578,1104,551,49,19,23,17,23,17,23,,,,,136,65,4.312474864,2.314784302,467,55611.27612,11.47879339,0.650717703,134,-103.870398,44.495655,
-219055,219055,219055,0,Kilian Community College,,Sioux Falls,South Dakota,57103-7020,46,2,2,2,171.999776,282,1756448,3169000,1842247,0.011244284,28,100,23,82,3067,3,11,2561,3,11,417,27,96,5133,255,8820,8820,,,,2846415,3301057,1490874,1810183,142075,,,1810183,,159529,32,,,,,,1,,,,,,32,2,0.086956522,130,336,64,,,64,272,,,272,336,,,336,39,2,35,4,234,0,22,0,2,11,13,11,10,6,8,1,2,0,0,,,,,,,,,,,,2,11,13,11,10,6,8,1,2,0,0,9,25,27,38,59,48,26,24,12,2,2,,,,,,,,,,,,9,25,27,38,59,48,26,24,12,2,2,,,,,,,,,,,,,,,,,,,,,,,,6,26,3.488376636,15.11629876,51,40206.5,11.04652601,0.1875,6,-96.722843,43.551231,
-219082,219082,219082,0,Dakota State University,Dakota State University,Madison,South Dakota,57042-1799,46,1,2,2,1846.563571,1823,13820309,29706308,22146417,0.064539295,273,95,131,46,4661,50,17,965,148,52,1450,227,79,6029,3414,2751,4124,2731,3336,7062,31858767,29923614,14226010,15697604,1144224,,,15697604,,,38,185,64,2,,4,3,,,,,,289,103,0.453744493,1125,2592,1143,53,53,1196,1449,182,182,1631,2592,235,235,2827,35,38,48,45,2347,38,158,118,2,403,409,223,61,19,11,11,4,,,,,2,10,13,9,9,8,2,,,2,403,411,233,74,28,20,19,6,,,4,196,267,311,307,152,93,88,31,,,,,0,27,37,35,38,30,15,,,4,196,267,338,344,187,131,118,46,,,672,354,318,630,333,297,323,186,137,672,630,307,16,19,25,17,24,17,25,,,,,94,28,5.090536902,3.032660282,310,59392.23913,12.13064113,0.626666667,92,-97.109664,44.0134,
-219091,219091,219091,0,Dakota Wesleyan University,Dakota Wesleyan University,Mitchell,South Dakota,57301-4398,46,2,2,2,714.180206,768,13613012,16409998,18613468,0.446270598,168,100,71,42,4520,29,17,1139,163,97,9550,145,86,7479,0,19000,19000,0,5400,5400,13868297,41609748,10266752,31342996,1692942,,,31342996,,19837521,71,91,12,,,,,,,,,,174,46,0.386554622,291,735,678,5,5,683,57,23,23,80,735,28,28,763,14,10,18,26,661,,24,10,1,235,205,137,53,20,9,14,4,,,,,,1,1,1,1,1,,,,1,235,205,138,54,21,10,15,4,,,2,5,7,10,11,8,8,4,2,,,,,,6,14,0,1,2,,,,2,5,7,16,25,8,9,6,2,,,538,320,218,434,268,166,168,93,75,538,434,168,0,18,26,15,26,16,26,410,580,390,630,44,29,6.160910038,5.040744576,176,44446.18182,18.20268875,0.55,44,-98.032648,43.698835,
-219125,219125,219125,0,Headlines Academy Inc,,Rapid City,South Dakota,57701,46,3,2,2,92,107,910888,1204475,910888,0.015627607,53,74,35,49,3885,1,1,500,28,39,211,46,64,7106,,,,,,,765253,,,,,,,,,,,,,,,38,,25,,,,,,93,0.885714286,,,92,,,92,,,,,92,,,92,10,0,2,1,79,0,0,0,,13,28,19,11,8,5,8,,,,,,,,,,,,,,,,13,28,19,11,8,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,37,1,36,37,1,36,37,1,36,37,37,37,0,,,,,,,,,,,9,,9.782608696,,14,,14.13043478,1,,-103.225715,44.080852,
-219143,219143,219143,0,Lake Area Technical Institute,Lake Area Technical Institute,Watertown,South Dakota,57201-0730,46,1,2,2,1189.367761,1481,5176487,22264408,10363909,0.033910063,588,97,374,62,4004,51,8,3818,133,22,828,566,94,5163,1958,3024,3024,,,,19713542,26919184,2507408,24411776,1718160,,,24411776,,,302,,,,,147,44,,,,,,302,431,0.735494881,650,1291,1138,,,1138,153,,,153,1291,,,1291,23,7,3,15,1243,0,0,0,1,470,362,134,83,40,16,19,13,0,,,,,,,,,,,,,1,470,362,134,83,40,16,19,13,0,,15,6,24,25,22,17,12,22,7,3,,,,,,,,,,,,,15,6,24,25,22,17,12,22,7,3,,1476,727,749,879,437,442,719,359,360,1476,879,672,47,,,,,,,,,,,77,12,6.474027843,1.008939404,162,42436.73684,11.3505683,0.865168539,76,-97.096448,44.902248,
-219170,219170,219170,0,Avera McKennan Hospital School of Radiologic Technology,,Sioux Falls,South Dakota,57117-5045,46,2,2,2,18,42,40350,46175,46175,,,,,,,,,,,,,,,,200,1250,1250,,,,148971,,,,,,,,,,,,,,,,,12,,,,,,,,,18,18,,,18,,,,,18,,,18,0,0,0,0,18,0,0,0,,1,9,7,1,,,,,,,,,,,,,,,,,,,1,9,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5.555555556,,2,,11.11111111,1,,-96.714981,43.533731,
-219189,219189,219189,0,Mitchell Technical Institute,Mitchell Technical Institute,Mitchell,South Dakota,57301,46,1,2,2,904.36055,1031,7595146,14000252,10473711,,462,83,439,79,3025,8,1,1225,15,3,987,332,60,5392,1900,3360,3360,,,,12976551,15666940,1300109,14366831,549740,,,14366831,,,170,,,,,8,178,29,,,,,170,225,0.698757764,691,1004,854,,,854,150,,,150,1004,,,1004,25,7,6,4,962,0,0,0,1,297,245,117,72,26,18,24,13,0,41,,,,,,,,,,,,1,297,245,117,72,26,18,24,13,0,41,4,13,12,3,11,15,8,33,23,2,26,,,,,,,,,,,,4,13,12,3,11,15,8,33,23,2,26,,,,,,,,,,,,,,,,,,,,,,,,52,1,5.7499191,0.110575367,106,44226.57692,10.94696136,0.981132075,52,-98.017119,43.717061,
