groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-151494,151494,151494,0,ITT Technical Institute-Nashville,,Nashville,Tennessee,37214-3717,47,3,2,2,922.607115,1024,19072944,19068451,19072944,0.000235569,161,97,140,84,5149,4,2,2117,31,19,4009,138,83,11589,300,16848,16848,,,,8836156,6034372,1681949,,,,,,,,175,67,,,,,,,,,,,242,7,0.120689655,205,1041,846,,,846,195,,,195,1041,,,1041,10,16,279,57,657,5,17,0,,77,162,139,202,109,75,59,23,,,,,,,,,,,,,,,77,162,139,202,109,75,59,23,,,,7,33,32,38,41,22,19,3,,,,,,,,,,,,,,,7,33,32,38,41,22,19,3,,,459,367,92,256,211,45,256,211,45,459,256,212,44,,,,,,,,,,,11,56,1.192273485,6.069755922,111,49827.09091,5.961367423,0.164179104,11,-86.663502,36.147834,
-219505,219505,219505,0,American Baptist College,,Nashville,Tennessee,37207-9980,47,2,2,2,81.678569,91,488250,1289597,1296243,0.064137225,9,100,8,89,5500,1,11,2080,1,11,2400,0,0,,240,4560,4560,,,,1608440,3705564,224702,3480862,28470,,,3480862,,956907,1,21,,,,,,,,,,,22,7,1,25,83,75,,,75,17,,,17,92,,,92,0,0,88,0,2,,0,2,,3,3,3,17,7,20,10,9,3,,,,,,,,,,,,,,3,3,3,17,7,20,10,9,3,,,0,0,0,0,3,10,3,0,1,,,,,,,,,,,,,,0,0,0,0,3,10,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,2,9,2.448622723,11.01880225,18,22705,11.01880225,0.181818182,2,-86.783664,36.197646,
-219578,219578,219578,0,Aquinas College,Aquinas College (TN),Nashville,Tennessee,37205,47,2,2,2,537.534802,578,9835241,11908456,12138472,0.120495471,23,85,14,52,4588,15,56,5493,15,56,3601,18,67,6778,500,16680,16680,500,16880,16880,9383768,17910595,699454,17211141,620220,,,17211141,,7591243,124,102,,,,,,,1,,,,226,11,0.523809524,185,828,312,19,19,331,516,10,10,526,828,29,29,857,2,24,120,18,601,1,91,0,0,26,55,56,44,42,37,34,18,0,0,,,,6,10,3,,,0,,,0,26,55,62,54,45,37,34,18,0,0,7,7,30,72,118,85,75,94,26,1,1,,,,1,7,1,,,1,,,7,7,30,73,125,86,75,94,27,1,1,136,25,111,72,14,58,31,6,25,136,72,24,7,17,21,18,23,16,19,450,710,470,740,26,64,4.836896123,11.90620584,162,45561.73077,13.76655051,0.288888889,26,-86.839647,36.129728,
-219587,219587,219587,0,Arnolds Beauty School,,Milan,Tennessee,38358,47,3,2,2,80,77,496161,684844,497600,,41,93,41,93,3017,0,0,,15,34,1500,6,14,3500,,,,,,,587255,,,,,,,,,,,,,,,,32,,,,,,,,,,,80,,,80,,,,,80,,,80,0,0,7,0,73,0,0,0,,18,13,13,11,11,9,4,1,,,,,,,,,,,,,,,18,13,13,11,11,9,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,5,2.5,8,,7.5,0.666666667,,-88.759144,35.918242,
-219596,219596,219596,0,Tennessee Technology Center at Athens,,Athens,Tennessee,37371-0848,47,1,2,2,249.129798,313,511477,2612719,1776807,0.002346147,265,82,195,60,2609,200,62,2459,15,5,1193,0,0,,,,,,,,2963032,,,,,,,,,,,,,,,27,140,0,,,,,,134,0.911564626,,,231,,,231,54,,,54,285,,,285,0,3,12,1,269,,0,0,2,56,37,28,38,16,13,25,16,,0,,,,,,,,,,,,2,56,37,28,38,16,13,25,16,,0,0,2,3,3,4,11,6,16,7,,2,,,,,,,,,,,,0,2,3,3,4,11,6,16,7,,2,,,,,,,,,,,,,,,,,,,,,,,,12,1,4.816766238,0.401397187,26,,8.830738104,0.923076923,,-84.630527,35.443772,
-219602,219602,219602,0,Austin Peay State University,Austin Peay State University,Clarksville,Tennessee,37044,47,1,2,2,8418.729609,8214,58299740,119977885,91015350,0.144943923,1411,96,683,47,4696,1029,70,4481,202,14,4216,804,55,5684,1224,4584,16512,1224,6160,17080,112330096,203553656,60750819,142802837,6999331,,,142802837,,,133,1153,269,,,,,,1,4,,4,1555,381,0.32788296,2695,9296,6975,289,289,7264,2321,603,603,2924,9296,892,892,10188,61,219,1831,652,6793,462,121,49,15,1893,1735,1242,887,520,326,292,64,1,,,,0,83,82,45,31,37,11,0,,15,1893,1735,1325,969,565,357,329,75,1,,115,108,157,359,568,359,252,307,89,7,,,,3,63,153,113,97,126,46,2,,115,108,160,422,721,472,349,433,135,9,,2865,1131,1734,2520,968,1552,1471,593,878,2865,2520,1326,145,19,24,19,24,17,23,450,580,460,560,310,240,3.682265786,4.145518578,1179,54020.56452,9.62140415,0.470409712,310,-87.35373,36.531434,
-219639,219639,219639,0,Baptist Memorial College of Health Sciences,,Memphis,Tennessee,38104,47,2,2,2,739.892791,886,9239106,15392043,12228864,0.013691801,54,98,21,38,4867,33,60,4735,36,65,3007,27,49,6057,850,8880,8880,,,,12864473,22120637,3580260,18540377,,,,18540377,,,,200,,,,,,,,,,,200,21,0.6,270,1021,558,,,558,463,,,463,1021,,,1021,3,19,333,16,605,,45,0,,76,100,157,107,55,28,26,9,,,,,,,,,,,,,,,76,100,157,107,55,28,26,9,,,,1,41,101,133,88,54,36,9,,,,,,,,,,,,,,,1,41,101,133,88,54,36,9,,,557,117,440,220,38,182,55,6,49,557,220,55,0,21,24,21,26,19,23,,,,,58,,7.838973525,,124,58907.41379,16.21856591,1,58,-90.029204,35.139064,
-219709,219709,219709,0,Belmont University,Belmont University,Nashville,Tennessee,37212-3757,47,2,2,2,4881.44387,5471,118055277,131989774,129939848,0.162700165,821,83,152,15,4661,320,32,4831,667,68,8086,489,50,12819,1090,21770,21770,530,23460,23460,103408923,354831961,121752575,233079386,20361592,,,233079386,,73357238,,1019,240,,57,,,,,,,,1316,486,0.668500688,1384,4378,4035,505,505,4540,343,541,541,884,4378,1046,1046,5424,26,158,277,106,4573,,234,50,45,1715,1538,487,150,41,26,22,10,0,1,,3,20,237,150,53,21,16,5,,,45,1718,1558,724,300,94,47,38,15,0,1,1,4,21,56,82,53,44,47,34,1,0,,0,3,134,201,88,44,45,26,,,1,4,24,190,283,141,88,92,60,1,0,3220,1296,1924,2466,978,1488,991,429,561,3220,2466,988,3,23,29,24,30,22,27,530,640,540,640,276,325,5.654064808,6.657866169,1101,70765.65942,15.17993487,0.459234609,276,-86.795728,36.134154,
-219718,219718,219718,0,Bethel University,Bethel College (TN),McKenzie,Tennessee,38201,47,2,2,2,2692.120941,3205,32598986,46739415,41628570,0.036653901,337,100,337,100,3190,226,67,5608,326,97,7902,232,69,4492,650,11592,11592,160,15488,15488,34035022,48944981,28223963,20721018,304889,,,20721018,,149089,,456,188,,,,,,,,,,644,41,0.162698413,429,2473,2414,102,102,2516,70,389,389,459,2484,491,491,2975,4,13,925,29,1557,14,369,64,2,443,307,267,247,268,302,408,170,,0,,,,14,32,11,17,20,7,,1,2,443,307,281,279,279,319,428,177,,1,0,2,0,6,7,3,11,3,1,,37,,,,20,76,37,45,66,19,,126,0,2,0,26,83,40,56,69,20,,163,1078,598,480,578,317,261,346,198,148,1078,578,346,0,17,23,16,22,16,23,475,565,420,530,97,194,3.603107072,7.726250215,529,41607.13402,11.14363012,0.318032787,97,-88.516718,36.136806,
-219790,219790,219790,0,Bryan College,Bryan College,Dayton,Tennessee,37321-7000,47,2,2,2,1084.228389,1231,15649909,19074558,19346594,0.268488654,189,99,79,41,4922,91,48,5713,184,96,6895,100,52,5401,120,17740,17740,0,11208,11208,16635846,36095334,14998792,21096542,4435777,,,21096542,,4856989,1,303,29,,,,,,,,,,333,73,0.553030303,298,1098,995,48,48,1043,103,2,2,105,1098,50,50,1148,5,10,65,25,1020,1,5,17,6,227,333,141,73,53,60,74,28,,,,,,1,8,6,16,14,3,,,6,227,333,142,81,59,76,88,31,,,40,16,4,8,8,7,6,9,5,,,,,,0,0,1,0,1,0,,,40,16,4,8,8,8,6,10,5,,,478,214,264,356,158,198,191,83,108,478,356,191,0,20,28,21,30,18,26,480,610,520,660,49,40,4.519343018,5.995046861,258,47054.36957,14.94150141,0.429824561,46,-84.998386,35.496087,
