groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-222178,222178,222178,0,Abilene Christian University,Abilene Christian University,Abilene,Texas,79699,48,2,2,2,4281.372444,4619,79374657,139055284,130230847,0.299492721,959,98,236,24,4524,341,35,3757,866,88,8186,636,65,10777,1090,19200,19200,1090,11520,11520,105447044,453363952,114083392,339280560,4140129,,,339280560,,296354989,4,818,280,2,,8,0,,42,0,,0,1104,579,0.568762279,1280,3916,3591,356,356,3947,325,541,541,866,3916,897,897,4813,36,58,371,351,3515,,291,191,37,1688,1350,397,69,23,14,10,3,,0,,,25,183,70,31,17,19,11,0,,37,1688,1375,580,139,54,31,29,14,0,0,68,8,49,115,29,12,10,19,11,,4,,,0,62,140,93,66,119,58,3,,68,8,49,177,169,105,76,138,69,3,4,3712,1610,2102,1823,801,1022,983,460,523,3712,1823,982,1,21,27,20,28,20,26,490,620,480,600,228,32,5.325395139,0.747423879,795,61683.10526,16.93382226,0.876923077,228,-99.711594,32.466617,
-222567,222567,222567,0,Alvin Community College,Alvin Community College,Alvin,Texas,77511-4898,48,1,2,2,2690.558606,3571,9767212,37795512,32114131,,308,66,206,44,4771,55,12,1180,104,22,1054,113,24,3163,346,1560,2640,,,,35241140,44395473,23596125,20799348,774128,,,20799348,,,435,,,,,296,234,0,,,,,435,394,0.746212121,3261,5240,1402,,,1402,3838,,,3838,5240,,,5240,36,207,538,1309,3109,,41,0,198,510,235,137,120,75,47,44,26,0,10,,,,,,,,,,,,198,510,235,137,120,75,47,44,26,0,10,1023,564,452,423,430,312,238,288,102,6,0,,,,,,,,,,,,1023,564,452,423,430,312,238,288,102,6,0,,,,,,,,,,,,,,,,,,,,,,,,108,178,4.014036333,6.615726548,491,55577.37963,9.997923829,0.377622378,108,-95.240504,29.401008,
2125,222576,222576,1,Amarillo College,Amarillo College,Amarillo,Texas,79109,48,1,2,2,6188.124423,7061,17902392,76767822,57893938,0.120842511,490,72,395,58,4428,197,29,1454,122,18,896,131,19,4616,594,816,1680,,,,88548709,177947454,78749794,99197660,8794093,,,99197660,,,781,,,,,180,184,,,,,,781,56,0.089030207,3599,11289,3610,,,3610,7679,,,7679,11289,,,11289,96,269,549,2890,7231,0,254,0,49,1221,731,497,502,252,157,154,44,3,,,,,,,,,,,,,49,1221,731,497,502,252,157,154,44,3,,1681,1011,888,995,1090,712,450,592,239,21,,,,,,,,,,,,,1681,1011,888,995,1090,712,450,592,239,21,,,,,,,,,,,,,,,,,,,,,,,,,236,128,3.813756542,2.068478124,812,50847.50638,10.87567014,0.648351648,235,-101.848527,35.193001,
-222628,222628,222628,0,Amberton University,Amberton University,Garland,Texas,75041-5595,48,2,2,2,1013.889801,1004,5902147,6419055,5903816,,,,,,,,,,,,,,,,0,6750,6750,0,5400,5400,5404540,27815418,2295871,25519547,200000,,,25519547,,20404351,,110,358,,,,,,,,,,468,,,,389,221,469,469,690,168,675,675,843,389,1144,1144,1533,8,45,494,108,788,,90,0,,,,13,34,42,31,65,33,3,,,,2,14,71,89,80,136,75,2,,,,2,27,105,131,111,201,108,5,,,,,10,26,32,23,51,26,0,,,,0,20,102,129,115,198,109,2,,,,0,30,128,161,138,249,135,2,,,,,,,,,,,,,,,,,,,,,,,,,15,35,1.479450724,3.452051689,85,56134,4.043831979,0.3,15,-96.653504,32.859793,
-222673,222673,222673,0,American Commercial College,,San Angelo,Texas,76904,48,3,2,2,155.249958,238,803536,807482,807482,,182,92,179,91,5182,15,8,2822,0,0,,179,91,9782,,,,,,,1454913,,,,,,,,,,,,,,,14,67,,,,,,,,,,,135,,,135,51,,,51,186,,,186,0,0,19,94,69,4,0,0,,6,16,29,30,21,16,14,3,,,,,,,,,,,,,,,6,16,29,30,21,16,14,3,,,,0,1,6,12,11,10,11,0,,,,,,,,,,,,,,,0,1,6,12,11,10,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,5.797103018,0.644122558,15,,8.373593248,0.9,,-100.462249,31.423717,
-222682,222682,222682,0,American Commercial College,,Lubbock,Texas,79411,48,3,2,2,94.5587,141,1232923,1238936,1238936,,23,96,22,92,4545,22,92,1000,0,0,,20,83,11600,100,10080,10080,,,,2217184,,,,,,,,,,,,,,,139,22,,,,,,,,,,,35,,,35,150,,,150,185,,,185,0,2,59,40,70,14,0,0,0,5,2,6,8,10,3,1,,,,,,,,,,,,,,,0,5,2,6,8,10,3,1,,,,7,28,24,35,29,21,3,3,,,,,,,,,,,,,,,7,28,24,35,29,21,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,21,6,22.20842715,6.345264899,42,,31.72632449,0.777777778,,-101.860391,33.563306,
-222691,222691,222691,0,American Commercial College,,Abilene,Texas,79602,48,3,2,2,120.514682,242,1233413,1239180,1239180,,198,99,198,99,5550,0,0,,0,0,,198,99,9500,,,,,,,2126250,,,,,,,,,,,,,,,57,89,,,,,,,,,,,109,,,109,29,,,29,138,,,138,0,0,22,55,61,0,0,0,,12,21,28,18,8,9,5,4,,4,,,,,,,,,,,,,12,21,28,18,8,9,5,4,,4,,2,5,3,8,6,3,2,0,,0,,,,,,,,,,,,,2,5,3,8,6,3,2,0,,0,,,,,,,,,,,,,,,,,,,,,,,,13,1,10.78706742,0.829774417,18,,14.10616509,0.928571429,,-99.737798,32.445472,
-222707,222707,222707,0,American Commercial College-Odessa,,Odessa,Texas,79762,48,3,2,2,138.79406,406,1024396,1028749,1028749,,260,100,230,88,3855,0,0,,0,0,,214,82,7606,,,,,,,1605165,,,,,,,,,,,,,,,40,1,,,,,,,,,,,111,,,111,70,,,70,181,,,181,0,0,16,92,53,,20,0,,17,21,10,3,1,3,,,,56,,,,,,,,,,,,,17,21,10,3,1,3,,,,56,,9,6,6,11,1,0,,,,37,,,,,,,,,,,,,9,6,6,11,1,0,,,,37,,,,,,,,,,,,,,,,,,,,,,,,4,,2.881967715,,25,,18.01229822,1,,-102.340009,31.900872,
-222761,222761,222761,0,ATI Technical Training Center,,Dallas,Texas,75235,48,3,2,2,1005,3016,23243759,23276751,23275911,,1337,79,1249,74,3601,93,6,411,61,4,6292,1179,70,7177,,,,,,,19241943,,,,,,,,,,,,,,,162,927,,,,,,,,,,,1005,,,1005,,,,,1005,,,1005,1,5,395,195,141,3,265,0,,50,111,172,259,173,112,101,21,4,2,,,,,,,,,,,,,50,111,172,259,173,112,101,21,4,2,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,53,,5.273631841,,130,,11.14427861,1,,-96.845358,32.82875,
-222822,222822,222822,0,Angelina College,Angelina College,Lufkin,Texas,75902-1768,48,1,2,2,3184.762216,3733,7853448,31199063,24127665,0.085680201,711,100,629,88,4156,183,26,1523,98,14,3034,7,1,501,360,1710,2520,,,,34347227,63081026,30549938,32531088,6313549,,,32531088,,,300,,,,,4,399,,,,,,300,94,0.163194444,1967,5422,2054,,,2054,3368,,,3368,5422,,,5422,26,32,715,546,4037,1,20,45,8,820,482,230,204,115,77,79,36,3,,,,,,,,,,,,,8,820,482,230,204,115,77,79,36,3,,823,673,396,397,356,202,205,226,87,3,,,,,,,,,,,,,823,673,396,397,356,202,205,226,87,3,,,,,,,,,,,,,,,,,,,,,,,,,118,278,3.705143179,8.729066133,662,46661.55932,7.630082986,0.297979798,118,-94.73163,31.28736,
