groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
2677,229957,229957,1,AmeriTech College,,Provo,Utah,84604-6927,49,3,2,2,396,407,7044701,7340139,7063721,,206,85,144,60,4571,17,7,4507,0,0,,192,79,10395,,,,,,,7165623,,,,,,,,,,112,,,,,,53,,,,,,112,,,173,323,396,,,396,,,,,396,,,396,1,11,2,28,340,12,1,1,,16,46,65,101,56,47,49,16,,,,,,,,,,,,,,,16,46,65,101,56,47,49,16,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,38,5,33,27,3,24,24,3,21,38,27,131,0,,,,,,,,,,,22,14,5.555555556,3.535353535,57,54565.2,10.85858586,0.611111111,15,-111.667995,40.261135,
-230010,230010,230010,0,Bridgerland Applied Technology College,,Logan,Utah,84321,49,1,2,2,632.237112,777,1103440,7332500,5890168,0.040740774,130,40,74,23,3839,5,2,713,51,16,1447,0,0,,,,,,,,8661449,,,,,,,,,,,,,,,270,355,19,,,,,,105,0.416666667,,,506,,,506,376,,,376,882,,,882,11,22,5,44,791,6,3,0,10,116,63,49,68,39,35,65,47,1,13,,,,,,,,,,,,10,116,63,49,68,39,35,65,47,1,13,1,83,50,44,51,44,26,35,26,2,14,,,,,,,,,,,,1,83,50,44,51,44,26,35,26,2,14,141,83,58,141,83,58,141,83,58,141,141,76,65,,,,,,,,,,,54,143,8.541099372,22.61809648,265,,15.02600815,0.274111675,,-111.849069,41.757768,
-230038,230038,230038,0,Brigham Young University,Brigham Young University,Provo,Utah,84602,49,2,2,2,31674.38145,34997,213651941,1070810325,908495911,0.320025812,3127,67,574,12,4789,0,0,,2249,48,3352,489,10,4973,0,4290,4290,0,5420,5420,843056629,2564552854,480569619,2083983235,17631961,,,2083983235,,1295884781,,6742,1074,70,141,,,,31,,,,8027,2575,0.780776228,5432,30745,28048,2061,2061,30109,2697,1324,1324,4021,30745,3385,3385,34130,168,1437,169,1341,29412,,550,1053,327,8106,7445,9739,2135,157,52,53,34,0,,,3,31,469,1048,325,77,73,35,0,,327,8109,7476,10208,3183,482,129,126,69,0,,3,195,416,1035,709,109,45,104,74,7,,,0,2,120,548,312,116,113,110,3,,3,195,418,1155,1257,421,161,217,184,10,,10212,4484,5728,7049,3228,3821,5421,2515,2906,10212,7049,5367,54,25,30,25,32,25,30,570,680,560,670,1283,403,4.050592124,4.877759026,6403,93868.40064,12.71374472,0.453677511,1243,-111.64925,40.25083,
2678,230056,230056,1,Utah Career College,,West Jordan,Utah,84088,49,3,2,2,665.928442,1055,17538617,18782491,17563433,0.016159313,87,92,53,56,3963,0,0,,16,17,2541,82,86,10985,0,13860,13860,,,,17030748,8876540,1309683,,,,,,,,182,6,0,,,,61,,,,,,188,,,497,1216,310,,,310,906,,,906,1216,,,1216,9,18,11,83,961,26,108,0,2,27,34,41,48,34,21,16,10,3,74,,,,,,,,,,,,2,27,34,41,48,34,21,16,10,3,74,2,54,72,116,161,121,67,80,29,2,202,,,,,,,,,,,,2,54,72,116,161,121,67,80,29,2,202,255,59,196,253,59,194,252,58,194,255,253,299,113,,,,,,,,,,,23,73,3.453824548,10.96213878,179,36651.69565,15.16679475,0.239583333,23,-111.941968,40.609504,
-230065,230065,230065,0,Cameo College of Essential Beauty,,Murray,Utah,84107,49,3,2,2,147.941104,335,3307794,4544164,3307794,,114,82,103,74,3062,6,4,4338,0,0,,75,54,7886,,,,,,,1006451,,,,,,,,,,,,,,,50,65,52,,,,,,82,0.836734694,,,113,,,113,88,,,88,201,,,201,1,3,4,14,150,,29,0,1,36,14,17,22,8,5,9,1,,,,,,,,,,,,,,1,36,14,17,22,8,5,9,1,,,4,19,12,22,11,6,6,7,1,,,,,,,,,,,,,,4,19,12,22,11,6,6,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,6.083501986,4.055667991,28,,10.81511464,0.6,,-111.88803,40.64594,
-230092,230092,230092,0,College of Eastern Utah,College of Eastern Utah,Price,Utah,84501,49,1,2,2,1653.769024,1710,5257916,30965270,22909893,0.359334573,391,87,213,48,4191,145,32,2392,234,52,2188,90,20,2542,400,2070,4140,,,,33897735,69699298,5397150,64302148,2134631,,,64302148,,,330,,,,,,53,,,,,,330,169,0.33072407,750,2419,1267,,,1267,1152,,,1152,2419,,,2419,409,59,19,116,1668,,145,3,14,510,299,158,105,88,45,36,12,0,,,,,,,,,,,,,14,510,299,158,105,88,45,36,12,0,,408,279,60,89,86,50,49,63,56,12,,,,,,,,,,,,,408,279,60,89,86,50,49,63,56,12,,,,,,,,,,,,,,,,,,,,,,,,,78,70,4.716499031,4.232755541,437,54276.47436,13.06107424,0.527027027,78,-110.800867,39.606737,
-230135,230135,230135,0,Sherman Kendall's Academy-Sugarhouse,,Salt Lake City,Utah,84106,49,3,2,2,56,66,121200,292800,121200,,15,63,10,42,2578,0,0,,10,42,2078,10,42,3750,,,,,,,292900,,,,,,,,,,,,,,,,,15,,,,,,44,0.936170213,,,56,,,56,,,,,56,,,56,0,4,3,9,37,1,2,0,1,8,22,18,3,3,1,,,,,,,,,,,,,,,,1,8,22,18,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,8.928571429,,7,,12.5,1,,-111.871401,40.722421,
-230144,230144,230144,0,Sherman Kendalls Academy of Beauty Arts & Sciences,,Midvale,Utah,84047,49,3,2,2,50,60,225300,406000,225300,0.06213937,40,80,40,80,1782,0,0,,0,0,,0,0,,,,,,,,282000,,,,,,,,,,,,,,,,,10,,,,,,36,0.972972973,,,50,,,50,,,,,50,,,50,0,2,0,5,42,0,1,0,2,5,12,15,8,2,1,,1,,4,,,,,,,,,,,,2,5,12,15,8,2,1,,1,,4,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,4,,8,,8,,16,1,,-111.86607,40.617929,
-230162,230162,230162,0,Davis Applied Technology College,Davis Applied Technology College,Kaysville,Utah,84037-2699,49,1,2,2,1740.212478,1806,2944604,18196181,12813398,0.044156702,302,62,126,26,2467,63,13,544,36,7,395,0,0,,,,,,,,18993326,36684982,1564206,35120776,1599080,,,35120776,,,5,,,,,988,241,26,,,,,5,153,0.496753247,,,500,,,500,3694,,,3694,4194,,,4194,41,133,88,315,2769,8,836,4,0,42,112,91,84,57,31,52,30,1,,,,,,,,,,,,,0,42,112,91,84,57,31,52,30,1,,340,926,388,437,516,308,192,330,236,21,,,,,,,,,,,,,340,926,388,437,516,308,192,330,236,21,,,,,,,,,,,,,,,,,,,,,,,,,50,252,2.87321236,14.48099029,443,48908.28,6.608388427,0.165562914,50,-111.926338,41.030032,
-230171,230171,230171,0,Dixie State College of Utah,,Saint George,Utah,84770-3876,49,1,2,2,5806.495084,5645,28138708,60740200,55286610,0.187664977,1207,87,597,43,4863,473,34,2804,244,18,1491,530,38,5975,505,2640,10392,,,,72164759,123046604,10776804,112269800,21619679,,,112269800,,,894,318,,,,771,106,,,,,,1212,,,3042,7708,4520,,,4520,3188,,,3188,7708,,,7708,111,211,109,426,6593,8,217,33,147,1572,823,828,588,253,141,125,40,3,0,,,,,,,,,,,,147,1572,823,828,588,253,141,125,40,3,0,850,374,349,450,474,236,160,184,106,4,1,,,,,,,,,,,,850,374,349,450,474,236,160,184,106,4,1,,,,,,,,,,,,,,,,,,,,,,,,143,262,2.46275934,4.512188441,652,57655.81818,6.07939893,0.35308642,143,-113.568399,37.104269,
