groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-238166,238166,238166,0,Advanced Institute of Hair Design,,Glendale,Wisconsin,53217,55,3,2,2,88,151,831252,1416265,831252,0.021987316,39,87,29,64,7684,0,0,,8,18,100,36,80,8894,,,,,,,1703747,,,,,,,,,,,,,,,,,45,,,,,,26,0.764705882,,,88,,,88,,,,,88,,,88,2,2,23,3,58,,0,0,,34,27,11,9,3,1,,,,3,,,,,,,,,,,,,34,27,11,9,3,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,0,121,9,112,94,9,85,81,4,77,121,94,81,0,,,,,,,,,,,6,1,6.818181818,1.136363636,29,,11.36363636,0.857142857,,-87.916376,43.12092,
-238175,238175,238175,0,Advanced Institute of Hair Design,,Greenfield,Wisconsin,53228,55,3,2,2,145,192,1439868,2898265,1439868,0.061777191,59,76,31,40,7451,0,0,,8,10,100,55,71,8344,,,,,,,2544365,,,,,,,,,,,,,,,44,,79,,,,,,78,0.928571429,,,145,,,145,,,,,145,,,145,3,0,7,1,133,,1,0,,50,40,24,18,5,2,,,,6,,,,,,,,,,,,,50,40,24,18,5,2,,,,6,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,0,208,6,202,175,6,169,127,6,121,208,175,127,0,,,,,,,,,,,10,1,6.896551724,0.689655172,36,,11.72413793,0.909090909,,-88.047893,42.96931,
-238193,238193,238193,0,Alverno College,Alverno College,Milwaukee,Wisconsin,53234-3922,55,2,2,2,2293.24477,2151,45262869,43528729,48931321,0.256480494,231,100,134,58,4510,143,62,2722,227,98,7318,219,95,5528,450,18624,18624,450,7536,7536,41637311,69186821,17764356,51422465,6084583,,,51422465,,28537670,5,342,127,,,,,,29,2,,2,474,101,0.367272727,540,2387,1720,239,239,1959,667,189,189,856,2387,428,428,2815,33,128,466,325,1822,,4,37,11,371,502,425,197,99,45,57,12,,1,,,1,18,71,49,35,43,21,,1,11,371,503,443,268,148,80,100,33,,2,4,13,37,139,178,111,57,93,35,,0,,,0,6,53,22,20,49,29,,10,4,13,37,145,231,133,77,142,64,,10,525,0,525,446,0,446,235,0,235,525,446,229,6,17,22,,,,,,,,,118,138,5.145547547,6.017674249,527,53445.5339,15.61106798,0.4609375,118,-87.96782,42.982762,
-238263,238263,238263,0,Madison Area Technical College,Madison Area Technical College,Madison,Wisconsin,53704,55,1,2,2,9504.941998,9983,36074027,208721334,147641582,,1024,63,553,34,4247,273,17,958,200,12,1469,845,52,5807,300,3042,4560,300,3042,4560,220633493,182932892,93830067,89102825,6460787,,,89102825,,,1246,,,,,1720,399,69,25,,,,1246,,,5580,16563,5916,12,12,5928,10654,28,28,10682,16570,40,40,16610,114,602,1008,720,12257,166,1743,0,81,2160,1345,878,739,291,155,180,86,1,,,,,4,3,0,2,2,1,,,81,2160,1345,882,742,291,157,182,87,1,,470,1111,1223,1688,1968,1235,847,1345,738,29,,,,,3,5,5,4,5,6,,,470,1111,1223,1691,1973,1240,851,1350,744,29,,,,,,,,,,,,,,,,,,,,,,,,,405,1372,4.260941309,14.43459624,2770,92789.30864,8.784903687,0.227912212,405,-89.326778,43.120803,
-238315,238315,238315,0,Bellin Health School of Radiologic Technology,,Green Bay,Wisconsin,54305-3400,55,2,2,2,13,13,46188,47688,47688,,0,0,0,0,,0,0,,0,0,,0,0,,150,4500,4500,,,,146138,,,,,,,,,,,,,,,,,5,,,,,,1,1,,12,13,,,13,,,,,13,,,13,0,0,0,0,13,0,0,0,,,3,9,1,,,,,,,,,,,,,,,,,,,,3,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,7.692307692,,2,,15.38461538,1,,-88.010642,44.502025,
-238324,238324,238324,0,Bellin College,,Green Bay,Wisconsin,54311,55,2,2,2,274.147816,228,5942616,7456004,7526725,0.066747708,0,0,0,0,,0,0,,0,0,,0,0,,339,18500,18500,500,19500,19500,5825144,27758711,8725042,19033669,1517663,,,19033669,,9192678,,69,10,,,,,,,,,,79,29,0.90625,54,274,248,6,6,254,26,26,26,52,274,32,32,306,6,3,4,2,290,0,1,0,,74,91,59,12,7,1,4,,,0,,,,0,0,2,0,3,1,,,,74,91,59,12,9,1,7,1,,0,,0,4,8,5,5,2,1,,,1,,,,1,5,2,4,10,4,,,,0,4,9,10,7,6,11,4,,1,102,8,94,42,3,39,42,3,39,102,42,42,0,21,26,19,25,20,27,,,,,20,6,7.295334426,2.188600328,53,58961.6,15.3202023,0.769230769,20,-87.913867,44.4661,
-238333,238333,238333,0,Beloit College,Beloit College,Beloit,Wisconsin,53511-5595,55,2,2,2,1369.964277,1292,43075605,60802262,71412635,0.481921403,315,95,69,21,6011,30,9,2860,311,94,18663,262,79,5431,230,33188,33188,,,,46238483,215529799,76147477,139382322,5485625,,,139382322,,66557187,,314,,,,,,,,,,,314,250,0.773993808,422,1407,1346,,,1346,61,,,61,1407,,,1407,8,39,48,58,1017,,134,103,3,530,595,196,16,3,2,1,0,,,,,,,,,,,,,,3,530,595,196,16,3,2,1,0,,,31,12,1,3,2,1,2,4,5,,,,,,,,,,,,,,31,12,1,3,2,1,2,4,5,,,1962,877,1085,1429,581,848,335,137,198,1962,1429,335,0,25,30,24,32,22,28,560,670,575,710,123,12,8.978336302,0.875935249,420,59321.30081,28.39490099,0.911111111,123,-89.029602,42.503008,
-238397,238397,238397,0,Blackhawk Technical College,Blackhawk Technical College,Janesville,Wisconsin,53547-5009,55,1,2,2,2277.208044,2367,8680490,39035002,34597972,,335,66,232,45,4554,126,25,1094,0,0,,242,47,3195,152,3042,4563,,,,39139201,47672898,21706705,25966193,1793288,,,25966193,,,359,,,,,457,155,34,,,,,359,142,0.406876791,787,3348,1736,,,1736,1612,,,1612,3348,,,3348,14,25,218,118,2894,,79,0,4,345,229,174,207,154,167,298,156,2,0,,,,,,,,,,,,4,345,229,174,207,154,167,298,156,2,0,36,128,161,252,294,215,168,240,116,0,2,,,,,,,,,,,,36,128,161,252,294,215,168,240,116,0,2,,,,,,,,,,,,,,,,,,,,,,,,109,340,4.786563102,14.93056381,785,70197.89908,9.79269332,0.242761693,109,-89.011387,42.59344,
-238421,238421,238421,0,Lakeside School of Massage Therapy,,Milwaukee,Wisconsin,53212,55,2,2,2,72.661726,106,1078181,1302267,1079901,,40,71,40,71,3973,0,0,,0,0,,40,71,10974,,,,,,,1177393,,,,,,,,,,,,,,,70,,,,,,,,,,,,54,,,54,47,,,47,101,,,101,1,3,19,6,69,0,3,0,,2,5,17,10,9,3,4,4,,,,,,,,,,,,,,,2,5,17,10,9,3,4,4,,,,6,1,6,6,10,6,8,4,,,,,,,,,,,,,,,6,1,6,6,10,6,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,1.376240361,15.13864397,24,,9.633682525,0.083333333,,-87.911201,43.052913,
2051,238430,238430,1,Cardinal Stritch University,Cardinal Stritch University,Milwaukee,Wisconsin,53217-3985,55,2,2,2,5218.889948,5444,54198510,51950942,58639506,0.189163927,228,89,109,43,4736,64,25,2774,145,57,12562,207,81,6987,510,21280,21280,360,9100,9100,53547256,79574447,22503296,57071151,199763,,,57071151,,36594946,203,547,694,22,,,,,0,0,,0,1466,73,0.525179856,622,3046,2857,1705,1705,4562,189,1525,1525,1714,3046,3230,3230,6276,22,104,1008,206,4151,,642,143,1,202,273,369,563,444,346,480,176,1,2,,,1,109,507,314,246,349,143,4,32,1,202,274,478,1070,758,592,829,319,5,34,7,9,11,34,56,21,20,22,9,0,0,,,0,46,197,216,228,427,362,10,39,7,9,11,80,253,237,248,449,371,10,39,1033,329,704,421,146,275,173,74,99,1033,421,172,1,20,25,19,25,18,25,463,518,453,553,103,350,1.97359977,6.917179776,788,51745.32039,7.49201466,0.221982759,103,-87.906213,43.140325,
