groupid,unitid_linchpin,unitid,isgrouped,instname,TCSName,city,state,zip,ansi_code,control,medical,hospital,fte_count,fte12mn,tuition03,tot_rev_w_auxother_sum,unrestricted_revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
-240505,240505,240505,0,Casper College,Casper College,Casper,Wyoming,82601-4699,56,1,2,2,2883.7688,3710,6974669,49359804,42680379,0.223503653,587,89,212,32,4787,354,53,2162,238,36,1796,146,22,4945,216,1632,4896,,,,49258341,94226883,42897115,51329768,6505913,,,51329768,,,610,,,,,8,140,,,,,,610,167,0.282094595,1583,4478,2078,,,2078,2400,,,2400,4478,,,4478,39,28,48,158,4053,0,114,38,26,738,591,241,213,107,75,55,28,4,0,,,,,,,,,,,,26,738,591,241,213,107,75,55,28,4,0,535,225,186,264,338,230,154,240,172,48,8,,,,,,,,,,,,535,225,186,264,338,230,154,240,172,48,8,,,,,,,,,,,,,,,,,,,,,,,,154,103,5.340233933,3.571714903,470,63730.72078,12.55301743,0.59922179,154,-106.324419,42.834051,
-240514,240514,240514,0,Central Wyoming College,Central Wyoming College,Riverton,Wyoming,82501,56,1,2,2,1448.125543,1805,4388563,29557110,20068003,0.184632874,267,92,120,41,5382,142,49,2181,162,56,1887,82,28,4325,504,1632,4896,,,,25007627,43690440,8487604,35202836,1821921,,,35202836,,,199,,,,,86,17,,,,,,199,81,0.350649351,1028,2404,965,,,965,1439,,,1439,2404,,,2404,298,13,17,149,1824,15,68,20,64,314,219,110,108,45,32,45,27,0,1,,,,,,,,,,,,64,314,219,110,108,45,32,45,27,0,1,366,217,74,111,154,113,87,139,143,31,4,,,,,,,,,,,,366,217,74,111,154,113,87,139,143,31,4,,,,,,,,,,,,,,,,,,,,,,,,47,154,3.245574959,10.6344371,418,55682.04255,15.60638172,0.233830846,47,-108.425856,43.030024,
-240596,240596,240596,0,Eastern Wyoming College,Eastern Wyoming College,Torrington,Wyoming,82240-1699,56,1,2,2,881.510279,936,2427705,15962792,13644004,0.34732968,179,91,93,47,4047,61,31,2591,111,56,2832,80,41,3343,384,1632,4896,,,,17278039,20655518,3319719,17335799,998648,,,17335799,,,122,,,,,10,36,,,,,,122,74,0.397849462,621,1391,624,,,624,767,,,767,1391,,,1391,4,6,7,32,942,,395,5,42,303,118,40,46,30,15,12,8,0,10,,,,,,,,,,,,42,303,118,40,46,30,15,12,8,0,10,352,57,34,29,61,50,37,65,60,10,12,,,,,,,,,,,,352,57,34,29,61,50,37,65,60,10,12,,,,,,,,,,,,,,,,,,,,,,,,47,53,5.331758587,6.01240862,196,50270.29787,15.20118406,0.47,47,-104.188813,42.076902,
-240620,240620,240620,0,Laramie County Community College,Laramie County Community College,Cheyenne,Wyoming,82007-3299,56,1,2,2,3055.691808,4179,10918914,46368754,41267834,0.349348571,300,85,103,29,4072,110,31,1774,210,59,3418,100,28,3272,648,1632,4896,,,,51711888,93053446,33099010,59954436,4650521,,,59954436,,,509,,,,,8,165,,,,,,509,48,0.158940397,1397,4905,2121,,,2121,2784,,,2784,4905,,,4905,46,65,114,391,4057,1,163,68,9,721,504,322,269,112,75,71,29,1,8,,,,,,,,,,,,9,721,504,322,269,112,75,71,29,1,8,309,434,332,388,408,245,153,263,183,32,37,,,,,,,,,,,,309,434,332,388,408,245,153,263,183,32,37,,,,,,,,,,,,,,,,,,,,,,,,91,273,2.978049022,8.934147066,743,60675.03297,10.66861518,0.25,91,-104.783446,41.102301,
-240657,240657,240657,0,Northwest College,Northwest College,Powell,Wyoming,82435,56,1,2,2,1600.138487,1666,4342155,29166031,22020619,0.209294463,467,92,195,38,4727,209,41,1988,377,74,2797,154,30,5270,603,1632,4896,,,,29673991,45926288,13260478,32665810,1237498,,,32665810,,,321,,,,,64,17,,,,,,321,140,0.315315315,693,2099,1348,,,1348,751,,,751,2099,,,2099,32,26,12,130,1772,4,20,103,4,572,350,115,123,70,48,49,17,0,0,,,,,,,,,,,,4,572,350,115,123,70,48,49,17,0,0,120,102,65,74,99,72,60,68,72,14,5,,,,,,,,,,,,120,102,65,74,99,72,60,68,72,14,5,,,,,,,,,,,,,,,,,,,,,,,,80,72,4.999567266,4.499610539,314,59302.425,11.62399389,0.526315789,80,-108.760905,44.759636,
-240666,240666,240666,0,Sheridan College,Sheridan College,Sheridan,Wyoming,82801,56,1,2,2,2253.620549,2481,5005192,34075649,24147772,0.327419807,459,87,172,32,4025,243,46,1806,217,41,2788,129,24,3790,690,1632,4896,,,,34625286,86833097,21742179,65090918,4509318,,,65090918,,,301,,,,,16,132,,,,,,301,99,0.266846361,1690,3899,1422,,,1422,2477,,,2477,3899,,,3899,55,32,36,176,3572,5,0,23,22,605,335,155,122,59,46,55,23,0,0,,,,,,,,,,,,22,605,335,155,122,59,46,55,23,0,0,722,258,120,172,237,201,134,268,317,45,3,,,,,,,,,,,,722,258,120,172,237,201,134,268,317,45,3,,,,,,,,,,,,,,,,,,,,,,,,92,84,4.082319894,3.727335555,415,56263.94565,11.49261796,0.522727273,92,-106.944791,44.763823,
-240693,240693,240693,0,Western Wyoming Community College,Western Wyoming Community College,Rock Springs,Wyoming,82902-0428,56,1,2,2,2195.150132,2512,6707356,33953206,29334181,0.036789757,224,86,85,33,3906,82,31,1709,168,64,3210,82,31,3258,362,1632,4896,,,,33778767,88375380,12248111,76127269,1899341,,,76127269,,,328,,,,,1,87,,,,,,328,111,0.464435146,732,4079,1243,,,1243,2836,,,2836,4079,,,4079,49,29,32,282,3599,1,0,87,21,477,291,136,139,79,43,40,15,2,0,,,,,,,,,,,,21,477,291,136,139,79,43,40,15,2,0,440,207,126,207,388,304,246,425,415,44,34,,,,,,,,,,,,440,207,126,207,388,304,246,425,415,44,34,,,,,,,,,,,,,,,,,,,,,,,,73,237,3.325512863,10.79652806,648,58171.05634,9.293214028,0.235483871,71,-109.236231,41.594969,
2703,240709,240709,1,Cheeks International Academy of Beauty Culture,,Cheyenne,Wyoming,82001-4413,56,3,2,2,93.308798,156,719997,778024,719997,,92,93,86,87,4116,6,6,5667,0,0,,92,93,4122,,,,,,,1146760,,,,,,,,,,,,,,,23,32,20,,,,,,21,0.724137931,,,81,,,81,31,,,31,112,,,112,0,0,1,42,69,0,0,0,15,20,16,11,15,4,,,,,,,,,,,,,,,,,15,20,16,11,15,4,,,,,,4,8,11,1,7,0,,,,,,,,,,,,,,,,,4,8,11,1,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,8.573682409,,30,,32.15130903,1,,-104.81653,41.134414,
2704,240718,240718,1,WyoTech,,Laramie,Wyoming,82072-9519,56,3,2,2,2517,2984,79185734,79185734,79185734,,3297,96,2078,61,5020,9,0,5221,427,12,2975,3039,88,16106,,,,,,,68415286,215850360,20969131,,,,,,,,836,,,,,,2258,,,,,,836,2390,0.823286256,,,2517,,,2517,,,,,2517,,,2517,42,37,147,243,2042,,4,2,17,1409,429,324,220,58,26,26,8,,,,,,,,,,,,,,17,1409,429,324,220,58,26,26,8,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,177,,7.032181168,,394,40164.68362,15.01787843,1,177,-105.587823,41.365071,
-240727,240727,240727,0,University of Wyoming,University of Wyoming,Laramie,Wyoming,82071,56,1,2,2,10696.69695,11113,64216694,449339187,307264757,0.229901356,1492,95,271,17,4320,1341,85,5105,262,17,2379,684,43,5466,906,2256,8592,906,3294,9414,430562185,988699899,164132382,824567517,25569887,,,824567517,,,,1783,388,69,110,13,,,47,0,,0,2350,793,0.530080214,2691,9748,8128,1482,1482,9610,1620,1197,1197,2817,9748,2679,2679,12427,119,148,123,454,9721,201,1020,641,12,2260,2796,2024,663,151,93,84,42,0,3,,,36,447,605,219,84,59,31,0,1,12,2260,2832,2471,1268,370,177,143,73,0,4,9,25,116,334,389,220,168,213,132,8,6,,,2,65,304,205,163,241,206,9,2,9,25,118,399,693,425,331,454,338,17,8,3589,1749,1832,3444,1655,1788,1693,834,859,3589,3444,1681,12,21,27,20,26,20,27,500,640,470,610,1070,81,10.00308791,8.516647746,3827,78941.3411,25.93323913,0.540131247,730,-105.58565,41.3115,
